trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120725,7.488,7.268,7.568,7.258,90105,0.0,3.39,-20.46,-1.87,0.16
20120726,7.468,7.298,7.468,7.268,49611,0.0,2.75,0.41,0.03,0.09
20120727,7.368,7.768,7.908,7.258,32469,0.0,8.91,6.44,0.47,0.06
20120730,7.838,7.768,7.968,7.658,49136,0.0,3.99,0.0,0.0,0.09
20120731,7.758,7.608,7.928,7.548,62834,0.0,4.89,-2.06,-0.16,0.11
20120801,7.518,7.358,7.598,7.318,68602,0.0,3.68,-3.29,-0.25,0.12
20120802,7.298,7.188,7.488,7.138,108727,0.0,4.76,-2.31,-0.17,0.2
20120803,7.358,7.398,7.518,7.298,40049,0.0,3.06,2.92,0.21,0.07
20120806,7.468,7.208,7.518,7.188,67816,0.0,4.46,-2.57,-0.19,0.12
20120807,7.228,7.248,7.608,7.148,146643,0.0,6.38,0.55,0.04,0.26
20120808,7.178,7.268,7.408,7.138,94994,0.0,3.73,0.28,0.02,0.17
20120809,7.228,7.388,7.528,7.228,45505,0.0,4.13,1.65,0.12,0.08
20120810,7.348,7.338,7.638,7.268,534667,0.0,5.01,-0.68,-0.05,0.96
20120813,7.438,7.128,7.538,7.128,248139,0.0,5.59,-2.86,-0.21,0.45
20120814,7.228,7.168,7.458,7.128,363128,0.0,4.63,0.56,0.04,0.65
20120815,7.138,6.798,7.218,6.548,620497,0.0,9.35,-5.16,-0.37,1.12
20120816,6.798,6.818,6.948,6.618,292931,0.0,4.85,0.29,0.02,0.53
20120817,6.808,7.368,7.448,6.808,539251,0.0,9.39,8.07,0.55,0.97
20120820,7.328,7.318,7.638,7.288,366017,0.0,4.75,-0.68,-0.05,0.66
20120821,7.448,7.428,7.648,7.428,199359,0.0,3.01,1.5,0.11,0.36
20120822,7.388,7.538,7.638,7.328,82099,0.0,4.17,1.48,0.11,0.15
20120823,7.448,7.128,7.458,7.108,85277,0.0,4.64,-5.44,-0.41,0.15
20120824,7.088,7.168,7.328,7.088,93023,0.0,3.37,0.56,0.04,0.17
20120827,7.238,7.108,7.508,7.088,143478,0.0,5.86,-0.84,-0.06,0.26
20120828,7.088,7.188,7.378,6.888,199897,0.0,6.89,1.13,0.08,0.36
20120829,7.208,7.098,7.348,7.038,263014,0.0,4.31,-1.25,-0.09,0.47
20120830,7.068,7.228,7.398,6.978,97621,0.0,5.92,1.83,0.13,0.18
20120831,7.298,7.318,7.408,7.258,87555,0.0,2.08,1.25,0.09,0.16
20120904,7.328,7.148,7.328,7.108,241638,0.0,3.01,-2.32,-0.17,0.44
20120905,7.138,7.298,7.458,7.138,231225,0.0,4.48,2.1,0.15,0.42
20120906,7.418,7.378,7.538,7.328,109557,0.0,2.88,1.1,0.08,0.2
20120907,7.428,7.358,7.478,7.268,96606,0.0,2.85,-0.27,-0.02,0.17
20120910,7.348,7.468,7.528,7.248,114371,0.0,3.81,1.49,0.11,0.21
20120911,7.468,7.478,7.578,7.338,119928,0.0,3.21,0.13,0.01,0.22
20120912,7.508,7.458,7.638,7.398,159492,0.0,3.21,-0.27,-0.02,0.29
20120913,7.458,7.408,7.568,7.268,230948,0.0,4.02,-0.67,-0.05,0.42
20120914,7.428,7.638,7.728,7.428,326345,0.0,4.05,3.1,0.23,0.59
20120917,7.618,7.618,7.698,7.468,178747,0.0,3.01,-0.26,-0.02,0.32
20120918,7.588,7.598,7.688,7.358,188289,0.0,4.33,-0.26,-0.02,0.34
20120919,7.548,7.618,7.658,7.518,196563,0.0,1.84,0.26,0.02,0.35
20120920,7.568,7.638,7.708,7.548,274002,0.0,2.1,0.26,0.02,0.49
20120921,7.748,7.588,7.778,7.478,411989,0.0,3.93,-0.65,-0.05,0.74
20120924,7.518,7.498,7.638,7.448,67768,0.0,2.5,-1.19,-0.09,0.12
20120925,7.518,7.228,7.598,7.158,101270,0.0,5.87,-3.6,-0.27,0.18
20120926,7.218,7.208,7.338,7.098,123528,0.0,3.32,-0.28,-0.02,0.22
20120927,7.298,7.508,7.628,7.298,204331,0.0,4.58,4.16,0.3,0.37
20120928,7.488,7.528,7.638,7.398,171849,0.0,3.2,0.27,0.02,0.31
20121001,7.628,7.568,7.638,7.518,185052,0.0,1.59,0.53,0.04,0.33
20121002,7.608,7.368,7.608,7.278,69519,0.0,4.36,-2.64,-0.2,0.13
20121003,7.338,7.038,7.348,7.038,152138,0.0,4.21,-4.48,-0.33,0.27
20121004,7.088,7.138,7.238,6.878,142181,0.0,5.12,1.42,0.1,0.26
20121005,7.238,6.928,7.238,6.888,70786,0.0,4.9,-2.94,-0.21,0.13
20121008,6.908,6.678,6.908,6.538,114241,0.0,5.34,-3.61,-0.25,0.21
20121009,6.708,6.718,6.808,6.638,135355,0.0,2.55,0.6,0.04,0.24
20121010,6.718,6.658,6.838,6.418,443791,0.0,6.25,-0.89,-0.06,0.8
20121011,6.688,6.778,6.938,6.648,114818,0.0,4.36,1.8,0.12,0.21
20121012,6.748,6.578,6.758,6.528,98518,0.0,3.39,-2.95,-0.2,0.18
20121015,6.558,6.478,6.638,6.398,127588,0.0,3.65,-1.52,-0.1,0.23
20121016,6.548,6.538,6.708,6.368,139183,0.0,5.25,0.93,0.06,0.25
20121017,6.688,6.468,6.728,6.248,204075,0.0,7.34,-1.07,-0.07,0.37
20121018,6.428,6.488,6.578,6.318,108028,0.0,4.02,0.31,0.02,0.19
20121019,6.438,6.448,6.638,6.358,186269,0.0,4.32,-0.62,-0.04,0.34
20121022,6.448,6.228,6.528,6.178,131996,0.0,5.43,-3.41,-0.22,0.24
20121023,6.148,6.058,6.148,5.908,94479,0.0,3.85,-2.73,-0.17,0.17
20121024,6.148,5.978,6.408,5.938,102296,0.0,7.76,-1.32,-0.08,0.18
20121025,6.068,6.068,6.118,5.908,78537,0.0,3.51,1.51,0.09,0.14
20121026,6.108,5.908,6.148,5.868,101550,0.0,4.61,-2.64,-0.16,0.18
20121031,5.958,5.968,5.998,5.788,145588,0.0,3.55,1.02,0.06,0.26
20121101,5.978,6.218,6.258,5.818,246351,0.0,7.37,4.19,0.25,0.44
20121102,6.218,6.008,6.218,5.828,127717,0.0,6.27,-3.38,-0.21,0.23
20121105,6.028,6.108,6.138,5.888,123271,0.0,4.16,1.66,0.1,0.22
20121106,6.198,6.208,6.258,5.988,188882,0.0,4.42,1.64,0.1,0.34
20121107,6.088,5.768,6.218,5.648,199584,0.0,9.18,-7.09,-0.44,0.36
20121108,5.738,5.568,5.838,5.548,110252,0.0,5.03,-3.47,-0.2,0.2
20121109,5.538,5.628,5.798,5.488,126176,0.0,5.57,1.08,0.06,0.23
20121112,5.538,5.478,5.778,5.338,198947,0.0,7.82,-2.67,-0.15,0.36
20121113,5.598,5.498,5.598,5.078,169246,0.0,9.49,0.37,0.02,0.3
20121114,5.498,5.648,5.758,5.468,244378,0.0,5.27,2.73,0.15,0.44
20121115,5.648,5.638,5.918,5.588,680621,0.0,5.84,-0.18,-0.01,1.22
