trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240227,19.03,19.82,20.32,18.7,141203,2793549.0,0.0,0.0,0.0,0.32
20240228,20.385,20.36,21.03,19.62,376596,7701770.0,7.11,2.72,0.54,0.86
20240229,20.66,21.75,21.89,20.0,507040,10955478.0,9.28,6.83,1.39,1.16
20240301,21.68,20.66,21.68,20.48,399071,8289425.0,5.52,-5.01,-1.09,0.91
20240304,20.59,20.34,20.98,20.18,320086,6520946.0,3.87,-1.55,-0.32,0.73
20240305,20.08,19.97,20.38,19.86,282809,5672614.0,2.56,-1.82,-0.37,0.64
20240306,20.0,20.04,20.33,19.88,252756,5067069.0,2.25,0.35,0.07,0.58
20240307,20.19,20.43,20.7,20.17,298157,6096854.0,2.64,1.95,0.39,0.68
20240308,20.7,20.26,20.7,20.12,302241,6144197.0,2.84,-0.83,-0.17,0.69
20240311,20.23,20.96,21.01,20.14,318744,6624199.0,4.29,3.46,0.7,0.73
20240312,20.84,20.66,20.84,20.29,242595,4983187.0,2.62,-1.43,-0.3,0.55
20240313,20.74,21.36,21.44,20.72,373785,7940875.0,3.48,3.39,0.7,0.85
20240314,21.08,21.05,21.41,20.59,538420,11278713.0,3.84,-1.45,-0.31,1.23
20240315,20.86,21.39,21.59,20.855,3154619,67348959.0,3.49,1.62,0.34,7.19
20240318,21.17,20.67,21.4,20.62,374057,7804092.0,3.65,-3.37,-0.72,0.85
20240319,20.73,21.05,21.13,20.67,237315,4981525.0,2.23,1.84,0.38,0.54
20240320,21.06,21.53,21.56,21.03,220010,4694506.0,2.52,2.28,0.48,0.5
20240321,21.59,21.77,21.81,21.37,259696,5625977.0,2.04,1.11,0.24,0.59
20240322,21.44,21.25,21.74,21.2,245263,5230024.0,2.48,-2.39,-0.52,0.56
20240325,21.37,21.5,21.75,21.285,174379,3755264.0,2.19,1.18,0.25,0.4
20240326,21.69,21.61,21.69,21.39,161465,3484718.0,1.4,0.51,0.11,0.37
20240327,21.81,22.17,22.17,21.64,294063,6483179.0,2.45,2.59,0.56,0.67
20240328,22.12,22.25,22.25,21.93,758238,16840219.0,1.44,0.36,0.08,1.73
20240401,22.42,22.29,22.68,22.13,247581,5531752.0,2.47,0.18,0.04,0.56
20240402,22.24,22.17,22.24,22.0,196266,4346160.0,1.08,-0.54,-0.12,0.45
20240403,22.03,22.47,22.48,22.03,150896,3373852.0,2.03,1.35,0.3,0.34
20240404,22.59,22.29,22.84,22.185,192967,4324504.0,2.91,-0.8,-0.18,0.44
20240405,22.32,22.51,22.55,22.17,122615,2754231.0,1.7,0.99,0.22,0.28
20240408,22.76,22.51,22.78,22.51,138208,3124105.0,1.2,0.0,0.0,0.31
20240409,22.72,22.56,22.86,22.36,147161,3319952.0,2.22,0.22,0.05,0.33
20240410,22.11,21.98,22.29,21.62,174147,3817998.0,2.97,-2.57,-0.58,0.4
20240411,21.98,22.11,22.15,21.78,123205,2717839.0,1.68,0.59,0.13,0.28
20240412,22.07,21.61,22.29,21.5,127602,2766493.0,3.57,-2.26,-0.5,0.29
20240415,21.73,21.41,21.88,21.38,148254,3191905.0,2.31,-0.93,-0.2,0.34
20240416,21.2,21.37,21.38,20.938,125040,2659970.0,2.06,-0.19,-0.04,0.28
20240417,21.76,21.26,21.815,21.2,270748,5779062.0,2.88,-0.51,-0.11,0.62
20240418,21.33,21.22,21.71,21.09,208271,4435691.0,2.92,-0.19,-0.04,0.47
20240419,21.18,21.23,21.45,21.1,176448,3747545.0,1.65,0.05,0.01,0.4
20240422,21.23,21.24,21.42,20.99,151665,3224066.0,2.03,0.05,0.01,0.34
20240423,20.89,21.49,21.665,20.84,251836,5394406.0,3.88,1.18,0.25,0.57
20240424,21.43,21.49,21.59,20.96,230727,4925046.0,2.93,0.0,0.0,0.52
20240425,21.29,21.35,21.44,21.02,255029,5431919.0,1.95,-0.65,-0.14,0.58
20240426,21.35,21.35,21.56,21.24,130280,2782008.0,1.5,0.0,0.0,0.3
20240429,21.46,21.51,21.84,21.46,207341,4478998.0,1.78,0.75,0.16,0.47
20240430,21.37,20.56,21.42,20.54,166994,3460279.0,4.09,-4.42,-0.95,0.38
20240501,20.7,20.55,21.1,20.52,232925,4815988.0,2.82,-0.05,-0.01,0.53
20240502,20.65,21.0,21.02,20.62,179630,3756583.0,1.95,2.19,0.45,0.41
20240503,21.21,21.1,21.25,20.91,204403,4317031.0,1.62,0.48,0.1,0.47
20240506,21.33,20.82,21.42,20.82,145543,3051567.0,2.84,-1.33,-0.28,0.33
20240507,20.88,20.65,21.06,20.62,231240,4798949.0,2.11,-0.82,-0.17,0.53
20240508,20.46,20.35,20.54,20.29,160434,3268600.0,1.21,-1.45,-0.3,0.37
20240509,20.24,20.63,20.69,20.19,239251,4920023.0,2.46,1.38,0.28,0.55
20240510,22.89,22.52,23.515,22.28,554877,12569033.0,5.99,9.16,1.89,1.27
20240513,22.33,22.33,22.52,22.03,280523,6250955.0,2.18,-0.84,-0.19,0.64
20240514,22.04,22.64,22.74,22.04,299378,6745317.0,3.13,1.39,0.31,0.68
20240515,22.74,22.95,23.09,22.445,195565,4481640.0,2.85,1.37,0.31,0.45
20240516,22.96,23.25,23.25,22.785,233354,5394448.0,2.03,1.31,0.3,0.53
20240517,23.39,23.34,23.72,23.32,275274,6447617.0,1.72,0.39,0.09,0.63
20240520,23.25,23.7,24.31,23.215,346635,8283075.0,4.69,1.54,0.36,0.79
20240521,23.49,24.02,24.03,23.32,337296,8014084.0,3.0,1.35,0.32,0.77
20240522,23.96,23.79,24.235,23.585,223187,5332857.0,2.71,-0.96,-0.23,0.51
20240523,23.73,23.33,23.73,23.2,181235,4240817.0,2.23,-1.93,-0.46,0.41
20240524,23.58,23.36,23.58,23.01,182370,4251527.0,2.44,0.13,0.03,0.42
20240528,23.61,23.74,23.87,23.345,200156,4745339.0,2.25,1.63,0.38,0.46
20240529,23.16,23.28,23.55,23.16,155211,3616505.0,1.64,-1.94,-0.46,0.35
20240530,23.45,23.53,23.79,23.42,175208,4131420.0,1.59,1.07,0.25,0.4
20240531,23.99,24.01,24.167,23.75,315226,7560516.0,1.77,2.04,0.48,0.72
20240603,24.26,23.56,24.28,23.16,278599,6582156.0,4.66,-1.87,-0.45,0.64
20240604,23.33,22.33,23.35,22.27,280928,6330475.0,4.58,-5.22,-1.23,0.64
20240605,22.32,22.6,22.66,22.3,189455,4271103.0,1.61,1.21,0.27,0.43
20240606,22.51,22.46,22.62,22.13,171542,3839385.0,2.17,-0.62,-0.14,0.39
20240607,22.17,22.31,22.57,22.17,185834,4149859.0,1.78,-0.67,-0.15,0.42
20240610,22.07,21.92,22.07,21.74,160665,3522795.0,1.48,-1.75,-0.39,0.37
20240611,21.56,21.65,21.8,21.385,170504,3687265.0,1.89,-1.23,-0.27,0.39
20240612,22.09,21.7,22.18,21.7,150373,3286351.0,2.22,0.23,0.05,0.34
20240613,21.6,21.28,21.6,21.18,141070,3003023.0,1.94,-1.94,-0.42,0.32
20240614,21.14,20.78,21.14,20.77,143412,2989033.0,1.74,-2.35,-0.5,0.33
20240617,20.45,20.5,20.78,20.29,300706,6169353.0,2.36,-1.35,-0.28,0.69
20240618,20.6,20.59,20.77,20.41,205889,4232482.0,1.76,0.44,0.09,0.47
20240620,20.62,21.14,21.24,20.58,214791,4536043.0,3.21,2.67,0.55,0.49
20240621,21.06,20.95,21.18,20.81,824767,17297908.0,1.75,-0.9,-0.19,1.88
20240624,21.0,20.41,21.33,20.4,257005,5287465.0,4.44,-2.58,-0.54,0.59
20240625,20.35,20.19,20.425,20.165,183510,3715259.0,1.27,-1.08,-0.22,0.42
20240626,20.01,20.47,20.5,20.01,156610,3194273.0,2.43,1.39,0.28,0.36
20240627,20.44,20.12,20.44,19.96,208179,4194987.0,2.34,-1.71,-0.35,0.47
20240628,19.85,20.27,20.53,19.84,519512,10518011.0,3.43,0.75,0.15,1.18
20240701,20.29,20.2,20.44,20.02,201838,4073170.0,2.07,-0.35,-0.07,0.46
20240702,20.33,20.13,20.455,20.06,180373,3634377.0,1.96,-0.35,-0.07,0.41
20240703,20.28,20.15,20.3,20.05,73246,1477097.0,1.24,0.1,0.02,0.17
20240705,20.02,19.58,20.12,19.57,211915,4173484.0,2.73,-2.83,-0.57,0.49
20240708,19.69,19.84,20.09,19.6,177709,3530486.0,2.5,1.33,0.26,0.41
20240709,19.72,19.53,19.76,19.49,195198,3826520.0,1.36,-1.56,-0.31,0.45
20240710,19.61,19.76,19.83,19.57,150133,2962835.0,1.33,1.18,0.23,0.34
20240711,20.22,20.66,20.78,20.09,243295,4982067.0,3.49,4.55,0.9,0.56
20240712,20.96,20.83,21.18,20.815,191837,4015704.0,1.77,0.82,0.17,0.44
20240715,21.06,21.3,21.58,21.06,211300,4514854.0,2.5,2.26,0.47,0.48
20240716,21.42,23.13,23.13,21.4,420669,9568354.0,8.12,8.59,1.83,0.96
20240717,22.89,22.7,23.26,22.47,327916,7472069.0,3.42,-1.86,-0.43,0.75
20240718,22.62,22.68,23.03,22.6,277002,6311153.0,1.89,-0.09,-0.02,0.63
20240719,22.66,22.28,22.71,22.245,225383,5035234.0,2.05,-1.76,-0.4,0.52
20240722,22.35,22.14,22.4,21.66,797690,17544214.0,3.32,-0.63,-0.14,1.83
20240723,22.11,22.56,22.76,22.055,216344,4875105.0,3.18,1.9,0.42,0.5
20240724,22.42,21.71,22.72,21.61,235731,5195363.0,4.92,-3.77,-0.85,0.54
20240725,21.79,22.01,22.53,21.74,414460,9181741.0,3.64,1.38,0.3,0.95
20240726,22.43,22.25,22.47,21.96,309940,6901701.0,2.32,1.09,0.24,0.71
20240729,22.31,21.97,22.36,21.88,311693,6881521.0,2.16,-1.26,-0.28,0.71
20240730,22.16,21.77,22.38,21.35,436095,9421783.0,4.69,-0.91,-0.2,1.0
20240731,21.97,22.42,22.78,21.82,567846,12669995.0,4.41,2.99,0.65,1.31
20240801,22.41,20.81,22.52,20.545,309357,6487778.0,8.81,-7.18,-1.61,0.71
20240802,20.07,19.72,20.22,19.43,403645,7974641.0,3.8,-5.24,-1.09,0.93
