trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250522,98.811,98.874,99.013,98.784,2348,234096.0,0.0,0.0,0.0,0.0
20250523,99.271,99.191,99.271,99.052,7540,753270.0,0.22,0.32,0.317,0.0
20250527,99.598,99.474,99.598,99.271,14105,1411761.0,0.33,0.29,0.283,0.0
20250528,99.658,99.241,99.658,99.162,28070,2810864.0,0.5,-0.23,-0.233,0.0
20250529,99.211,99.36,99.39,99.196,5300,530471.0,0.2,0.12,0.119,0.0
20250530,99.33,99.311,99.747,99.221,11855,1187468.0,0.53,-0.05,-0.049,0.0
20250602,99.291,99.008,99.311,98.983,8570,855288.0,0.33,-0.31,-0.303,0.0
20250603,99.082,98.984,99.092,98.963,3741,373235.0,0.13,-0.02,-0.024,0.0
20250604,99.241,100.909,102.924,99.162,68487,6850536.0,3.8,1.94,1.925,0.0
20250605,99.221,99.102,99.271,98.963,34262,3421317.0,0.31,-1.79,-1.807,0.0
20250606,99.062,98.909,99.062,98.864,5016,500007.0,0.2,-0.19,-0.193,0.0
20250609,99.052,99.182,99.579,98.933,17093,1708936.0,0.65,0.28,0.273,0.0
20250610,99.241,98.964,99.271,98.933,61242,6117752.0,0.34,-0.22,-0.218,0.0
20250611,99.206,99.241,99.281,99.201,2674,267321.0,0.08,0.28,0.277,0.0
20250612,99.519,99.537,99.589,99.489,4106,411874.0,0.1,0.3,0.296,0.0
20250613,99.4,99.368,99.44,99.311,31952,3197894.0,0.13,-0.17,-0.169,0.0
20250616,99.41,99.435,99.678,99.365,12238,1226482.0,0.31,0.07,0.067,0.0
20250617,99.559,99.533,99.638,99.519,2675,268311.0,0.12,0.1,0.098,0.0
20250618,99.589,99.509,99.648,99.479,5680,569845.0,0.17,-0.02,-0.024,0.0
20250620,99.499,99.589,99.916,99.479,129534,12993792.0,0.44,0.08,0.08,0.0
20250623,100.025,99.752,100.224,99.647,14103,1418399.0,0.58,0.16,0.163,0.0
20250624,99.698,99.732,100.244,99.638,9507,956406.0,0.61,-0.02,-0.02,0.0
20250625,99.718,99.787,99.787,99.668,2887,290045.0,0.12,0.06,0.055,0.0
20250626,99.757,99.861,100.115,99.757,12511,1257811.0,0.36,0.07,0.074,0.0
20250627,99.857,99.876,99.946,99.767,13662,1373797.0,0.18,0.02,0.015,0.0
20250630,99.986,100.273,100.293,99.757,14519,1461990.0,0.54,0.4,0.397,0.0
20250701,100.041,100.113,100.188,100.041,6699,673913.0,0.15,-0.16,-0.16,0.0
20250702,99.914,100.004,100.661,99.845,33730,3389229.0,0.82,-0.11,-0.109,0.0
20250703,100.024,100.104,100.153,99.984,31293,3145553.0,0.17,0.1,0.1,0.0
20250707,100.412,100.093,100.412,99.994,24613,2476376.0,0.42,-0.01,-0.011,0.0
20250708,100.084,99.971,100.084,99.964,5069,509457.0,0.12,-0.12,-0.122,0.0
20250709,100.064,100.108,100.173,100.024,6726,676626.0,0.15,0.14,0.137,0.0
20250710,100.123,100.113,100.168,100.024,3991,401486.0,0.14,0.0,0.005,0.0
20250711,100.004,99.795,100.004,99.775,16684,1674378.0,0.23,-0.32,-0.318,0.0
20250714,99.835,99.87,99.875,99.715,18827,1888646.0,0.16,0.08,0.075,0.0
20250715,99.815,99.596,99.815,99.596,37858,3791578.0,0.22,-0.27,-0.274,0.0
20250716,99.648,99.417,99.68,99.417,30971,3097799.0,0.26,-0.18,-0.179,0.0
20250717,99.447,99.118,99.695,99.118,46378,4627074.0,0.58,-0.3,-0.299,0.0
20250718,99.143,98.979,99.178,98.969,25292,2516694.0,0.21,-0.14,-0.139,0.0
20250721,99.287,99.118,99.367,99.118,51102,5095578.0,0.25,0.14,0.139,0.0
20250722,99.287,99.198,99.327,99.168,26887,2681455.0,0.16,0.08,0.08,0.0
20250723,99.327,99.108,99.327,99.029,21550,2146697.0,0.3,-0.09,-0.09,0.0
