trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20181010,17.02,17.02,17.02,17.02,500001,10000020.0,0.0,0.0,0.0,0.0
20181012,17.037,17.062,17.062,17.037,2450,49081.0,0.15,0.25,0.042,0.0
20181015,17.122,17.122,17.122,17.122,500,10060.0,0.0,0.35,0.06,0.0
20181017,17.275,17.062,17.326,16.747,5800,116625.0,3.38,-0.35,-0.06,0.0
20181018,17.088,17.071,17.13,17.062,2931,58839.0,0.4,0.05,0.009,0.0
20181024,17.071,17.071,17.071,17.071,1,0.0,0.0,0.0,0.0,0.0
20181026,17.215,17.19,17.241,17.173,5100,103033.0,0.4,0.7,0.119,0.0
20181029,17.054,17.054,17.054,17.054,100,2004.0,0.0,-0.79,-0.136,0.0
20181030,17.13,17.079,17.13,17.079,400,8040.0,0.3,0.15,0.025,0.0
20181102,17.096,17.088,17.428,17.088,4200,85501.0,1.99,0.05,0.009,0.0
20181105,17.088,17.088,17.088,17.088,100,2007.0,0.0,0.0,0.0,0.0
20181106,17.088,17.054,17.088,17.054,4946,99225.0,0.2,-0.2,-0.034,0.0
20181107,17.079,17.079,17.079,17.079,300,6019.0,0.0,0.15,0.025,0.0
20181126,17.079,17.079,17.079,17.079,95,0.0,0.0,0.0,0.0,0.0
20181127,17.079,17.079,17.079,17.079,99,0.0,0.0,0.0,0.0,0.0
20181129,17.147,17.147,17.147,17.147,101,2035.0,0.0,0.4,0.068,0.0
20181204,17.211,17.151,17.211,17.151,1,0.0,0.35,0.02,0.004,0.0
20181207,17.151,17.151,17.151,17.151,1,0.0,0.0,0.0,0.0,0.0
20181213,17.339,17.33,17.33,17.33,25,0.0,0.0,1.04,0.179,0.0
20181217,17.365,17.33,17.365,17.33,243293,4946122.0,0.2,0.0,0.0,0.0
20181219,17.373,17.365,17.382,17.347,400,8131.0,0.2,0.2,0.035,0.0
20181220,17.365,17.39,17.39,17.39,35,0.0,0.0,0.14,0.025,0.0
20181221,17.45,17.51,17.57,17.45,6793,139153.0,0.69,0.69,0.12,0.0
20181224,17.433,17.433,17.433,17.433,95,0.0,0.0,-0.44,-0.077,0.0
20181226,17.329,17.363,17.363,17.329,100,2025.0,0.2,-0.4,-0.07,0.0
20181227,17.474,17.432,17.474,17.432,400,8163.0,0.24,0.4,0.069,0.0
20181228,17.543,17.5,17.594,17.483,1589,32554.0,0.64,0.39,0.068,0.0
20181231,17.491,17.483,17.491,17.483,248,5069.0,0.05,-0.1,-0.017,0.0
20190102,17.483,17.457,17.457,17.457,1,0.0,0.0,-0.15,-0.026,0.0
20190103,17.457,17.5,17.5,17.5,1,0.0,0.0,0.25,0.043,0.0
20190104,17.56,17.543,17.56,17.543,311,6381.0,0.1,0.25,0.043,0.0
20190107,17.603,17.56,17.603,17.56,696,14314.0,0.25,0.1,0.017,0.0
20190108,17.603,17.568,17.603,17.568,140,2879.0,0.2,0.05,0.008,0.0
20190109,17.568,17.611,17.611,17.611,48,0.0,0.0,0.24,0.043,0.0
20190110,17.611,17.543,17.543,17.543,76,0.0,0.0,-0.39,-0.068,0.0
20190111,17.628,17.517,17.637,17.491,645,13260.0,0.83,-0.15,-0.026,0.0
20190116,17.577,17.56,17.577,17.56,102,2095.0,0.1,0.25,0.043,0.0
20190117,17.594,17.577,17.594,17.577,146,3001.0,0.1,0.1,0.017,0.0
20190122,17.551,17.603,17.603,17.603,48,0.0,0.0,0.15,0.026,0.0
20190130,17.611,17.603,17.611,17.603,485,9980.0,0.05,0.0,0.0,0.0
20190201,17.712,17.669,17.712,17.669,100,2065.0,0.24,0.37,0.066,0.0
20190205,17.72,17.703,17.738,17.703,489,10105.0,0.2,0.19,0.034,0.0
20190206,17.729,17.703,17.892,17.703,9027,187582.0,1.07,0.0,0.0,0.0
20190207,17.875,17.712,17.875,17.712,1189,24620.0,0.92,0.05,0.009,0.0
20190208,17.729,17.712,17.729,17.712,245002,5064191.0,0.1,0.0,0.0,0.0
20190211,17.918,17.738,17.918,17.738,203,4240.0,1.02,0.15,0.026,0.0
20190212,17.738,17.72,17.72,17.72,1,0.0,0.0,-0.1,-0.018,0.0
20190213,17.78,17.755,17.798,17.755,943,19559.0,0.24,0.2,0.035,0.0
20190220,17.789,17.798,17.815,17.789,3200,66426.0,0.15,0.24,0.043,0.0
20190221,17.798,17.789,17.789,17.789,72,0.0,0.0,-0.05,-0.009,0.0
20190222,17.832,17.798,17.832,17.798,600,12463.0,0.19,0.05,0.009,0.0
20190226,17.875,17.858,17.883,17.849,1200,25006.0,0.19,0.34,0.06,0.0
20190227,17.875,17.738,17.875,17.738,865,18026.0,0.77,-0.67,-0.12,0.0
20190301,17.724,17.749,17.749,17.724,1369,28247.0,0.14,0.06,0.011,0.0
20190304,17.706,17.792,17.792,17.706,182,3749.0,0.48,0.24,0.043,0.0
20190305,17.818,17.749,17.818,17.749,671,13891.0,0.39,-0.24,-0.043,0.0
20190306,17.895,17.775,17.895,17.775,100,2082.0,0.68,0.15,0.026,0.0
20190307,17.827,17.818,17.956,17.818,3879,80858.0,0.78,0.24,0.043,0.0
20190311,17.801,17.818,17.818,17.818,47,0.0,0.0,0.0,0.0,0.0
20190312,17.818,17.818,17.818,17.818,1,0.0,0.0,0.0,0.0,0.0
20190313,17.749,17.818,17.818,17.732,683,14095.0,0.48,0.0,0.0,0.0
20190314,17.818,17.818,17.861,17.818,1200,24910.0,0.24,0.0,0.0,0.0
20190318,17.887,17.887,17.887,17.887,109,2268.0,0.0,0.39,0.069,0.0
20190320,17.887,17.895,17.895,17.895,167,0.0,0.0,0.04,0.008,0.0
20190321,17.93,17.999,17.999,17.93,2065,43084.0,0.39,0.58,0.104,0.0
20190326,17.999,17.981,17.981,17.981,20,0.0,0.0,-0.1,-0.018,0.0
20190327,18.119,18.11,18.127,18.11,1626,34285.0,0.09,0.72,0.129,0.0
20190328,18.11,18.033,18.033,18.033,68,0.0,0.0,-0.43,-0.077,0.0
20190329,18.033,18.024,18.024,18.024,5,0.0,0.0,-0.05,-0.009,0.0
20190402,18.107,18.004,18.116,18.004,522,10975.0,0.62,-0.11,-0.02,0.0
20190403,18.004,18.004,18.004,18.004,1,0.0,0.0,0.0,0.0,0.0
20190404,18.029,18.021,18.029,17.969,3806,79407.0,0.33,0.09,0.017,0.0
20190405,18.055,18.055,18.064,18.055,648,13585.0,0.05,0.19,0.034,0.0
20190408,18.021,18.064,18.064,18.021,502,10501.0,0.24,0.05,0.009,0.0
20190409,18.116,18.107,18.116,18.107,1335,28075.0,0.05,0.24,0.043,0.0
20190410,18.055,18.124,18.15,18.055,2453,51563.0,0.52,0.09,0.017,0.0
20190411,18.159,18.124,18.185,18.09,5594,117743.0,0.52,0.0,0.0,0.0
20190412,18.124,18.047,18.047,18.047,41,0.0,0.0,-0.42,-0.077,0.0
20190417,18.055,18.055,18.055,18.055,5,0.0,0.0,0.04,0.008,0.0
20190418,18.055,18.038,18.038,18.038,1,0.0,0.0,-0.09,-0.017,0.0
20190422,18.038,18.055,18.055,18.055,1,0.0,0.0,0.09,0.017,0.0
20190425,18.098,18.081,18.098,18.055,1923,40363.0,0.24,0.14,0.026,0.0
20190429,18.098,18.141,18.141,18.098,500,10511.0,0.24,0.33,0.06,0.0
20190501,18.225,18.2,18.234,18.2,462,9755.0,0.19,0.33,0.059,0.0
20190502,18.2,18.113,18.113,18.113,55,0.0,0.0,-0.48,-0.087,0.0
20190503,18.174,18.13,18.174,18.13,301,6336.0,0.24,0.09,0.017,0.0
20190506,18.355,18.174,18.355,18.174,200,4252.0,1.0,0.24,0.044,0.0
20190507,18.269,18.2,18.269,18.191,1058,22378.0,0.43,0.14,0.026,0.0
20190508,18.174,18.165,18.174,18.165,718,15110.0,0.05,-0.19,-0.035,0.0
20190510,18.251,18.251,18.251,18.251,108,0.0,0.0,0.47,0.086,0.0
20190513,18.329,18.26,18.329,18.26,902,19149.0,0.38,0.05,0.009,0.0
20190514,18.338,18.338,18.372,18.303,7234,153645.0,0.38,0.43,0.078,0.0
20190517,18.502,18.381,18.502,18.346,2841,60637.0,0.85,0.23,0.043,0.0
20190520,18.424,18.338,18.424,18.338,2303,49036.0,0.47,-0.23,-0.043,0.0
20190521,18.389,18.389,18.389,18.389,642,13674.0,0.0,0.28,0.051,0.0
20190522,18.398,18.381,18.415,18.372,970,20664.0,0.23,-0.04,-0.008,0.0
20190523,18.424,18.407,18.424,18.407,470,10029.0,0.09,0.14,0.026,0.0
20190524,18.424,18.407,18.441,18.407,3765,80318.0,0.18,0.0,0.0,0.0
20190528,18.381,18.355,18.381,18.355,1320,28102.0,0.14,-0.28,-0.052,0.0
20190529,18.355,18.381,18.381,18.381,38,0.0,0.0,0.14,0.026,0.0
20190531,18.441,18.476,18.476,18.441,3169,67733.0,0.19,0.52,0.095,0.0
20190603,18.428,18.419,18.428,18.419,100,2130.0,0.05,-0.31,-0.057,0.0
20190605,18.402,18.402,18.402,18.402,315,6699.0,0.0,-0.09,-0.017,0.0
20190606,18.454,18.411,18.454,18.411,500,10664.0,0.23,0.05,0.009,0.0
20190607,18.497,18.454,18.497,18.454,258,5516.0,0.23,0.23,0.043,0.0
20190610,18.272,18.428,18.428,18.272,420,8908.0,0.85,-0.14,-0.026,0.0
20190611,18.428,18.428,18.428,18.428,23,0.0,0.0,0.0,0.0,0.0
20190612,18.48,18.445,18.48,18.445,448,9568.0,0.19,0.09,0.017,0.0
20190613,18.462,18.419,18.462,18.411,1286,27426.0,0.28,-0.14,-0.026,0.0
20190614,18.385,18.411,18.411,18.385,185,3930.0,0.14,-0.04,-0.008,0.0
20190617,18.411,18.419,18.419,18.419,2,0.0,0.0,0.04,0.008,0.0
20190618,18.419,18.428,18.428,18.428,2,0.0,0.0,0.05,0.009,0.0
20190619,18.436,18.428,18.471,18.428,2444,52104.0,0.23,0.0,0.0,0.0
20190620,18.445,18.445,18.445,18.445,700,14924.0,0.0,0.09,0.017,0.0
20190621,18.497,18.462,18.497,18.462,725,15500.0,0.19,0.09,0.017,0.0
20190625,18.514,18.506,18.54,18.488,1077,23048.0,0.28,0.24,0.044,0.0
20190626,18.506,18.558,18.558,18.558,760,0.0,0.0,0.28,0.052,0.0
20190627,18.566,18.592,18.609,18.566,1060,22759.0,0.23,0.18,0.034,0.0
20190628,18.566,18.566,18.566,18.566,500,10730.0,0.0,-0.14,-0.026,0.0
20190701,18.642,18.529,18.642,18.529,8813,188824.0,0.61,-0.2,-0.037,0.0
20190702,18.59,18.538,18.59,18.538,341,7311.0,0.28,0.05,0.009,0.0
20190703,18.581,18.555,18.581,18.555,316,6771.0,0.14,0.09,0.017,0.0
20190705,18.555,18.546,18.546,18.546,1,0.0,0.0,-0.05,-0.009,0.0
20190708,18.546,18.555,18.555,18.555,18,0.0,0.0,0.05,0.009,0.0
20190709,18.555,18.564,18.564,18.564,51,0.0,0.0,0.05,0.009,0.0
20190710,18.616,18.616,18.616,18.616,271,5818.0,0.0,0.28,0.052,0.0
20190711,18.598,18.59,18.598,18.59,500,10725.0,0.04,-0.14,-0.026,0.0
20190712,18.304,18.59,18.702,18.304,3019,64241.0,2.14,0.0,0.0,0.0
20190715,18.59,18.616,18.616,18.616,46,0.0,0.0,0.14,0.026,0.0
20190716,18.659,18.668,18.685,18.65,4300,92565.0,0.19,0.28,0.052,0.0
20190717,18.668,18.659,18.694,18.659,1246,26834.0,0.19,-0.05,-0.009,0.0
20190718,18.659,18.659,18.702,18.659,1224,26391.0,0.23,0.0,0.0,0.0
20190719,18.616,18.616,18.616,18.616,107,2297.0,0.0,-0.23,-0.043,0.0
20190722,18.65,18.668,18.702,18.65,1312,28242.0,0.28,0.28,0.052,0.0
20190723,18.668,18.642,18.642,18.642,581,0.0,0.0,-0.14,-0.026,0.0
20190724,18.702,18.694,18.728,18.694,2423,52269.0,0.18,0.28,0.052,0.0
20190725,18.694,18.676,18.694,18.676,1269,27361.0,0.1,-0.1,-0.018,0.0
20190726,18.668,18.711,18.746,18.668,232510,5015366.0,0.42,0.19,0.035,0.0
20190729,18.694,18.702,18.737,18.694,1723,37194.0,0.23,-0.05,-0.009,0.0
20190730,18.702,18.728,18.728,18.702,300,6471.0,0.14,0.14,0.026,0.0
20190731,18.728,18.728,18.763,18.728,977,21112.0,0.19,0.0,0.0,0.0
20190802,18.705,18.74,18.74,18.74,240,0.0,0.0,0.06,0.012,0.0
20190805,18.835,18.844,18.879,18.835,314,6815.0,0.23,0.55,0.104,0.0
20190806,18.844,18.853,18.905,18.827,2836,61588.0,0.41,0.05,0.009,0.0
20190807,18.853,18.861,18.861,18.861,35,0.0,0.0,0.04,0.008,0.0
20190808,18.861,18.87,18.87,18.87,2,0.0,0.0,0.05,0.009,0.0
20190812,18.913,18.913,18.913,18.913,85,9192.0,0.0,0.23,0.043,0.0
20190813,18.931,18.922,18.931,18.922,826,18002.0,0.05,0.05,0.009,0.0
20190814,18.966,18.939,18.966,18.939,782,17070.0,0.14,0.09,0.017,0.0
20190816,18.966,18.974,18.974,18.966,623,13602.0,0.04,0.18,0.035,0.0
20190819,19.052,18.983,19.052,18.983,3179,69653.0,0.36,0.05,0.009,0.0
20190820,18.992,19.026,19.026,18.992,2273,49694.0,0.18,0.23,0.043,0.0
20190823,18.992,18.948,18.992,18.948,100,2186.0,0.23,-0.41,-0.078,0.0
20190826,19.044,18.983,19.044,18.974,5742,125600.0,0.37,0.18,0.035,0.0
20190827,19.0,18.983,19.0,18.983,500,10932.0,0.09,0.0,0.0,0.0
20190829,18.974,19.026,19.035,18.974,330,7223.0,0.32,0.23,0.043,0.0
20190830,19.018,19.009,19.018,19.009,269,5888.0,0.05,-0.09,-0.017,0.0
20190903,19.023,19.006,19.023,19.006,417,9111.0,0.09,-0.02,-0.003,0.0
20190904,19.058,19.04,19.058,19.04,152,3327.0,0.09,0.18,0.034,0.0
20190905,18.997,19.006,19.032,18.997,737,16095.0,0.18,-0.18,-0.034,0.0
20190906,18.962,18.988,19.023,18.962,3742,81666.0,0.32,-0.09,-0.018,0.0
20190909,18.988,18.971,18.988,18.971,1180,25738.0,0.09,-0.09,-0.017,0.0
20190910,18.971,18.936,18.936,18.936,1,0.0,0.0,-0.18,-0.035,0.0
20190911,18.953,18.927,18.953,18.91,1157,25183.0,0.23,-0.05,-0.009,0.0
20190912,18.884,18.884,18.884,18.884,950,20609.0,0.0,-0.23,-0.043,0.0
20190913,18.884,18.831,18.831,18.831,49,0.0,0.0,-0.28,-0.053,0.0
20190917,18.779,18.736,18.779,18.736,925,19952.0,0.23,-0.5,-0.095,0.0
20190918,18.718,18.753,18.788,18.718,1674,36060.0,0.37,0.09,0.017,0.0
20190923,18.788,18.823,18.858,18.788,1937,41906.0,0.37,0.37,0.07,0.0
20190924,18.866,18.866,18.866,18.788,611,13202.0,0.41,0.23,0.043,0.0
