trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20060621,240.422,240.422,240.422,240.422,200,0.0,0.0,0.0,0.0,0.0
20060622,242.311,243.045,243.64,242.311,2800,0.0,0.55,1.09,2.623,0.0
20060623,241.506,240.666,241.506,240.666,6600,0.0,0.35,-0.98,-2.379,0.0
20060626,240.142,240.037,241.366,240.037,21300,0.0,0.55,-0.26,-0.629,0.0
20060627,239.092,242.206,242.276,239.092,49000,0.0,1.33,0.9,2.169,0.0
20060628,241.716,242.241,243.815,241.541,58500,0.0,0.94,0.01,0.035,0.0
20060629,240.282,236.644,240.282,236.119,23000,0.0,1.72,-2.31,-5.597,0.0
20060630,234.37,233.321,235.314,233.076,62200,0.0,0.95,-1.4,-3.323,0.0
20060703,234.02,232.621,234.195,232.621,11200,0.0,0.67,-0.3,-0.7,0.0
20060705,234.335,236.154,237.448,234.335,42300,0.0,1.34,1.52,3.533,0.0
20060706,234.825,235.349,235.979,234.195,16800,0.0,0.76,-0.34,-0.805,0.0
20060707,235.944,237.378,238.183,235.454,66000,0.0,1.16,0.86,2.029,0.0
20060710,238.568,238.917,239.267,236.259,1058500,0.0,1.27,0.65,1.539,0.0
20060711,238.917,237.833,240.317,237.273,367100,0.0,1.27,-0.45,-1.084,0.0
20060712,236.574,240.666,240.841,236.574,90500,0.0,1.79,1.19,2.833,0.0
20060713,242.241,244.13,244.444,240.736,273800,0.0,1.54,1.44,3.464,0.0
20060714,245.739,246.543,248.187,244.654,291500,0.0,1.45,0.99,2.413,0.0
20060717,246.263,247.453,248.257,245.319,82000,0.0,1.19,0.37,0.91,0.0
20060718,245.914,247.767,250.706,245.914,351900,0.0,1.94,0.13,0.314,0.0
20060719,247.138,241.716,247.138,241.156,248600,0.0,2.41,-2.44,-6.051,0.0
20060720,241.016,247.593,247.593,240.666,262300,0.0,2.87,2.43,5.877,0.0
20060721,249.237,251.021,251.86,248.712,339900,0.0,1.27,1.38,3.428,0.0
20060724,248.362,245.739,249.132,245.739,197900,0.0,1.35,-2.1,-5.282,0.0
20060725,245.739,242.485,246.158,241.366,134900,0.0,1.95,-1.32,-3.254,0.0
20060726,242.241,243.15,245.319,241.576,88500,0.0,1.54,0.27,0.665,0.0
20060727,241.436,245.599,246.193,240.666,212900,0.0,2.27,1.01,2.449,0.0
20060728,244.864,241.716,244.864,240.946,96800,0.0,1.6,-1.58,-3.883,0.0
20060731,241.716,241.226,242.45,240.317,72200,0.0,0.88,-0.2,-0.49,0.0
20060801,242.94,243.29,245.284,241.366,73800,0.0,1.62,0.86,2.064,0.0
20060802,241.541,241.891,242.555,240.002,57500,0.0,1.05,-0.58,-1.399,0.0
20060803,243.92,239.617,244.164,239.267,117000,0.0,2.02,-0.94,-2.274,0.0
20060804,237.343,241.016,242.59,235.944,246800,0.0,2.77,0.58,1.399,0.0
20060807,242.555,243.465,243.92,242.031,132300,0.0,0.78,1.02,2.449,0.0
