trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240626,50.0,50.53,50.54,50.0,302558,15153931.0,1.08,1.06,0.53,0.0
20240627,50.5,50.56,50.7,50.463,1491118,75329760.0,0.47,0.06,0.03,0.0
20240628,50.56,49.49,50.56,48.93,441927,21831676.0,3.22,-2.12,-1.07,0.0
20240701,49.7,48.825,49.71,48.8,108918,5358698.0,1.84,-1.34,-0.665,0.0
20240702,48.9,49.12,49.22,48.68,208443,10216971.0,1.11,0.6,0.295,0.0
20240703,49.4,49.75,49.9,49.4,3616,180186.0,1.02,1.28,0.63,0.0
20240705,49.99,50.06,50.39,49.8,1827805,91085681.0,1.19,0.62,0.31,0.0
20240708,50.08,50.0,50.15,49.7,261915,13083829.0,0.9,-0.12,-0.06,0.0
20240709,49.92,50.01,50.25,49.74,21017,1051053.0,1.02,0.02,0.01,0.0
20240710,49.97,50.2,50.4,49.8,1525222,76627624.0,1.2,0.38,0.19,0.0
20240711,50.22,50.81,51.48,50.2,2214962,112937862.0,2.55,1.22,0.61,0.0
20240712,51.0,51.79,53.18,51.0,176317,9223115.0,4.29,1.93,0.98,0.0
20240715,50.7,49.33,50.76,49.33,762013,37972828.0,2.76,-4.75,-2.46,0.0
20240716,49.54,49.93,49.93,49.54,673473,33520766.0,0.79,1.22,0.6,0.0
20240717,49.57,49.1,49.62,49.1,245033,12121012.0,1.04,-1.66,-0.83,0.0
20240718,49.37,49.75,49.78,49.37,57118,2837811.0,0.84,1.32,0.65,0.0
20240719,50.005,49.85,50.19,49.6,15793,785686.0,1.19,0.2,0.1,0.0
20240722,50.24,50.26,50.62,50.17,17057,857966.0,0.9,0.82,0.41,0.0
20240723,50.1,49.87,50.8,49.84,294224,14757736.0,1.91,-0.78,-0.39,0.0
20240724,50.28,51.6,51.82,50.02,283675,14441398.0,3.61,3.47,1.73,0.0
20240725,51.54,50.68,51.54,50.61,1086299,55397983.0,1.8,-1.78,-0.92,0.0
20240726,51.1,51.11,51.11,50.79,15073,768268.0,0.63,0.85,0.43,0.0
20240729,51.09,51.14,51.14,50.88,202341,10334146.0,0.51,0.06,0.03,0.0
20240730,50.656,50.94,51.02,50.656,726147,36910154.0,0.71,-0.39,-0.2,0.0
20240731,51.49,52.05,52.42,51.26,7161434,372877152.0,2.28,2.18,1.11,0.0
20240801,51.7,52.86,52.9,51.64,88497,4608872.0,2.42,1.56,0.81,0.0
20240802,53.48,53.175,53.55,52.62,87756,4638067.0,1.76,0.6,0.315,0.0
20240805,52.43,51.93,52.56,51.745,1370825,71550359.0,1.53,-2.34,-1.245,0.0
20240806,51.78,52.39,52.68,51.78,1473017,77143452.0,1.73,0.89,0.46,0.0
20240807,52.79,52.96,52.96,52.43,1754107,92396587.0,1.01,1.09,0.57,0.0
20240808,51.92,52.23,52.75,51.37,204481,10666255.0,2.61,-1.38,-0.73,0.0
20240809,53.19,52.585,53.19,51.99,15568,814583.0,2.3,0.68,0.355,0.0
20240812,52.08,52.22,52.35,52.08,8038,419797.0,0.51,-0.69,-0.365,0.0
20240813,52.595,52.63,52.8,52.595,24377,1286015.0,0.39,0.79,0.41,0.0
20240814,52.41,52.89,52.916,52.41,13176,694819.0,0.96,0.49,0.26,0.0
20240815,52.44,52.49,52.54,52.4,708051,37130173.0,0.26,-0.76,-0.4,0.0
20240816,52.77,52.95,53.06,52.7,1305495,69015365.0,0.69,0.88,0.46,0.0
20240819,53.42,53.35,53.42,53.125,21072,1122550.0,0.56,0.76,0.4,0.0
20240820,53.36,53.16,53.78,53.16,499167,26660805.0,1.16,-0.36,-0.19,0.0
20240821,53.49,53.26,54.55,53.26,78984,4243214.0,2.43,0.19,0.1,0.0
20240822,53.27,52.92,53.3,52.92,62055,3294028.0,0.71,-0.64,-0.34,0.0
20240823,53.54,53.29,53.77,53.29,111008,5946740.0,0.91,0.7,0.37,0.0
20240826,53.88,53.93,54.05,53.81,3911,210639.0,0.45,1.2,0.64,0.0
20240827,54.21,53.36,54.21,53.35,178698,9563948.0,1.59,-1.06,-0.57,0.0
