trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20241209,12.0,8.5,12.29,7.65,116167,1067691.0,0.0,0.0,0.0,0.88
20241210,9.0,5.73,9.0,4.63,650354,3740354.0,51.41,-32.59,-2.77,4.94
20241211,5.52,5.21,5.75,3.61,376400,1769182.0,37.35,-9.08,-0.52,2.86
20241212,5.06,4.43,5.1,4.033,247834,1120940.0,20.48,-14.97,-0.78,1.88
20241213,4.13,3.41,4.39,3.15,154717,584426.0,27.99,-23.02,-1.02,1.18
20241216,3.58,2.4,3.58,2.4,336423,919728.0,34.6,-29.62,-1.01,2.56
20241217,2.72,3.15,3.3,2.21,621894,1795630.0,45.42,31.25,0.75,4.72
20241218,3.19,2.95,3.24,2.75,195200,592469.0,15.56,-6.35,-0.2,1.48
20241219,2.85,2.65,3.0,2.57,174573,489930.0,14.58,-10.17,-0.3,1.33
20241220,2.73,2.86,2.95,2.59,189793,529833.0,13.58,7.92,0.21,1.44
20241223,2.97,2.8,3.07,2.73,151010,430110.0,11.89,-2.1,-0.06,1.15
20241224,2.78,2.73,2.82,2.6,88518,242324.0,7.86,-2.5,-0.07,0.67
20241226,2.88,3.6,4.25,2.7,1165604,4147175.0,56.78,31.87,0.87,8.85
20241227,3.87,3.81,4.25,3.685,587486,2305364.0,15.69,5.83,0.21,4.46
20241230,3.96,4.9,4.95,3.8,565569,2446842.0,30.18,28.61,1.09,4.3
20241231,5.53,6.0,7.87,5.35,1898412,12057076.0,51.43,22.45,1.1,14.61
20250102,6.49,4.89,6.775,3.91,1247315,6053297.0,47.75,-18.5,-1.11,9.6
20250103,4.31,4.2,4.78,3.76,669348,2779588.0,20.86,-14.11,-0.69,5.15
20250106,4.85,5.05,5.71,4.7,1180133,6162664.0,24.05,20.24,0.85,9.08
20250107,5.0,4.63,5.14,4.35,294066,1381707.0,15.64,-8.32,-0.42,2.26
