trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-21.295,-21.14,-21.14,-21.295,6200,0.0,0.0,0.0,0.0,0.18
20010103,-21.14,-21.14,-21.14,-21.14,3800,0.0,0.0,0.0,0.0,0.11
20010104,-21.14,-21.14,-21.14,-21.14,2000,0.0,0.0,0.0,0.0,0.06
20010105,-21.14,-20.89,-20.89,-21.14,8200,0.0,-1.18,1.18,0.25,0.23
20010108,-20.89,-20.67,-20.64,-20.89,6600,0.0,-1.2,1.05,0.22,0.19
20010111,-20.795,-20.78,-20.78,-20.795,3600,0.0,-0.07,-0.53,-0.11,0.1
20010112,-20.78,-20.95,-20.78,-20.95,3800,0.0,-0.82,-0.82,-0.17,0.11
20010116,-20.735,-20.735,-20.735,-20.735,800,0.0,0.0,1.03,0.215,0.02
20010117,-20.95,-21.015,-20.95,-21.015,14800,0.0,-0.31,-1.35,-0.28,0.42
20010122,-21.03,-21.125,-21.03,-21.125,1000,0.0,-0.45,-0.52,-0.11,0.03
20010124,-20.985,-20.985,-20.985,-20.985,1000,0.0,0.0,0.66,0.14,0.03
20010125,-20.83,-20.83,-20.83,-20.83,2200,0.0,0.0,0.74,0.155,0.06
20010126,-20.83,-20.795,-20.795,-20.83,2400,0.0,-0.17,0.17,0.035,0.07
20010130,-20.86,-20.89,-20.86,-20.89,3200,0.0,-0.14,-0.46,-0.095,0.09
20010205,-20.83,-20.64,-20.64,-20.83,2200,0.0,-0.91,1.2,0.25,0.06
20010206,-20.83,-20.765,-20.765,-20.83,2600,0.0,-0.31,-0.61,-0.125,0.07
20010208,-20.765,-20.765,-20.765,-20.765,200,0.0,0.0,0.0,0.0,0.01
20010209,-20.86,-20.86,-20.86,-20.86,200,0.0,0.0,-0.46,-0.095,0.01
20010212,-20.86,-20.89,-20.86,-20.89,800,0.0,-0.14,-0.14,-0.03,0.02
20010213,-20.86,-20.86,-20.86,-20.86,800,0.0,0.0,0.14,0.03,0.02
20010214,-20.765,-20.86,-20.765,-20.86,11400,0.0,-0.46,0.0,0.0,0.32
20010221,-20.64,-20.64,-20.64,-20.64,600,0.0,0.0,1.05,0.22,0.02
20010222,-20.765,-20.765,-20.64,-20.765,3200,0.0,-0.61,-0.61,-0.125,0.09
20010223,-20.765,-20.83,-20.765,-20.83,2000,0.0,-0.31,-0.31,-0.065,0.06
20010226,-20.83,-20.64,-20.64,-20.83,1200,0.0,-0.91,0.91,0.19,0.03
