trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190725,11.05,11.25,11.64,10.51,4530781,50601565.0,0.0,0.0,0.0,5.45
20190726,11.35,11.44,11.78,11.12,1166274,13437523.0,5.87,1.69,0.19,1.4
20190729,11.29,11.2,11.65,10.98,324987,3634022.0,5.86,-2.1,-0.24,0.39
20190730,11.15,11.35,11.4,10.99,513788,5776800.0,3.66,1.34,0.15,0.62
20190731,11.36,11.25,11.42,11.01,264216,2967688.0,3.61,-0.88,-0.1,0.32
20190801,11.3,11.39,11.75,11.03,872408,9960628.0,6.4,1.24,0.14,1.05
20190802,11.38,11.52,11.59,11.16,174504,2008376.0,3.78,1.14,0.13,0.21
20190805,11.45,10.81,11.5,10.61,373125,4071550.0,7.73,-6.16,-0.71,0.45
20190806,10.82,10.99,11.3,10.82,109887,1206952.0,4.44,1.67,0.18,0.13
20190807,10.95,11.04,11.39,10.57,272532,3033513.0,7.46,0.45,0.05,0.33
20190808,11.13,11.31,11.4,11.09,347940,3924056.0,2.81,2.45,0.27,0.42
20190809,11.03,11.75,11.95,11.0,323857,3791066.0,8.4,3.89,0.44,0.39
20190812,11.7,11.73,11.77,11.22,546866,6393267.0,4.68,-0.17,-0.02,0.66
20190813,11.73,11.92,11.95,11.73,138923,1647732.0,1.88,1.62,0.19,0.17
20190814,11.91,11.87,12.0,11.55,805343,9565446.0,3.78,-0.42,-0.05,0.97
20190815,11.98,11.07,11.98,10.7,361526,3986681.0,10.78,-6.74,-0.8,0.43
20190816,10.89,11.04,11.47,10.71,392049,4303378.0,6.87,-0.27,-0.03,0.47
20190819,11.47,11.21,11.98,11.05,287642,3249247.0,8.42,1.54,0.17,0.34
20190820,11.51,10.36,11.76,10.0,485835,5119360.0,15.7,-7.58,-0.85,0.58
20190821,10.45,10.16,10.46,9.85,243589,2453539.0,5.89,-1.93,-0.2,0.29
20190822,10.09,9.44,10.26,9.38,369852,3588028.0,8.66,-7.09,-0.72,0.44
20190823,9.42,8.66,9.7,8.56,318804,2861894.0,12.08,-8.26,-0.78,0.38
20190826,8.64,8.67,8.71,8.01,379611,3182970.0,8.08,0.12,0.01,0.45
20190827,8.61,9.15,9.24,8.3,391821,3494071.0,10.84,5.54,0.48,0.47
20190828,9.19,10.16,10.59,9.08,506076,5092987.0,16.5,11.04,1.01,0.6
20190829,10.3,10.32,10.5,9.55,259985,2651676.0,9.35,1.57,0.16,0.31
20190830,10.26,10.56,10.66,10.13,74879,778598.0,5.14,2.33,0.24,0.09
20190903,10.57,10.76,11.22,10.55,402775,4383810.0,6.34,1.89,0.2,0.48
20190904,10.86,10.83,11.0,10.61,229306,2472575.0,3.62,0.65,0.07,0.27
20190905,10.93,11.01,11.32,10.53,231742,2540080.0,7.29,1.66,0.18,0.28
20190906,10.95,11.52,11.88,10.91,191538,2199932.0,8.81,4.63,0.51,0.23
20190909,11.53,10.68,11.53,10.51,331090,3631064.0,8.85,-7.29,-0.84,0.39
