trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150423,-2.6,-2.6,-2.08,-2.9,11164695,0.0,-31.54,0.0,0.0,26.5
20150424,-2.62,-2.5,-2.44,-2.79,795288,0.0,-13.46,3.85,0.1,1.89
20150427,-2.49,-2.46,-2.44,-2.59,292447,0.0,-6.0,1.6,0.04,0.69
20150428,-2.53,-2.4,-2.37,-2.53,401473,0.0,-6.5,2.44,0.06,0.95
20150429,-2.54,-2.53,-2.41,-2.54,233901,0.0,-5.42,-5.42,-0.13,0.56
20150430,-2.55,-2.77,-2.53,-2.82,237739,0.0,-11.46,-9.49,-0.24,0.56
20150501,-2.67,-2.58,-2.58,-2.9,233741,0.0,-11.55,6.86,0.19,0.55
20150504,-2.58,-2.6,-2.58,-2.74,81259,0.0,-6.2,-0.78,-0.02,0.19
20150505,-2.64,-2.58,-2.58,-2.74,235378,0.0,-6.15,0.77,0.02,0.56
20150506,-2.58,-2.67,-2.51,-2.7,214532,0.0,-7.36,-3.49,-0.09,0.51
20150507,-2.77,-2.7,-2.65,-2.77,80771,0.0,-4.49,-1.12,-0.03,0.19
20150508,-2.77,-2.61,-2.59,-2.77,357201,0.0,-6.67,3.33,0.09,0.85
20150511,-2.68,-2.53,-2.41,-2.69,279143,0.0,-10.73,3.07,0.08,0.66
20150512,-2.6,-2.52,-2.5,-2.7,242304,0.0,-7.91,0.4,0.01,0.58
20150513,-2.49,-2.51,-2.45,-2.57,408215,0.0,-4.76,0.4,0.01,0.97
20150514,-2.55,-2.48,-2.46,-2.63,92929,0.0,-6.77,1.2,0.03,0.22
20150515,-2.41,-2.36,-2.33,-2.49,209974,0.0,-6.45,4.84,0.12,0.5
20150518,-2.25,-2.13,-1.95,-2.4,250741,0.0,-19.07,9.75,0.23,0.6
20150519,-2.06,-1.94,-1.89,-2.16,328237,0.0,-12.68,8.92,0.19,0.78
20150520,-1.89,-1.98,-1.86,-2.03,168925,0.0,-8.76,-2.06,-0.04,0.4
