trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160506,22.0,22.1,24.0,21.0,5024936,0.0,16.67,22.78,4.1,14.32
20160509,22.9,24.0,24.24,22.7,777938,0.0,6.97,8.6,1.9,2.22
20160510,24.58,25.75,26.0,24.5,656365,0.0,6.25,7.29,1.75,1.87
20160511,26.1,25.25,26.25,25.06,377679,0.0,4.62,-1.94,-0.5,1.05
20160512,25.29,23.54,26.0,23.54,588153,0.0,9.74,-6.77,-1.71,1.63
20160513,23.33,23.39,24.0,22.56,208534,0.0,6.12,-0.64,-0.15,0.58
20160516,23.55,24.98,25.13,23.55,281313,0.0,6.76,6.8,1.59,0.78
20160517,25.0,26.29,26.4,24.8,420707,0.0,6.41,5.24,1.31,1.17
20160518,26.07,27.69,28.07,26.07,335703,0.0,7.61,5.33,1.4,0.93
20160519,27.64,26.54,27.99,25.3,231848,0.0,9.71,-4.15,-1.15,0.64
20160520,26.75,27.14,27.55,26.75,145238,0.0,3.01,2.26,0.6,0.4
20160523,27.7,28.29,28.5,27.15,245671,0.0,4.97,4.24,1.15,0.68
20160524,28.4,28.82,29.09,27.5,454214,0.0,5.62,1.87,0.53,1.26
20160525,29.38,29.14,29.8,28.79,169065,0.0,3.5,1.11,0.32,0.47
20160526,29.46,29.0,29.63,28.23,263900,0.0,4.8,-0.48,-0.14,0.73
20160527,29.49,29.5,29.69,28.76,269044,0.0,3.21,1.72,0.5,0.75
20160531,29.98,29.57,30.4,29.12,396062,0.0,4.34,0.24,0.07,1.1
20160601,29.36,29.13,29.8,29.05,172969,0.0,2.54,-1.49,-0.44,0.48
20160602,28.79,28.39,29.17,27.01,540241,0.0,7.42,-2.54,-0.74,1.5
20160603,28.37,28.8,29.0,27.08,319465,0.0,6.76,1.44,0.41,0.89
20160606,29.68,29.27,29.74,29.01,142066,0.0,2.53,1.63,0.47,0.39
20160607,29.02,28.51,29.35,27.08,426482,0.0,7.76,-2.6,-0.76,1.18
20160608,28.85,28.35,29.0,28.03,151276,0.0,3.4,-0.56,-0.16,0.42
20160609,28.01,27.02,28.5,26.85,239784,0.0,5.82,-4.69,-1.33,0.67
20160610,26.66,27.04,27.6,26.25,221307,0.0,5.0,0.07,0.02,0.61
20160613,27.07,26.61,28.0,26.29,263252,0.0,6.32,-1.59,-0.43,0.73
20160614,26.19,26.75,27.03,25.0,399659,0.0,7.63,0.53,0.14,1.11
20160615,26.89,26.43,27.44,26.25,189367,0.0,4.45,-1.2,-0.32,0.53
20160616,26.62,26.56,26.98,26.0,142024,0.0,3.71,0.49,0.13,0.39
20160617,26.75,27.1,27.28,26.5,633440,0.0,2.94,2.03,0.54,1.76
20160620,27.55,27.61,27.77,27.22,175616,0.0,2.03,1.88,0.51,0.49
20160621,27.5,26.35,27.5,25.33,187207,0.0,7.86,-4.56,-1.26,0.52
20160622,26.75,26.54,27.12,25.9,226803,0.0,4.63,0.72,0.19,0.63
20160623,26.81,26.46,27.2,26.0,155765,0.0,4.52,-0.3,-0.08,0.43
20160624,26.54,26.17,27.0,25.57,984188,0.0,5.4,-1.1,-0.29,2.73
20160627,26.15,25.85,27.0,25.84,64960,0.0,4.43,-1.22,-0.32,0.18
20160628,25.7,24.59,26.97,24.37,148691,0.0,10.06,-4.87,-1.26,0.41
20160629,24.76,22.7,24.92,21.77,368744,0.0,12.81,-7.69,-1.89,1.02
20160630,22.7,21.35,22.89,20.7,297123,0.0,9.65,-5.95,-1.35,0.83
20160701,21.29,21.02,21.84,20.87,115746,0.0,4.54,-1.55,-0.33,0.32
20160705,20.68,19.86,21.03,19.52,171669,0.0,7.18,-5.52,-1.16,0.48
20160706,19.71,19.2,19.88,18.75,208513,0.0,5.69,-3.32,-0.66,0.58
20160707,19.03,19.01,19.59,18.65,222237,0.0,4.9,-0.99,-0.19,0.62
20160708,19.21,19.51,20.05,18.88,136251,0.0,6.15,2.63,0.5,0.38
20160711,19.54,19.93,20.25,19.54,125158,0.0,3.64,2.15,0.42,0.35
20160712,19.96,19.68,20.25,19.55,120502,0.0,3.51,-1.25,-0.25,0.33
20160713,19.8,18.82,19.84,18.81,128395,0.0,5.23,-4.37,-0.86,0.36
20160714,18.81,18.29,19.61,18.22,144003,0.0,7.39,-2.82,-0.53,0.4
20160715,18.33,17.7,18.55,17.53,154681,0.0,5.58,-3.23,-0.59,0.43
20160718,17.61,17.68,17.84,17.05,130668,0.0,4.46,-0.11,-0.02,0.36
20160719,17.61,17.28,17.79,17.21,130198,0.0,3.28,-2.26,-0.4,0.36
20160720,17.25,17.91,18.21,17.18,104485,0.0,5.96,3.65,0.63,0.29
20160721,18.02,19.31,19.63,18.0,345824,0.0,9.1,7.82,1.4,0.96
20160722,19.6,18.5,20.64,18.35,279423,0.0,11.86,-4.19,-0.81,0.78
20160725,18.62,18.6,19.47,18.51,129256,0.0,5.19,0.54,0.1,0.36
20160726,18.6,17.57,18.77,17.5,122966,0.0,6.83,-5.54,-1.03,0.34
20160727,17.55,18.45,18.52,17.26,132005,0.0,7.17,5.01,0.88,0.37
20160728,18.54,18.95,19.09,17.36,565072,0.0,9.38,2.71,0.5,1.57
20160729,19.34,18.92,19.69,18.9,172717,0.0,4.17,-0.16,-0.03,0.48
20160801,19.49,18.56,19.49,18.51,143959,0.0,5.18,-1.9,-0.36,0.4
20160802,18.6,17.95,18.6,17.56,141613,0.0,5.6,-3.29,-0.61,0.39
20160803,17.95,17.71,17.97,17.6,77811,0.0,2.06,-1.34,-0.24,0.22
20160804,17.82,17.66,18.1,17.51,51709,0.0,3.33,-0.28,-0.05,0.14
20160805,19.07,20.19,20.3,18.18,579771,0.0,12.0,14.33,2.53,1.61
20160808,20.5,19.37,20.52,19.27,158494,0.0,6.19,-4.06,-0.82,0.44
20160809,19.34,18.76,19.35,18.5,210162,0.0,4.39,-3.15,-0.61,0.58
20160810,18.81,17.92,19.13,17.73,315234,0.0,7.46,-4.48,-0.84,0.88
20160811,18.12,17.87,18.52,17.65,147424,0.0,4.85,-0.28,-0.05,0.41
20160812,17.92,18.34,18.4,17.87,89813,0.0,2.97,2.63,0.47,0.25
20160815,18.83,18.94,19.02,18.35,208771,0.0,3.65,3.27,0.6,0.58
20160816,18.93,21.69,21.97,18.75,315746,0.0,17.0,14.52,2.75,0.88
20160817,21.94,23.15,23.42,21.08,281502,0.0,10.79,6.73,1.46,0.78
20160818,22.61,22.79,23.0,22.2,105222,0.0,3.46,-1.56,-0.36,0.29
20160819,23.25,22.3,23.67,21.9,162974,0.0,7.77,-2.15,-0.49,0.45
20160822,22.45,22.54,23.46,22.31,241807,0.0,5.16,1.08,0.24,0.67
20160823,22.77,24.5,24.66,22.75,270681,0.0,8.47,8.7,1.96,0.75
20160824,24.54,21.08,24.9,21.03,844993,0.0,15.8,-13.96,-3.42,2.35
20160825,21.0,21.16,24.15,20.66,637867,0.0,16.56,0.38,0.08,1.77
20160826,21.3,20.93,22.28,20.08,357069,0.0,10.4,-1.09,-0.23,0.99
20160829,21.11,19.91,21.33,19.68,229457,0.0,7.88,-4.87,-1.02,0.64
20160830,20.0,20.1,20.84,19.53,247656,0.0,6.58,0.95,0.19,0.69
20160831,20.0,19.45,20.03,19.21,150395,0.0,4.08,-3.23,-0.65,0.42
20160901,19.53,19.87,19.97,19.2,78756,0.0,3.96,2.16,0.42,0.22
20160902,19.77,19.81,20.38,19.67,78251,0.0,3.57,-0.3,-0.06,0.22
20160906,19.94,19.76,20.12,19.07,186752,0.0,5.3,-0.25,-0.05,0.52
20160907,19.82,19.84,20.05,19.33,105526,0.0,3.64,0.4,0.08,0.29
20160908,19.87,21.8,21.97,19.68,256766,0.0,11.54,9.88,1.96,0.71
20160909,21.85,21.09,21.99,20.61,202670,0.0,6.33,-3.26,-0.71,0.56
20160912,21.06,20.66,21.17,20.25,124169,0.0,4.36,-2.04,-0.43,0.34
20160913,20.48,19.8,20.62,19.52,90324,0.0,5.32,-4.16,-0.86,0.25
20160914,19.94,20.39,20.78,19.77,108079,0.0,5.1,2.98,0.59,0.3
20160915,20.5,19.74,21.28,19.5,404875,0.0,8.73,-3.19,-0.65,1.12
20160916,19.66,19.72,19.97,19.02,353138,0.0,4.81,-0.1,-0.02,0.98
20160919,19.72,19.06,20.0,18.97,142354,0.0,5.22,-3.35,-0.66,0.4
20160920,19.25,19.28,19.41,19.03,93270,0.0,1.99,1.15,0.22,0.26
20160921,19.28,18.7,19.31,18.22,894046,0.0,5.65,-3.01,-0.58,2.48
20160922,18.9,18.0,19.67,17.82,479634,0.0,9.89,-3.74,-0.7,1.33
20160923,17.89,17.3,18.06,17.28,290399,0.0,4.33,-3.89,-0.7,0.81
20160926,17.42,16.9,17.67,16.85,181887,0.0,4.74,-2.31,-0.4,0.51
20160927,16.95,16.91,17.24,16.75,96309,0.0,2.9,0.06,0.01,0.27
20160928,17.0,17.02,17.24,16.6,100424,0.0,3.78,0.65,0.11,0.28
20160929,17.51,17.0,18.5,16.75,792675,0.0,10.28,-0.12,-0.02,2.2
20160930,17.13,17.02,17.2,16.75,173774,0.0,2.65,0.12,0.02,0.48
20161003,17.0,16.69,17.15,16.6,154288,0.0,3.23,-1.94,-0.33,0.43
20161004,16.76,16.49,17.09,16.41,162759,0.0,4.07,-1.2,-0.2,0.45
20161005,16.46,17.34,18.21,16.07,1673320,0.0,12.98,5.15,0.85,4.65
20161006,17.5,16.54,17.5,16.44,595622,0.0,6.11,-4.61,-0.8,1.65
20161007,16.48,15.1,16.6,14.88,871506,0.0,10.4,-8.71,-1.44,2.42
20161010,15.01,14.44,15.72,14.29,615949,0.0,9.47,-4.37,-0.66,1.71
20161011,14.36,13.11,14.44,13.1,340314,0.0,9.28,-9.21,-1.33,0.95
20161012,13.1,12.35,13.15,12.27,558452,0.0,6.71,-5.8,-0.76,1.55
20161013,12.4,13.57,14.35,12.4,583053,0.0,15.79,9.88,1.22,1.62
20161014,13.53,12.86,13.91,12.79,401476,0.0,8.25,-5.23,-0.71,1.12
20161017,13.11,12.37,13.2,12.37,171476,0.0,6.45,-3.81,-0.49,0.48
20161018,12.53,12.02,12.79,11.86,448571,0.0,7.52,-2.83,-0.35,1.25
20161019,11.99,12.61,12.89,11.9,351134,0.0,8.24,4.91,0.59,0.98
20161020,12.59,12.46,12.79,12.07,322562,0.0,5.71,-1.19,-0.15,0.9
20161021,12.42,13.78,13.96,12.22,536765,0.0,13.96,10.59,1.32,1.49
20161024,13.96,15.05,15.39,13.8,390592,0.0,11.54,9.22,1.27,1.09
20161025,15.01,13.8,15.24,13.52,316810,0.0,11.43,-8.31,-1.25,0.88
20161026,13.81,14.17,14.4,13.63,235618,0.0,5.58,2.68,0.37,0.65
20161027,14.33,12.9,14.5,12.75,212135,0.0,12.35,-8.96,-1.27,0.59
20161028,13.02,12.96,13.2,12.81,171476,0.0,3.02,0.47,0.06,0.48
20161031,13.13,13.78,13.94,13.13,232945,0.0,6.25,6.33,0.82,0.65
20161101,13.85,13.59,13.94,13.4,126801,0.0,3.92,-1.38,-0.19,0.35
20161102,13.6,12.99,13.6,12.52,257365,0.0,7.95,-4.42,-0.6,0.71
20161103,12.89,13.05,13.28,12.64,260501,0.0,4.93,0.46,0.06,0.72
20161104,13.14,13.93,14.06,13.11,249656,0.0,7.28,6.74,0.88,0.69
20161107,14.31,14.67,14.97,14.01,220889,0.0,6.89,5.31,0.74,0.61
20161108,14.67,14.81,15.08,14.17,166094,0.0,6.2,0.95,0.14,0.46
20161109,14.95,14.4,15.19,14.34,331706,0.0,5.74,-2.77,-0.41,0.92
20161110,14.69,14.39,14.91,14.34,236386,0.0,3.96,-0.07,-0.01,0.66
20161111,14.37,14.8,14.97,14.22,231020,0.0,5.21,2.85,0.41,0.64
20161114,14.9,16.25,16.48,14.87,363945,0.0,10.88,9.8,1.45,1.01
20161115,16.14,18.11,19.66,16.14,604329,0.0,21.66,11.45,1.86,1.68
20161116,18.21,17.54,18.98,17.44,266287,0.0,8.5,-3.15,-0.57,0.74
20161117,18.0,16.61,18.12,16.56,363998,0.0,8.89,-5.3,-0.93,1.01
20161118,16.66,16.74,16.92,16.18,198056,0.0,4.46,0.78,0.13,0.55
