trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210520,35.948,36.049,36.049,36.049,2056,82318.0,0.0,0.28,0.101,0.0
20210521,36.083,36.12,36.12,36.083,3874,155378.0,0.1,0.2,0.071,0.0
20210524,36.343,36.322,36.397,36.322,1036,41881.0,0.21,0.56,0.202,0.0
20210525,36.704,36.379,36.704,36.379,268,10931.0,0.89,0.16,0.057,0.0
20210526,36.353,36.376,36.416,36.353,2582,104342.0,0.17,-0.01,-0.003,0.0
20210527,36.433,36.391,36.434,36.362,11634,470329.0,0.2,0.04,0.015,0.0
20210528,36.537,36.506,36.578,36.506,3664,148879.0,0.2,0.32,0.115,0.0
20210601,36.538,36.538,36.538,36.538,118,4791.0,0.0,0.09,0.032,0.0
20210602,36.739,36.695,36.74,36.686,1910,77942.0,0.15,0.43,0.157,0.0
20210603,36.461,36.494,36.501,36.461,2552,103494.0,0.11,-0.55,-0.201,0.0
20210604,36.838,36.861,36.91,36.838,772,31630.0,0.2,1.01,0.367,0.0
20210607,36.897,36.936,36.973,36.897,4994,204964.0,0.21,0.2,0.075,0.0
20210608,37.027,36.98,37.054,36.98,500,20582.0,0.2,0.12,0.044,0.0
20210609,37.0,36.968,37.009,36.968,1162,47785.0,0.11,-0.03,-0.012,0.0
20210610,36.991,37.083,37.198,36.982,9965,410732.0,0.58,0.31,0.115,0.0
20210611,37.117,37.117,37.117,37.09,397,16371.0,0.07,0.09,0.034,0.0
20210614,37.009,37.08,37.081,36.915,2260,92906.0,0.45,-0.1,-0.037,0.0
20210615,37.147,37.147,37.147,37.147,73,3013.0,0.0,0.18,0.067,0.0
20210616,37.248,36.882,37.248,36.882,1253,51573.0,0.99,-0.71,-0.265,0.0
20210617,36.749,36.672,36.749,36.672,635,25925.0,0.21,-0.57,-0.21,0.0
20210618,36.092,36.101,36.146,36.092,1151,46184.0,0.15,-1.56,-0.571,0.0
20210621,36.421,36.421,36.421,36.421,27,1092.0,0.0,0.89,0.32,0.0
20210622,36.483,36.483,36.483,36.483,29,1175.0,0.0,0.17,0.062,0.0
20210623,36.344,36.197,36.344,36.197,499,20154.0,0.4,-0.78,-0.286,0.0
20210624,36.577,36.535,36.577,36.535,610,24771.0,0.12,0.93,0.338,0.0
20210625,36.587,36.572,36.587,36.572,669,27174.0,0.04,0.1,0.037,0.0
20210628,36.411,36.45,36.45,36.411,236,9540.0,0.11,-0.33,-0.122,0.0
20210629,36.443,36.443,36.443,36.443,204,8253.0,0.0,-0.02,-0.007,0.0
20210630,36.285,36.189,36.285,36.092,1618,65018.0,0.53,-0.7,-0.254,0.0
20210701,36.222,36.241,36.241,36.101,2722,109340.0,0.39,0.14,0.052,0.0
20210702,36.281,36.418,36.438,36.271,1773,71527.0,0.46,0.49,0.177,0.0
20210706,36.411,36.303,36.411,36.262,8529,344733.0,0.41,-0.32,-0.115,0.0
20210707,36.497,36.508,36.559,36.497,494,20026.0,0.17,0.56,0.205,0.0
20210708,36.074,36.12,36.2,36.074,1123,45082.0,0.35,-1.06,-0.388,0.0
20210709,36.64,36.59,36.641,36.59,1608,65385.0,0.14,1.3,0.47,0.0
20210712,36.709,36.718,36.718,36.668,622,25327.0,0.14,0.35,0.128,0.0
