trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200824,10.0,10.0,10.0,10.0,48,0.0,0.0,0.0,0.0,0.0
20200825,10.0,10.0,10.0,10.0,9,0.0,0.0,0.0,0.0,0.0
20200826,10.1,9.7,10.1,9.66,2392,23246.0,4.4,-3.0,-0.3,0.01
20200827,9.55,9.75,9.75,9.55,716,6885.0,2.06,0.52,0.05,0.0
20200828,9.89,9.95,9.95,9.89,1920,19054.0,0.62,2.05,0.2,0.01
20200831,10.0,10.0,10.0,10.0,322,3220.0,0.0,0.5,0.05,0.0
20200901,10.65,10.65,10.65,10.65,137,1459.0,0.0,6.5,0.65,0.0
20200902,10.2,10.3,10.3,10.2,635,6518.0,0.94,-3.29,-0.35,0.0
20200903,10.5,10.26,10.5,10.26,7299,76023.0,2.33,-0.39,-0.04,0.04
20200904,10.31,10.1,10.77,10.1,2047,21171.0,6.53,-1.56,-0.16,0.01
20200908,10.39,10.47,10.6,10.09,1590,16594.0,5.05,3.66,0.37,0.01
20200909,10.4,10.27,10.4,10.27,80049,832486.0,1.24,-1.91,-0.2,0.43
20200910,10.4,11.49,12.0,10.4,13509,151649.0,15.58,11.88,1.22,0.07
20200911,10.92,11.25,11.25,10.92,2231,24764.0,2.87,-2.09,-0.24,0.01
20200914,11.3,11.29,11.5,11.23,3187,36242.0,2.4,0.36,0.04,0.02
20200915,11.28,11.61,11.62,11.28,4635,53361.0,3.01,2.83,0.32,0.03
20200916,11.58,11.5,11.77,11.31,5567,64189.0,3.96,-0.95,-0.11,0.03
20200917,11.5,11.05,11.5,11.0,2660,29580.0,4.35,-3.91,-0.45,0.01
20200918,11.0,11.0,11.05,10.56,2914,32014.0,4.43,-0.45,-0.05,0.02
20200921,11.35,11.2,11.35,11.01,1138,12725.0,3.09,1.82,0.2,0.01
20200922,11.0,11.14,11.28,11.0,2998,33307.0,2.5,-0.54,-0.06,0.02
20200923,11.21,11.15,11.21,11.13,1562,17424.0,0.72,0.09,0.01,0.01
20200924,11.1,11.43,11.43,11.08,3058,34042.0,3.14,2.51,0.28,0.02
20200925,11.4,11.4,11.4,11.08,11121,125841.0,2.8,-0.26,-0.03,0.06
20200928,11.3,11.11,11.4,11.0,9562,107517.0,3.51,-2.54,-0.29,0.05
20200929,11.11,11.11,11.11,11.11,40,444.0,0.0,0.0,0.0,0.0
20200930,11.2,11.2,11.2,11.2,6286,70397.0,0.0,0.81,0.09,0.03
20201001,11.2,11.13,11.2,11.0,6177,68747.0,1.79,-0.63,-0.07,0.03
20201002,11.05,11.0,11.05,11.0,3375,37132.0,0.45,-1.17,-0.13,0.02
20201005,10.96,10.95,11.21,10.71,4526,49360.0,4.55,-0.45,-0.05,0.02
20201006,10.53,11.04,11.43,10.5,12297,134984.0,8.49,0.82,0.09,0.07
