trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20181211,18.53,18.8,18.98,18.37,9830234,229371038.0,0.0,0.0,0.0,2.11
20181212,19.06,18.95,19.19,18.79,7343653,173028627.0,2.13,0.8,0.15,1.57
20181213,19.01,18.17,19.04,18.02,7587980,173697019.0,5.38,-4.12,-0.78,1.63
20181214,18.05,17.47,18.11,17.34,12960286,288215968.0,4.24,-3.85,-0.7,2.78
20181217,17.47,16.89,17.65,16.71,7239826,157044313.0,5.38,-3.32,-0.58,1.55
20181218,16.98,16.8,17.38,16.65,6418342,138747248.0,4.32,-0.53,-0.09,1.37
20181219,16.88,15.79,17.25,15.66,8214193,172394505.0,9.46,-6.01,-1.01,1.76
20181220,16.62,15.42,16.64,15.35,13007394,265532589.0,8.17,-2.34,-0.37,2.79
20181221,15.56,14.25,15.91,14.03,15918894,304748320.0,12.19,-7.59,-1.17,3.41
20181224,14.06,13.34,14.2,13.33,4907226,89613794.0,6.11,-6.39,-0.91,1.05
20181226,13.55,14.3,14.41,13.1,7465005,137816643.0,9.82,7.2,0.96,1.6
20181227,13.98,13.79,14.1,13.25,8277954,151150028.0,5.94,-3.57,-0.51,1.77
20181228,13.99,13.77,14.39,13.51,8513434,157229152.0,6.38,-0.15,-0.02,1.82
20181231,13.96,13.98,14.13,13.41,5590183,102892160.0,5.23,1.53,0.21,1.32
20190102,13.44,14.05,14.44,13.37,5207242,96907949.0,7.65,0.5,0.07,1.23
20190103,13.76,13.66,14.11,13.45,4385927,80581546.0,4.7,-2.78,-0.39,1.04
20190104,14.06,14.55,14.71,14.03,5135852,98118613.0,4.98,6.52,0.89,1.21
20190107,14.55,14.89,15.25,14.19,9021095,176150478.0,7.29,2.34,0.34,2.13
20190108,15.16,15.09,15.25,14.73,5278768,103948167.0,3.49,1.34,0.2,1.25
20190109,15.14,15.12,15.54,15.0,7750227,153969211.0,3.58,0.2,0.03,1.83
20190110,15.04,15.94,16.01,15.03,4730800,96277566.0,6.48,5.42,0.82,1.12
20190111,15.86,15.79,16.09,15.59,4151148,84948439.0,3.14,-0.94,-0.15,0.98
20190114,15.72,15.69,16.07,15.47,5880655,119929461.0,3.8,-0.63,-0.1,1.39
20190115,15.79,16.18,16.27,15.69,4354285,89963200.0,3.7,3.12,0.49,1.03
20190116,16.19,15.94,16.31,15.88,3987715,82478196.0,2.66,-1.48,-0.24,0.94
20190117,15.9,16.12,16.18,15.74,4118056,84683409.0,2.76,1.13,0.18,0.97
20190118,16.24,16.48,16.91,16.15,5098422,107850610.0,4.71,2.23,0.36,1.21
20190122,16.4,15.88,16.47,15.69,4893252,105530109.0,4.73,-3.64,-0.6,1.16
20190123,15.93,15.7,16.12,15.45,3190139,64989059.0,4.22,-1.13,-0.18,0.75
20190124,15.67,16.37,16.4,15.5,3965709,82738162.0,5.73,4.27,0.67,0.94
20190125,16.59,16.71,17.12,16.44,4015609,86068472.0,4.15,2.08,0.34,0.95
20190128,16.51,16.84,16.93,16.37,3424721,73051605.0,3.35,0.78,0.13,0.81
20190129,16.81,16.52,17.1,16.47,4219143,89944826.0,3.74,-1.9,-0.32,1.0
20190130,16.32,16.31,16.83,15.97,6546931,137003624.0,5.21,-1.27,-0.21,1.55
20190131,16.25,16.6,16.81,16.07,4053728,86010166.0,4.54,1.78,0.29,0.96
20190201,16.62,16.67,16.75,16.39,6687435,142064830.0,2.17,0.42,0.07,1.58
20190204,16.59,17.14,17.15,16.54,3383587,73021282.0,3.66,2.82,0.47,0.8
20190205,17.11,16.76,17.29,16.66,3434706,73723733.0,3.68,-2.22,-0.38,0.81
20190206,16.77,16.72,16.99,16.62,3682373,78633550.0,2.21,-0.24,-0.04,0.87
20190207,16.58,16.11,16.62,15.88,5152047,107000588.0,4.43,-3.65,-0.61,1.22
20190208,15.99,15.98,16.16,15.64,3296962,67560625.0,3.23,-0.81,-0.13,0.78
20190211,16.1,16.75,16.9,15.93,4455780,94568202.0,6.07,4.82,0.77,1.05
20190212,16.89,16.95,17.21,16.7,3857542,83414982.0,3.04,1.19,0.2,0.91
20190213,17.07,17.04,17.45,16.98,4215026,91718140.0,2.77,0.53,0.09,1.0
20190214,16.91,17.08,17.27,16.61,5874911,127114030.0,3.87,0.23,0.04,1.39
20190215,14.33,12.55,14.46,12.49,42437052,746720016.0,11.53,-26.52,-4.53,10.04
20190219,12.73,12.4,12.87,11.97,15623301,268336290.0,7.17,-1.2,-0.15,3.7
20190220,12.49,12.54,13.08,12.29,15955079,276578704.0,6.37,1.13,0.14,3.77
20190221,12.55,12.68,12.71,12.29,8537061,146569517.0,3.35,1.12,0.14,2.02
20190222,12.62,12.45,12.68,12.41,10762306,184416890.0,2.13,-1.81,-0.23,2.55
20190225,12.54,12.52,12.8,12.49,10294035,177103519.0,2.49,0.56,0.07,2.43
20190226,12.59,12.51,12.64,12.39,6960230,119029709.0,2.0,-0.08,-0.01,1.65
20190227,12.54,12.11,12.57,12.07,7444496,124294004.0,4.0,-3.2,-0.4,1.76
20190228,12.13,11.85,12.21,11.69,8582970,139403197.0,4.29,-2.15,-0.26,2.03
20190301,11.9,11.79,12.0,11.68,4964586,80380669.0,2.7,-0.51,-0.06,1.17
20190304,11.62,11.73,12.02,11.48,6376670,102546701.0,4.58,-0.51,-0.06,1.51
20190305,11.69,11.62,11.85,11.62,8583535,137947046.0,1.96,-0.94,-0.11,2.03
20190306,11.64,11.31,11.76,11.25,6423072,101187723.0,4.39,-2.67,-0.31,1.52
20190307,11.19,11.12,11.41,11.08,5782100,90077531.0,2.92,-1.68,-0.19,1.37
20190308,11.02,11.06,11.49,10.84,6982203,108487733.0,5.85,-0.54,-0.06,1.65
20190311,11.27,11.23,11.32,10.96,5996763,93083029.0,3.25,1.54,0.17,1.42
20190312,11.24,11.21,11.35,10.85,6864516,106397182.0,4.45,-0.18,-0.02,1.62
20190313,11.28,11.09,11.38,11.07,6587131,102517148.0,2.77,-1.07,-0.12,1.56
20190314,11.19,11.07,11.53,10.95,7289920,113099708.0,5.23,-0.18,-0.02,1.72
20190315,11.23,11.18,11.37,10.77,19335148,298951760.0,5.42,0.99,0.11,4.57
20190318,11.18,11.6,11.9,11.18,9242447,148157540.0,6.44,3.76,0.42,2.18
20190319,11.67,11.49,11.74,11.42,6939242,110545917.0,2.76,-0.95,-0.11,1.64
20190320,11.48,11.37,11.6,11.08,10779287,169217100.0,4.53,-1.04,-0.12,2.55
20190321,11.38,11.42,11.56,11.31,4421205,69985836.0,2.2,0.44,0.05,1.04
20190322,11.37,10.62,11.37,10.61,6927023,105071177.0,6.65,-7.01,-0.8,1.64
20190325,10.58,10.69,10.75,10.36,4980394,74638881.0,3.67,0.66,0.07,1.18
20190326,10.76,10.89,11.12,10.68,4406423,67207624.0,4.12,1.87,0.2,1.04
20190327,10.91,10.95,11.07,10.72,3361438,51363606.0,3.21,0.55,0.06,0.79
20190328,10.96,11.06,11.17,10.8,4237371,65166199.0,3.38,1.0,0.11,1.0
20190329,11.13,10.96,11.15,10.8,6709156,102648528.0,3.16,-0.9,-0.1,1.59
20190401,11.02,11.06,11.26,10.89,5827700,89783835.0,3.38,0.91,0.1,1.38
20190402,11.01,10.96,11.27,10.95,4254122,65798305.0,2.89,-0.9,-0.1,1.01
20190403,11.12,10.94,11.24,10.82,4641707,71241009.0,3.83,-0.18,-0.02,1.1
20190404,10.94,11.19,11.27,10.9,5565531,86522878.0,3.38,2.29,0.25,1.32
20190405,11.26,11.47,11.71,11.21,5532656,87719124.0,4.47,2.5,0.28,1.31
20190408,11.52,11.38,11.62,11.26,4530002,71495431.0,3.14,-0.78,-0.09,1.07
20190409,11.31,10.91,11.37,10.88,5143521,79473856.0,4.31,-4.13,-0.47,1.22
20190410,10.95,11.1,11.1,10.83,3128048,48039379.0,2.47,1.74,0.19,0.74
20190411,11.11,10.98,11.2,10.94,4470905,68823277.0,2.34,-1.08,-0.12,1.06
20190412,11.05,11.01,11.21,10.93,5921344,91108903.0,2.55,0.27,0.03,1.4
20190415,11.01,10.8,11.01,10.77,4913945,74704907.0,2.18,-1.91,-0.21,1.16
20190416,10.81,10.8,10.88,10.65,5514821,83457017.0,2.13,0.0,0.0,1.3
20190417,10.87,10.78,10.99,10.74,4294340,65233834.0,2.31,-0.19,-0.02,1.01
20190418,10.78,10.77,10.91,10.74,7221790,109561212.0,1.58,-0.09,-0.01,1.71
20190422,10.78,10.03,10.86,10.02,10268338,150120115.0,7.8,-6.87,-0.74,2.43
20190423,10.1,9.79,10.16,9.77,7705565,110069676.0,3.89,-2.39,-0.24,1.82
20190424,9.83,9.85,9.97,9.67,5768261,81881785.0,3.06,0.61,0.06,1.36
20190425,9.78,9.25,9.8,9.19,8413444,115653143.0,6.19,-6.09,-0.6,1.99
20190426,9.26,9.94,10.01,9.26,7792272,110329157.0,8.11,7.46,0.69,1.84
