trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230719,49.1,47.53,49.9,47.06,6238113,301668992.0,8.11,35.8,12.53,11.03
20230720,46.54,50.0,53.33,46.28,2534836,126963264.0,14.83,5.2,2.47,4.48
20230721,51.2,52.56,54.2,50.61,1201102,63244117.0,7.18,5.12,2.56,2.12
20230724,53.22,49.67,53.78,49.032,900395,45775388.0,9.03,-5.5,-2.89,1.59
20230725,49.67,48.29,51.74,47.76,686001,33675964.0,8.01,-2.78,-1.38,1.21
20230726,50.16,51.85,53.52,49.451,905691,46839569.0,8.43,7.37,3.56,1.6
20230727,52.5,49.13,53.5,48.94,715080,36674757.0,8.79,-5.25,-2.72,1.26
20230728,50.05,50.6,51.1,49.16,475321,23838778.0,3.95,2.99,1.47,0.84
20230731,51.21,53.29,53.3,50.67,393534,20503827.0,5.2,5.32,2.69,0.7
20230801,53.8,53.26,53.8,52.11,382723,20312426.0,3.17,-0.06,-0.03,0.68
20230802,52.87,54.26,55.21,52.21,752596,40549694.0,5.63,1.88,1.0,1.33
20230803,54.26,55.4,55.6,53.7,440724,24227680.0,3.5,2.1,1.14,0.78
20230804,55.65,50.64,56.0,50.48,786348,41114974.0,9.96,-8.59,-4.76,1.39
20230807,50.64,52.39,52.96,49.284,439882,22596144.0,7.26,3.46,1.75,0.78
20230808,52.31,50.81,52.335,49.67,415365,21076368.0,5.09,-3.02,-1.58,0.73
20230809,50.82,50.5,51.94,50.2,372424,19037846.0,3.42,-0.61,-0.31,0.66
20230810,52.66,54.77,55.0,51.92,621059,33467029.0,6.1,8.46,4.27,1.1
20230811,54.77,52.38,55.2,51.51,217885,11549537.0,6.74,-4.36,-2.39,0.39
20230814,51.0,46.35,51.382,45.66,941354,44702322.0,10.92,-11.51,-6.03,1.66
20230815,46.92,43.69,47.0,43.37,1465919,64870828.0,7.83,-5.74,-2.66,2.58
20230816,43.59,43.95,44.44,42.56,705993,30684534.0,4.3,0.6,0.26,1.24
20230817,44.0,45.31,45.67,43.72,545323,24457592.0,4.44,3.09,1.36,0.96
20230818,44.15,45.26,46.33,43.55,399878,18084975.0,6.14,-0.11,-0.05,0.7
20230821,44.98,45.61,45.79,44.07,786328,35383511.0,3.8,0.77,0.35,1.38
20230822,45.61,43.28,46.09,43.16,628239,27766176.0,6.42,-5.11,-2.33,1.11
20230823,43.0,43.76,44.42,42.6,618521,26997825.0,4.21,1.11,0.48,1.09
20230824,43.99,41.08,44.45,40.25,817219,34090666.0,9.6,-6.12,-2.68,1.44
20230825,40.71,41.62,41.97,40.092,556338,22885600.0,4.57,1.31,0.54,0.98
20230828,41.85,42.93,43.05,41.69,496541,21095974.0,3.27,3.15,1.31,0.87
20230829,42.51,41.99,42.83,41.6,645441,27055565.0,2.87,-2.19,-0.94,1.14
20230830,41.85,42.73,43.98,41.8,575006,24713923.0,5.19,1.76,0.74,1.01
20230831,42.23,41.59,42.65,41.03,342047,14290892.0,3.79,-2.67,-1.14,0.6
20230901,41.83,41.97,42.7,41.334,190523,8019351.0,3.28,0.91,0.38,0.34
20230905,41.9,39.71,41.91,38.75,553310,22100380.0,7.53,-5.38,-2.26,0.97
20230906,39.39,39.53,40.34,38.47,301890,11816400.0,4.71,-0.45,-0.18,0.53
20230907,38.96,36.65,39.48,36.061,1648719,61001923.0,8.65,-7.29,-2.88,2.9
20230908,36.41,36.65,37.23,35.22,940716,34091482.0,5.48,0.0,0.0,1.66
20230911,37.1,37.04,37.62,36.11,510471,18838092.0,4.12,1.06,0.39,0.9
20230912,38.0,38.03,38.97,37.2,466381,17731740.0,4.78,2.67,0.99,0.82
20230913,38.18,37.02,38.5,35.99,284895,10509239.0,6.6,-2.66,-1.01,0.5
20230914,37.07,36.98,37.94,36.98,482272,18046614.0,2.59,-0.11,-0.04,0.85
20230915,36.82,33.55,37.27,33.08,1050417,35911163.0,11.33,-9.28,-3.43,1.85
20230918,33.07,32.7,33.49,32.3,879992,28868145.0,3.55,-2.53,-0.85,1.55
20230919,32.35,32.26,32.54,31.57,743562,23799908.0,2.97,-1.35,-0.44,1.31
20230920,32.3,30.85,32.79,30.78,573470,18209667.0,6.23,-4.37,-1.41,1.01
20230921,30.39,27.93,30.494,27.37,919451,25876562.0,10.13,-9.47,-2.92,1.62
20230922,27.93,26.57,28.125,26.41,887981,23874459.0,6.14,-4.87,-1.36,1.56
20230925,26.725,26.18,27.69,25.845,560457,14817886.0,6.94,-1.47,-0.39,0.99
