trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20220527,7.75,7.15,7.75,6.9,16126,117769.0,11.18,-5.92,-0.45,0.03
20220531,6.89,7.3,7.33,6.75,55045,388808.0,8.11,2.1,0.15,0.12
20220601,7.35,7.02,7.35,6.66,55881,395167.0,9.45,-3.84,-0.28,0.12
20220602,7.01,6.96,7.12,6.9,27364,190850.0,3.13,-0.85,-0.06,0.06
20220603,7.0,6.91,7.125,6.85,15046,104849.0,3.95,-0.72,-0.05,0.03
20220606,6.95,6.8,7.157,6.8,14463,100973.0,5.17,-1.59,-0.11,0.03
20220607,6.97,6.8,7.0,6.75,28462,194916.0,3.68,0.0,0.0,0.06
20220608,6.89,6.84,7.05,6.75,29811,206972.0,4.41,0.59,0.04,0.06
20220609,6.93,6.72,6.975,6.72,26386,180236.0,3.73,-1.75,-0.12,0.06
20220610,6.71,6.786,6.83,6.6,17180,116204.0,3.42,0.98,0.066,0.04
20220613,6.7,6.44,6.86,6.43,23473,152735.0,6.34,-5.1,-0.346,0.05
20220614,6.49,6.13,6.625,6.02,23085,147590.0,9.39,-4.81,-0.31,0.05
20220615,6.21,6.09,6.21,5.9,12404,75049.0,5.06,-0.65,-0.04,0.03
20220616,5.83,5.94,6.07,5.76,9872,57645.0,5.09,-2.46,-0.15,0.02
20220617,5.75,5.9,6.07,5.67,11371,66130.0,6.73,-0.67,-0.04,0.02
20220621,5.99,5.9,6.28,5.77,15778,95797.0,8.64,0.0,0.0,0.03
20220622,5.87,5.5,5.97,5.5,35214,200764.0,7.97,-6.78,-0.4,0.07
20220623,5.51,5.32,5.76,5.29,23515,128379.0,8.55,-3.27,-0.18,0.05
20220624,5.32,5.37,5.58,5.3,10109,54795.0,5.26,0.94,0.05,0.02
20220627,5.63,5.36,5.63,5.12,15607,83158.0,9.5,-0.19,-0.01,0.03
20220628,5.31,5.115,5.32,5.09,12595,65435.0,4.29,-4.57,-0.245,0.03
20220629,5.17,5.25,5.28,5.09,14113,72354.0,3.71,2.64,0.135,0.03
20220630,5.25,4.8,5.3,4.8,19757,99282.0,9.52,-8.57,-0.45,0.03
20220701,4.93,4.86,5.0,4.82,11572,56543.0,3.75,1.25,0.06,0.02
20220705,5.0,4.99,5.1,4.82,50778,252019.0,5.76,2.67,0.13,0.07
