trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20190521,33.48,31.24,33.76,31.0,2572416,20665743.0,8.24,-6.69,-2.24,1.69
20190522,32.0,30.44,32.6,30.16,1566282,12295482.0,7.81,-2.56,-0.8,1.03
20190523,30.0,28.88,30.36,28.6,1317073,9640144.0,5.78,-5.12,-1.56,0.87
20190524,29.52,29.96,30.4,29.36,1041755,7820642.0,3.6,3.74,1.08,0.69
20190528,31.08,31.4,31.56,30.6,1197192,9333484.0,3.2,4.81,1.44,0.79
20190529,31.04,30.76,31.52,30.0,860238,6567692.0,4.84,-2.04,-0.64,0.57
20190530,30.84,30.2,31.36,29.8,708395,5383270.0,5.07,-1.82,-0.56,0.47
20190531,29.6,28.96,29.8,28.68,1044896,7611595.0,3.71,-4.11,-1.24,0.68
20190603,29.2,27.44,29.64,27.08,1493146,10433571.0,8.84,-5.25,-1.52,0.97
20190604,27.96,29.72,29.84,27.8,962665,6925461.0,7.43,8.31,2.28,0.63
20190605,30.4,29.32,30.6,28.88,750558,5553311.0,5.79,-1.35,-0.4,0.49
20190606,29.56,28.84,29.56,28.4,529382,3807672.0,3.96,-1.64,-0.48,0.34
20190607,28.88,29.04,29.96,28.84,645708,4764506.0,3.88,0.69,0.2,0.42
20190610,29.88,29.56,29.88,29.08,582395,4289650.0,2.75,1.79,0.52,0.38
20190611,29.64,29.0,29.76,28.6,721561,5239931.0,3.92,-1.89,-0.56,0.47
20190612,28.8,28.04,29.0,28.0,732613,5166866.0,3.45,-3.31,-0.96,0.48
20190613,28.04,27.2,28.28,26.96,1076157,7340200.0,4.71,-3.0,-0.84,0.7
20190614,27.0,25.08,27.0,24.96,1545076,9944724.0,7.5,-7.79,-2.12,1.0
20190617,25.76,24.88,26.08,24.6,846831,5369371.0,5.9,-0.8,-0.2,0.55
20190618,25.0,25.76,26.44,24.88,711090,4579300.0,6.27,3.54,0.88,0.46
20190619,25.76,25.0,26.0,24.84,708109,4464198.0,4.5,-2.95,-0.76,0.46
20190620,25.68,25.56,25.96,25.32,701851,4508063.0,2.56,2.24,0.56,0.46
20190621,24.8,25.44,25.6,24.4,819485,5116395.0,4.69,-0.47,-0.12,0.53
20190624,25.88,25.16,25.92,24.6,775624,4859569.0,5.19,-1.1,-0.28,0.5
20190625,25.2,24.2,25.28,24.08,624000,3819633.0,4.77,-3.82,-0.96,0.41
20190626,24.76,24.84,25.28,24.28,566745,3513205.0,4.13,2.64,0.64,0.37
20190627,24.8,25.64,26.12,24.6,597780,3816409.0,6.12,3.22,0.8,0.39
20190628,25.64,25.76,26.4,25.64,492526,3194131.0,2.96,0.47,0.12,0.32
20190701,26.24,26.32,26.8,26.0,453395,2996304.0,3.11,2.17,0.56,0.29
20190702,26.48,25.16,26.72,25.0,574416,3683811.0,6.53,-4.41,-1.16,0.37
20190703,25.68,26.08,26.4,25.48,892445,5793373.0,3.66,3.66,0.92,0.58
20190705,26.04,26.24,26.36,25.56,446789,2907108.0,3.07,0.61,0.16,0.29
20190708,26.32,28.32,28.76,26.04,1830568,12741599.0,10.37,7.93,2.08,1.19
20190709,29.16,27.68,29.24,27.08,2386970,16675101.0,7.63,-2.26,-0.64,1.55
20190710,27.84,26.52,28.04,26.24,1491541,9982370.0,6.5,-4.19,-1.16,0.97
20190711,26.72,25.12,26.8,24.84,1802845,11467458.0,7.39,-5.28,-1.4,1.17
20190712,25.2,23.32,25.28,23.08,3120481,18532836.0,8.76,-7.17,-1.8,2.0
20190715,22.4,24.4,25.08,21.6,2530477,15018847.0,14.92,4.63,1.08,1.62
20190716,24.6,26.44,26.48,24.16,1663744,10629171.0,9.51,8.36,2.04,1.07
20190717,26.8,27.4,27.8,26.28,1587554,10786730.0,5.75,3.63,0.96,1.02
20190718,27.12,25.72,27.12,25.36,1343868,8701317.0,6.42,-6.13,-1.68,0.86
20190719,25.96,25.32,26.16,25.08,740363,4706864.0,4.2,-1.56,-0.4,0.47
20190722,25.56,25.08,25.56,24.36,932009,5786005.0,4.74,-0.95,-0.24,0.6
20190723,25.08,24.28,25.44,24.12,1001182,6137466.0,5.26,-3.19,-0.8,0.64
20190724,24.16,23.76,24.28,23.36,1175998,6986072.0,3.79,-2.14,-0.52,0.75
20190725,23.76,23.32,24.36,23.16,809353,4785016.0,5.05,-1.85,-0.44,0.52
20190726,23.76,23.6,24.0,23.32,646553,3817881.0,2.92,1.2,0.28,0.41
20190729,23.64,23.72,23.96,22.28,1578874,9124569.0,7.12,0.51,0.12,1.01
20190730,23.84,23.88,24.2,23.04,1025063,6114960.0,4.89,0.67,0.16,0.66
20190731,24.08,23.96,24.24,23.68,756849,4552117.0,2.35,0.34,0.08,0.48
20190801,24.0,22.6,24.08,22.52,1077486,6227788.0,6.51,-5.68,-1.36,0.69
