trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250513,8.0,7.51,9.23,6.71,1861553,15500976.0,28.0,-16.56,-1.49,4.39
20250514,8.06,7.89,8.45,7.2,374648,2968624.0,16.64,5.06,0.38,0.88
20250515,8.0,7.74,8.2,7.488,74728,597180.0,9.02,-1.9,-0.15,0.18
20250516,7.7,7.87,8.189,7.61,163817,1308472.0,7.48,1.68,0.13,0.39
20250519,7.7,8.9,9.42,7.7,314906,2752803.0,21.86,13.09,1.03,0.74
20250520,8.9,8.76,9.57,8.64,175742,1620328.0,10.45,-1.57,-0.14,0.41
20250521,8.85,8.03,9.05,8.03,112554,951000.0,11.64,-8.33,-0.73,0.27
20250522,8.19,8.96,9.07,8.19,170316,1484454.0,10.96,11.58,0.93,0.4
20250523,8.4,8.71,9.19,8.4,130618,1160982.0,8.82,-2.79,-0.25,0.31
20250527,8.84,8.44,9.1,8.26,101948,886598.0,9.64,-3.1,-0.27,0.24
20250528,8.47,9.175,9.86,8.47,326966,2982912.0,16.47,8.71,0.735,0.77
20250529,9.465,8.96,9.465,8.5,106021,956008.0,10.52,-2.34,-0.215,0.25
20250530,8.9,8.51,9.0,8.3,117385,1020024.0,7.81,-5.02,-0.45,0.28
20250602,8.81,8.77,9.25,8.45,137016,1224631.0,9.4,3.06,0.26,0.32
20250603,9.0,8.91,9.1,8.81,148164,1329862.0,3.31,1.6,0.14,0.35
20250604,8.9,8.87,9.025,8.7,74163,656854.0,3.65,-0.45,-0.04,0.17
20250605,8.95,8.65,9.1,8.508,95098,835366.0,6.67,-2.48,-0.22,0.22
20250606,8.8,8.3,8.818,8.1,72269,610446.0,8.3,-4.05,-0.35,0.17
20250609,8.55,7.15,8.6,7.0,159389,1214227.0,19.28,-13.86,-1.15,0.38
20250610,7.08,6.73,8.07,6.092,205577,1417309.0,27.66,-5.87,-0.42,0.48
20250611,6.87,7.07,7.43,6.83,21354,150582.0,8.92,5.05,0.34,0.05
20250612,7.36,7.06,7.36,6.817,26333,184595.0,7.68,-0.14,-0.01,0.06
20250613,7.06,6.78,7.34,6.78,62506,438646.0,7.93,-3.97,-0.28,0.15
20250616,6.9,6.8,7.03,6.68,37227,255842.0,5.16,0.29,0.02,0.09
20250617,7.1,7.5,7.56,6.95,85620,618915.0,8.97,10.29,0.7,0.2
20250618,7.55,7.805,8.24,7.3,79155,621894.0,12.53,4.07,0.305,0.19
20250620,7.63,8.07,8.21,7.31,120496,947458.0,11.53,3.4,0.265,0.28
20250623,8.1,7.38,8.155,7.21,59398,457199.0,11.71,-8.55,-0.69,0.14
20250624,7.2,7.66,7.92,7.2,21515,165390.0,9.76,3.79,0.28,0.05
20250625,7.08,6.48,7.5,6.48,106742,745802.0,13.32,-15.4,-1.18,0.25
20250626,7.05,7.13,7.42,6.354,45660,318961.0,16.45,10.03,0.65,0.11
20250627,7.256,7.23,7.38,6.89,27912,201899.0,6.87,1.4,0.1,0.07
20250630,7.22,6.73,7.31,6.5,53511,367986.0,11.2,-6.92,-0.5,0.13
20250701,6.76,6.65,7.11,6.54,39857,273764.0,8.47,-1.19,-0.08,0.09
20250702,7.175,6.855,7.2,6.727,25571,179465.0,7.11,3.08,0.205,0.06
20250703,7.06,7.0,7.07,6.7,7081,48923.0,5.4,2.12,0.145,0.02
20250707,6.97,7.06,7.493,6.73,110598,768753.0,10.9,0.86,0.06,0.26
20250708,6.91,7.29,7.335,6.91,53130,379411.0,6.02,3.26,0.23,0.13
20250709,7.3,6.87,7.39,6.56,75894,532165.0,11.39,-5.76,-0.42,0.18
20250710,7.07,7.08,7.13,6.698,46600,321815.0,6.29,3.06,0.21,0.11
20250711,7.21,6.78,7.21,6.7,54766,373764.0,7.2,-4.24,-0.3,0.13
20250714,6.75,6.63,6.88,6.61,53616,361211.0,3.98,-2.21,-0.15,0.13
20250715,6.76,6.71,6.867,6.42,122522,816750.0,6.74,1.21,0.08,0.29
20250716,6.8,6.68,6.8,6.6,72059,481469.0,2.98,-0.45,-0.03,0.17
20250717,6.641,6.86,6.9,6.564,48418,324361.0,5.03,2.69,0.18,0.11
20250718,6.96,6.95,6.96,6.81,50696,349347.0,2.19,1.31,0.09,0.12
20250721,7.05,6.17,7.14,5.685,165663,1084947.0,20.94,-11.22,-0.78,0.39
20250722,6.3,6.36,6.52,6.17,116103,728001.0,5.67,3.08,0.19,0.27
20250723,6.52,6.61,6.7,6.42,123997,813638.0,4.4,3.93,0.25,0.29
20250724,6.92,7.18,7.3,6.66,92231,657169.0,9.68,8.62,0.57,0.22
20250725,7.26,7.05,7.5,6.91,109267,789217.0,8.22,-1.81,-0.13,0.26
20250728,7.05,7.54,7.545,6.88,78121,566852.0,9.43,6.95,0.49,0.18
20250729,7.4,7.7,7.79,7.16,70241,526202.0,8.36,2.12,0.16,0.17
20250730,7.7,7.46,7.89,7.33,80282,602705.0,7.27,-3.12,-0.24,0.19
20250731,7.56,7.21,7.695,7.06,85211,621909.0,8.51,-3.35,-0.25,0.2
20250801,7.19,6.82,7.295,6.76,59185,411306.0,7.42,-5.41,-0.39,0.14
20250804,6.85,6.64,7.09,6.6,41261,279961.0,7.18,-2.64,-0.18,0.1
20250805,6.92,6.8,7.0,6.6,52042,353424.0,6.02,2.41,0.16,0.12
20250806,6.96,6.89,6.96,6.715,77028,529313.0,3.6,1.32,0.09,0.18
20250807,7.1,7.44,7.5,7.03,86280,626221.0,6.82,7.98,0.55,0.2
20250808,7.44,6.96,7.695,6.9,66237,474997.0,10.69,-6.45,-0.48,0.16
20250811,7.01,7.25,7.5,7.01,137743,1014786.0,7.04,4.17,0.29,0.32
20250812,7.26,7.31,7.5,7.24,99487,734733.0,3.59,0.83,0.06,0.23
20250813,7.4,7.18,7.455,6.985,108185,779954.0,6.43,-1.78,-0.13,0.25
20250814,7.4,6.91,7.4,6.735,108382,756462.0,9.26,-3.76,-0.27,0.26
20250815,6.97,6.86,6.97,6.77,85803,587400.0,2.89,-0.72,-0.05,0.2
20250818,6.87,6.98,6.98,6.785,81744,560776.0,2.84,1.75,0.12,0.19
20250819,6.99,6.67,7.24,6.55,126301,866004.0,9.89,-4.44,-0.31,0.3
20250820,6.76,6.74,6.84,6.3,99043,652309.0,8.1,1.05,0.07,0.23
20250821,6.685,6.69,6.967,6.578,108115,727089.0,5.77,-0.74,-0.05,0.25
20250822,6.54,6.17,6.816,6.08,161785,1027348.0,11.0,-7.77,-0.52,0.38
20250825,6.2,6.5,6.64,6.14,116927,750972.0,8.1,5.35,0.33,0.28
20250826,6.36,6.765,6.84,6.36,96393,643901.0,7.38,4.08,0.265,0.23
20250827,6.8,6.37,6.801,6.3,122250,786247.0,7.41,-5.84,-0.395,0.29
20250828,6.45,6.14,6.687,6.01,128742,801088.0,10.63,-3.61,-0.23,0.3
20250829,6.248,6.425,6.5,6.02,113309,713518.0,7.82,4.64,0.285,0.27
20250902,6.48,6.22,6.49,6.03,121884,756741.0,7.16,-3.19,-0.205,0.29
20250903,6.258,6.04,6.297,5.96,135515,830885.0,5.42,-2.89,-0.18,0.32
20250904,6.164,5.48,6.164,5.4,190015,1069504.0,12.65,-9.27,-0.56,0.45
20250905,5.54,5.75,5.76,5.39,137153,764853.0,6.75,4.93,0.27,0.32
20250908,5.78,5.67,5.79,5.505,82222,463093.0,4.96,-1.39,-0.08,0.19
