trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20151203,38.056,37.917,38.056,37.917,1100,0.0,0.0,0.0,0.0,0.0
20151204,37.683,37.683,37.683,37.683,1000,0.0,0.0,-0.62,-0.234,0.0
20151211,36.612,36.612,36.612,36.612,200,0.0,0.0,-2.84,-1.071,0.0
20151214,36.34,36.099,36.352,36.099,2300,0.0,0.69,-1.4,-0.513,0.0
20151216,36.96,37.17,37.17,36.859,1102,0.0,0.86,2.97,1.071,0.0
20151217,36.846,36.846,36.846,36.846,300,0.0,0.0,-0.87,-0.324,0.0
20151218,36.594,36.543,36.594,36.543,2200,0.0,0.14,-0.82,-0.303,0.0
20151223,37.276,37.41,37.41,37.276,300,0.0,0.37,2.37,0.867,0.0
20160108,35.409,35.116,35.409,35.116,301,0.0,0.78,-6.13,-2.294,0.0
20160111,34.842,35.014,35.014,34.842,200,0.0,0.49,-0.29,-0.102,0.0
20160112,34.893,34.893,34.893,34.893,100,0.0,0.0,-0.35,-0.121,0.0
20160114,34.829,34.829,34.829,34.829,100,0.0,0.0,-0.18,-0.064,0.0
20160120,33.191,33.191,33.191,33.191,100,0.0,0.0,-4.7,-1.638,0.0
20160121,34.064,34.064,34.064,34.064,200,0.0,0.0,2.63,0.873,0.0
20160122,34.46,34.46,34.46,34.46,200,0.0,0.0,1.16,0.396,0.0
20160125,34.141,34.141,34.141,34.141,100,0.0,0.0,-0.93,-0.319,0.0
20160126,34.307,34.307,34.307,34.307,100,0.0,0.0,0.49,0.166,0.0
20160127,34.937,34.937,34.937,34.937,100,0.0,0.0,1.84,0.63,0.0
20160129,35.332,35.829,35.829,35.332,1900,0.0,1.42,2.55,0.892,0.0
20160201,35.657,35.88,35.957,35.632,1600,0.0,0.91,0.14,0.051,0.0
20160202,35.237,35.224,35.339,35.129,1500,0.0,0.59,-1.83,-0.656,0.0
20160204,35.696,35.861,35.861,35.696,400,0.0,0.47,1.81,0.637,0.0
20160205,35.708,35.511,35.708,35.511,1200,0.0,0.55,-0.98,-0.35,0.0
20160208,34.791,34.791,34.791,34.791,100,0.0,0.0,-2.03,-0.72,0.0
20160209,34.727,34.772,34.848,34.587,1100,0.0,0.75,-0.05,-0.019,0.0
20160210,34.816,34.632,35.007,34.632,1000,0.0,1.08,-0.4,-0.14,0.0
20160211,34.115,34.268,34.377,34.013,900,0.0,1.05,-1.05,-0.364,0.0
20160212,34.606,34.918,34.957,34.587,24283,0.0,1.08,1.9,0.65,0.0
20160216,35.269,35.664,35.664,35.269,1611,0.0,1.13,2.14,0.746,0.0
20160217,36.218,36.218,36.237,36.142,1100,0.0,0.27,1.55,0.554,0.0
20160218,36.052,36.307,36.397,36.052,1063,0.0,0.95,0.25,0.089,0.0
20160219,36.04,36.154,36.161,36.04,1930,0.0,0.33,-0.42,-0.153,0.0
20160222,36.607,36.645,36.651,36.543,2343,0.0,0.3,1.36,0.491,0.0
20160223,36.581,36.371,36.613,36.326,1493,0.0,0.78,-0.75,-0.274,0.0
20160229,37.002,37.18,37.18,37.002,303,0.0,0.49,2.22,0.809,0.0
20160301,37.371,37.48,37.48,37.371,1336,0.0,0.29,0.81,0.3,0.0
20160302,37.773,37.773,37.773,37.773,100,0.0,0.0,0.78,0.293,0.0
20160303,38.27,38.27,38.27,38.27,117,0.0,0.0,1.32,0.497,0.0
20160310,38.518,38.518,38.518,38.518,112,0.0,0.0,0.65,0.248,0.0
20160311,39.213,39.219,39.219,39.213,582,0.0,0.02,1.82,0.701,0.0
20160314,39.111,39.092,39.111,39.092,387,0.0,0.05,-0.32,-0.127,0.0
20160330,40.476,40.418,40.476,40.418,336,0.0,0.15,3.39,1.326,0.0
20160404,40.372,40.126,40.372,40.126,909,0.0,0.61,-0.72,-0.292,0.0
20160411,40.023,40.016,40.023,40.016,252,0.0,0.02,-0.27,-0.11,0.0
20160429,41.227,41.227,41.227,41.227,380,0.0,0.0,3.03,1.211,0.0
20160502,40.78,40.78,40.78,40.78,125,0.0,0.0,-1.08,-0.447,0.0
20160509,40.204,40.204,40.204,40.204,131,0.0,0.0,-1.41,-0.576,0.0
20160512,40.133,40.133,40.133,40.133,124,0.0,0.0,-0.18,-0.071,0.0
20160513,39.816,39.803,39.816,39.803,434,0.0,0.03,-0.82,-0.33,0.0
20160517,40.217,40.217,40.217,40.217,300,0.0,0.0,1.04,0.414,0.0
20160531,40.618,40.618,40.618,40.618,298,0.0,0.0,1.0,0.401,0.0
20160603,40.949,40.974,40.987,40.949,371,0.0,0.09,0.88,0.356,0.0
20160607,41.609,41.609,41.609,41.609,220,0.0,0.0,1.55,0.635,0.0
20160608,41.706,41.661,41.706,41.661,251,0.0,0.11,0.12,0.052,0.0
20160609,41.544,41.544,41.544,41.544,178,0.0,0.0,-0.28,-0.117,0.0
20160613,40.987,40.78,40.987,40.78,288,0.0,0.5,-1.84,-0.764,0.0
20160617,41.262,41.262,41.262,41.262,169,0.0,0.0,1.18,0.482,0.0
20160624,41.072,40.704,41.243,40.704,16525,0.0,1.31,-1.35,-0.558,0.0
20160627,39.692,39.435,39.692,39.37,150,0.0,0.79,-3.12,-1.269,0.0
20160630,39.435,39.435,39.435,39.435,0,0.0,0.0,0.0,0.0,0.0
20160705,41.407,41.407,41.407,41.407,108,0.0,0.0,5.0,1.972,0.0
20160707,41.578,41.578,41.578,41.578,180,0.0,0.0,0.41,0.171,0.0
20160711,42.61,42.649,42.676,42.61,408,0.0,0.16,2.58,1.071,0.0
20160712,43.28,43.261,43.28,43.228,1254,0.0,0.12,1.43,0.612,0.0
20160718,43.215,43.418,43.418,43.215,575,0.0,0.47,0.36,0.157,0.0
20160720,43.484,43.484,43.484,43.484,460,0.0,0.0,0.15,0.066,0.0
20160722,43.339,43.339,43.339,43.339,238,0.0,0.0,-0.33,-0.145,0.0
20160801,43.339,43.445,43.563,43.339,513,0.0,0.52,0.24,0.106,0.0
20160802,42.794,42.774,42.794,42.774,683,0.0,0.05,-1.54,-0.671,0.0
20160809,43.55,43.648,43.648,43.55,549,0.0,0.23,2.04,0.874,0.0
20160818,43.99,43.99,43.99,43.99,200,0.0,0.0,0.78,0.342,0.0
20160819,43.99,43.99,43.99,43.99,28,0.0,0.0,0.0,0.0,0.0
20160826,44.608,44.253,44.608,44.174,301,0.0,0.99,0.6,0.263,0.0
20160829,44.253,44.253,44.253,44.253,0,0.0,0.0,0.0,0.0,0.0
20160908,44.2,44.181,44.2,44.174,385,0.0,0.06,-0.16,-0.072,0.0
20160915,43.044,43.044,43.044,43.044,163,0.0,0.0,-2.57,-1.137,0.0
20161007,43.454,43.454,43.454,43.454,100,0.0,0.0,0.95,0.41,0.0
20161010,43.454,43.454,43.454,43.454,50,0.0,0.0,0.0,0.0,0.0
20161011,43.454,43.454,43.454,43.454,35,0.0,0.0,0.0,0.0,0.0
20161012,43.454,43.454,43.454,43.454,0,0.0,0.0,0.0,0.0,0.0
20161013,43.454,43.454,43.454,43.454,0,0.0,0.0,0.0,0.0,0.0
20161014,43.454,43.454,43.454,43.454,0,0.0,0.0,0.0,0.0,0.0
20161017,43.454,43.454,43.454,43.454,41,0.0,0.0,0.0,0.0,0.0
20161018,43.414,43.427,43.447,43.414,447,0.0,0.08,-0.06,-0.027,0.0
20161019,43.615,43.601,43.615,43.601,249,0.0,0.03,0.4,0.174,0.0
20161020,43.601,43.601,43.601,43.601,0,0.0,0.0,0.0,0.0,0.0
20161021,43.287,43.287,43.287,43.287,200,0.0,0.0,-0.72,-0.314,0.0
20161024,43.788,43.728,43.788,43.728,401,0.0,0.14,1.02,0.441,0.0
20161025,43.728,43.728,43.728,43.728,0,0.0,0.0,0.0,0.0,0.0
20161026,43.728,43.728,43.728,43.728,0,0.0,0.0,0.0,0.0,0.0
20161027,43.253,43.253,43.253,43.253,139,0.0,0.0,-1.09,-0.475,0.0
20161028,43.34,43.34,43.34,43.34,273,0.0,0.0,0.2,0.087,0.0
20161031,43.34,43.34,43.34,43.34,0,0.0,0.0,0.0,0.0,0.0
20161101,43.34,43.34,43.34,43.34,0,0.0,0.0,0.0,0.0,0.0
20161102,43.34,43.34,43.34,43.34,0,0.0,0.0,0.0,0.0,0.0
20161103,43.34,43.34,43.34,43.34,0,0.0,0.0,0.0,0.0,0.0
20161104,43.34,43.34,43.34,43.34,0,0.0,0.0,0.0,0.0,0.0
20161107,43.34,43.1,43.34,43.073,2248,0.0,0.62,-0.55,-0.24,0.0
20161109,43.401,43.401,43.401,43.401,200,0.0,0.0,0.7,0.301,0.0
20161115,45.239,45.507,45.507,45.239,355,0.0,0.62,4.85,2.106,0.0
20161116,45.507,45.32,45.527,45.32,1840,0.0,0.45,-0.41,-0.187,0.0
20161117,45.52,45.533,45.533,45.52,509,0.0,0.03,0.47,0.213,0.0
20161118,45.46,45.493,45.493,45.46,260,0.0,0.07,-0.09,-0.04,0.0
20161122,46.155,46.155,46.155,46.155,344,0.0,0.0,1.46,0.662,0.0
20161123,46.403,46.403,46.403,46.403,563,0.0,0.0,0.54,0.248,0.0
20161125,46.59,46.53,46.59,46.53,342,0.0,0.13,0.27,0.127,0.0
20161129,46.329,46.329,46.329,46.329,400,0.0,0.0,-0.43,-0.201,0.0
20161130,46.476,46.516,46.516,46.429,704,0.0,0.19,0.4,0.187,0.0
20161205,46.536,46.797,46.804,46.536,1039,0.0,0.58,0.6,0.281,0.0
20161207,47.68,47.68,47.68,47.68,147,0.0,0.0,1.89,0.883,0.0
20161208,48.315,48.275,48.315,48.275,449,0.0,0.08,1.25,0.595,0.0
20161212,48.068,47.941,48.114,47.941,422,0.0,0.36,-0.69,-0.334,0.0
20161213,47.74,47.961,47.961,47.74,544,0.0,0.46,0.04,0.02,0.0
20161215,47.426,47.426,47.426,47.426,140,0.0,0.0,-1.12,-0.535,0.0
20161219,49.674,50.018,50.018,49.674,405,0.0,0.73,5.47,2.592,0.0
20161220,50.271,47.961,50.271,47.961,679,0.0,4.62,-4.11,-2.057,0.0
20161221,48.277,47.898,48.277,47.898,2262,0.0,0.79,-0.13,-0.063,0.0
20161222,47.912,47.533,47.912,47.533,1012,0.0,0.79,-0.76,-0.365,0.0
20161223,47.533,47.673,47.708,47.512,2660,0.0,0.41,0.29,0.14,0.0
20161227,47.764,47.75,47.764,47.75,301,0.0,0.03,0.16,0.077,0.0
20161228,47.413,47.315,47.413,47.315,643,0.0,0.21,-0.91,-0.435,0.0
20170104,48.214,48.158,48.214,48.158,407,0.0,0.12,1.78,0.843,0.0
20170106,47.926,48.031,48.031,47.926,539,0.0,0.22,-0.26,-0.127,0.0
20170109,47.764,47.645,47.799,47.631,46586,0.0,0.35,-0.8,-0.386,0.0
20170110,47.715,47.715,47.715,47.715,124,0.0,0.0,0.15,0.07,0.0
20170111,47.687,47.687,47.687,47.687,111,0.0,0.0,-0.06,-0.028,0.0
20170113,47.694,47.694,47.694,47.694,4,0.0,0.0,0.01,0.007,0.0
20170117,47.898,47.898,47.898,47.898,320,0.0,0.0,0.43,0.204,0.0
20170118,47.729,47.856,47.926,47.729,600,0.0,0.41,-0.09,-0.042,0.0
20170119,47.764,47.764,47.764,47.764,454,0.0,0.0,-0.19,-0.092,0.0
20170123,47.624,47.799,47.828,47.582,1259,0.0,0.52,0.07,0.035,0.0
20170125,48.93,48.881,48.93,48.881,286,0.0,0.1,2.26,1.082,0.0
20170126,48.909,48.909,48.909,48.909,310,0.0,0.0,0.06,0.028,0.0
20170130,47.996,48.052,48.052,47.996,235,0.0,0.11,-1.75,-0.857,0.0
20170203,50.636,48.565,50.636,48.382,2524,0.0,4.69,1.07,0.513,0.0
20170206,48.509,48.256,48.509,48.256,1909,0.0,0.52,-0.64,-0.309,0.0
20170207,48.207,48.207,48.207,48.207,227,0.0,0.0,-0.1,-0.049,0.0
20170210,49.028,49.042,49.042,49.028,722,0.0,0.03,1.73,0.835,0.0
20170215,49.161,49.435,49.435,49.161,707,0.0,0.56,0.8,0.393,0.0
20170217,48.923,49.161,49.161,48.923,383,0.0,0.48,-0.55,-0.274,0.0
20170221,49.498,49.681,49.681,49.498,1986,0.0,0.37,1.06,0.52,0.0
20170222,49.456,49.512,49.512,49.428,1350,0.0,0.17,-0.34,-0.169,0.0
20170223,49.554,49.47,49.632,49.218,1667,0.0,0.84,-0.08,-0.042,0.0
20170224,49.211,49.449,49.449,49.211,814,0.0,0.48,-0.04,-0.021,0.0
20170227,49.73,49.667,49.73,49.667,324,0.0,0.13,0.44,0.218,0.0
20170228,49.547,49.393,49.59,49.316,3646,0.0,0.55,-0.55,-0.274,0.0
20170301,49.723,49.716,49.723,49.716,1378,0.0,0.01,0.65,0.323,0.0
20170302,49.653,49.632,49.653,49.597,649,0.0,0.11,-0.17,-0.084,0.0
20170303,49.386,49.379,49.414,49.379,1243,0.0,0.07,-0.51,-0.253,0.0
20170306,49.379,49.14,49.379,49.049,1194,0.0,0.67,-0.48,-0.239,0.0
20170308,48.789,48.684,48.789,48.684,268,0.0,0.21,-0.93,-0.456,0.0
20170309,48.649,48.256,48.649,48.256,786,0.0,0.81,-0.88,-0.428,0.0
20170310,48.572,48.572,48.572,48.572,140,0.0,0.0,0.65,0.316,0.0
20170313,48.719,48.719,48.719,48.698,904,0.0,0.04,0.3,0.147,0.0
20170314,48.53,48.544,48.544,48.53,556,0.0,0.03,-0.36,-0.175,0.0
20170316,49.33,49.33,49.33,49.33,284,0.0,0.0,1.62,0.786,0.0
20170320,49.555,49.555,49.563,49.548,921,0.0,0.03,0.46,0.225,0.0
20170321,50.48,49.164,50.48,49.164,442,0.0,2.66,-0.79,-0.391,0.0
20170323,49.171,49.157,49.171,49.143,528,0.0,0.06,-0.01,-0.007,0.0
20170324,49.107,48.951,49.107,48.951,424,0.0,0.32,-0.42,-0.206,0.0
20170327,48.866,48.532,48.866,48.532,277,0.0,0.68,-0.86,-0.419,0.0
