trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,10.66,10.46,10.66,10.46,4700,0.0,0.0,0.0,0.0,0.04
20010103,10.41,10.21,10.41,10.21,3600,0.0,1.91,-2.39,-0.25,0.03
20010104,10.16,10.06,10.16,10.06,700,0.0,0.98,-1.47,-0.15,0.01
20010105,9.96,9.97,9.98,9.96,4000,0.0,0.2,-0.89,-0.09,0.03
20010108,9.56,10.16,10.26,9.26,20200,0.0,10.03,1.91,0.19,0.17
20010109,10.16,9.86,10.16,9.86,3800,0.0,2.95,-2.95,-0.3,0.03
20010110,9.76,9.37,9.76,9.36,5000,0.0,4.06,-4.97,-0.49,0.04
20010111,9.46,9.38,9.46,9.36,4400,0.0,1.07,0.11,0.01,0.04
20010112,9.28,9.16,9.36,9.16,5800,0.0,2.13,-2.35,-0.22,0.05
20010116,9.06,9.51,9.51,8.66,20700,0.0,9.28,3.82,0.35,0.17
20010117,9.51,9.46,9.61,9.46,4300,0.0,1.58,-0.53,-0.05,0.04
20010118,9.42,9.41,9.46,9.41,3800,0.0,0.53,-0.53,-0.05,0.03
20010119,9.42,9.96,9.96,9.42,4100,0.0,5.74,5.84,0.55,0.03
20010122,9.84,9.86,9.96,9.84,2800,0.0,1.2,-1.0,-0.1,0.02
20010123,9.76,9.86,9.86,9.76,400,0.0,1.01,0.0,0.0,0.0
20010124,9.86,10.36,10.36,9.86,12700,0.0,5.07,5.07,0.5,0.11
20010125,10.41,10.21,10.41,10.16,1400,0.0,2.41,-1.45,-0.15,0.01
20010126,10.21,9.71,10.21,9.71,5900,0.0,4.9,-4.9,-0.5,0.05
20010129,9.76,10.66,10.66,9.76,10000,0.0,9.27,9.78,0.95,0.08
20010130,10.56,10.16,10.56,10.16,4400,0.0,3.75,-4.69,-0.5,0.04
20010131,10.26,10.66,10.84,10.26,15900,0.0,5.71,4.92,0.5,0.13
20010201,10.71,10.66,10.71,10.56,7500,0.0,1.41,0.0,0.0,0.06
20010202,10.71,10.71,10.76,10.71,8900,0.0,0.47,0.47,0.05,0.07
20010205,10.76,10.86,10.86,10.76,800,0.0,0.93,1.4,0.15,0.01
20010206,10.96,11.11,11.11,10.86,6800,0.0,2.3,2.3,0.25,0.06
20010207,11.0,11.41,11.41,11.0,7200,0.0,3.69,2.7,0.3,0.06
20010208,11.35,11.7,11.7,11.25,6600,0.0,3.94,2.54,0.29,0.05
20010209,11.55,12.05,12.25,11.55,8200,0.0,5.98,2.99,0.35,0.07
20010212,11.95,12.05,12.05,11.95,900,0.0,0.83,0.0,0.0,0.01
20010213,11.9,12.3,12.3,11.9,4900,0.0,3.32,2.07,0.25,0.04
20010214,12.45,12.5,12.5,12.3,2800,0.0,1.63,1.63,0.2,0.02
20010215,12.5,12.85,12.89,12.5,5600,0.0,3.12,2.8,0.35,0.05
20010216,12.65,12.35,12.66,12.35,5100,0.0,2.41,-3.89,-0.5,0.04
20010220,12.19,12.1,12.35,12.1,4900,0.0,2.02,-2.02,-0.25,0.04
20010221,12.1,11.75,12.1,11.75,3500,0.0,2.89,-2.89,-0.35,0.03
20010222,11.75,11.55,11.75,11.55,3300,0.0,1.7,-1.7,-0.2,0.03
20010223,11.55,11.24,11.55,11.24,1700,0.0,2.68,-2.68,-0.31,0.01
20010226,11.24,10.75,11.24,10.6,8900,0.0,5.69,-4.36,-0.49,0.07
20010227,10.65,10.55,10.7,10.51,1100,0.0,1.77,-1.86,-0.2,0.01
20010228,10.51,10.41,10.51,10.4,900,0.0,1.04,-1.33,-0.14,0.01
