trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210115,24.552,24.308,24.552,24.308,65306,1629953.0,0.0,0.0,0.0,0.0
20210119,24.454,24.464,24.464,24.425,2407,60238.0,0.16,0.64,0.156,0.0
20210120,24.669,24.748,24.748,24.669,4006,101250.0,0.32,1.16,0.284,0.0
20210121,24.757,24.757,24.757,24.757,10,253.0,0.0,0.04,0.009,0.0
20210122,24.708,24.748,24.777,24.669,6693,169267.0,0.44,-0.04,-0.009,0.0
20210125,24.816,24.787,24.816,24.728,2072,52569.0,0.36,0.16,0.039,0.0
20210126,24.884,24.787,24.884,24.787,201,5117.0,0.39,0.0,0.0,0.0
20210127,24.308,24.279,24.308,24.279,1165,28985.0,0.12,-2.05,-0.508,0.0
20210128,24.796,24.708,24.845,24.708,1837,46646.0,0.56,1.77,0.429,0.0
20210129,24.474,24.181,24.474,24.181,633,15827.0,1.19,-2.13,-0.527,0.0
20210201,24.269,24.542,24.542,24.269,6396,160426.0,1.13,1.49,0.361,0.0
20210202,24.708,24.757,24.845,24.708,3722,94567.0,0.56,0.88,0.215,0.0
20210203,24.708,24.708,24.708,24.708,62,1567.0,0.0,-0.2,-0.049,0.0
20210204,24.806,24.835,24.835,24.767,20388,517630.0,0.28,0.51,0.127,0.0
20210205,24.932,24.932,24.932,24.932,163,4159.0,0.0,0.39,0.097,0.0
20210208,25.07,25.069,25.109,25.036,4926,126482.0,0.29,0.55,0.137,0.0
20210209,25.119,25.103,25.119,25.103,102,2622.0,0.06,0.14,0.034,0.0
20210210,25.07,25.073,25.148,25.06,22240,571909.0,0.35,-0.12,-0.03,0.0
20210211,25.133,25.133,25.133,25.133,81,2083.0,0.0,0.24,0.06,0.0
20210212,25.158,25.259,25.259,25.141,4229,108908.0,0.47,0.5,0.126,0.0
20210216,25.324,25.283,25.363,25.265,1736,44969.0,0.39,0.1,0.024,0.0
20210217,25.265,25.282,25.309,25.226,3192,82538.0,0.33,0.0,-0.001,0.0
20210218,25.226,25.18,25.226,25.18,410,10583.0,0.18,-0.4,-0.102,0.0
20210219,25.236,25.165,25.265,25.165,2851,73625.0,0.4,-0.06,-0.015,0.0
20210222,24.946,24.946,24.946,24.946,341,8706.0,0.0,-0.87,-0.219,0.0
20210223,24.943,25.002,25.099,24.738,2934,74787.0,1.45,0.22,0.056,0.0
20210224,25.143,25.266,25.275,25.143,6807,175730.0,0.53,1.06,0.264,0.0
20210225,24.726,24.726,24.726,24.726,8,202.0,0.0,-2.14,-0.54,0.0
20210226,24.68,24.68,24.68,24.68,165,4168.0,0.0,-0.19,-0.046,0.0
20210301,25.063,25.063,25.063,25.063,89,2283.0,0.0,1.55,0.383,0.0
20210302,25.06,24.889,25.06,24.889,2971,75950.0,0.68,-0.69,-0.174,0.0
20210303,24.699,24.609,24.699,24.609,250,6320.0,0.36,-1.12,-0.28,0.0
20210304,24.484,24.299,24.562,24.025,1700,42621.0,2.18,-1.26,-0.31,0.0
20210305,24.259,24.71,24.71,24.152,1913,47560.0,2.3,1.69,0.411,0.0
20210308,24.757,24.577,24.772,24.577,1544,39089.0,0.79,-0.54,-0.133,0.0
20210309,24.894,24.962,24.962,24.884,6792,173254.0,0.32,1.57,0.385,0.0
20210310,24.998,24.998,24.998,24.998,2,51.0,0.0,0.14,0.036,0.0
20210311,25.204,25.204,25.204,25.204,4,103.0,0.0,0.82,0.206,0.0
20210312,25.256,25.248,25.256,25.248,195,5040.0,0.03,0.17,0.044,0.0
20210315,25.275,25.361,25.361,25.275,4313,111793.0,0.34,0.45,0.113,0.0
20210317,25.216,25.38,25.38,25.216,5196,134525.0,0.65,0.07,0.019,0.0
20210318,25.226,25.078,25.348,25.078,314,8132.0,1.06,-1.19,-0.302,0.0
20210319,25.081,25.081,25.081,25.081,1,25.0,0.0,0.01,0.003,0.0
20210322,25.114,25.224,25.265,25.114,1070,27643.0,0.6,0.57,0.143,0.0
20210323,25.124,25.009,25.177,25.009,8228,211863.0,0.67,-0.85,-0.215,0.0
20210324,24.894,24.894,24.894,24.894,5,127.0,0.0,-0.46,-0.115,0.0
20210325,24.953,24.994,25.021,24.953,500,12793.0,0.27,0.4,0.1,0.0
20210326,25.031,25.182,25.182,25.031,26728,684771.0,0.6,0.75,0.188,0.0
20210329,25.204,25.204,25.204,25.204,38,980.0,0.0,0.09,0.022,0.0
20210405,25.734,25.698,25.744,25.698,301,7928.0,0.18,1.96,0.494,0.0
20210406,25.803,25.679,25.803,25.679,8695,229567.0,0.48,-0.07,-0.019,0.0
20210407,25.666,25.732,25.793,25.666,2108,55569.0,0.49,0.21,0.053,0.0
20210408,25.841,25.774,25.841,25.774,568,15009.0,0.26,0.16,0.042,0.0
20210409,25.803,25.972,25.972,25.803,484,12782.0,0.66,0.77,0.198,0.0
20210412,25.988,26.008,26.008,25.988,376,10005.0,0.08,0.14,0.036,0.0
20210413,27.307,26.101,27.307,26.008,4414,119743.0,4.99,0.36,0.093,0.0
20210414,26.125,25.979,26.145,25.979,3800,101535.0,0.64,-0.47,-0.122,0.0
20210415,26.222,26.222,26.222,26.222,283,7595.0,0.0,0.94,0.243,0.0
20210416,26.33,26.313,26.33,26.252,782,21040.0,0.3,0.35,0.091,0.0
20210419,26.252,26.208,26.281,26.208,3230,86767.0,0.28,-0.4,-0.105,0.0
20210420,26.184,26.051,26.184,26.051,201,5386.0,0.51,-0.6,-0.157,0.0
20210421,26.179,26.289,26.289,26.086,5743,153832.0,0.78,0.91,0.238,0.0
20210423,26.309,26.309,26.309,26.309,32,861.0,0.0,0.08,0.02,0.0
20210426,26.399,26.359,26.418,26.359,3145,85036.0,0.22,0.19,0.05,0.0
