trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210421,65.5,69.0,70.74,64.84,23791556,1602420448.0,10.54,23.21,13.0,4.61
20210422,73.2,75.5,80.0,71.03,13263830,1012504752.0,13.0,9.42,6.5,2.57
20210423,76.58,74.84,77.401,72.57,3099535,231511581.0,6.4,-0.87,-0.66,0.6
20210426,76.15,80.81,82.44,75.7,3557344,283273616.0,9.01,7.98,5.97,0.69
20210427,82.4,75.37,83.4,75.1,2721944,212993189.0,10.27,-6.73,-5.44,0.53
20210428,76.58,75.41,77.89,75.41,811964,61997120.0,3.29,0.05,0.04,0.16
20210429,76.37,75.29,76.98,70.11,1901542,138715928.0,9.11,-0.16,-0.12,0.37
20210430,73.38,72.0,74.5,71.66,1230048,89936577.0,3.77,-4.37,-3.29,0.24
20210503,72.33,70.93,73.0,67.75,2526201,175913525.0,7.29,-1.49,-1.07,0.49
20210504,70.32,73.98,76.58,69.25,2600317,187757411.0,10.33,4.3,3.05,0.5
20210505,74.44,70.87,75.84,70.12,1151831,84242500.0,7.73,-4.2,-3.11,0.22
20210506,70.07,69.29,70.485,65.56,2125286,144752091.0,6.95,-2.23,-1.58,0.41
20210507,69.29,69.02,71.94,68.31,1797504,126155246.0,5.24,-0.39,-0.27,0.35
20210510,68.6,65.4,68.9,62.01,3230956,207931518.0,9.98,-5.24,-3.62,0.63
20210511,62.28,74.81,77.25,61.5,5735793,408270928.0,24.08,14.39,9.41,1.11
20210512,71.61,71.76,74.56,70.25,3071109,220073426.0,5.76,-4.08,-3.05,0.59
20210513,71.76,66.42,72.59,64.27,4605783,310876816.0,11.59,-7.44,-5.34,0.89
20210514,68.51,70.48,71.23,67.48,1543400,107691002.0,5.65,6.11,4.06,0.3
20210517,67.99,68.0,70.77,65.2,1543689,103282416.0,7.9,-3.52,-2.48,0.3
20210518,68.4,73.26,74.65,67.82,2029663,147807602.0,10.04,7.74,5.26,0.39
20210519,71.0,72.46,75.06,70.99,1381165,100879413.0,5.56,-1.09,-0.8,0.27
20210520,74.0,75.4,78.86,74.0,1282875,98280218.0,6.71,4.06,2.94,0.25
20210521,77.07,78.75,83.99,76.84,2107257,170335173.0,9.48,4.44,3.35,0.41
20210524,80.4,85.12,88.62,79.91,2852859,244038448.0,11.06,8.09,6.37,0.55
20210525,85.5,84.0,87.81,80.22,1790008,149879877.0,8.92,-1.32,-1.12,0.35
20210526,84.19,85.0,86.0,82.67,1173809,98926982.0,3.96,1.19,1.0,0.23
20210527,85.49,83.54,88.42,82.21,1828986,156191849.0,7.31,-1.72,-1.46,0.35
20210528,84.99,79.82,90.0,78.56,2344785,195029401.0,13.69,-4.45,-3.72,0.45
20210601,80.73,80.81,83.109,77.54,1019989,81972804.0,6.98,1.24,0.99,0.2
20210602,80.02,81.0,82.3,77.76,881967,70849106.0,5.62,0.24,0.19,0.17
20210603,79.8,73.52,79.99,73.52,1571900,120017681.0,7.99,-9.23,-7.48,0.3
20210604,75.0,75.75,79.26,73.8,1828911,139580018.0,7.43,3.03,2.23,0.35
20210607,76.75,73.88,77.01,70.63,2469832,180214089.0,8.42,-2.47,-1.87,0.49
20210608,75.2,76.0,77.36,72.9,3033833,225960811.0,6.04,2.87,2.12,0.6
20210609,69.89,68.71,74.94,68.63,7334658,523281632.0,8.3,-9.59,-7.29,1.44
20210610,67.75,74.03,74.1,67.0,11847126,851819984.0,10.33,7.74,5.32,2.33
20210611,73.39,71.5,73.5,70.52,3487932,250773786.0,4.03,-3.42,-2.53,0.69
20210614,71.98,69.8,72.03,68.91,3666521,256218941.0,4.36,-2.38,-1.7,0.72
20210615,69.51,70.0,72.4,69.37,4126444,290864336.0,4.34,0.29,0.2,0.81
20210616,69.0,69.77,70.0,67.8,4769896,328168752.0,3.14,-0.33,-0.23,0.94
20210617,68.5,70.0,70.92,68.1,3834952,266806577.0,4.04,0.33,0.23,0.75
20210618,69.7,69.75,70.4,69.08,3175374,221491597.0,1.89,-0.36,-0.25,0.62
