trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210715,12.5,13.08,13.25,12.5,540192,6885887.0,7.5,30.8,3.08,19.45
20210716,12.9,13.174,13.58,12.9,99661,1316427.0,5.2,0.72,0.094,3.59
20210719,13.0,13.11,13.12,12.92,43589,570358.0,1.52,-0.49,-0.064,1.57
20210720,13.0,13.219,13.25,13.0,23202,306322.0,1.91,0.83,0.109,0.84
20210721,13.25,13.25,13.42,13.25,31218,414403.0,1.29,0.23,0.031,1.12
20210722,13.03,13.244,13.25,13.03,28599,376348.0,1.66,-0.05,-0.006,1.03
20210723,13.15,13.05,13.2,13.05,30896,406578.0,1.13,-1.46,-0.194,1.11
20210726,13.1,13.07,13.1,13.03,81307,1062163.0,0.54,0.15,0.02,2.93
20210727,13.03,12.97,13.034,12.95,75891,984599.0,0.64,-0.77,-0.1,2.73
20210728,12.985,12.995,13.0,12.97,16312,211917.0,0.23,0.19,0.025,0.59
20210729,13.0,12.98,13.003,12.95,21562,279831.0,0.41,-0.12,-0.015,0.78
20210730,12.85,12.83,12.85,12.823,17307,222286.0,0.21,-1.16,-0.15,0.62
20210802,12.8,12.97,12.98,12.8,25775,330452.0,1.4,1.09,0.14,0.93
20210803,12.9,12.81,12.9,12.8,13033,167409.0,0.77,-1.23,-0.16,0.47
20210804,12.82,12.801,12.84,12.78,20386,261014.0,0.47,-0.07,-0.009,0.73
20210805,12.78,12.68,12.822,12.675,30933,394311.0,1.15,-0.95,-0.121,1.11
20210806,12.725,12.8,12.8,12.725,16153,206185.0,0.59,0.95,0.12,0.58
20210809,12.76,12.95,12.95,12.76,17999,230780.0,1.48,1.17,0.15,0.65
20210810,12.8,12.95,12.95,12.8,11432,146919.0,1.16,0.0,0.0,0.41
20210811,12.82,12.93,12.93,12.82,10022,129532.0,0.85,-0.15,-0.02,0.36
20210812,12.91,12.85,12.93,12.85,5725,73758.0,0.62,-0.62,-0.08,0.21
20210813,12.85,12.895,12.93,12.75,21444,274954.0,1.4,0.35,0.045,0.77
20210816,12.9,13.15,13.19,12.76,45702,594755.0,3.33,1.98,0.255,1.65
20210817,13.15,13.1,13.15,13.05,18435,241381.0,0.76,-0.38,-0.05,0.66
20210818,13.1,13.25,13.25,13.075,27033,355810.0,1.34,1.15,0.15,0.97
20210819,13.204,13.25,13.25,13.13,25351,335150.0,0.91,0.0,0.0,0.91
20210820,13.25,13.25,13.25,13.23,6303,83464.0,0.15,0.0,0.0,0.23
20210823,13.25,13.3,13.3,13.217,7305,96878.0,0.63,0.38,0.05,0.26
20210824,13.275,13.285,13.3,13.275,4127,54850.0,0.19,-0.11,-0.015,0.15
20210825,13.3,13.36,13.4,13.3,23717,316403.0,0.75,0.56,0.075,0.85
20210826,13.36,13.57,13.57,13.36,14021,189208.0,1.57,1.57,0.21,0.5
20210827,13.533,13.72,13.72,13.533,14273,194207.0,1.38,1.11,0.15,0.51
20210830,13.642,13.77,13.77,13.642,6209,84857.0,0.93,0.36,0.05,0.22
20210831,13.77,14.0,14.07,13.77,16474,229093.0,2.18,1.67,0.23,0.59
20210901,14.0,14.0,14.08,14.0,4114,57622.0,0.57,0.0,0.0,0.15
20210902,14.029,14.08,14.08,14.001,2734,38347.0,0.56,0.57,0.08,0.1
20210903,14.08,14.0,14.08,13.955,3765,52741.0,0.89,-0.57,-0.08,0.14
20210907,14.0,14.02,15.54,13.855,13775,193283.0,12.04,0.14,0.02,0.5
20210908,14.05,15.4,15.4,14.0,7915,119162.0,9.99,9.84,1.38,0.28
20210909,14.85,14.74,14.85,13.844,12364,180125.0,6.53,-4.29,-0.66,0.45
20210910,14.15,14.57,15.0,14.125,5849,86540.0,5.94,-1.15,-0.17,0.21
20210913,14.56,14.87,14.93,14.51,8887,131338.0,2.88,2.06,0.3,0.32
20210914,14.74,14.75,14.75,14.51,4877,71536.0,1.61,-0.81,-0.12,0.18
20210915,14.38,14.06,14.7,14.06,12712,181816.0,4.34,-4.68,-0.69,0.46
20210916,14.1,14.1,14.4,14.1,8631,122108.0,2.13,0.28,0.04,0.31
20210917,14.11,13.3,14.61,13.18,55512,756407.0,10.14,-5.67,-0.8,2.0
20210920,14.245,13.5,14.25,13.34,33026,451382.0,6.84,1.5,0.2,1.19
20210921,14.439,13.3,14.439,13.24,11812,160586.0,8.88,-1.48,-0.2,0.43
20210922,14.2,13.52,14.2,13.52,3067,42082.0,5.11,1.65,0.22,0.11
20210923,14.39,13.65,14.39,13.65,7048,98388.0,5.47,0.96,0.13,0.25
20210924,13.609,13.755,13.755,13.609,2118,29035.0,1.07,0.77,0.105,0.08
