trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,4.77,5.67,5.72,4.66,327913,0.0,173.77,829.51,5.06,0.82
20110127,5.58,5.93,6.09,5.45,261015,0.0,11.29,4.59,0.26,0.65
20110128,6.05,5.2,6.16,5.05,326242,0.0,18.72,-12.31,-0.73,0.81
20110131,5.36,5.6,5.9,5.26,205176,0.0,12.31,7.69,0.4,0.51
20110201,5.77,6.2,6.34,5.29,228967,0.0,18.75,10.71,0.6,0.57
20110202,6.22,5.91,6.46,5.79,118177,0.0,10.81,-4.68,-0.29,0.3
20110203,5.82,5.19,5.83,4.99,205868,0.0,14.21,-12.18,-0.72,0.51
20110204,5.33,5.03,5.64,4.65,232378,0.0,19.08,-3.08,-0.16,0.58
20110207,4.95,5.43,5.53,4.7,296138,0.0,16.5,7.95,0.4,0.74
20110208,5.42,6.27,6.46,5.28,219299,0.0,21.73,15.47,0.84,0.55
20110209,5.7,6.06,6.38,5.7,345027,0.0,10.85,-3.35,-0.21,0.86
20110210,5.88,6.65,6.88,5.74,313677,0.0,18.81,9.74,0.59,0.78
20110211,6.68,6.89,6.95,6.34,162360,0.0,9.17,3.61,0.24,0.41
20110214,6.9,6.57,7.04,6.44,211565,0.0,8.71,-4.64,-0.32,0.53
20110325,7.96,7.58,8.53,7.32,201266,0.0,18.42,15.37,1.01,0.5
20110328,7.62,8.04,8.22,7.61,136538,0.0,8.05,6.07,0.46,0.34
20110329,7.98,8.51,8.66,7.74,226400,0.0,11.44,5.85,0.47,0.57
20110330,8.67,8.66,8.92,8.51,328737,0.0,4.82,1.76,0.15,0.82
20110331,8.74,9.16,9.32,8.74,349983,0.0,6.7,5.77,0.5,0.87
20110401,9.48,9.51,9.89,9.27,251337,0.0,6.77,3.82,0.35,0.63
20110404,9.75,9.51,9.88,9.41,206581,0.0,4.94,0.0,0.0,0.52
20110405,9.57,9.48,9.7,9.3,207606,0.0,4.21,-0.32,-0.03,0.52
20110406,9.59,9.45,9.88,9.37,185291,0.0,5.38,-0.32,-0.03,0.46
20110407,9.56,9.48,9.69,9.2,253601,0.0,5.19,0.32,0.03,0.63
20110408,9.48,8.51,9.65,8.24,244132,0.0,14.87,-10.23,-0.97,0.61
20110411,8.41,8.69,9.03,7.97,179600,0.0,12.46,2.12,0.18,0.45
20110412,8.34,7.73,8.75,7.72,196251,0.0,11.85,-11.05,-0.96,0.49
20110413,8.1,7.5,8.2,7.04,198097,0.0,15.01,-2.98,-0.23,0.49
20110414,7.32,7.73,7.92,6.76,158272,0.0,15.47,3.07,0.23,0.4
20110415,7.61,7.97,7.97,7.5,296344,0.0,6.08,3.1,0.24,0.74
20110418,7.47,7.41,7.5,6.96,182342,0.0,6.78,-7.03,-0.56,0.46
20110419,7.51,7.6,7.99,7.2,108763,0.0,10.66,2.56,0.19,0.27
20110420,8.24,7.88,8.31,7.66,155504,0.0,8.55,3.68,0.28,0.39
20110421,8.26,7.93,8.69,7.7,137047,0.0,12.56,0.63,0.05,0.34
20110425,7.96,7.96,7.96,7.49,124470,0.0,5.93,0.38,0.03,0.31
20110426,7.96,8.72,8.91,7.75,303942,0.0,14.57,9.55,0.76,0.76
20110427,8.56,7.91,8.56,7.47,405964,0.0,12.5,-9.29,-0.81,1.01
20110428,7.82,7.74,8.09,7.52,232060,0.0,7.21,-2.15,-0.17,0.58
20110429,7.93,7.62,8.11,7.22,192953,0.0,11.5,-1.55,-0.12,0.48
20110502,7.84,7.01,7.88,6.81,166580,0.0,14.04,-8.01,-0.61,0.41
20110503,6.82,6.73,7.35,6.34,181926,0.0,14.41,-3.99,-0.28,0.45
20110504,6.76,5.93,6.91,5.88,221918,0.0,15.3,-11.89,-0.8,0.55
20110505,5.78,5.98,6.4,5.36,201097,0.0,17.54,0.84,0.05,0.5
20110506,6.54,5.73,6.54,5.47,140650,0.0,17.89,-4.18,-0.25,0.35
20110509,5.76,6.11,6.16,5.42,121604,0.0,12.91,6.63,0.38,0.3
20110510,6.26,7.13,7.27,6.26,333378,0.0,16.53,16.69,1.02,0.83
20110511,7.19,6.5,7.19,6.07,206220,0.0,15.71,-8.84,-0.63,0.51
20110512,6.4,6.82,6.9,6.05,161336,0.0,13.08,4.92,0.32,0.4
20110513,6.85,6.03,6.85,5.83,89219,0.0,14.96,-11.58,-0.79,0.22
20110516,5.8,5.71,6.2,5.48,134882,0.0,11.94,-5.31,-0.32,0.34
20110517,5.41,5.58,5.92,5.26,109744,0.0,11.56,-2.28,-0.13,0.27
20110518,5.64,5.91,6.21,5.31,179746,0.0,16.13,5.91,0.33,0.45
20110519,6.17,5.8,6.21,5.51,185136,0.0,11.84,-1.86,-0.11,0.46
20110520,5.52,5.05,5.57,5.04,197256,0.0,9.14,-12.93,-0.75,0.49
20110523,4.86,4.63,5.04,4.47,178191,0.0,11.29,-8.32,-0.42,0.44
20110524,4.81,4.66,4.95,4.08,219710,0.0,18.79,0.65,0.03,0.55
20110525,4.61,4.43,4.82,4.07,148556,0.0,16.09,-4.94,-0.23,0.37
20110526,4.41,4.36,4.73,4.08,226521,0.0,14.67,-1.58,-0.07,0.56
20110527,4.65,4.88,4.98,4.32,191998,0.0,15.14,11.93,0.52,0.48
