trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,7.2,7.2,7.2,6.25,69800,0.0,0.0,0.0,0.0,0.31
20010103,6.7,7.35,7.5,6.55,21200,0.0,13.19,2.08,0.15,0.09
20010104,7.2,10.3,10.3,6.7,131100,0.0,48.98,40.14,2.95,0.58
20010105,10.0,10.0,10.15,9.4,117900,0.0,7.28,-2.91,-0.3,0.53
20010108,9.55,9.7,10.0,9.4,46000,0.0,6.0,-3.0,-0.3,0.2
20010109,9.4,9.4,9.85,9.4,113600,0.0,4.64,-3.09,-0.3,0.51
20010110,9.75,8.75,9.85,8.45,132400,0.0,14.89,-6.91,-0.65,0.59
20010111,8.75,9.4,9.4,8.75,27100,0.0,7.43,7.43,0.65,0.12
20010112,8.75,8.45,8.75,8.45,32700,0.0,3.19,-10.11,-0.95,0.15
20010116,8.65,8.45,8.65,7.8,57000,0.0,10.06,0.0,0.0,0.25
20010117,8.6,9.7,9.7,8.45,26700,0.0,14.79,14.79,1.25,0.12
20010118,9.05,9.7,9.7,9.05,12300,0.0,6.7,0.0,0.0,0.05
20010119,9.7,9.7,9.7,8.75,36700,0.0,9.79,0.0,0.0,0.16
20010122,9.4,9.4,9.4,8.75,23700,0.0,6.7,-3.09,-0.3,0.11
20010123,8.85,10.0,10.0,8.75,93700,0.0,13.3,6.38,0.6,0.42
20010124,10.0,10.0,10.0,8.75,274500,0.0,12.5,0.0,0.0,1.22
20010125,9.85,9.85,10.0,9.55,57400,0.0,4.5,-1.5,-0.15,0.26
20010126,9.85,9.7,10.0,9.7,39900,0.0,3.05,-1.52,-0.15,0.18
20010129,9.7,9.7,10.15,9.4,54900,0.0,7.73,0.0,0.0,0.24
20010130,9.7,9.4,9.85,9.05,56100,0.0,8.25,-3.09,-0.3,0.25
20010131,9.05,9.85,9.85,9.05,9100,0.0,8.51,4.79,0.45,0.04
20010201,9.3,9.85,9.85,9.3,24100,0.0,5.58,0.0,0.0,0.11
20010202,10.0,9.85,10.0,9.7,70100,0.0,3.05,0.0,0.0,0.31
20010205,9.85,9.7,9.85,9.7,22300,0.0,1.52,-1.52,-0.15,0.1
20010206,9.7,9.85,9.85,9.55,25100,0.0,3.09,1.55,0.15,0.11
20010207,9.55,9.85,10.15,9.55,103400,0.0,6.09,0.0,0.0,0.46
20010208,9.85,9.9,10.3,9.85,62300,0.0,4.57,0.51,0.05,0.28
20010209,9.7,9.7,10.0,9.55,25700,0.0,4.55,-2.02,-0.2,0.11
20010212,9.55,9.4,9.6,9.4,9000,0.0,2.06,-3.09,-0.3,0.04
20010213,9.6,10.0,10.0,9.4,3500,0.0,6.38,6.38,0.6,0.02
20010214,10.0,9.55,10.0,9.4,18200,0.0,6.0,-4.5,-0.45,0.08
20010215,9.4,9.4,10.0,9.4,8000,0.0,6.28,-1.57,-0.15,0.04
20010216,9.7,10.0,10.45,8.75,86000,0.0,18.09,6.38,0.6,0.38
20010220,9.7,10.0,10.3,9.4,33100,0.0,9.0,0.0,0.0,0.15
20010221,9.4,9.55,9.85,9.4,43000,0.0,4.5,-4.5,-0.45,0.19
20010222,9.55,9.2,9.85,8.75,42000,0.0,11.52,-3.66,-0.35,0.19
20010223,9.05,9.55,9.85,9.05,51100,0.0,8.7,3.8,0.35,0.23
20010226,9.45,9.4,9.55,9.4,25500,0.0,1.57,-1.57,-0.15,0.11
20010227,9.4,9.4,9.7,9.05,10700,0.0,6.91,0.0,0.0,0.05
20010228,9.45,9.7,9.7,9.05,10200,0.0,6.91,3.19,0.3,0.05
20010301,9.15,9.7,9.7,9.05,12200,0.0,6.7,0.0,0.0,0.05
20010302,8.75,8.75,9.7,8.75,6600,0.0,9.79,-9.79,-0.95,0.03
20010305,8.6,9.4,9.4,8.45,15200,0.0,10.86,7.43,0.65,0.07
20010306,8.6,9.4,9.4,8.6,5200,0.0,8.51,0.0,0.0,0.02
20010307,9.15,9.4,9.7,9.05,32200,0.0,6.91,0.0,0.0,0.14
20010308,9.4,8.75,9.4,8.75,37900,0.0,6.91,-6.91,-0.65,0.17
20010309,8.75,9.7,9.7,8.75,16300,0.0,10.86,10.86,0.95,0.07
20010312,8.75,8.45,9.4,8.45,44500,0.0,9.79,-12.89,-1.25,0.2
20010313,9.3,8.75,9.4,8.75,19400,0.0,7.69,3.55,0.3,0.09
20010314,8.75,9.05,9.05,8.45,103600,0.0,6.86,3.43,0.3,0.46
20010315,9.05,9.4,9.4,9.05,6200,0.0,3.87,3.87,0.35,0.03
20010316,9.05,9.4,9.7,9.05,21300,0.0,6.91,0.0,0.0,0.09
20010319,9.05,8.75,9.05,8.75,43300,0.0,3.19,-6.91,-0.65,0.19
20010320,8.75,8.9,9.55,8.75,28800,0.0,9.14,1.71,0.15,0.13
20010321,8.9,9.05,9.4,8.9,23100,0.0,5.62,1.69,0.15,0.1
20010322,9.05,9.4,9.4,8.9,43200,0.0,5.52,3.87,0.35,0.19
20010323,9.4,9.05,9.55,8.9,64000,0.0,6.91,-3.72,-0.35,0.28
20010326,9.2,9.4,9.4,8.75,47200,0.0,7.18,3.87,0.35,0.21
20010327,9.4,9.05,9.55,8.75,74700,0.0,8.51,-3.72,-0.35,0.33
20010328,8.9,9.05,9.4,8.75,20200,0.0,7.18,0.0,0.0,0.09
20010329,9.2,9.2,9.4,9.05,36300,0.0,3.87,1.66,0.15,0.16
20010330,9.4,9.05,9.45,8.75,73200,0.0,7.61,-1.63,-0.15,0.32
20010402,8.75,9.05,9.55,8.75,50800,0.0,8.84,0.0,0.0,0.23
20010403,9.3,8.85,9.3,8.75,45400,0.0,6.08,-2.21,-0.2,0.2
20010404,8.5,8.35,8.75,8.3,43700,0.0,5.08,-5.65,-0.5,0.19
20010405,8.45,8.45,8.45,8.45,1200,0.0,0.0,1.2,0.1,0.01
20010406,8.6,8.45,8.75,8.1,17900,0.0,7.69,0.0,0.0,0.08
20010409,8.1,8.95,9.0,8.1,13800,0.0,10.65,5.92,0.5,0.06
20010410,8.95,9.1,9.4,8.95,31300,0.0,5.03,1.68,0.15,0.14
20010411,9.4,9.0,9.4,9.0,13400,0.0,4.4,-1.1,-0.1,0.06
20010412,9.1,9.5,9.5,9.0,33700,0.0,5.56,5.56,0.5,0.15
20010416,9.0,9.5,9.5,9.0,2400,0.0,5.26,0.0,0.0,0.01
20010417,9.0,9.5,9.5,9.0,30800,0.0,5.26,0.0,0.0,0.14
20010418,9.7,9.95,9.95,9.55,97700,0.0,4.21,4.74,0.45,0.43
20010419,9.95,9.8,10.0,9.55,137800,0.0,4.52,-1.51,-0.15,0.61
20010420,9.75,9.95,9.95,9.55,37500,0.0,4.08,1.53,0.15,0.17
20010423,9.95,9.95,9.95,9.75,10900,0.0,2.01,0.0,0.0,0.05
20010424,9.95,10.5,10.5,9.95,150400,0.0,5.53,5.53,0.55,0.67
20010425,10.4,11.2,11.2,10.1,201200,0.0,10.48,6.67,0.7,0.89
20010426,11.2,11.1,11.25,10.8,67900,0.0,4.02,-0.89,-0.1,0.3
20010427,11.25,11.45,11.7,11.05,158000,0.0,5.86,3.15,0.35,0.7
20010430,11.5,11.75,11.95,11.45,147000,0.0,4.37,2.62,0.3,0.65
20010501,12.0,12.1,12.25,11.75,88400,0.0,4.26,2.98,0.35,0.39
20010502,12.2,12.35,12.6,12.05,359800,0.0,4.55,2.07,0.25,1.59
20010503,12.4,12.4,12.45,12.3,707500,0.0,1.21,0.4,0.05,3.14
20010504,12.4,12.45,12.45,12.15,131600,0.0,2.42,0.4,0.05,0.58
20010507,12.5,12.3,12.5,12.0,53800,0.0,4.02,-1.2,-0.15,0.24
20010508,12.5,12.35,12.5,12.35,97800,0.0,1.22,0.41,0.05,0.43
20010509,12.35,11.8,12.55,11.8,140100,0.0,6.07,-4.45,-0.55,0.62
20010510,11.8,11.5,12.0,10.95,80600,0.0,8.9,-2.54,-0.3,0.36
20010511,11.75,12.0,12.5,11.4,362800,0.0,9.57,4.35,0.5,1.61
20010514,12.0,12.15,12.5,11.75,44800,0.0,6.25,1.25,0.15,0.2
20010515,12.15,12.1,12.5,12.05,109800,0.0,3.7,-0.41,-0.05,0.49
