trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20180516,12.805,12.78,12.811,12.78,4498,112337.0,0.24,-0.2,-0.025,0.0
20180517,12.8,12.805,12.805,12.8,3601,90022.0,0.04,0.2,0.025,0.0
20180518,12.826,12.836,12.836,12.826,3500,87676.0,0.08,0.24,0.031,0.0
20180521,12.852,12.826,12.852,12.826,9145,229265.0,0.2,-0.08,-0.01,0.0
20180522,12.821,12.805,12.821,12.805,9200,230188.0,0.12,-0.16,-0.021,0.0
20180523,12.836,12.816,12.836,12.816,12890,322766.0,0.16,0.09,0.011,0.0
20180524,12.816,12.841,12.841,12.816,13500,338029.0,0.2,0.2,0.025,0.0
20180525,12.867,12.867,12.882,12.867,5100,128153.0,0.12,0.2,0.026,0.0
20180529,12.857,12.857,12.872,12.857,500,12555.0,0.12,-0.08,-0.01,0.0
20180530,12.882,12.877,12.882,12.877,2617,65810.0,0.04,0.16,0.02,0.0
20180531,12.867,12.867,12.872,12.867,2200,55268.0,0.04,-0.08,-0.01,0.0
20180601,12.908,12.898,12.908,12.898,12700,319910.0,0.08,0.24,0.031,0.0
20180604,12.954,12.944,12.954,12.944,7746,195829.0,0.08,0.36,0.046,0.0
20180605,12.995,13.005,13.01,12.995,2700,68552.0,0.12,0.47,0.061,0.0
20180606,13.041,13.031,13.041,13.031,1477,37583.0,0.08,0.2,0.026,0.0
20180607,13.062,13.056,13.062,13.056,2481,63245.0,0.05,0.19,0.025,0.0
20180608,13.097,13.072,13.097,13.036,12000,306431.0,0.47,0.12,0.016,0.0
20180611,13.072,13.077,13.087,13.072,6002,153286.0,0.11,0.04,0.005,0.0
20180612,13.087,13.082,13.108,13.082,1600,40900.0,0.2,0.04,0.005,0.0
20180614,13.046,13.01,13.051,13.01,2300,58559.0,0.31,-0.55,-0.072,0.0
20180615,13.051,13.031,13.051,13.031,9053,230489.0,0.15,0.16,0.021,0.0
20180618,13.097,13.103,13.103,13.097,1070,27366.0,0.05,0.55,0.072,0.0
20180619,13.087,13.087,13.087,13.087,500,12775.0,0.0,-0.12,-0.016,0.0
20180620,13.108,13.087,13.108,13.087,3520,90044.0,0.16,0.0,0.0,0.0
20180621,13.138,13.113,13.144,13.113,3400,87123.0,0.24,0.2,0.026,0.0
20180622,13.138,13.123,13.138,13.123,2000,51276.0,0.11,0.08,0.01,0.0
20180625,13.149,13.133,13.154,13.133,2700,69275.0,0.16,0.08,0.01,0.0
20180626,13.159,13.149,13.159,13.149,2000,51366.0,0.08,0.12,0.016,0.0
20180627,13.149,13.128,13.149,13.128,2400,61533.0,0.16,-0.16,-0.021,0.0
20180628,13.118,13.087,13.118,13.087,6550,167521.0,0.24,-0.31,-0.041,0.0
20180629,13.179,13.185,13.195,13.179,1300,33466.0,0.12,0.75,0.098,0.0
20180702,13.21,13.19,13.21,13.19,2700,69569.0,0.15,0.04,0.005,0.0
