trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20200625,18.07,18.019,18.07,18.019,101,2506.0,0.0,0.0,0.0,0.0
20200701,17.902,17.902,17.902,17.902,1,0.0,0.0,-0.65,-0.117,0.0
20200706,17.983,17.917,17.983,17.917,201,4964.0,0.37,0.08,0.015,0.0
20200708,17.946,17.946,17.946,17.946,7,0.0,0.0,0.16,0.029,0.0
20200709,17.895,17.895,17.895,17.895,43,0.0,0.0,-0.28,-0.051,0.0
20200710,17.99,17.99,17.99,17.99,41,0.0,0.0,0.53,0.095,0.0
20200713,17.99,17.99,17.99,17.99,2,0.0,0.0,0.0,0.0,0.0
20200714,17.779,17.779,17.779,17.779,2,0.0,0.0,-1.17,-0.211,0.0
20200720,18.281,18.281,18.281,18.281,1,0.0,0.0,2.82,0.502,0.0
20200721,18.398,18.398,18.398,18.398,2,0.0,0.0,0.64,0.117,0.0
20200722,18.398,18.398,18.398,18.398,1,0.0,0.0,0.0,0.0,0.0
20200723,18.434,18.434,18.434,18.434,3,0.0,0.0,0.2,0.036,0.0
20200724,18.492,18.492,18.492,18.492,1,0.0,0.0,0.31,0.058,0.0
20200727,18.529,18.529,18.529,18.529,7,0.0,0.0,0.2,0.037,0.0
20200728,18.58,18.58,18.58,18.58,3,0.0,0.0,0.28,0.051,0.0
20200729,18.776,18.776,18.776,18.776,2,0.0,0.0,1.05,0.196,0.0
20200731,18.827,18.827,18.827,18.827,6,0.0,0.0,0.27,0.051,0.0
20200803,18.856,18.856,18.856,18.856,5,0.0,0.0,0.15,0.029,0.0
20200804,18.805,18.805,18.805,18.805,6,0.0,0.0,-0.27,-0.051,0.0
20200805,18.844,18.844,18.844,18.844,1,0.0,0.0,0.21,0.039,0.0
20200806,18.756,18.756,18.756,18.756,4,0.0,0.0,-0.47,-0.088,0.0
20200807,18.77,18.77,18.77,18.77,6,0.0,0.0,0.07,0.014,0.0
20200810,18.851,18.931,18.953,18.822,878,22677.0,0.7,0.86,0.161,0.0
20200811,19.019,18.946,19.048,18.946,400,10408.0,0.54,0.08,0.015,0.0
20200813,19.078,19.078,19.078,19.078,4,0.0,0.0,0.7,0.132,0.0
20200817,19.18,19.173,19.18,19.173,153,4011.0,0.04,0.5,0.095,0.0
20200819,19.326,19.326,19.326,19.326,44,0.0,0.0,0.8,0.153,0.0
