trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20191120,17.948,17.92,17.948,17.913,490,12254.0,0.2,-0.16,-0.028,0.0
20191121,17.913,17.905,17.913,17.905,100,2499.0,0.04,-0.08,-0.015,0.0
20191122,17.934,17.913,17.934,17.913,701,17534.0,0.12,0.04,0.008,0.0
20191125,17.934,17.934,17.934,17.934,201,5028.0,0.0,0.12,0.021,0.0
20191126,17.941,17.948,17.956,17.941,6408,160426.0,0.08,0.08,0.014,0.0
20191127,17.977,17.941,17.977,17.941,185,4639.0,0.2,-0.04,-0.007,0.0
20191129,17.941,17.905,17.941,17.905,370,9253.0,0.2,-0.2,-0.036,0.0
20191202,17.877,17.884,17.884,17.877,541,13492.0,0.04,-0.12,-0.021,0.0
20191203,17.862,17.841,17.862,17.841,400,9968.0,0.12,-0.24,-0.043,0.0
20191205,17.862,17.834,17.862,17.834,319,7948.0,0.16,-0.04,-0.007,0.0
20191206,17.841,17.848,17.848,17.841,100,2489.0,0.04,0.08,0.014,0.0
20191209,17.87,17.87,17.87,17.87,75,0.0,0.0,0.12,0.022,0.0
20191211,17.905,17.898,17.905,17.877,690,17222.0,0.16,0.16,0.028,0.0
20191212,17.92,17.913,17.92,17.913,102,2550.0,0.04,0.08,0.015,0.0
20191213,17.948,17.948,17.948,17.948,74,0.0,0.0,0.2,0.035,0.0
20191216,17.999,17.991,17.999,17.991,210,5273.0,0.04,0.24,0.043,0.0
20191217,18.027,18.006,18.027,18.006,899,22609.0,0.12,0.08,0.015,0.0
20191218,18.027,18.027,18.027,18.027,535,13453.0,0.0,0.12,0.021,0.0
20191220,18.049,18.063,18.063,18.049,350,8813.0,0.08,0.2,0.036,0.0
20191223,18.085,18.085,18.085,18.077,2003,50523.0,0.04,0.12,0.022,0.0
20191224,18.099,18.099,18.099,18.099,10,0.0,0.0,0.08,0.014,0.0
20191226,18.12,18.106,18.12,18.106,500,12637.0,0.08,0.04,0.007,0.0
20191227,18.106,18.113,18.113,18.106,5869,148261.0,0.04,0.04,0.007,0.0
20191230,18.125,18.103,18.125,18.096,4513,113121.0,0.16,-0.06,-0.01,0.0
20191231,18.11,18.103,18.11,18.103,404,10122.0,0.04,0.0,0.0,0.0
20200102,18.226,18.219,18.226,18.211,2308,58199.0,0.08,0.64,0.116,0.0
20200103,18.226,18.233,18.247,18.226,5791,146101.0,0.12,0.08,0.014,0.0
20200106,18.247,18.262,18.284,18.233,1440,36414.0,0.28,0.16,0.029,0.0
20200107,18.255,18.262,18.262,18.247,2674,67555.0,0.08,0.0,0.0,0.0
20200108,18.255,18.262,18.269,18.255,12488,315620.0,0.08,0.0,0.0,0.0
20200109,18.276,18.276,18.276,18.262,9241,233639.0,0.08,0.08,0.014,0.0
20200110,18.284,18.298,18.298,18.276,14159,358214.0,0.12,0.12,0.022,0.0
20200113,18.313,18.313,18.313,18.313,20,0.0,0.0,0.08,0.015,0.0
20200114,18.32,18.32,18.334,18.32,1635,41474.0,0.08,0.04,0.007,0.0
20200115,18.341,18.327,18.341,18.32,3655,92698.0,0.11,0.04,0.007,0.0
20200116,18.334,18.32,18.334,18.313,435,11028.0,0.11,-0.04,-0.007,0.0
20200117,18.298,18.313,18.32,18.298,600,15202.0,0.12,-0.04,-0.007,0.0
20200121,18.305,18.313,18.313,18.305,3518,89116.0,0.04,0.0,0.0,0.0
20200122,18.32,18.327,18.327,18.32,5315,134754.0,0.04,0.08,0.014,0.0
20200123,18.305,18.298,18.313,18.298,2219,56208.0,0.08,-0.16,-0.029,0.0
20200124,18.291,18.284,18.305,18.269,11008,278577.0,0.2,-0.08,-0.014,0.0
20200127,18.284,18.276,18.291,18.262,3538,89506.0,0.16,-0.04,-0.008,0.0
20200128,18.291,18.276,18.291,18.276,3412,86309.0,0.08,0.0,0.0,0.0
20200129,18.284,18.298,18.298,18.284,1544,39077.0,0.08,0.12,0.022,0.0
20200130,18.341,18.32,18.341,18.313,1483,37597.0,0.15,0.12,0.022,0.0
20200131,18.37,18.341,18.37,18.341,2906,73820.0,0.16,0.11,0.021,0.0
20200203,18.349,18.356,18.356,18.341,1947,49279.0,0.08,0.08,0.015,0.0
20200204,18.385,18.378,18.385,18.378,2245,56914.0,0.04,0.12,0.022,0.0
20200205,18.399,18.385,18.399,18.37,11377,288654.0,0.16,0.04,0.007,0.0
20200206,18.399,18.407,18.414,18.385,9817,249065.0,0.16,0.12,0.022,0.0
20200207,18.428,18.414,18.436,18.414,12077,307025.0,0.12,0.04,0.007,0.0
20200210,18.385,18.428,18.443,18.385,4363,110978.0,0.31,0.08,0.014,0.0
20200211,18.436,18.436,18.45,18.436,2234,56833.0,0.08,0.04,0.008,0.0
20200212,18.45,18.428,18.45,18.428,36019,916632.0,0.12,-0.04,-0.008,0.0
20200213,18.428,18.428,18.443,18.421,1349,34296.0,0.12,0.0,0.0,0.0
20200214,18.436,18.428,18.436,18.428,1002,25479.0,0.04,0.0,0.0,0.0
20200218,18.443,18.407,18.443,18.407,6861,174276.0,0.2,-0.11,-0.021,0.0
20200219,18.421,18.356,18.421,18.356,2262,57389.0,0.35,-0.28,-0.051,0.0
20200220,18.356,18.385,18.385,18.356,100,2532.0,0.16,0.16,0.029,0.0
20200221,18.37,18.334,18.378,18.334,19649,497976.0,0.24,-0.28,-0.051,0.0
20200224,18.298,18.225,18.298,18.225,907,22843.0,0.4,-0.59,-0.109,0.0
20200225,18.204,18.066,18.204,18.066,4518,113200.0,0.76,-0.87,-0.159,0.0
20200226,18.095,18.044,18.095,17.993,1447,36048.0,0.56,-0.12,-0.022,0.0
20200227,17.914,17.986,18.022,17.914,27059,672581.0,0.6,-0.32,-0.058,0.0
20200228,17.74,17.725,17.74,17.725,593,14510.0,0.08,-1.45,-0.261,0.0
20200302,17.904,17.947,17.955,17.904,440,10832.0,0.29,1.25,0.222,0.0
20200303,18.035,18.006,18.202,18.006,1755,43669.0,1.09,0.33,0.059,0.0
20200304,18.086,18.166,18.166,18.079,948,23528.0,0.48,0.89,0.16,0.0
20200305,18.115,18.086,18.115,18.086,305,7577.0,0.16,-0.44,-0.08,0.0
20200306,17.991,17.889,17.991,17.889,1423,35037.0,0.56,-1.09,-0.197,0.0
20200309,17.328,17.328,17.328,17.328,92,0.0,0.0,-3.14,-0.561,0.0
20200310,17.35,17.408,17.43,17.35,482,11507.0,0.46,0.46,0.08,0.0
20200311,17.197,17.146,17.197,17.146,540,12744.0,0.29,-1.51,-0.262,0.0
20200312,15.951,15.761,16.097,15.761,6294,138377.0,1.96,-8.08,-1.385,0.0
20200313,16.14,16.315,16.315,15.834,1895,41550.0,3.05,3.52,0.554,0.0
20200316,15.331,15.28,15.331,15.28,765,16074.0,0.31,-6.34,-1.035,0.0
20200317,15.237,15.047,15.237,14.865,2563,52671.0,2.43,-1.52,-0.233,0.0
20200318,13.772,12.315,13.772,11.841,2271,42385.0,12.83,-18.16,-2.732,0.0
20200319,13.116,13.699,13.699,13.116,711,12798.0,4.73,11.24,1.384,0.0
20200320,14.282,13.794,14.282,13.51,1048,20052.0,5.64,0.69,0.095,0.0
20200323,14.056,12.963,14.056,12.439,3931,69320.0,11.72,-6.02,-0.831,0.0
20200324,13.663,13.809,13.962,13.663,729,13817.0,2.31,6.53,0.846,0.0
20200325,14.187,14.894,14.894,14.187,400,7958.0,5.12,7.86,1.085,0.0
20200326,15.433,15.703,15.703,15.433,1640,34982.0,1.81,5.43,0.809,0.0
20200327,15.499,15.499,15.499,15.499,182,0.0,0.0,-1.3,-0.204,0.0
20200330,15.346,15.441,15.441,15.346,1366,28802.0,0.61,-0.37,-0.058,0.0
