trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20230810,17.593,17.527,17.593,17.527,100,2004.0,0.0,0.0,0.0,0.0
20230811,17.681,17.681,17.681,17.681,1,20.0,0.0,0.88,0.154,0.0
20230814,17.771,17.771,17.771,17.771,3,60.0,0.0,0.51,0.09,0.0
20230815,17.601,17.601,17.601,17.601,1,20.0,0.0,-0.96,-0.17,0.0
20230817,17.484,17.396,17.484,17.396,235,4680.0,0.5,-1.16,-0.205,0.0
20230818,17.356,17.356,17.356,17.356,78,1542.0,0.0,-0.23,-0.04,0.0
20230821,17.473,17.473,17.473,17.473,2,39.0,0.0,0.67,0.117,0.0
20230822,17.435,17.435,17.435,17.435,23,456.0,0.0,-0.22,-0.038,0.0
20230823,17.58,17.58,17.58,17.58,23,460.0,0.0,0.83,0.145,0.0
20230824,17.43,17.43,17.43,17.43,8,158.0,0.0,-0.85,-0.15,0.0
20230825,17.519,17.519,17.519,17.519,16,319.0,0.0,0.51,0.089,0.0
20230828,17.603,17.603,17.603,17.603,15,300.0,0.0,0.48,0.084,0.0
20230829,17.734,17.734,17.734,17.734,1,20.0,0.0,0.74,0.131,0.0
20230830,17.781,17.781,17.781,17.781,2,40.0,0.0,0.27,0.047,0.0
20230831,17.781,17.781,17.781,17.781,1,20.0,0.0,0.0,0.0,0.0
20230901,17.808,17.808,17.808,17.808,4,81.0,0.0,0.15,0.027,0.0
20230905,17.799,17.799,17.799,17.799,21,425.0,0.0,-0.05,-0.009,0.0
20230906,17.738,17.738,17.738,17.738,59,1192.0,0.0,-0.34,-0.061,0.0
20230907,17.72,17.72,17.72,17.72,12,242.0,0.0,-0.1,-0.018,0.0
20230908,17.738,17.738,17.738,17.738,2,40.0,0.0,0.1,0.018,0.0
20230911,17.817,17.817,17.817,17.817,52,1055.0,0.0,0.45,0.079,0.0
20230912,17.781,17.781,17.781,17.781,7,141.0,0.0,-0.2,-0.036,0.0
20230913,17.856,17.817,17.856,17.817,500,10170.0,0.22,0.2,0.036,0.0
20230914,17.869,17.869,17.869,17.869,5,101.0,0.0,0.29,0.052,0.0
20230915,17.79,17.79,17.79,17.79,2,40.0,0.0,-0.44,-0.079,0.0
20230918,17.795,17.795,17.795,17.795,1,20.0,0.0,0.03,0.005,0.0
20230919,17.804,17.83,17.83,17.768,507,10284.0,0.35,0.2,0.035,0.0
20230920,17.699,17.699,17.699,17.699,20,403.0,0.0,-0.73,-0.131,0.0
20230921,17.482,17.482,17.482,17.482,50,995.0,0.0,-1.23,-0.217,0.0
20230922,17.45,17.45,17.45,17.45,25,496.0,0.0,-0.18,-0.032,0.0
20230926,17.285,17.285,17.285,17.285,1,19.0,0.0,-0.95,-0.165,0.0
20231003,17.119,17.119,17.119,17.119,2,39.0,0.0,-0.96,-0.166,0.0
20231004,17.276,17.276,17.276,17.276,1,19.0,0.0,0.92,0.157,0.0
20231006,17.444,17.444,17.444,17.444,1,19.0,0.0,0.97,0.168,0.0
20231016,17.714,17.714,17.714,17.714,2,40.0,0.0,1.55,0.27,0.0
20231020,17.444,17.246,17.444,17.246,1001,19889.0,1.12,-2.64,-0.468,0.0
20231023,17.251,17.251,17.251,17.251,1,19.0,0.0,0.03,0.005,0.0
20231101,17.251,17.365,17.365,17.251,1737,34132.0,0.66,0.66,0.114,0.0
20231102,17.637,17.637,17.637,17.637,100,2008.0,0.0,1.57,0.272,0.0
20231106,17.767,17.778,17.778,17.76,2656,53731.0,0.1,0.8,0.141,0.0
20231108,17.847,17.856,17.856,17.847,1013,20594.0,0.05,0.44,0.078,0.0
20231109,17.874,17.764,17.874,17.764,627,12765.0,0.62,-0.52,-0.092,0.0
20231113,17.94,17.94,17.94,17.94,1,20.0,0.0,0.99,0.176,0.0
20231114,18.054,18.054,18.054,18.054,12,246.0,0.0,0.64,0.114,0.0
