trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20021029,15.0,15.0,15.1,15.0,85900,0.0,0.0,0.0,0.0,0.0
20021030,15.01,15.0,15.03,15.0,45700,0.0,0.2,0.0,0.0,0.0
20021031,15.01,15.0,15.01,15.0,21000,0.0,0.07,0.0,0.0,0.0
20021101,15.0,15.0,15.01,15.0,40600,0.0,0.07,0.0,0.0,0.0
20021104,15.0,15.0,15.01,15.0,99400,0.0,0.07,0.0,0.0,0.0
20021105,15.0,15.0,15.01,15.0,60700,0.0,0.07,0.0,0.0,0.0
20021106,15.0,15.0,15.01,15.0,25600,0.0,0.07,0.0,0.0,0.0
20021107,15.0,15.0,15.01,15.0,55300,0.0,0.07,0.0,0.0,0.0
20021108,15.0,15.01,15.01,15.0,66100,0.0,0.07,0.07,0.01,0.0
20021111,15.01,15.01,15.01,15.0,22800,0.0,0.07,0.0,0.0,0.0
20021112,15.0,15.0,15.01,15.0,22400,0.0,0.07,-0.07,-0.01,0.0
20021113,15.0,15.01,15.01,15.0,14400,0.0,0.07,0.07,0.01,0.0
20021114,15.0,15.0,15.0,15.0,11600,0.0,0.0,-0.07,-0.01,0.0
20021115,15.0,15.0,15.01,15.0,64600,0.0,0.07,0.0,0.0,0.0
20021118,15.0,15.0,15.01,15.0,16000,0.0,0.07,0.0,0.0,0.0
20021119,15.01,15.01,15.01,15.0,17000,0.0,0.07,0.07,0.01,0.0
20021120,15.0,15.0,15.0,15.0,56700,0.0,0.0,-0.07,-0.01,0.0
20021121,15.0,15.0,15.01,15.0,40100,0.0,0.07,0.0,0.0,0.0
20021122,15.0,15.0,15.01,15.0,37800,0.0,0.07,0.0,0.0,0.0
20021125,15.0,15.0,15.01,15.0,37900,0.0,0.07,0.0,0.0,0.0
20021126,15.0,15.0,15.0,15.0,10000,0.0,0.0,0.0,0.0,0.0
20021127,15.0,15.0,15.0,15.0,100,0.0,0.0,0.0,0.0,0.0
20021202,15.0,15.0,15.01,15.0,62300,0.0,0.07,0.0,0.0,0.0
20021203,14.9,14.91,14.91,14.9,54200,0.0,0.07,-0.6,-0.09,0.0
20021204,14.9,14.91,14.91,14.9,56100,0.0,0.07,0.0,0.0,0.0
20021205,14.9,14.9,14.91,14.9,57600,0.0,0.07,-0.07,-0.01,0.0
20021206,14.9,14.91,14.91,14.9,24600,0.0,0.07,0.07,0.01,0.0
