trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210527,7.34,7.19,7.72,6.67,135555,973784.0,14.31,-2.04,-0.15,0.12
20210528,7.4,6.91,7.43,6.91,85807,619459.0,7.23,-3.89,-0.28,0.08
20210601,7.1,6.6,7.1,6.51,69389,468069.0,8.54,-4.49,-0.31,0.06
20210602,7.0,6.25,7.0,6.14,70400,447317.0,13.03,-5.3,-0.35,0.06
20210603,6.25,6.04,6.546,5.82,98903,602407.0,11.62,-3.36,-0.21,0.09
20210604,6.0,6.1,6.33,6.0,77779,477450.0,5.46,0.99,0.06,0.07
20210607,6.1,6.13,6.186,6.05,154947,945350.0,2.23,0.49,0.03,0.14
20210608,6.95,6.17,6.95,6.02,198153,1229914.0,15.17,0.65,0.04,0.18
20210609,6.17,6.35,6.35,6.107,164554,1023227.0,3.94,2.92,0.18,0.15
20210610,6.34,6.17,6.52,6.15,110558,694447.0,5.83,-2.83,-0.18,0.1
20210611,6.28,6.12,6.28,6.0,138446,843843.0,4.54,-0.81,-0.05,0.12
20210614,6.02,5.92,6.12,5.86,133335,798465.0,4.25,-3.27,-0.2,0.12
20210615,5.86,5.91,5.973,5.85,44628,263185.0,2.08,-0.17,-0.01,0.04
20210616,5.88,5.74,5.95,5.74,85743,498608.0,3.55,-2.88,-0.17,0.08
20210617,5.72,5.64,5.84,5.613,108662,619405.0,3.95,-1.74,-0.1,0.1
20210618,5.71,5.58,5.719,5.51,151796,849178.0,3.71,-1.06,-0.06,0.14
20210621,5.52,5.51,5.68,5.5,127590,707059.0,3.23,-1.25,-0.07,0.11
20210622,5.51,5.53,5.57,5.42,122230,672617.0,2.72,0.36,0.02,0.11
20210623,5.51,5.61,5.61,5.5,264234,1463216.0,1.99,1.45,0.08,0.24
20210624,5.65,6.03,6.1,5.53,163189,940135.0,10.16,7.49,0.42,0.15
20210625,6.09,6.53,6.53,6.0,162064,1023441.0,8.79,8.29,0.5,0.14
20210628,6.45,6.42,6.48,6.22,37745,240980.0,3.98,-1.68,-0.11,0.03
20210629,6.39,6.28,6.5,6.19,64154,402898.0,4.83,-2.18,-0.14,0.06
20210630,6.341,6.269,6.41,6.15,32343,201057.0,4.14,-0.18,-0.011,0.1
20210701,6.28,6.39,6.414,6.25,31623,200618.0,2.62,1.93,0.121,0.1
20210702,6.39,6.2,6.39,6.06,45285,281215.0,5.16,-2.97,-0.19,0.14
20210706,6.0,5.84,6.26,5.66,123621,729437.0,9.68,-5.81,-0.36,0.37
20210707,5.84,5.8,5.99,5.707,93495,543561.0,4.85,-0.68,-0.04,0.28
