trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210813,18.39,17.63,18.39,17.23,59443,1047913.0,0.0,0.0,0.0,0.32
20210816,17.72,16.23,17.72,15.94,62209,1031349.0,10.1,-7.94,-1.4,0.33
20210817,16.12,16.37,16.87,15.5,61762,992793.0,8.44,0.86,0.14,0.33
20210818,16.54,16.4,16.625,15.65,53749,880503.0,5.96,0.18,0.03,0.29
20210819,16.3,16.9,16.91,15.58,52460,856094.0,8.11,3.05,0.5,0.28
20210820,16.72,17.23,17.37,15.683,57499,981991.0,9.98,1.95,0.33,0.31
20210823,17.38,18.08,18.15,17.31,54577,975436.0,4.88,4.93,0.85,0.29
20210824,18.07,17.94,18.295,17.55,39726,712866.0,4.12,-0.77,-0.14,0.21
20210825,17.68,17.75,18.0,17.355,21532,381126.0,3.6,-1.06,-0.19,0.11
20210826,17.66,17.5,17.78,17.25,19256,336886.0,2.99,-1.41,-0.25,0.1
20210827,17.69,17.66,17.96,17.38,37755,665356.0,3.31,0.91,0.16,0.2
20210830,17.66,17.11,17.99,16.94,20430,352662.0,5.95,-3.11,-0.55,0.11
20210831,16.66,17.53,17.73,16.63,30558,527659.0,6.43,2.45,0.42,0.16
20210901,17.62,17.97,18.78,17.62,75735,1385961.0,6.62,2.51,0.44,0.4
20210902,17.9,18.04,18.14,17.86,35841,644035.0,1.56,0.39,0.07,0.19
20210903,18.145,17.75,18.145,17.5,14482,257098.0,3.58,-1.61,-0.29,0.08
20210907,17.6,17.53,18.1,16.96,33240,580574.0,6.42,-1.24,-0.22,0.18
20210908,17.325,17.16,17.76,16.53,38489,654554.0,7.02,-2.11,-0.37,0.21
20210909,17.1,16.67,17.37,16.5,25980,435776.0,5.07,-2.86,-0.49,0.14
20210910,16.8,16.69,16.89,16.18,27382,454108.0,4.26,0.12,0.02,0.15
20210913,16.54,17.0,17.09,16.4,441910,7291697.0,4.13,1.86,0.31,2.36
20210914,16.53,16.32,17.09,16.015,42293,694460.0,6.32,-4.0,-0.68,0.23
20210915,16.38,15.38,16.41,15.3,64122,997922.0,6.8,-5.76,-0.94,0.34
20210916,16.65,15.53,16.7,15.45,134213,2153603.0,8.13,0.98,0.15,0.72
20210917,15.72,15.88,16.19,15.53,61826,978359.0,4.25,2.25,0.35,0.33
20210920,15.88,13.21,15.88,12.901,194423,2726234.0,18.76,-16.81,-2.67,1.04
20210921,13.44,14.37,14.77,12.995,100922,1418281.0,13.44,8.78,1.16,0.54
20210922,14.61,14.78,14.95,14.565,20224,299553.0,2.68,2.85,0.41,0.11
20210923,14.88,15.01,15.01,14.538,35877,532730.0,3.19,1.56,0.23,0.19
20210924,15.31,15.02,16.5,14.95,67047,1053601.0,10.33,0.07,0.01,0.36
20210927,15.02,15.13,15.52,14.7,41724,630611.0,5.46,0.73,0.11,0.22
20210928,14.9,15.19,16.0,14.76,32283,489175.0,8.2,0.4,0.06,0.17
20210929,15.23,15.5,15.684,15.23,29735,459329.0,2.99,2.04,0.31,0.16
20210930,15.58,14.96,15.65,14.71,43884,672077.0,6.06,-3.48,-0.54,0.23
20211001,15.01,15.35,15.49,14.84,33564,509809.0,4.34,2.61,0.39,0.18
20211004,15.41,14.73,15.58,14.52,57312,849745.0,6.91,-4.04,-0.62,0.31
20211005,14.73,14.68,15.19,14.435,37431,552503.0,5.13,-0.34,-0.05,0.2
20211006,14.51,14.86,14.915,14.51,28846,425920.0,2.76,1.23,0.18,0.15
20211007,14.78,13.64,15.12,13.54,78717,1137398.0,10.63,-8.21,-1.22,0.42
20211008,13.5,12.54,13.76,12.45,68491,902079.0,9.6,-8.06,-1.1,0.37
20211011,12.31,13.13,13.6,11.57,148237,1856729.0,16.19,4.7,0.59,0.79
20211012,13.56,13.55,13.76,12.58,76531,1020887.0,8.99,3.2,0.42,0.41
20211013,13.58,15.06,15.13,13.58,78227,1150899.0,11.44,11.14,1.51,0.42
20211014,14.89,14.55,15.05,13.971,38866,569818.0,7.16,-3.39,-0.51,0.21
20211015,14.55,14.72,15.16,14.465,41813,616015.0,4.78,1.17,0.17,0.22
20211018,14.55,13.45,14.61,13.2,55926,759417.0,9.58,-8.63,-1.27,0.3
20211019,13.5,13.12,13.9,12.81,75947,1016033.0,8.1,-2.45,-0.33,0.41
20211020,13.13,13.69,14.18,13.13,48180,649838.0,8.0,4.34,0.57,0.26
20211021,13.52,13.78,14.01,13.495,23271,317491.0,3.76,0.66,0.09,0.12
20211022,13.9,13.82,14.1,13.7,18221,251247.0,2.9,0.29,0.04,0.1
20211025,14.12,14.08,14.54,13.714,47864,670426.0,5.98,1.88,0.26,0.26
20211026,14.19,14.79,15.1,14.05,42072,602812.0,7.46,5.04,0.71,0.22
20211027,14.79,14.74,15.89,14.53,69382,1054348.0,9.2,-0.34,-0.05,0.37
20211028,14.74,15.47,15.61,14.35,38834,577751.0,8.55,4.95,0.73,0.21
20211029,15.166,15.58,16.17,15.166,39347,617187.0,6.49,0.71,0.11,0.21
20211101,15.67,16.47,17.06,15.59,62359,1036162.0,9.44,5.71,0.89,0.33
20211102,16.55,16.5,16.94,16.15,31101,512184.0,4.8,0.18,0.03,0.17
20211103,16.35,16.44,17.24,16.04,76329,1258070.0,7.27,-0.36,-0.06,0.41
20211104,16.61,16.95,17.11,16.42,41304,692407.0,4.2,3.1,0.51,0.22
20211105,17.11,16.63,17.23,16.33,58149,977287.0,5.31,-1.89,-0.32,0.31
20211108,16.63,16.5,16.76,16.26,51242,851505.0,3.01,-0.78,-0.13,0.27
20211109,16.75,17.0,17.24,16.25,72665,1220721.0,6.0,3.03,0.5,0.39
20211110,17.31,15.44,17.31,13.31,116355,1771744.0,23.53,-9.18,-1.56,0.62
20211111,16.0,14.83,16.0,14.53,82620,1247117.0,9.52,-3.95,-0.61,0.44
20211112,14.86,16.09,16.41,14.77,38288,599895.0,11.06,8.5,1.26,0.2
20211115,16.2,15.75,16.516,15.61,31731,502997.0,5.63,-2.11,-0.34,0.17
20211116,15.78,16.85,17.16,15.38,66766,1098412.0,11.3,6.98,1.1,0.36
20211117,16.63,16.99,17.18,16.46,48659,823868.0,4.27,0.83,0.14,0.26
