trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20130725,3.17,3.2,3.2,2.85,581041,0.0,11.04,0.95,0.03,2.3
20130726,3.16,3.3,3.36,3.13,281809,0.0,7.19,3.13,0.1,1.12
20130729,3.26,3.21,3.33,3.17,127233,0.0,4.85,-2.73,-0.09,0.5
20130730,3.29,3.18,3.31,3.18,48305,0.0,4.05,-0.93,-0.03,0.19
20130731,3.17,3.2,3.21,3.17,309815,0.0,1.26,0.63,0.02,1.23
20130801,3.21,3.17,3.22,3.17,140932,0.0,1.56,-0.94,-0.03,0.56
20130802,3.17,3.17,3.18,3.08,419033,0.0,3.15,0.0,0.0,1.66
20130805,3.17,3.18,3.2,3.17,78380,0.0,0.95,0.32,0.01,0.31
20130806,3.17,3.12,3.18,3.07,217450,0.0,3.46,-1.89,-0.06,0.86
20130807,3.16,2.99,3.16,2.92,113825,0.0,7.69,-4.17,-0.13,0.45
20130808,2.92,2.8,3.05,2.74,51763,0.0,10.37,-6.35,-0.19,0.21
20130809,2.73,2.63,2.73,2.28,158239,0.0,16.07,-6.07,-0.17,0.63
20130812,2.63,2.77,2.89,2.63,61526,0.0,9.89,5.32,0.14,0.24
20130813,2.65,3.07,3.17,2.65,148003,0.0,18.77,10.83,0.3,0.59
20130814,2.72,3.16,3.19,2.72,143195,0.0,15.31,2.93,0.09,0.57
20130815,2.67,2.76,3.14,2.67,66447,0.0,14.87,-12.66,-0.4,0.26
20130816,2.87,3.04,3.14,2.87,563955,0.0,9.78,10.14,0.28,2.24
20130819,3.07,2.59,3.07,2.55,30227,0.0,17.11,-14.8,-0.45,0.12
20130820,2.63,2.77,2.86,2.61,124325,0.0,9.65,6.95,0.18,0.49
20130821,2.69,2.35,2.78,2.34,62918,0.0,15.88,-15.16,-0.42,0.25
20130822,2.32,2.46,2.48,1.31,191529,0.0,49.79,4.68,0.11,0.76
20130823,2.46,2.77,2.85,2.32,138433,0.0,21.54,12.6,0.31,0.55
20130826,2.69,2.71,2.98,2.53,130664,0.0,16.25,-2.17,-0.06,0.52
20130827,2.43,2.83,2.89,2.43,14943,0.0,16.97,4.43,0.12,0.06
20130828,2.74,2.45,2.93,2.24,54931,0.0,24.38,-13.43,-0.38,0.22
20130829,2.22,2.44,2.52,2.16,46114,0.0,14.69,-0.41,-0.01,0.18
20130830,2.39,2.35,2.56,2.22,36997,0.0,13.93,-3.69,-0.09,0.14
