trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19970612,-0.043,-0.663,0.838,-1.283,19963800,0.0,-34.42,89.24,5.5,66.89
19970613,-0.413,0.218,0.708,-0.413,3661100,0.0,-169.08,132.88,0.881,12.27
19970616,0.088,-1.283,0.338,-1.543,2481700,0.0,862.84,-688.53,-1.501,8.31
19970617,-2.033,-2.413,-1.913,-3.043,2283800,0.0,-88.07,-88.07,-1.13,7.65
19970618,-2.413,-3.793,-2.413,-4.043,1749900,0.0,-67.55,-57.19,-1.38,5.86
19970619,-3.663,-2.783,-2.543,-3.913,1269900,0.0,-36.12,26.63,1.01,4.25
19970620,-2.663,-2.663,-1.913,-2.783,859100,0.0,-31.26,4.31,0.12,2.88
19970623,-2.293,-3.913,-2.293,-4.043,725000,0.0,-65.72,-46.94,-1.25,2.43
19970624,-3.663,-3.283,-2.543,-5.033,1212100,0.0,-63.63,16.1,0.63,4.06
19970625,-3.043,-3.473,-3.043,-4.043,726600,0.0,-30.46,-5.79,-0.19,2.43
19970626,-4.043,-3.913,-3.663,-4.543,534500,0.0,-25.34,-12.67,-0.44,1.79
19970627,-4.043,-4.913,-3.793,-4.973,441500,0.0,-30.16,-25.56,-1.0,1.48
19970630,-5.033,-4.783,-4.543,-5.913,796900,0.0,-27.89,2.65,0.13,2.67
19970701,-4.913,-5.223,-4.853,-5.663,621300,0.0,-16.93,-9.2,-0.44,2.08
19970702,-5.223,-4.353,-4.223,-5.543,818700,0.0,-25.27,16.66,0.87,2.74
19970703,-4.603,-4.103,-3.973,-5.413,696800,0.0,-33.08,5.74,0.25,2.33
19970707,-3.663,-5.033,-3.533,-5.163,1180500,0.0,-39.73,-22.67,-0.93,3.96
19970708,-4.913,-4.473,-4.473,-5.033,595000,0.0,-11.13,11.13,0.56,1.99
19970709,-4.473,-5.543,-4.473,-5.783,958000,0.0,-29.29,-23.92,-1.07,3.21
19970710,-5.913,-6.663,-5.853,-7.043,1069200,0.0,-21.47,-20.21,-1.12,3.58
19970711,-6.533,-6.223,-6.043,-6.793,674600,0.0,-11.26,6.6,0.44,2.26
19970714,-5.973,-6.473,-5.913,-6.723,471200,0.0,-13.02,-4.02,-0.25,1.58
19970715,-6.853,-6.723,-6.603,-7.163,513000,0.0,-8.65,-3.86,-0.25,1.72
19970716,-6.603,-8.353,-6.603,-8.413,899600,0.0,-26.92,-24.25,-1.63,3.01
19970717,-8.163,-6.103,-5.913,-8.223,1286200,0.0,-27.65,26.94,2.25,4.31
19970718,-6.043,-6.283,-5.663,-6.853,346200,0.0,-19.5,-2.95,-0.18,1.16
19970721,-6.353,-6.853,-6.353,-7.163,216600,0.0,-12.89,-9.07,-0.57,0.73
19970722,-7.043,-6.533,-6.283,-7.043,351200,0.0,-11.09,4.67,0.32,1.18
19970723,-6.533,-7.163,-6.043,-7.163,507100,0.0,-17.14,-9.64,-0.63,1.7
19970724,-7.163,-7.543,-6.413,-7.913,412800,0.0,-20.94,-5.31,-0.38,1.38
19970725,-7.283,-7.543,-7.163,-7.973,253000,0.0,-10.74,0.0,0.0,0.85
19970728,-7.283,-6.913,-6.723,-7.783,953700,0.0,-14.05,8.35,0.63,3.2
19970729,-6.663,-5.473,-5.473,-6.663,1028100,0.0,-17.21,20.83,1.44,3.44
19970730,-5.353,-4.413,-4.223,-5.473,801700,0.0,-22.84,19.37,1.06,2.69
19970731,-4.283,-5.353,-4.163,-5.473,458400,0.0,-29.69,-21.3,-0.94,1.54
19970801,-5.853,-5.543,-5.163,-5.913,250100,0.0,-14.01,-3.55,-0.19,0.84
19970804,-5.783,-4.543,-4.283,-5.913,629700,0.0,-29.41,18.04,1.0,2.11
19970805,-4.043,-5.103,-3.723,-5.663,1157400,0.0,-42.7,-12.33,-0.56,3.88
19970806,-5.103,-5.663,-5.033,-5.913,350500,0.0,-17.24,-10.97,-0.56,1.17
19970807,-5.663,-6.413,-5.473,-6.413,456200,0.0,-16.6,-13.24,-0.75,1.53
19970808,-6.663,-6.913,-6.473,-7.413,576100,0.0,-14.66,-7.8,-0.5,1.93
19970811,-6.793,-7.413,-6.793,-7.663,370400,0.0,-12.58,-7.23,-0.5,1.24
19970812,-7.163,-7.853,-6.723,-7.853,910300,0.0,-15.24,-5.94,-0.44,3.05
19970813,-7.663,-7.783,-6.973,-8.353,416500,0.0,-17.57,0.89,0.07,1.4
19970814,-7.543,-8.163,-7.413,-8.223,309000,0.0,-10.41,-4.88,-0.38,1.04
19970815,-8.163,-9.103,-8.163,-9.283,1385300,0.0,-13.72,-11.52,-0.94,4.64
19970818,-8.603,-8.663,-8.473,-9.223,551500,0.0,-8.24,4.83,0.44,1.85
19970819,-8.783,-7.913,-7.913,-8.783,380800,0.0,-10.04,8.66,0.75,1.28
19970820,-7.283,-6.533,-6.533,-7.473,621500,0.0,-11.88,17.44,1.38,2.08
19970821,-6.793,-7.413,-6.603,-7.663,479600,0.0,-16.23,-13.47,-0.88,1.61
19970822,-8.033,-7.663,-7.543,-8.163,408100,0.0,-8.36,-3.37,-0.25,1.37
19970825,-7.163,-7.853,-7.103,-7.973,230200,0.0,-11.35,-2.48,-0.19,0.77
19970826,-7.913,-7.473,-7.223,-8.033,296300,0.0,-10.31,4.84,0.38,0.99
19970827,-7.223,-7.663,-7.163,-7.913,619500,0.0,-10.04,-2.54,-0.19,2.08
19970828,-7.663,-6.853,-6.793,-7.783,492400,0.0,-12.92,10.57,0.81,1.65
19970829,-6.853,-5.913,-5.293,-6.913,686100,0.0,-23.64,13.72,0.94,2.3
19970902,-5.783,-5.913,-5.723,-6.663,414700,0.0,-15.9,0.0,0.0,1.39
19970903,-5.913,-6.103,-5.783,-6.163,265000,0.0,-6.43,-3.21,-0.19,0.89
19970904,-6.163,-6.413,-5.853,-6.663,237400,0.0,-13.27,-5.08,-0.31,0.8
19970905,-5.913,-6.283,-5.723,-6.603,151100,0.0,-13.72,2.03,0.13,0.51
19970908,-6.413,-6.793,-6.163,-6.853,91200,0.0,-10.98,-8.12,-0.51,0.31
19970909,-6.913,-7.283,-6.663,-7.543,318400,0.0,-12.95,-7.21,-0.49,1.07
19970910,-7.283,-7.913,-7.283,-7.973,365900,0.0,-9.47,-8.65,-0.63,1.23
19970911,-8.163,-7.913,-7.413,-8.163,721200,0.0,-9.48,0.0,0.0,2.42
19970912,-7.783,-7.723,-7.543,-8.163,234000,0.0,-7.84,2.4,0.19,0.78
19970915,-7.473,-6.973,-6.283,-7.663,855800,0.0,-17.87,9.71,0.75,2.87
19970916,-6.533,-6.663,-6.223,-6.913,384100,0.0,-9.9,4.45,0.31,1.29
