trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160622,450.0,420.0,489.6,417.0,1094849,0.0,17.29,0.0,0.0,6.12
20160623,433.2,420.9,445.2,419.1,118077,0.0,6.21,0.21,0.9,0.66
20160624,401.4,420.0,421.5,334.8,104557,0.0,20.6,-0.21,-0.9,0.58
20160627,427.5,431.7,431.7,427.5,1004,0.0,1.0,2.79,11.7,0.01
20160628,420.0,420.0,427.5,420.0,15054,0.0,1.74,-2.71,-11.7,0.08
20160629,420.0,419.7,422.7,419.7,15493,0.0,0.71,-0.07,-0.3,0.09
20160630,429.6,419.7,429.6,419.7,10094,0.0,2.36,0.0,0.0,0.06
20160701,422.4,420.6,422.4,419.7,9293,0.0,0.64,0.21,0.9,0.05
20160705,419.7,420.6,423.0,419.7,5310,0.0,0.78,0.0,0.0,0.03
20160706,419.7,420.3,420.3,376.2,10203,0.0,10.49,-0.07,-0.3,0.06
20160707,421.2,420.0,423.9,419.1,81233,0.0,1.14,-0.07,-0.3,0.45
20160708,420.0,421.5,434.1,420.0,25976,0.0,3.36,0.36,1.5,0.15
20160711,433.5,420.0,433.5,420.0,6472,0.0,3.2,-0.36,-1.5,0.04
20160712,420.0,420.0,427.2,420.0,8249,0.0,1.71,0.0,0.0,0.05
20160713,420.0,424.8,425.7,420.0,8341,0.0,1.36,1.14,4.8,0.05
20160714,424.8,420.0,424.8,420.0,6396,0.0,1.13,-1.13,-4.8,0.04
20160715,423.0,420.0,423.0,375.9,13123,0.0,11.21,0.0,0.0,0.07
20160718,428.4,420.0,433.8,405.6,79510,0.0,6.71,0.0,0.0,0.44
20160719,420.0,420.0,428.1,420.0,124130,0.0,1.93,0.0,0.0,0.69
20160720,425.4,421.8,425.7,420.0,20043,0.0,1.36,0.43,1.8,0.11
20160721,420.3,420.3,425.7,419.7,37916,0.0,1.42,-0.36,-1.5,0.21
20160722,415.8,413.1,426.9,392.1,19997,0.0,8.28,-1.71,-7.2,0.11
20160725,411.3,403.5,419.1,401.1,8052,0.0,4.36,-2.32,-9.6,0.04
20160726,398.4,378.9,407.7,377.4,16645,0.0,7.51,-6.1,-24.6,0.09
20160727,375.6,347.1,390.0,347.1,25023,0.0,11.32,-8.39,-31.8,0.14
20160728,373.2,326.1,373.2,315.9,27976,0.0,16.51,-6.05,-21.0,0.16
20160729,326.4,329.7,346.2,323.4,4830,0.0,6.99,1.1,3.6,0.03
20160801,330.0,342.9,345.6,330.0,16540,0.0,4.73,4.0,13.2,0.09
20160802,349.8,333.3,366.3,327.9,23476,0.0,11.2,-2.8,-9.6,0.13
20160803,319.5,333.0,349.5,319.5,11129,0.0,9.0,-0.09,-0.3,0.06
20160804,330.3,328.8,359.1,327.6,11205,0.0,9.46,-1.26,-4.2,0.06
20160805,365.7,354.6,365.7,332.7,2051,0.0,10.04,7.85,25.8,0.01
20160808,342.3,334.8,357.0,327.0,12487,0.0,8.46,-5.58,-19.8,0.07
20160809,336.0,330.3,339.3,330.3,10435,0.0,2.69,-1.34,-4.5,0.06
20160810,331.2,319.5,331.2,315.0,5156,0.0,4.9,-3.27,-10.8,0.03
20160811,318.6,325.5,358.2,307.8,31369,0.0,15.77,1.88,6.0,0.17
20160812,323.1,329.4,358.2,319.5,20595,0.0,11.89,1.2,3.9,0.11
20160815,328.5,333.0,359.7,328.5,17255,0.0,9.47,1.09,3.6,0.09
20160816,348.0,372.6,372.6,344.4,16272,0.0,8.47,11.89,39.6,0.09
20160817,372.0,385.2,385.8,372.0,7374,0.0,3.7,3.38,12.6,0.04
20160818,379.5,378.9,380.4,362.1,6563,0.0,4.75,-1.64,-6.3,0.04
20160819,374.7,386.1,386.1,364.5,4722,0.0,5.7,1.9,7.2,0.03
20160822,383.7,389.7,390.0,376.5,2382,0.0,3.5,0.93,3.6,0.01
20160823,374.4,387.0,388.2,374.4,4057,0.0,3.54,-0.69,-2.7,0.02
20160824,386.4,386.4,386.4,386.4,155,0.0,0.0,-0.16,-0.6,0.0
20160825,389.1,387.9,389.7,375.6,4233,0.0,3.65,0.39,1.5,0.02
20160826,389.7,384.6,389.7,364.8,3480,0.0,6.42,-0.85,-3.3,0.02
20160829,373.5,371.7,389.7,371.7,13658,0.0,4.68,-3.35,-12.9,0.08
20160830,387.6,383.4,387.6,383.4,1730,0.0,1.13,3.15,11.7,0.01
20160831,389.4,360.3,389.4,360.3,4696,0.0,7.59,-6.03,-23.1,0.03
20160901,372.6,361.5,372.6,361.5,3251,0.0,3.08,0.33,1.2,0.02
20160902,361.5,355.5,361.5,353.4,1963,0.0,2.24,-1.66,-6.0,0.01
20160906,370.2,376.5,385.8,348.3,15940,0.0,10.55,5.91,21.0,0.09
20160907,365.7,389.1,389.4,364.8,5667,0.0,6.53,3.35,12.6,0.03
20160908,388.5,420.0,420.0,363.3,7213,0.0,14.57,7.94,30.9,0.04
20160909,390.3,420.0,423.6,366.0,4692,0.0,13.71,0.0,0.0,0.03
20160912,417.6,405.3,417.6,390.6,6989,0.0,6.43,-3.5,-14.7,0.04
20160913,401.4,392.7,402.6,377.1,7083,0.0,6.29,-3.11,-12.6,0.04
20160914,357.9,393.0,393.0,354.6,17181,0.0,9.78,0.08,0.3,0.09
20160915,379.8,395.4,396.0,379.8,2109,0.0,4.12,0.61,2.4,0.01
20160916,397.2,390.9,450.0,390.9,94054,0.0,14.95,-1.14,-4.5,0.52
20160919,401.4,392.4,411.9,388.8,36787,0.0,5.91,0.38,1.5,0.2
20160920,396.6,397.5,412.8,382.8,21107,0.0,7.65,1.3,5.1,0.12
20160921,392.7,432.9,434.1,392.7,27007,0.0,10.42,8.91,35.4,0.15
20160922,435.6,422.1,435.6,402.0,11623,0.0,7.76,-2.49,-10.8,0.06
20160923,422.4,450.3,479.7,411.6,20005,0.0,16.13,6.68,28.2,0.11
20160926,450.9,509.1,566.4,450.3,80155,0.0,25.78,13.06,58.8,0.44
20160927,510.0,464.4,562.2,450.3,109727,0.0,21.98,-8.78,-44.7,0.6
20160928,460.5,450.0,511.8,426.3,97977,0.0,18.41,-3.1,-14.4,0.54
20160929,450.0,438.6,452.4,426.9,28655,0.0,5.67,-2.53,-11.4,0.16
20160930,450.6,427.5,469.8,420.9,300940,0.0,11.15,-2.53,-11.1,1.65
20161003,431.1,446.4,450.0,423.3,24962,0.0,6.25,4.42,18.9,0.14
20161004,443.7,448.5,448.8,436.5,8151,0.0,2.76,0.47,2.1,0.04
20161005,444.6,431.4,457.5,410.7,144851,0.0,10.43,-3.81,-17.1,0.8
20161006,430.2,426.3,439.8,422.7,13850,0.0,3.96,-1.18,-5.1,0.08
20161007,435.6,449.4,450.0,432.3,12915,0.0,4.15,5.42,23.1,0.07
20161010,450.3,446.4,464.7,439.8,12501,0.0,5.54,-0.67,-3.0,0.07
20161011,442.5,480.0,480.0,432.9,15637,0.0,10.55,7.53,33.6,0.09
20161012,478.5,478.5,486.6,475.2,6584,0.0,2.38,-0.31,-1.5,0.04
20161013,474.3,486.3,492.0,473.4,23145,0.0,3.89,1.63,7.8,0.13
20161014,486.3,495.9,501.0,486.3,5768,0.0,3.02,1.97,9.6,0.03
20161017,496.8,498.0,532.5,482.7,35475,0.0,10.04,0.42,2.1,0.2
20161018,502.8,519.9,523.5,502.8,32391,0.0,4.16,4.4,21.9,0.18
20161019,518.7,520.8,522.0,514.2,7754,0.0,1.5,0.17,0.9,0.04
20161020,519.3,507.0,519.9,492.0,22334,0.0,5.36,-2.65,-13.8,0.12
20161021,505.2,500.7,517.8,495.6,10765,0.0,4.38,-1.24,-6.3,0.06
20161024,499.8,492.3,499.8,491.1,8424,0.0,1.74,-1.68,-8.4,0.05
20161025,502.5,495.9,504.0,490.2,4337,0.0,2.8,0.73,3.6,0.02
20161026,522.6,507.9,522.6,480.6,12811,0.0,8.47,2.42,12.0,0.07
20161027,513.3,507.6,513.3,498.3,4951,0.0,2.95,-0.06,-0.3,0.03
20161028,501.9,497.7,501.9,488.1,6259,0.0,2.72,-1.95,-9.9,0.03
20161031,493.8,529.2,529.2,487.5,51293,0.0,8.38,6.33,31.5,0.28
20161101,532.2,551.4,567.3,532.2,25783,0.0,6.63,4.2,22.2,0.14
20161102,556.2,552.6,559.2,547.2,12620,0.0,2.18,0.22,1.2,0.07
20161103,568.2,556.8,588.0,545.1,10904,0.0,7.76,0.76,4.2,0.06
20161104,494.1,549.3,559.2,480.0,10337,0.0,14.22,-1.35,-7.5,0.06
20161107,554.1,568.8,573.3,525.0,12913,0.0,8.79,3.55,19.5,0.07
20161108,567.6,588.9,588.9,564.0,20771,0.0,4.38,3.53,20.1,0.11
20161109,600.0,572.7,600.0,529.8,27938,0.0,11.92,-2.75,-16.2,0.15
20161110,596.1,620.4,639.0,579.3,33374,0.0,10.42,8.33,47.7,0.18
20161111,631.8,728.4,734.7,627.0,34961,0.0,17.36,17.41,108.0,0.19
20161114,736.2,707.1,736.2,676.8,21518,0.0,8.15,-2.92,-21.3,0.12
20161115,675.0,675.0,685.5,663.3,12225,0.0,3.14,-4.54,-32.1,0.07
20161116,675.0,690.6,692.4,675.0,12755,0.0,2.58,2.31,15.6,0.07
20161117,698.4,687.9,705.3,683.7,86485,0.0,3.13,-0.39,-2.7,0.48
20161118,686.7,698.7,710.4,677.1,19775,0.0,4.84,1.57,10.8,0.11
20161121,681.0,708.0,718.8,681.0,3800,0.0,5.41,1.33,9.3,0.02
20161122,714.0,753.9,766.8,689.7,49440,0.0,10.89,6.48,45.9,0.27
20161123,748.8,773.7,791.7,681.0,10846,0.0,14.68,2.63,19.8,0.06
20161125,773.1,789.9,789.9,763.2,3796,0.0,3.45,2.09,16.2,0.02
20161128,802.5,789.6,840.0,786.0,21682,0.0,6.84,-0.04,-0.3,0.12
20161129,786.3,678.6,802.8,675.0,60386,0.0,16.19,-14.06,-111.0,0.33
20161130,703.5,615.0,721.8,583.2,17231,0.0,20.42,-9.37,-63.6,0.09
20161201,645.9,612.3,645.9,604.8,8978,0.0,6.68,-0.44,-2.7,0.05
20161202,608.7,588.3,630.3,579.0,10530,0.0,8.38,-3.92,-24.0,0.06
20161205,674.7,703.2,720.0,642.6,52617,0.0,13.16,19.53,114.9,0.29
20161206,750.0,718.5,750.0,694.2,103218,0.0,7.94,2.18,15.3,0.57
20161207,714.0,696.0,749.7,687.9,61744,0.0,8.6,-3.13,-22.5,0.34
20161208,708.6,694.5,710.1,682.5,38794,0.0,3.97,-0.22,-1.5,0.21
20161209,699.6,689.1,699.6,678.6,57759,0.0,3.02,-0.78,-5.4,0.32
20161212,683.7,673.8,707.7,640.8,120700,0.0,9.71,-2.22,-15.3,0.66
20161213,645.3,672.0,689.4,645.3,16024,0.0,6.54,-0.27,-1.8,0.09
20161214,678.0,657.6,692.7,646.2,103472,0.0,6.92,-2.14,-14.4,0.57
20161215,665.1,657.3,690.0,643.8,21931,0.0,7.03,-0.05,-0.3,0.12
20161216,658.2,643.5,675.3,612.9,151125,0.0,9.49,-2.1,-13.8,0.83
20161219,630.0,514.5,630.0,505.5,213002,0.0,19.35,-20.05,-129.0,1.17
20161220,523.5,537.0,548.4,514.5,137929,0.0,6.59,4.37,22.5,0.76
20161221,539.4,545.7,566.4,521.1,164799,0.0,8.44,1.62,8.7,0.91
20161222,549.9,547.5,569.7,534.3,63853,0.0,6.49,0.33,1.8,0.35
20161223,555.0,559.5,562.5,551.4,27516,0.0,2.03,2.19,12.0,0.15
20161227,557.1,533.1,557.1,518.4,25700,0.0,6.92,-4.72,-26.4,0.14
20161228,522.6,515.4,527.1,513.3,45329,0.0,2.59,-3.32,-17.7,0.25
20161229,526.5,517.8,538.5,515.1,105697,0.0,4.54,0.47,2.4,0.58
20161230,516.6,514.5,522.0,507.0,39914,0.0,2.9,-0.64,-3.3,0.22
20170103,517.5,518.4,555.0,496.5,70630,0.0,11.37,0.76,3.9,0.38
20170104,508.5,517.5,519.0,508.5,33350,0.0,2.03,-0.17,-0.9,0.18
20170105,517.5,512.4,517.5,507.9,42497,0.0,1.86,-0.99,-5.1,0.23
