trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20170511,16.937,16.937,16.937,16.937,90000,0.0,0.0,0.0,0.0,0.0
20170512,17.012,17.012,17.012,17.012,101,0.0,0.0,0.44,0.075,0.0
20170515,17.147,17.147,17.147,17.147,750,0.0,0.0,0.79,0.135,0.0
20170516,17.207,17.207,17.207,17.207,602,0.0,0.0,0.35,0.06,0.0
20170517,17.207,17.207,17.207,17.207,0,0.0,0.0,0.0,0.0,0.0
20170518,17.086,17.086,17.086,17.086,400,0.0,0.0,-0.7,-0.121,0.0
20170519,17.187,17.16,17.187,17.16,200,0.0,0.16,0.43,0.074,0.0
20170522,17.167,17.167,17.167,17.167,0,0.0,0.0,0.04,0.007,0.0
20170523,17.288,17.261,17.295,17.261,750,0.0,0.2,0.55,0.094,0.0
20170524,17.261,17.261,17.261,17.261,0,0.0,0.0,0.0,0.0,0.0
20170525,17.261,17.261,17.261,17.261,0,0.0,0.0,0.0,0.0,0.0
20170526,17.309,17.309,17.309,17.309,1586,0.0,0.0,0.28,0.048,0.0
20170530,17.329,17.336,17.336,17.329,1600,0.0,0.04,0.16,0.027,0.0
20170531,17.336,17.336,17.336,17.336,0,0.0,0.0,0.0,0.0,0.0
20170601,17.477,17.336,17.477,17.336,200,0.0,0.81,0.0,0.0,0.0
20170602,17.336,17.336,17.336,17.336,0,0.0,0.0,0.0,0.0,0.0
20170605,17.336,17.336,17.336,17.336,0,0.0,0.0,0.0,0.0,0.0
20170606,17.336,17.336,17.336,17.336,0,0.0,0.0,0.0,0.0,0.0
20170607,17.531,17.491,17.531,17.491,4000,0.0,0.23,0.89,0.155,0.0
20170608,17.491,17.491,17.491,17.491,400,0.0,0.0,0.0,0.0,0.0
20170609,17.498,17.498,17.498,17.498,0,0.0,0.0,0.04,0.007,0.0
20170612,17.498,17.498,17.498,17.498,0,0.0,0.0,0.0,0.0,0.0
20170613,17.471,17.498,17.498,17.464,4500,0.0,0.19,0.0,0.0,0.0
20170614,17.525,17.531,17.531,17.525,800,0.0,0.03,0.19,0.033,0.0
20170615,17.302,17.302,17.302,17.302,200,0.0,0.0,-1.31,-0.229,0.0
20170616,17.41,17.41,17.41,17.41,275,0.0,0.0,0.62,0.108,0.0
20170619,17.41,17.41,17.41,17.41,0,0.0,0.0,0.0,0.0,0.0
20170620,17.41,17.41,17.41,17.41,0,0.0,0.0,0.0,0.0,0.0
20170621,17.41,17.41,17.41,17.41,0,0.0,0.0,0.0,0.0,0.0
20170622,17.41,17.41,17.41,17.41,0,0.0,0.0,0.0,0.0,0.0
20170623,17.315,17.315,17.315,17.315,0,0.0,0.0,-0.55,-0.095,0.0
20170626,17.315,17.315,17.315,17.315,0,0.0,0.0,0.0,0.0,0.0
20170627,17.315,17.315,17.315,17.315,0,0.0,0.0,0.0,0.0,0.0
20170628,17.383,17.565,17.565,17.383,3907,0.0,1.05,1.44,0.25,0.0
20170629,17.43,17.43,17.43,17.43,336,0.0,0.0,-0.77,-0.135,0.0
20170630,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,0.0,0.0
20170703,17.43,17.43,17.43,17.43,0,0.0,0.0,0.0,0.0,0.0
20170705,17.336,17.336,17.336,17.336,3000,0.0,0.0,-0.54,-0.094,0.0
20170706,17.241,17.241,17.241,17.241,707,0.0,0.0,-0.55,-0.095,0.0
20170707,17.221,17.221,17.221,17.221,100,0.0,0.0,-0.12,-0.02,0.0
20170710,17.221,17.221,17.221,17.221,0,0.0,0.0,0.0,0.0,0.0
20170711,17.241,17.241,17.241,17.241,0,0.0,0.0,0.12,0.02,0.0
20170712,17.471,17.471,17.471,17.471,100,2588.0,0.0,1.33,0.23,0.0
20170713,17.471,17.471,17.471,17.471,0,0.0,0.0,0.0,0.0,0.0
20170714,17.471,17.471,17.471,17.471,0,0.0,0.0,0.0,0.0,0.0
20170717,17.471,17.471,17.471,17.471,0,0.0,0.0,0.0,0.0,0.0
20170718,17.471,17.471,17.471,17.471,0,0.0,0.0,0.0,0.0,0.0
20170719,17.727,17.727,17.727,17.727,100,0.0,0.0,1.47,0.256,0.0
20170720,17.747,17.761,17.761,17.747,336,8836.0,0.08,0.19,0.034,0.0
20170721,17.761,17.761,17.761,17.761,0,0.0,0.0,0.0,0.0,0.0
20170724,17.761,17.761,17.761,17.761,0,0.0,0.0,0.0,0.0,0.0
20170725,17.761,17.761,17.761,17.761,0,0.0,0.0,0.0,0.0,0.0
20170726,17.761,17.761,17.761,17.761,0,0.0,0.0,0.0,0.0,0.0
20170727,17.768,17.768,17.768,17.768,0,0.0,0.0,0.04,0.007,0.0
20170728,17.761,17.761,17.761,17.761,0,0.0,0.0,-0.04,-0.007,0.0
20170731,17.768,17.768,17.768,17.768,0,0.0,0.0,0.04,0.007,0.0
20170801,17.761,17.761,17.761,17.761,0,0.0,0.0,-0.04,-0.007,0.0
20170802,17.761,17.761,17.761,17.761,0,0.0,0.0,0.0,0.0,0.0
