trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210105,10.07,10.02,10.13,10.02,5231,52700.0,1.09,-0.5,-0.05,0.04
20210106,10.2,10.15,10.2,9.99,20674,207388.0,2.1,1.3,0.13,0.14
20210107,10.02,10.06,10.07,9.95,41007,410459.0,1.18,-0.89,-0.09,0.28
20210108,10.0,10.1,10.14,9.91,70717,710878.0,2.29,0.4,0.04,0.48
20210111,10.2,10.23,10.25,10.1,29701,302537.0,1.49,1.29,0.13,0.2
20210112,10.17,10.25,10.37,10.1,133454,1365479.0,2.64,0.2,0.02,0.91
20210113,10.28,10.45,10.45,10.25,189206,1952529.0,1.95,1.95,0.2,1.29
20210114,10.4,10.43,10.43,10.3,46751,483913.0,1.24,-0.19,-0.02,0.32
20210115,10.45,10.43,10.84,10.3,93956,992381.0,5.18,0.0,0.0,0.64
20210119,10.6,10.52,10.6,10.42,41053,430854.0,1.73,0.86,0.09,0.28
20210120,10.5,10.43,10.5,10.41,22448,234890.0,0.86,-0.86,-0.09,0.15
20210121,10.5,10.45,10.59,10.41,24596,257707.0,1.73,0.19,0.02,0.17
20210122,10.45,10.53,10.57,10.4,16251,170644.0,1.63,0.77,0.08,0.11
20210125,10.83,10.5,10.84,10.3,154416,1625169.0,5.13,-0.28,-0.03,1.05
20210126,10.59,10.5,10.59,10.38,127748,1337995.0,2.0,0.0,0.0,0.87
20210127,10.55,10.42,10.6,10.3,158450,1654530.0,2.86,-0.76,-0.08,1.08
20210128,10.45,10.54,10.55,10.45,76801,806593.0,0.96,1.15,0.12,0.52
20210129,10.6,10.5,10.6,10.44,27875,291844.0,1.52,-0.38,-0.04,0.19
20210201,10.65,10.57,10.8,10.55,74043,788028.0,2.38,0.67,0.07,0.51
20210202,10.55,10.57,10.7,10.55,44764,474761.0,1.42,0.0,0.0,0.31
20210203,10.63,10.6,10.69,10.55,98809,1048402.0,1.32,0.28,0.03,0.67
20210204,10.72,10.6,10.88,10.59,141627,1516768.0,2.74,0.0,0.0,0.97
20210205,10.68,10.68,10.835,10.67,40850,438353.0,1.56,0.75,0.08,0.28
20210208,10.86,10.73,11.39,10.64,544445,5868744.0,7.02,0.47,0.05,3.72
20210209,10.86,10.71,10.86,10.65,84706,911084.0,1.96,-0.19,-0.02,0.58
20210210,10.86,11.06,11.19,10.75,144718,1592616.0,4.11,3.27,0.35,0.99
20210211,11.15,10.82,11.2,10.78,170010,1867304.0,3.8,-2.17,-0.24,1.16
20210212,10.8,10.795,11.0,10.7,108164,1175819.0,2.77,-0.23,-0.025,0.74
20210216,10.92,10.87,10.95,10.85,228816,2490255.0,0.93,0.69,0.075,1.56
20210217,10.9,11.16,11.35,10.85,199151,2177216.0,4.6,2.67,0.29,1.36
20210218,11.28,11.3,11.3,11.0,92759,1036471.0,2.69,1.25,0.14,0.63
20210219,11.4,11.48,11.58,11.35,164670,1883545.0,2.04,1.59,0.18,1.12
20210222,11.5,11.1,11.5,10.98,68025,762720.0,4.53,-3.31,-0.38,0.46
20210223,10.92,10.81,10.95,10.5,183121,1961967.0,4.05,-2.61,-0.29,1.25
20210224,10.77,10.93,11.08,10.72,56345,614546.0,3.33,1.11,0.12,0.38
20210225,10.77,10.45,11.0,10.32,270142,2887003.0,6.22,-4.39,-0.48,1.84
20210226,10.95,10.61,10.98,10.5,542353,5808105.0,4.59,1.53,0.16,3.7
20210301,10.8,10.73,10.9,10.55,421178,4507261.0,3.3,1.13,0.12,2.87
20210302,10.74,10.31,10.74,10.275,236145,2455941.0,4.33,-3.91,-0.42,1.61
20210303,10.32,10.18,10.438,10.11,342923,3504288.0,3.18,-1.26,-0.13,2.34
20210304,10.11,9.98,10.22,9.93,461285,4624353.0,2.85,-1.96,-0.2,3.15
20210305,10.05,10.17,10.24,9.93,368486,3691405.0,3.11,1.9,0.19,2.52
20210308,10.14,10.13,10.19,10.0,185399,1870672.0,1.87,-0.39,-0.04,1.27
20210309,10.1,10.11,10.22,10.01,74753,755132.0,2.07,-0.2,-0.02,0.51
20210310,10.12,10.04,10.19,10.0,83637,843989.0,1.88,-0.69,-0.07,0.57
20210311,10.1,10.3,10.35,9.98,89530,909865.0,3.69,2.59,0.26,0.61
20210312,10.19,10.17,10.229,10.05,80527,816322.0,1.74,-1.26,-0.13,0.55
20210315,10.16,10.02,10.21,10.02,96190,968664.0,1.87,-1.47,-0.15,0.66
20210316,10.05,10.12,10.17,10.03,222969,2251906.0,1.4,1.0,0.1,1.52
20210317,10.04,10.05,10.09,9.95,71557,717692.0,1.38,-0.69,-0.07,0.49
20210318,10.03,10.07,10.23,10.03,33117,334528.0,1.99,0.2,0.02,0.23
20210319,10.2,10.13,10.2,10.03,54019,545217.0,1.69,0.6,0.06,0.37
