trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20221024,9.2,9.199,9.5,9.051,106753,98478.0,0.36,-92.67,-116.301,0.22
20221025,8.9,9.7,9.832,8.9,178343,168672.0,10.13,5.45,0.501,0.37
20221026,9.3,9.678,10.1,9.201,159316,152796.0,9.27,-0.23,-0.022,0.33
20221027,9.8,9.394,9.8,9.2,128635,121553.0,6.2,-2.93,-0.284,0.27
20221028,9.4,9.12,9.565,8.9,134304,123148.0,7.08,-2.92,-0.274,0.28
20221031,9.2,9.663,10.0,9.0,201750,194971.0,10.96,5.95,0.543,0.42
20221101,9.605,9.7,10.099,9.6,105981,104861.0,5.16,0.38,0.037,0.22
20221102,9.537,9.103,9.7,9.1,95363,88522.0,6.19,-6.15,-0.597,0.2
20221103,9.1,9.403,9.74,9.1,82659,78076.0,7.03,3.3,0.3,0.17
20221104,9.347,8.8,9.4,8.5,314465,276224.0,9.57,-6.41,-0.603,0.65
20221107,9.24,9.138,9.4,8.65,101514,90820.0,8.52,3.84,0.338,0.21
20221108,9.4,8.7,9.401,8.6,281589,254069.0,8.77,-4.79,-0.438,0.58
20221109,9.5,8.301,9.501,7.701,246940,207995.0,20.69,-4.59,-0.399,0.51
20221110,9.0,8.103,9.018,8.1,119209,103212.0,11.06,-2.39,-0.198,0.25
20221111,8.4,9.677,9.677,7.801,391569,350560.0,23.15,19.42,1.574,0.81
20221114,9.9,9.2,9.975,9.1,379081,365153.0,9.04,-4.93,-0.477,0.78
20221115,9.1,9.593,9.999,9.0,154830,146896.0,10.86,4.27,0.393,0.31
20221116,9.5,9.6,9.6,9.027,44157,40934.0,5.97,0.07,0.007,0.09
20221117,9.5,9.2,9.679,8.8,106530,97729.0,9.16,-4.17,-0.4,0.21
20221118,9.1,9.424,9.6,8.9,137551,127184.0,7.61,2.43,0.224,0.28
20221121,9.4,8.491,9.821,8.491,185076,168185.0,14.11,-9.9,-0.933,0.37
20221122,8.8,7.62,8.8,7.62,426836,344484.0,13.9,-10.26,-0.871,0.86
20221123,7.6,7.9,8.2,7.514,155628,121630.0,9.0,3.67,0.28,0.31
20221125,7.8,7.7,8.2,7.5,127804,98276.0,8.86,-2.53,-0.2,0.26
20221128,7.571,7.238,8.1,7.1,202584,147606.0,12.99,-6.0,-0.462,0.41
20221129,7.1,6.886,7.499,6.273,169172,114729.0,16.94,-4.86,-0.352,0.34
20221130,7.2,7.3,7.3,6.68,133358,92155.0,9.0,6.01,0.414,0.27
20221201,7.442,7.153,7.9,7.047,102555,76421.0,11.68,-2.01,-0.147,0.21
