trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-28.271,-28.348,-28.271,-28.348,416498,0.0,0.0,0.0,0.0,1.54
20010103,-28.336,-28.259,-28.203,-28.336,699750,0.0,-0.47,0.31,0.089,2.58
20010104,-28.259,-28.227,-28.218,-28.304,694502,0.0,-0.3,0.11,0.032,2.56
20010105,-28.227,-28.28,-28.206,-28.286,546002,0.0,-0.28,-0.19,-0.053,2.01
20010108,-28.265,-28.236,-28.227,-28.274,423501,0.0,-0.17,0.16,0.044,1.56
20010109,-28.236,-28.307,-28.203,-28.313,640249,0.0,-0.39,-0.25,-0.071,2.36
20010110,-28.313,-28.283,-28.277,-28.333,694502,0.0,-0.2,0.08,0.024,2.56
20010111,-28.271,-28.236,-28.236,-28.292,721249,0.0,-0.2,0.17,0.047,2.66
20010112,-28.236,-28.277,-28.236,-28.283,680001,0.0,-0.17,-0.15,-0.041,2.51
20010116,-28.283,-28.102,-28.102,-28.283,827252,0.0,-0.64,0.62,0.175,3.05
20010117,-28.114,-28.215,-28.111,-28.23,957752,0.0,-0.42,-0.4,-0.113,3.53
20010118,-28.209,-28.215,-28.167,-28.236,393249,0.0,-0.24,0.0,0.0,1.45
20010119,-28.209,-28.244,-28.206,-28.25,293749,0.0,-0.16,-0.1,-0.029,1.08
20010122,-28.241,-28.191,-28.173,-28.292,823748,0.0,-0.42,0.19,0.053,3.04
20010123,-28.191,-28.179,-28.129,-28.194,481748,0.0,-0.23,0.04,0.012,1.78
20010124,-28.167,-28.203,-28.156,-28.206,568249,0.0,-0.18,-0.09,-0.024,2.1
20010125,-28.206,-28.156,-28.15,-28.206,529251,0.0,-0.2,0.17,0.047,1.95
20010126,-28.167,-28.191,-28.167,-28.206,511999,0.0,-0.14,-0.12,-0.035,1.89
20010129,-28.185,-28.15,-28.129,-28.188,475999,0.0,-0.21,0.15,0.041,1.76
20010130,-28.159,-28.102,-28.093,-28.164,630501,0.0,-0.25,0.17,0.048,2.33
20010131,-28.108,-28.108,-28.096,-28.123,420249,0.0,-0.1,-0.02,-0.006,1.55
20010201,-28.108,-28.058,-28.055,-28.108,739502,0.0,-0.19,0.18,0.05,2.73
20010202,-28.061,-28.073,-28.061,-28.081,361001,0.0,-0.07,-0.05,-0.015,1.33
20010205,-28.073,-28.073,-28.049,-28.079,219251,0.0,-0.11,0.0,0.0,0.81
20010206,-28.073,-28.052,-28.052,-28.093,309499,0.0,-0.15,0.07,0.021,1.14
20010207,-28.055,-28.079,-28.055,-28.093,451249,0.0,-0.14,-0.1,-0.027,1.66
20010208,-28.079,-28.096,-28.07,-28.108,329749,0.0,-0.14,-0.06,-0.017,1.22
20010209,-28.096,-28.09,-28.084,-28.141,340751,0.0,-0.2,0.02,0.006,1.26
20010212,-28.09,-28.108,-28.084,-28.138,408499,0.0,-0.19,-0.06,-0.018,1.51
20010213,-28.114,-28.079,-28.049,-28.117,1397751,0.0,-0.24,0.1,0.029,5.16
20010214,-28.076,-28.093,-28.076,-28.138,284749,0.0,-0.22,-0.05,-0.014,1.05
20010215,-28.093,-28.049,-28.049,-28.108,365749,0.0,-0.21,0.16,0.044,1.35
20010216,-28.061,-28.081,-28.061,-28.099,305753,0.0,-0.14,-0.11,-0.032,1.13
20010220,-28.081,-28.093,-28.052,-28.105,456249,0.0,-0.19,-0.04,-0.012,1.68
20010221,-28.12,-28.179,-28.117,-28.215,1169753,0.0,-0.35,-0.31,-0.086,4.32
20010222,-28.179,-28.197,-28.164,-28.206,1056999,0.0,-0.15,-0.06,-0.018,3.9
20010223,-28.2,-28.23,-28.176,-28.241,537002,0.0,-0.23,-0.12,-0.033,1.98
20010226,-28.224,-28.161,-28.156,-28.239,604502,0.0,-0.29,0.24,0.069,2.23
20010227,-28.164,-28.17,-28.141,-28.188,282499,0.0,-0.17,-0.03,-0.009,1.04
20010228,-28.159,-28.153,-28.129,-28.164,444999,0.0,-0.12,0.06,0.017,1.64
20010301,-28.156,-28.227,-28.156,-28.239,429249,0.0,-0.29,-0.26,-0.074,1.58
20010302,-28.224,-28.215,-28.176,-28.239,1155999,0.0,-0.22,0.04,0.012,4.26
20010305,-28.161,-28.173,-28.159,-28.2,1402498,0.0,-0.15,0.15,0.042,5.17
20010306,-28.161,-28.156,-28.141,-28.194,346253,0.0,-0.19,0.06,0.017,1.28
20010307,-28.064,-27.993,-27.972,-28.064,535500,0.0,-0.33,0.58,0.163,1.98
20010308,-27.984,-27.987,-27.969,-28.04,310253,0.0,-0.25,0.02,0.006,1.14
20010309,-27.987,-28.022,-27.975,-28.025,278753,0.0,-0.18,-0.13,-0.035,1.03
