trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-4.715,-5.155,-4.715,-5.465,79800,0.0,0.0,0.0,0.0,0.09
20010103,-4.905,-4.405,-4.405,-5.345,714500,0.0,-18.23,14.55,0.75,0.85
20010104,-4.465,-3.595,-3.285,-4.905,902400,0.0,-36.78,18.39,0.81,1.07
20010105,-3.715,-3.715,-3.405,-4.715,703000,0.0,-36.44,-3.34,-0.12,0.83
20010108,-3.655,-4.095,-3.655,-4.155,223100,0.0,-13.46,-10.23,-0.38,0.26
20010109,-4.095,-3.405,-3.345,-4.215,541400,0.0,-21.25,16.85,0.69,0.64
20010110,-3.595,-3.285,-3.025,-3.595,265400,0.0,-16.74,3.52,0.12,0.31
20010111,-3.215,-2.965,-2.845,-3.525,449500,0.0,-20.7,9.74,0.32,0.53
20010112,-2.785,-2.405,-1.845,-2.905,597100,0.0,-35.75,18.89,0.56,0.71
20010116,-2.465,-2.215,-2.095,-2.525,383600,0.0,-17.88,7.9,0.19,0.45
20010117,-2.285,-2.845,-2.095,-3.155,331100,0.0,-47.86,-28.44,-0.63,0.39
20010118,-2.905,-2.905,-2.845,-3.405,162000,0.0,-19.68,-2.11,-0.06,0.19
20010119,-3.155,-2.845,-2.785,-3.155,115000,0.0,-12.74,2.07,0.06,0.14
20010122,-3.155,-3.465,-3.155,-3.595,308500,0.0,-15.47,-21.79,-0.62,0.37
20010123,-3.405,-3.465,-3.405,-4.285,437100,0.0,-25.4,0.0,0.0,0.52
20010124,-3.345,-3.405,-3.345,-3.715,229400,0.0,-10.68,1.73,0.06,0.27
20010125,-3.345,-3.405,-3.215,-3.655,313200,0.0,-12.92,0.0,0.0,0.37
20010126,-3.595,-4.155,-3.345,-4.285,413300,0.0,-27.61,-22.03,-0.75,0.49
20010129,-4.345,-4.025,-4.025,-4.405,412300,0.0,-9.15,3.13,0.13,0.49
20010130,-4.215,-4.025,-3.905,-4.285,141000,0.0,-9.44,0.0,0.0,0.17
20010131,-3.905,-3.715,-3.525,-4.095,830500,0.0,-14.16,7.7,0.31,0.98
20010201,-3.785,-4.405,-3.525,-4.525,189900,0.0,-26.92,-18.57,-0.69,0.22
20010202,-5.565,-5.845,-5.025,-5.965,657600,0.0,-21.34,-32.69,-1.44,0.78
20010205,-5.845,-6.095,-5.785,-6.405,461100,0.0,-10.61,-4.28,-0.25,0.55
20010206,-6.235,-5.095,-5.025,-6.285,359400,0.0,-20.67,16.41,1.0,0.43
