trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20070202,7530.835,7530.835,7530.835,7530.835,0,0.0,0.0,0.0,0.0,0.0
20070205,7515.448,7515.448,7515.448,7515.448,1200,0.0,0.0,-0.2,-15.387,0.0
20070206,7517.646,7517.646,7517.646,7517.646,200,0.0,0.0,0.03,2.198,0.0
20070207,7478.08,7478.08,7478.08,7478.08,0,0.0,0.0,-0.53,-39.566,0.0
20070208,7450.603,7450.603,7450.603,7450.603,1200,0.0,0.0,-0.37,-27.477,0.0
20070209,7391.253,7442.91,7442.91,7391.253,1500,0.0,0.69,-0.1,-7.693,0.0
20070212,7442.91,7442.91,7442.91,7442.91,0,0.0,0.0,0.0,0.0,0.0
20070213,7601.176,7567.105,7601.176,7567.105,1200,0.0,0.46,1.67,124.195,0.0
20070214,7550.619,7550.619,7550.619,7550.619,1200,0.0,0.0,-0.22,-16.486,0.0
20070215,7550.619,7550.619,7550.619,7550.619,0,0.0,0.0,0.0,0.0,0.0
20070216,7550.619,7550.619,7550.619,7550.619,0,0.0,0.0,0.0,0.0,0.0
20070220,7433.018,7433.018,7433.018,7433.018,1200,0.0,0.0,-1.56,-117.601,0.0
20070221,7433.018,7433.018,7433.018,7433.018,0,0.0,0.0,0.0,0.0,0.0
20070222,7433.018,7433.018,7433.018,7433.018,0,0.0,0.0,0.0,0.0,0.0
20070223,7408.838,7425.324,7425.324,7408.838,800,0.0,0.22,-0.1,-7.694,0.0
20070226,7430.82,7463.792,7463.792,7430.82,700,0.0,0.44,0.52,38.468,0.0
20070227,7768.235,8013.327,8128.73,7725.371,7900,0.0,5.4,7.36,549.535,0.0
20070228,7949.581,7918.807,7968.266,7891.331,100,0.0,0.96,-1.18,-94.52,0.0
20070301,7918.807,7918.807,7918.807,7918.807,0,0.0,0.0,0.0,0.0,0.0
20070302,8084.767,8084.767,8084.767,8084.767,0,0.0,0.0,2.1,165.96,0.0
20070305,8352.94,8354.04,8354.04,8280.402,2800,0.0,0.91,3.33,269.273,0.0
20070306,8354.04,8354.04,8354.04,8354.04,0,0.0,0.0,0.0,0.0,0.0
20070307,8133.126,8114.442,8133.126,8093.56,2600,0.0,0.47,-2.87,-239.598,0.0
20070308,8023.219,8018.823,8023.219,7959.473,2700,0.0,0.79,-1.18,-95.619,0.0
20070309,8061.687,8044.101,8095.758,8044.101,600,0.0,0.64,0.32,25.278,0.0
20070312,8062.786,8027.615,8062.786,8027.615,800,0.0,0.44,-0.2,-16.486,0.0
20070313,8092.461,8314.473,8489.225,8092.461,1600,0.0,4.94,3.57,286.858,0.0
20070314,8352.94,8317.77,8399.101,8317.77,2000,0.0,0.98,0.04,3.297,0.0
20070315,8255.123,8263.916,8263.916,8254.024,0,0.0,0.12,-0.65,-53.854,0.0
20070316,8201.269,8286.996,8286.996,8201.269,0,0.0,1.04,0.28,23.08,0.0
20070319,8144.117,8116.64,8144.117,8116.64,200,0.0,0.33,-2.06,-170.356,0.0
20070320,8045.201,7958.374,8063.885,7958.374,2400,0.0,1.3,-1.95,-158.266,0.0
20070321,7989.148,7661.625,7989.148,7583.591,2700,0.0,5.1,-3.73,-296.749,0.0
20070322,7712.182,7767.136,7791.315,7708.885,800,0.0,1.08,1.38,105.511,0.0
20070323,7735.262,7736.362,7737.461,7735.262,100,0.0,0.03,-0.4,-30.774,0.0
20070326,7870.448,7745.154,7870.448,7745.154,200,0.0,1.62,0.11,8.792,0.0
20070327,7855.061,7861.656,7861.656,7855.061,0,0.0,0.09,1.5,116.502,0.0
20070328,8030.913,7990.247,8030.913,7990.247,0,0.0,0.52,1.64,128.591,0.0
20070329,7946.284,7992.445,8061.687,7946.284,900,0.0,1.44,0.03,2.198,0.0
20070330,7963.869,7951.779,7963.869,7944.086,600,0.0,0.25,-0.51,-40.666,0.0
20070402,7971.563,7971.563,7971.563,7971.563,0,0.0,0.0,0.25,19.784,0.0
20070403,7689.101,7689.101,7689.101,7689.101,0,0.0,0.0,-3.54,-282.462,0.0
20070404,7700.092,7720.975,7720.975,7700.092,200,0.0,0.27,0.41,31.874,0.0
20070405,7714.38,7645.139,7715.479,7644.04,400,0.0,0.93,-0.98,-75.836,0.0
20070409,7634.148,7649.535,7649.535,7634.148,100,0.0,0.2,0.06,4.396,0.0
20070410,7595.68,7641.841,7641.841,7595.68,0,0.0,0.6,-0.1,-7.694,0.0
20070411,7677.012,7677.012,7677.012,7677.012,0,0.0,0.0,0.46,35.171,0.0
20070412,7696.795,7696.795,7696.795,7696.795,0,0.0,0.0,0.26,19.783,0.0
20070413,7696.795,7696.795,7696.795,7696.795,0,0.0,0.0,0.0,0.0,0.0
20070416,7587.987,7546.222,7587.987,7472.584,300,0.0,1.5,-1.96,-150.573,0.0
20070417,7546.222,7546.222,7546.222,7546.222,0,0.0,0.0,0.0,0.0,0.0
20070418,7546.222,7546.222,7546.222,7546.222,0,0.0,0.0,0.0,0.0,0.0
20070419,7593.482,7611.067,7611.067,7593.482,100,0.0,0.23,0.86,64.845,0.0
20070420,7449.504,7449.504,7449.504,7449.504,0,0.0,0.0,-2.12,-161.563,0.0
20070423,7442.91,7507.755,7517.646,7442.91,200,0.0,1.0,0.78,58.251,0.0
20070424,7517.646,7517.646,7517.646,7517.646,500,0.0,0.0,0.13,9.891,0.0
20070425,7434.117,7403.343,7434.117,7396.749,600,0.0,0.5,-1.52,-114.303,0.0
20070426,7403.343,7403.343,7403.343,7403.343,0,0.0,0.0,0.0,0.0,0.0
20070427,7403.343,7403.343,7403.343,7403.343,0,0.0,0.0,0.0,0.0,0.0
20070430,7611.067,7771.532,7771.532,7603.374,200,0.0,2.27,4.97,368.189,0.0
20070501,7778.126,7700.092,7853.962,7700.092,1500,0.0,1.98,-0.92,-71.44,0.0
20070502,7562.708,7594.581,7596.78,7515.448,1000,0.0,1.06,-1.37,-105.511,0.0
20070503,7606.671,7606.671,7606.671,7606.671,0,0.0,0.0,0.16,12.09,0.0
20070504,7606.671,7606.671,7606.671,7606.671,0,0.0,0.0,0.0,0.0,0.0
20070507,7535.232,7558.312,7558.312,7515.448,100,0.0,0.56,-0.64,-48.359,0.0
20070508,7586.888,7586.888,7586.888,7586.888,0,0.0,0.0,0.38,28.576,0.0
20070509,7586.888,7586.888,7586.888,7586.888,0,0.0,0.0,0.0,0.0,0.0
20070510,7583.591,7702.29,7702.29,7583.591,400,0.0,1.56,1.52,115.402,0.0
20070511,7697.894,7666.021,7698.993,7666.021,300,0.0,0.43,-0.47,-36.269,0.0
20070514,7666.021,7666.021,7666.021,7666.021,0,0.0,0.0,0.0,0.0,0.0
20070515,7666.021,7730.866,7730.866,7605.572,600,0.0,1.63,0.85,64.845,0.0
20070516,7698.993,7698.993,7698.993,7698.993,0,0.0,0.0,-0.41,-31.873,0.0
20070517,7677.012,7646.238,7677.012,7646.238,200,0.0,0.4,-0.69,-52.755,0.0
20070518,7590.185,7523.142,7590.185,7523.142,200,0.0,0.88,-1.61,-123.096,0.0
20070521,7486.872,7493.467,7516.547,7211.006,600,0.0,4.06,-0.39,-29.675,0.0
20070522,7493.467,7493.467,7493.467,7493.467,0,0.0,0.0,0.0,0.0,0.0
20070523,7493.467,7493.467,7493.467,7493.467,0,0.0,0.0,0.0,0.0,0.0
20070524,7493.467,7493.467,7493.467,7493.467,0,0.0,0.0,0.0,0.0,0.0
20070525,7556.114,7556.114,7556.114,7556.114,0,0.0,0.0,0.84,62.647,0.0
20070529,7556.114,7556.114,7556.114,7556.114,0,0.0,0.0,0.0,0.0,0.0
20070530,7598.978,7528.637,7598.978,7528.637,100,0.0,0.93,-0.36,-27.477,0.0
20070531,7408.838,7408.838,7408.838,7408.838,0,0.0,0.0,-1.59,-119.799,0.0
20070601,7308.823,7308.823,7308.823,7308.823,0,0.0,0.0,-1.35,-100.015,0.0
20070604,7286.841,7286.841,7286.841,7286.841,200,0.0,0.0,-0.3,-21.982,0.0
20070605,7384.659,7376.965,7384.659,7376.965,500,0.0,0.11,1.24,90.124,0.0
20070606,7468.188,7473.684,7473.684,7467.089,300,0.0,0.09,1.31,96.719,0.0
20070607,7549.519,7704.488,7708.885,7549.519,400,0.0,2.13,3.09,230.804,0.0
20070608,7778.126,7633.049,7778.126,7633.049,300,0.0,1.88,-0.93,-71.439,0.0
20070611,7636.346,7636.346,7636.346,7636.346,0,0.0,0.0,0.04,3.297,0.0
20070612,7689.101,7792.414,7814.396,7666.021,300,0.0,1.94,2.04,156.068,0.0
20070613,7668.219,7671.516,7671.516,7668.219,1000,0.0,0.04,-1.55,-120.898,0.0
20070614,7633.049,7574.798,7633.049,7574.798,100,0.0,0.76,-1.26,-96.718,0.0
20070615,7453.9,7457.197,7457.197,7339.597,200,0.0,1.55,-1.55,-117.601,0.0
20070618,7457.197,7457.197,7457.197,7457.197,0,0.0,0.0,0.0,0.0,0.0
20070619,7579.194,7579.194,7579.194,7579.194,0,0.0,0.0,1.64,121.997,0.0
20070620,7502.259,7506.656,7506.656,7495.665,200,0.0,0.15,-0.96,-72.538,0.0
20070621,7638.544,7615.464,7650.634,7615.464,100,0.0,0.47,1.45,108.808,0.0
20070622,7717.677,7718.776,7720.975,7706.687,100,0.0,0.19,1.36,103.312,0.0
20070625,7748.451,7801.207,7805.603,7748.451,600,0.0,0.74,1.07,82.431,0.0
20070626,7627.554,7703.389,7703.389,7603.374,1100,0.0,1.28,-1.25,-97.818,0.0
