trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20160622,4.05,3.9,4.05,3.64,7138,0.0,0.0,0.0,0.0,0.12
20160623,4.05,3.85,4.05,3.66,28052,0.0,10.0,-1.28,-0.05,0.48
20160624,3.64,3.75,3.83,3.42,27699,0.0,10.65,-2.6,-0.1,0.48
20160627,3.8,3.8,3.83,3.8,3571,0.0,0.8,1.33,0.05,0.06
20160628,3.71,3.61,3.71,3.6,4580,0.0,2.89,-5.0,-0.19,0.08
20160629,3.55,3.71,3.71,3.55,6150,0.0,4.43,2.77,0.1,0.11
20160630,3.6,3.75,3.81,3.6,13418,0.0,5.66,1.08,0.04,0.23
20160701,3.67,3.8,3.82,3.67,2804,0.0,4.0,1.33,0.05,0.05
20160705,3.73,3.73,3.73,3.73,257,0.0,0.0,-1.84,-0.07,0.0
20160706,3.74,3.72,3.74,3.7,1080,0.0,1.07,-0.27,-0.01,0.02
20160707,3.75,3.71,3.78,3.68,4436,0.0,2.69,-0.27,-0.01,0.08
20160708,3.67,3.71,3.72,3.67,5542,0.0,1.35,0.0,0.0,0.09
20160711,3.7,3.78,3.8,3.7,21689,0.0,2.7,1.89,0.07,0.37
20160712,3.82,3.75,3.82,3.75,11082,0.0,1.85,-0.79,-0.03,0.19
20160713,3.65,3.73,3.78,3.6,9679,0.0,4.8,-0.53,-0.02,0.17
20160714,3.75,3.71,3.75,3.7,8146,0.0,1.34,-0.54,-0.02,0.14
20160715,3.7,3.66,3.7,3.51,12434,0.0,5.12,-1.35,-0.05,0.21
20160718,3.67,3.66,3.67,3.66,2110,0.0,0.27,0.0,0.0,0.04
20160719,3.66,3.76,3.8,3.66,17515,0.0,3.83,2.73,0.1,0.3
20160720,3.81,3.81,3.83,3.8,9248,0.0,0.8,1.33,0.05,0.16
20160721,3.8,3.8,3.82,3.8,3992,0.0,0.52,-0.26,-0.01,0.07
20160722,3.84,3.84,3.9,3.81,10458,0.0,2.37,1.05,0.04,0.18
20160725,3.85,3.8,3.86,3.8,15770,0.0,1.56,-1.04,-0.04,0.27
20160726,3.85,3.87,3.9,3.81,26424,0.0,2.37,1.84,0.07,0.45
20160727,3.84,3.84,4.0,3.84,40225,0.0,4.13,-0.78,-0.03,0.69
20160728,3.2,3.01,3.2,2.8,245973,0.0,10.42,-21.61,-0.83,4.21
20160729,3.06,2.91,3.08,2.7,47583,0.0,12.62,-3.32,-0.1,0.81
20160801,3.01,2.92,3.02,2.78,26879,0.0,8.25,0.34,0.01,0.46
20160802,2.76,2.81,2.9,2.74,27177,0.0,5.48,-3.77,-0.11,0.47
20160803,2.85,2.6,2.85,2.39,91894,0.0,16.37,-7.47,-0.21,1.57
20160804,2.6,2.84,2.88,2.58,28356,0.0,11.54,9.23,0.24,0.49
20160805,2.85,2.83,2.88,2.7,25534,0.0,6.34,-0.35,-0.01,0.44
20160808,2.89,2.77,2.89,2.74,21401,0.0,5.3,-2.12,-0.06,0.37
20160809,2.75,2.64,2.75,2.59,16612,0.0,5.78,-4.69,-0.13,0.28
20160810,2.59,2.58,2.59,2.58,3785,0.0,0.38,-2.27,-0.06,0.06
20160811,2.55,2.56,2.58,2.42,95965,0.0,6.2,-0.78,-0.02,1.64
20160812,2.62,2.62,2.63,2.52,13631,0.0,4.3,2.34,0.06,0.23
20160815,2.6,2.63,2.63,2.54,13993,0.0,3.44,0.38,0.01,0.24
20160816,2.55,2.58,2.59,2.52,1537,0.0,2.66,-1.9,-0.05,0.03
20160817,2.43,2.55,2.57,2.43,13733,0.0,5.43,-1.16,-0.03,0.24
20160818,2.57,2.53,2.57,2.51,4945,0.0,2.35,-0.78,-0.02,0.08
20160819,2.55,2.52,2.56,2.46,14994,0.0,3.95,-0.4,-0.01,0.26
20160822,2.47,2.46,2.61,2.43,8810,0.0,7.14,-2.38,-0.06,0.15
20160823,2.44,2.49,2.53,2.44,4895,0.0,3.66,1.22,0.03,0.08
20160824,2.5,2.55,2.73,2.5,44389,0.0,9.24,2.41,0.06,0.76
20160825,2.59,2.59,2.71,2.55,20199,0.0,6.27,1.57,0.04,0.35
20160826,2.62,2.62,2.65,2.58,5801,0.0,2.7,1.16,0.03,0.1
20160829,2.6,2.6,2.7,2.58,32818,0.0,4.58,-0.76,-0.02,0.56
20160830,2.54,2.51,2.57,2.41,20316,0.0,6.15,-3.46,-0.09,0.35
20160831,2.54,2.51,2.58,2.5,9165,0.0,3.19,0.0,0.0,0.16
20160901,2.5,2.61,2.63,2.5,10641,0.0,5.18,3.98,0.1,0.18
20160902,2.66,2.59,2.68,2.53,13182,0.0,5.75,-0.77,-0.02,0.23
20160906,2.66,2.85,2.85,2.61,60957,0.0,9.27,10.04,0.26,1.04
20160907,2.85,2.89,2.9,2.65,40466,0.0,8.77,1.4,0.04,0.69
20160908,2.91,2.89,2.93,2.67,29024,0.0,9.0,0.0,0.0,0.5
20160909,2.81,2.91,2.91,2.81,27166,0.0,3.46,0.69,0.02,0.46
20160912,2.99,3.03,3.1,2.97,50917,0.0,4.47,4.12,0.12,0.87
20160913,2.98,3.05,3.07,2.95,30702,0.0,3.96,0.66,0.02,0.53
20160914,3.07,3.08,3.08,3.02,26868,0.0,1.97,0.98,0.03,0.46
20160915,3.06,3.07,3.08,3.0,28162,0.0,2.6,-0.32,-0.01,0.48
20160916,3.0,2.78,3.06,2.76,75593,0.0,9.77,-9.45,-0.29,1.29
20160919,2.9,2.86,3.02,2.82,15674,0.0,7.19,2.88,0.08,0.27
20160920,2.87,2.84,2.88,2.82,12140,0.0,2.1,-0.7,-0.02,0.21
20160921,2.83,2.8,2.91,2.8,34496,0.0,3.87,-1.41,-0.04,0.59
20160922,2.77,2.75,2.89,2.75,17596,0.0,5.0,-1.79,-0.05,0.3
20160923,2.76,2.77,2.78,2.76,2469,0.0,0.73,0.73,0.02,0.04
20160926,2.77,2.75,2.82,2.75,11313,0.0,2.53,-0.72,-0.02,0.19
20160927,2.75,2.7,2.76,2.61,17160,0.0,5.45,-1.82,-0.05,0.29
20160928,2.74,2.63,2.77,2.63,13316,0.0,5.19,-2.59,-0.07,0.23
20160929,2.65,2.68,2.73,2.65,5437,0.0,3.04,1.9,0.05,0.09
20160930,2.71,2.72,2.73,2.68,11230,0.0,1.87,1.49,0.04,0.19
20161003,2.72,2.71,2.73,2.69,11186,0.0,1.47,-0.37,-0.01,0.19
20161004,2.69,2.79,2.79,2.69,12556,0.0,3.69,2.95,0.08,0.21
20161005,2.8,2.74,2.8,2.71,15688,0.0,3.23,-1.79,-0.05,0.27
20161006,2.75,2.77,2.77,2.7,4244,0.0,2.55,1.09,0.03,0.07
20161007,2.8,2.82,2.82,2.75,16280,0.0,2.53,1.81,0.05,0.28
20161010,2.84,2.79,2.84,2.79,6861,0.0,1.77,-1.06,-0.03,0.12
20161011,2.83,2.8,2.85,2.79,7445,0.0,2.15,0.36,0.01,0.13
20161012,2.75,2.9,2.9,2.62,74383,0.0,10.0,3.57,0.1,1.27
20161013,2.76,2.83,2.99,2.76,92909,0.0,7.93,-2.41,-0.07,1.59
20161014,2.84,2.85,2.85,2.84,850,0.0,0.35,0.71,0.02,0.01
20161017,2.82,2.82,2.82,2.78,4388,0.0,1.4,-1.05,-0.03,0.08
20161018,2.82,2.82,2.83,2.8,5452,0.0,1.06,0.0,0.0,0.09
20161019,2.82,2.85,2.85,2.63,43895,0.0,7.8,1.06,0.03,0.75
20161020,2.84,2.84,3.0,2.78,52771,0.0,7.72,-0.35,-0.01,0.9
20161021,2.8,2.85,2.93,2.65,119716,0.0,9.86,0.35,0.01,2.05
20161024,2.89,2.8,2.99,2.71,105128,0.0,9.82,-1.75,-0.05,1.8
