trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240603,23.876,23.876,23.876,23.876,11,277.0,0.0,0.0,0.0,0.0
20240604,23.987,23.987,23.987,23.987,2,50.0,0.0,0.46,0.111,0.0
20240605,24.056,24.056,24.056,24.056,20,508.0,0.0,0.29,0.069,0.0
20240606,24.103,24.103,24.103,24.103,13,331.0,0.0,0.2,0.047,0.0
20240607,24.004,23.976,24.004,23.976,104,2640.0,0.12,-0.53,-0.127,0.0
20240611,23.999,23.999,23.999,23.999,2356918,59830363.0,0.0,0.1,0.023,0.0
20240612,24.094,24.094,24.094,24.094,1,25.0,0.0,0.4,0.095,0.0
20240613,24.221,24.221,24.221,24.221,100,2562.0,0.0,0.53,0.127,0.0
20240614,24.245,24.245,24.245,24.245,35,897.0,0.0,0.1,0.024,0.0
20240617,24.174,24.175,24.175,24.174,500,12785.0,0.0,-0.29,-0.07,0.0
20240618,24.269,24.269,24.269,24.269,977718,25098021.0,0.0,0.39,0.094,0.0
20240620,24.245,24.245,24.245,24.245,9,230.0,0.0,-0.1,-0.024,0.0
20240625,24.24,24.24,24.24,24.24,490060,12565138.0,0.0,-0.02,-0.005,0.0
20240627,24.212,24.188,24.221,24.188,1920,49183.0,0.14,-0.21,-0.052,0.0
20240628,24.084,24.084,24.084,24.084,62,1579.0,0.0,-0.43,-0.104,0.0
20240701,23.971,23.938,23.971,23.938,1500,37935.0,0.14,-0.61,-0.146,0.0
20240702,24.024,24.024,24.024,24.024,1,25.0,0.0,0.36,0.086,0.0
20240703,24.137,24.137,24.137,24.137,76,1935.0,0.0,0.47,0.113,0.0
20240705,24.261,24.261,24.261,24.261,4,102.0,0.0,0.51,0.124,0.0
20240708,24.28,24.28,24.28,24.28,1,25.0,0.0,0.08,0.019,0.0
20240709,24.246,24.28,24.322,24.227,141407,3614453.0,0.39,0.0,0.0,0.0
20240710,24.284,24.284,24.284,24.284,110,2818.0,0.0,0.02,0.004,0.0
20240711,24.445,24.393,24.445,24.393,1589,40980.0,0.21,0.45,0.109,0.0
20240712,24.483,24.488,24.488,24.483,298,7697.0,0.02,0.39,0.095,0.0
20240716,24.519,24.519,24.519,24.519,52,1345.0,0.0,0.13,0.031,0.0
20240717,24.554,24.554,24.554,24.554,52,1347.0,0.0,0.14,0.035,0.0
20240722,24.431,24.431,24.431,24.431,77,1984.0,0.0,-0.5,-0.123,0.0
20240723,24.412,24.412,24.412,24.412,75,1931.0,0.0,-0.08,-0.019,0.0
20240726,24.523,24.523,24.523,24.523,127,3285.0,0.0,0.45,0.111,0.0
20240729,24.566,24.566,24.566,24.566,127,3291.0,0.0,0.18,0.043,0.0
20240731,24.74,24.74,24.74,24.74,137,3575.0,0.0,0.71,0.174,0.0
20240801,24.866,24.866,24.866,24.866,75,1958.0,0.0,0.51,0.126,0.0
20240802,25.136,25.136,25.136,25.136,748,19747.0,0.0,1.09,0.27,0.0
20240805,25.193,25.155,25.193,25.155,191,5053.0,0.15,0.08,0.019,0.0
20240806,24.982,24.982,24.982,24.982,9,236.0,0.0,-0.69,-0.173,0.0
20240807,24.884,24.884,24.884,24.884,2,52.0,0.0,-0.39,-0.098,0.0
