trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210301,10.5,10.75,10.9,10.25,91462,974684.0,6.19,2.38,0.25,0.27
20210302,10.72,10.28,11.1,10.15,139774,1464505.0,8.84,-4.37,-0.47,0.41
20210303,10.69,10.12,10.76,10.0,506169,5237074.0,7.39,-1.56,-0.16,1.47
20210304,10.11,10.08,10.5,9.87,324137,3264217.0,6.23,-0.4,-0.04,0.94
20210305,10.08,10.0,10.14,9.92,261022,2611998.0,2.18,-0.79,-0.08,0.76
20210308,10.0,9.95,10.09,9.9,63216,630528.0,1.9,-0.5,-0.05,0.18
20210309,10.05,10.015,10.12,9.94,44014,440195.0,1.81,0.65,0.065,0.13
20210310,10.22,10.01,10.22,9.86,293459,2918770.0,3.59,-0.05,-0.005,0.85
20210311,10.04,10.08,10.28,10.0,45816,462464.0,2.8,0.7,0.07,0.13
20210312,10.14,10.32,10.34,10.0,55300,564880.0,3.37,2.38,0.24,0.16
20210315,10.32,10.31,10.44,10.01,78466,802302.0,4.17,-0.1,-0.01,0.23
20210316,10.31,10.2,10.424,10.17,96081,987466.0,2.46,-1.07,-0.11,0.28
20210317,10.25,10.2,10.3,10.1,138403,1410315.0,1.96,0.0,0.0,0.4
20210318,10.12,10.06,10.22,10.05,95489,969619.0,1.67,-1.37,-0.14,0.28
20210319,10.2,10.08,10.2,10.03,105004,1060658.0,1.69,0.2,0.02,0.3
20210322,10.05,9.71,10.12,9.71,33567,338700.0,4.07,-3.67,-0.37,0.1
20210323,10.02,9.94,10.06,9.85,327403,3261043.0,2.16,2.37,0.23,0.95
20210324,10.0,9.99,10.0,9.83,86007,852850.0,1.71,0.5,0.05,0.25
20210325,9.98,9.871,9.997,9.83,90291,891798.0,1.67,-1.19,-0.119,0.26
20210326,10.0,9.92,10.04,9.5,162670,1593965.0,5.47,0.5,0.049,0.47
20210329,9.97,10.0,10.0,9.92,129263,1288816.0,0.81,0.81,0.08,0.37
20210330,10.0,9.97,10.03,9.86,53542,534808.0,1.7,-0.3,-0.03,0.16
20210331,10.0,9.91,10.005,9.84,83859,833253.0,1.65,-0.6,-0.06,0.24
20210401,9.95,9.98,10.0,9.88,39181,389604.0,1.21,0.71,0.07,0.11
20210405,10.0,9.94,10.012,9.9,48667,484243.0,1.12,-0.4,-0.04,0.14
20210406,9.92,9.98,10.2,9.9,123852,1232705.0,3.02,0.4,0.04,0.36
20210407,9.95,9.93,9.99,9.886,43100,428373.0,1.04,-0.5,-0.05,0.12
20210408,9.95,10.05,10.1,9.95,132640,1329933.0,1.51,1.21,0.12,0.38
20210409,10.17,10.13,10.3,10.05,10759,109251.0,2.49,0.8,0.08,0.03
