trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20210720,19.659,19.939,19.939,19.659,15425,393013.0,1.41,0.4,0.08,0.0
20210721,20.029,19.899,20.029,19.719,41020,1046262.0,1.55,-0.2,-0.04,0.0
20210722,19.859,19.859,19.889,19.769,33768,860476.0,0.6,-0.2,-0.04,0.0
20210723,19.779,19.819,19.829,19.659,68264,1730888.0,0.86,-0.2,-0.04,0.0
20210726,19.794,19.899,19.899,19.779,75622,1926944.0,0.61,0.4,0.08,0.0
20210727,19.854,19.879,19.879,19.829,53837,1372975.0,0.25,-0.1,-0.02,0.0
20210728,19.899,19.944,19.999,19.879,129297,3304505.0,0.6,0.33,0.065,0.0
20210729,19.999,20.049,20.049,19.859,153652,3935610.0,0.95,0.53,0.105,0.0
20210730,20.009,19.889,20.229,19.769,494901,12648264.0,2.29,-0.8,-0.16,0.0
20210802,20.249,19.859,20.249,19.809,49940,1274565.0,2.21,-0.15,-0.03,0.0
20210803,19.859,19.779,19.859,19.769,36010,916542.0,0.45,-0.4,-0.08,0.0
20210804,19.719,19.879,19.899,19.609,74212,1885927.0,1.47,0.51,0.1,0.0
20210805,19.899,19.719,19.913,19.679,58965,1498457.0,1.18,-0.8,-0.16,0.0
20210806,19.699,19.569,19.789,19.559,38087,963156.0,1.17,-0.76,-0.15,0.0
20210809,19.559,19.529,19.659,19.439,81392,2048001.0,1.12,-0.2,-0.04,0.0
20210810,19.429,19.449,19.459,19.189,26022,650779.0,1.38,-0.41,-0.08,0.0
20210811,19.469,19.369,19.469,19.279,31051,777958.0,0.98,-0.41,-0.08,0.0
20210812,19.369,19.429,19.489,19.359,23283,582875.0,0.67,0.31,0.06,0.0
20210813,19.449,19.559,19.579,19.449,26522,667123.0,0.67,0.67,0.13,0.0
20210816,19.559,19.549,19.609,19.509,41415,1044481.0,0.51,-0.05,-0.01,0.0
20210817,19.549,19.669,19.679,19.519,72488,1829892.0,0.82,0.61,0.12,0.0
20210818,19.678,19.659,19.719,19.609,13511,341599.0,0.56,-0.05,-0.01,0.0
20210819,19.629,19.779,19.839,19.629,18766,475628.0,1.07,0.61,0.12,0.0
20210820,19.839,20.199,20.249,19.711,12640,322051.0,2.72,2.12,0.42,0.0
20210823,20.249,20.359,20.434,20.149,18622,482964.0,1.41,0.79,0.16,0.0
20210824,20.288,20.359,20.359,20.104,18348,476350.0,1.25,0.0,0.0,0.0
20210825,20.359,20.359,20.709,20.209,6601,172181.0,2.46,0.0,0.0,0.0
20210826,20.379,20.289,20.379,20.259,8260,214536.0,0.59,-0.34,-0.07,0.0
20210827,20.209,20.199,20.209,20.159,1831,47278.0,0.25,-0.44,-0.09,0.0
20210830,20.229,20.269,20.519,20.2,8502,220243.0,1.58,0.35,0.07,0.0
20210831,20.419,20.539,20.539,20.419,675,17621.0,0.59,1.33,0.27,0.0
20210901,20.139,20.359,20.549,20.139,4535,117953.0,2.0,-0.88,-0.18,0.0
20210902,20.359,20.289,20.359,20.289,1901,49395.0,0.34,-0.34,-0.07,0.0
20210903,20.494,19.989,20.494,19.989,677,17585.0,2.49,-1.48,-0.3,0.0
20210907,20.244,20.244,20.244,20.244,207,5358.0,0.0,1.28,0.255,0.0
20210908,20.189,19.949,20.189,19.929,838,21468.0,1.28,-1.46,-0.295,0.0
20210909,19.899,20.049,20.369,19.899,12203,312566.0,2.36,0.5,0.1,0.0
20210910,19.789,19.379,19.809,19.129,13461,339427.0,3.39,-3.34,-0.67,0.0
20210913,19.559,19.579,19.609,19.42,6585,165667.0,0.98,1.03,0.2,0.0
20210914,19.579,19.509,19.609,19.429,8165,205349.0,0.92,-0.36,-0.07,0.0
20210915,19.509,19.557,19.694,19.509,6441,162349.0,0.95,0.25,0.048,0.0
20210916,19.641,19.659,19.659,19.52,63623,1603570.0,0.71,0.52,0.102,0.0
20210917,19.574,19.849,19.849,19.559,2332,58971.0,1.48,0.97,0.19,0.0
20210920,19.659,19.509,19.739,19.409,13835,347765.0,1.66,-1.71,-0.34,0.0
20210921,19.629,19.739,19.739,19.509,7935,200928.0,1.18,1.18,0.23,0.0
20210922,19.769,19.869,19.949,19.698,2531,64341.0,1.27,0.66,0.13,0.0
20210923,19.949,19.909,19.949,19.889,6486,165792.0,0.3,0.2,0.04,0.0
20210924,19.909,19.569,19.928,19.569,5197,132390.0,1.8,-1.71,-0.34,0.0
