trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20201124,10.84,10.84,10.84,10.84,870,9430.0,0.0,0.0,0.0,0.0
20201125,10.67,10.17,10.67,10.17,454,4730.0,4.61,-6.18,-0.67,0.0
20201127,10.15,10.21,10.21,10.15,5905,59999.0,0.59,0.39,0.04,0.01
20201130,10.47,10.14,10.55,10.14,206065,2100949.0,4.02,-0.69,-0.07,0.36
20201201,10.1,10.1,10.17,10.1,6864,69456.0,0.69,-0.39,-0.04,0.01
20201202,10.2,10.08,10.2,10.01,289669,2924176.0,1.88,-0.2,-0.02,0.5
20201203,10.1,10.05,10.1,10.05,84103,848629.0,0.5,-0.3,-0.03,0.15
20201204,10.03,10.24,10.24,10.03,68662,693472.0,2.09,1.89,0.19,0.12
20201207,10.3,10.25,10.88,10.17,42100,431104.0,6.93,0.1,0.01,0.07
20201208,10.26,10.4,10.52,10.26,513719,5344041.0,2.54,1.46,0.15,0.89
20201209,11.15,11.44,11.69,11.0,11669314,131554857.0,6.63,10.0,1.04,20.29
20201210,11.25,10.87,11.33,10.61,2737380,29981478.0,6.29,-4.98,-0.57,4.76
20201211,11.0,10.65,11.03,10.55,1284925,13750848.0,4.42,-2.02,-0.22,2.23
20201214,10.8,10.6,10.89,10.51,1381029,14678653.0,3.57,-0.47,-0.05,2.4
20201215,10.56,10.51,10.58,10.32,996879,10394803.0,2.45,-0.85,-0.09,1.73
20201216,10.45,10.88,10.89,10.39,1486319,15767102.0,4.76,3.52,0.37,2.58
20201217,10.55,10.95,10.95,10.55,516646,5578154.0,3.68,0.64,0.07,0.9
20201218,10.92,10.92,10.94,10.71,965558,10503139.0,2.1,-0.27,-0.03,1.68
20201221,10.68,10.89,10.89,10.66,447411,4828341.0,2.11,-0.27,-0.03,0.78
20201222,10.88,10.93,11.01,10.8,1218042,13310907.0,1.93,0.37,0.04,2.12
20201223,10.92,11.1,11.11,10.92,1008119,11070136.0,1.74,1.56,0.17,1.75
20201224,11.15,11.15,11.23,11.01,608298,6767430.0,1.98,0.45,0.05,1.06
20201228,11.44,12.0,12.84,11.37,4992311,59783414.0,13.18,7.62,0.85,8.68
20201229,12.01,11.75,12.1,11.21,1824595,21553817.0,7.42,-2.08,-0.25,3.17
20201230,11.85,11.36,11.85,11.21,1356804,15525086.0,5.45,-3.32,-0.39,2.36
20201231,11.22,11.31,11.33,10.94,879770,9821247.0,3.43,-0.44,-0.05,1.53
20210104,11.74,11.5,11.76,11.34,1021496,11797025.0,3.71,1.68,0.19,1.78
20210105,11.25,11.45,11.5,11.25,1301361,14869019.0,2.17,-0.43,-0.05,2.26
20210106,11.71,11.16,11.75,10.95,1132101,12731896.0,6.99,-2.53,-0.29,1.97
20210107,11.3,11.15,11.38,11.06,1951463,21912332.0,2.87,-0.09,-0.01,3.39
20210108,11.2,11.23,11.38,11.06,1113515,12488533.0,2.87,0.72,0.08,1.94
20210111,11.06,11.13,11.2,11.0,751088,8327158.0,1.78,-0.89,-0.1,1.31
20210112,10.98,10.96,11.12,10.91,765746,8446911.0,1.89,-1.53,-0.17,1.33
20210113,11.1,11.24,11.4,11.02,973164,10898142.0,3.47,2.55,0.28,1.69
20210114,11.21,11.19,11.42,11.12,1203037,13456145.0,2.67,-0.44,-0.05,2.09
20210115,11.12,11.06,11.25,10.96,582943,6453984.0,2.59,-1.16,-0.13,1.01
20210119,11.09,10.95,11.11,10.9,787497,8634465.0,1.9,-0.99,-0.11,1.37
20210120,10.96,11.19,11.26,10.79,1981186,21931142.0,4.29,2.19,0.24,3.45
20210121,11.12,11.18,11.31,11.02,1586915,17669495.0,2.59,-0.09,-0.01,2.76
20210122,11.11,11.11,11.25,11.0,1024056,11450569.0,2.24,-0.63,-0.07,1.78
20210125,11.05,11.02,11.2,10.97,799603,8852601.0,2.07,-0.81,-0.09,1.39
20210126,11.0,10.95,11.01,10.86,757718,8291880.0,1.36,-0.64,-0.07,1.32
20210127,10.81,10.6,10.81,10.35,1685606,17796098.0,4.2,-3.2,-0.35,2.93
20210128,10.5,10.57,10.97,10.5,603552,6447869.0,4.43,-0.28,-0.03,1.05
20210129,10.56,10.47,10.56,10.3,928036,9662591.0,2.46,-0.95,-0.1,1.61
20210201,10.5,10.65,10.72,10.45,657303,6962140.0,2.58,1.72,0.18,1.14
20210202,10.7,10.82,10.86,10.62,607411,6535441.0,2.25,1.6,0.17,1.06
20210203,10.93,10.99,11.09,10.82,1687406,18466595.0,2.5,1.57,0.17,2.93
20210204,10.98,10.78,10.99,10.75,838483,9120471.0,2.18,-1.91,-0.21,1.46
20210205,10.84,10.85,10.9,10.76,266994,2892370.0,1.3,0.65,0.07,0.46
20210208,10.9,11.01,11.12,10.86,786578,8644378.0,2.4,1.47,0.16,1.37
20210209,11.04,11.06,11.1,10.9,524945,5768620.0,1.82,0.45,0.05,0.91
20210210,11.12,11.02,11.13,10.9,638797,7043923.0,2.08,-0.36,-0.04,1.11
20210211,11.09,11.38,11.42,11.055,1083814,12226207.0,3.31,3.27,0.36,1.88
20210212,11.3,11.37,11.58,11.2,357806,4082156.0,3.34,-0.09,-0.01,0.62
20210216,11.51,11.41,11.77,11.32,705297,8085783.0,3.96,0.35,0.04,1.23
20210217,11.32,11.46,11.65,11.17,587359,6694087.0,4.21,0.44,0.05,1.02
20210218,11.28,11.25,11.4,11.16,336106,3776587.0,2.09,-1.83,-0.21,0.58
20210219,11.17,11.36,11.66,11.17,1089832,12475090.0,4.36,0.98,0.11,1.9
20210222,11.2,11.38,11.58,11.2,650234,7453142.0,3.35,0.18,0.02,1.13
20210223,11.06,11.31,11.48,10.9,512289,5706803.0,5.1,-0.62,-0.07,0.89
20210224,11.24,11.36,11.5,11.17,550625,6246147.0,2.92,0.44,0.05,0.96
20210225,11.37,11.11,11.4,10.91,330624,3675006.0,4.31,-2.2,-0.25,0.57
20210226,10.98,11.04,11.04,10.9,298000,3269448.0,1.26,-0.63,-0.07,0.52
20210301,11.127,11.11,11.22,10.93,372124,4113307.0,2.63,0.63,0.07,0.65
20210302,11.14,10.96,11.16,10.95,456742,5039427.0,1.89,-1.35,-0.15,0.79
20210303,10.95,10.53,11.1,10.45,773466,8236696.0,5.93,-3.92,-0.43,1.35
20210304,10.55,10.26,10.66,10.1,825953,8557766.0,5.32,-2.56,-0.27,1.44
20210305,10.35,10.46,10.53,10.03,810419,8304666.0,4.87,1.95,0.2,1.41
20210308,10.3,10.25,10.48,10.2,127328,1312483.0,2.68,-2.01,-0.21,0.22
20210309,10.3,10.88,10.89,10.26,169929,1802512.0,6.15,6.15,0.63,0.3
20210310,10.71,10.82,10.85,10.44,568450,6006018.0,3.77,-0.55,-0.06,0.99
20210311,10.84,10.81,10.88,10.75,111968,1212414.0,1.2,-0.09,-0.01,0.19
20210312,10.7,10.82,10.87,10.54,291155,3115071.0,3.05,0.09,0.01,0.51
20210315,10.99,10.98,11.03,10.84,699716,7654823.0,1.76,1.48,0.16,1.22
20210316,11.05,11.07,11.25,11.04,391922,4363686.0,1.91,0.82,0.09,0.68
20210317,10.89,11.22,11.23,10.85,226110,2506022.0,3.43,1.36,0.15,0.39
20210318,11.1,11.35,11.568,11.08,882501,10011520.0,4.35,1.16,0.13,1.53
20210319,11.31,11.53,11.593,11.23,1027382,11726873.0,3.2,1.59,0.18,1.79
20210322,11.5,11.53,11.53,11.35,334656,3830363.0,1.56,0.0,0.0,0.58
20210323,11.51,11.12,11.53,11.06,878386,9942883.0,4.08,-3.56,-0.41,1.53
20210324,11.05,10.65,11.21,10.6,799225,8763893.0,5.49,-4.23,-0.47,1.39
20210325,10.25,10.38,10.58,10.25,1335660,13981003.0,3.1,-2.54,-0.27,2.32
20210326,10.4,10.58,10.93,10.4,887830,9409403.0,5.11,1.93,0.2,1.54
20210329,10.57,10.48,10.76,10.27,498396,5233339.0,4.63,-0.95,-0.1,0.87
20210330,10.41,10.47,10.6,10.4,258955,2705222.0,1.91,-0.1,-0.01,0.45
20210331,10.46,10.8,10.89,10.41,541583,5812670.0,4.58,3.15,0.33,0.94
20210401,10.87,10.73,10.87,10.59,98552,1057687.0,2.59,-0.65,-0.07,0.17
20210405,10.73,10.6,10.78,10.56,131142,1396402.0,2.05,-1.21,-0.13,0.23
20210406,10.6,10.78,10.83,10.6,108197,1160950.0,2.17,1.7,0.18,0.19
20210407,10.82,10.55,10.89,10.49,322769,3424197.0,3.71,-2.13,-0.23,0.56
20210408,10.57,10.81,10.89,10.57,316496,3394787.0,3.03,2.46,0.26,0.55
20210409,10.7,10.6,10.7,10.535,628275,6668554.0,1.53,-1.94,-0.21,1.09
20210412,10.6,10.56,10.75,10.51,225107,2387669.0,2.26,-0.38,-0.04,0.39
20210413,10.78,10.47,10.85,10.39,505877,5312253.0,4.36,-0.85,-0.09,0.88
20210414,10.46,10.55,10.6,10.39,686015,7210471.0,2.01,0.76,0.08,1.19
20210415,10.66,10.28,10.66,10.17,976809,10207413.0,4.64,-2.56,-0.27,1.7
20210416,10.33,10.1,10.545,10.07,598331,6080179.0,4.62,-1.75,-0.18,1.04
20210419,10.15,9.96,10.23,9.75,1257432,12512804.0,4.75,-1.39,-0.14,2.19
20210420,9.95,9.91,10.02,9.9,950213,9470726.0,1.2,-0.5,-0.05,1.65
20210421,10.01,10.01,10.07,9.98,1508561,15116140.0,0.91,1.01,0.1,2.62
20210422,10.05,9.96,10.12,9.93,780687,7799530.0,1.9,-0.5,-0.05,1.36
20210423,9.95,9.94,10.02,9.91,855401,8517791.0,1.1,-0.2,-0.02,1.49
20210426,9.8,10.0,10.17,9.71,1431592,14273653.0,4.63,0.6,0.06,2.49
20210427,10.05,9.95,10.3,9.91,1571045,15789198.0,3.9,-0.5,-0.05,2.73
20210428,10.08,11.05,11.58,9.99,2106870,23109382.0,15.98,11.06,1.1,3.66
20210429,11.17,11.28,11.43,10.895,1391485,15567858.0,4.84,2.08,0.23,2.42
20210430,11.31,11.57,11.62,11.0,634236,7192185.0,5.5,2.57,0.29,1.1
20210503,11.57,12.26,12.27,11.15,603780,7071249.0,9.68,5.96,0.69,1.05
20210504,11.93,13.05,13.11,11.76,1843697,23493462.0,11.01,6.44,0.79,1.47
20210505,13.18,12.49,13.291,12.36,2062508,26439821.0,7.13,-4.29,-0.56,1.65
20210506,12.0,12.85,13.07,11.855,618900,7826203.0,9.73,2.88,0.36,0.49
20210507,12.98,12.87,13.14,12.59,898537,11625399.0,4.28,0.16,0.02,0.72
20210510,12.9,12.31,13.25,12.23,573249,7135231.0,7.93,-4.35,-0.56,0.46
20210511,11.9,12.35,12.58,11.119,627510,7499310.0,11.87,0.32,0.04,0.5
20210512,12.39,11.98,12.39,11.71,460134,5532267.0,5.51,-3.0,-0.37,0.37
20210513,11.91,12.15,12.3,11.72,559367,6761390.0,4.84,1.42,0.17,0.45
20210514,12.15,13.51,13.66,12.15,1418593,18828903.0,12.43,11.19,1.36,1.13
20210517,13.33,14.06,14.2,13.12,623362,8600872.0,7.99,4.07,0.55,0.5
20210518,14.1,13.88,14.27,13.71,694591,9718322.0,3.98,-1.28,-0.18,0.55
20210519,13.82,13.36,13.82,13.28,439654,5918451.0,3.89,-3.75,-0.52,0.35
20210520,13.46,13.8,14.21,13.26,704898,9772123.0,7.11,3.29,0.44,0.56
20210521,13.75,13.9,14.09,13.71,513413,7148543.0,2.75,0.72,0.1,0.41
20210524,13.98,13.82,14.115,13.11,909222,12535089.0,7.23,-0.58,-0.08,0.73
20210525,13.95,13.71,14.32,13.65,862092,12011502.0,4.85,-0.8,-0.11,0.69
20210526,13.63,13.73,14.05,13.47,725761,10083376.0,4.23,0.15,0.02,0.58
20210527,13.82,14.41,14.74,13.82,1354902,19631387.0,6.7,4.95,0.68,1.08
20210528,14.25,14.24,14.45,14.12,801245,11434064.0,2.29,-1.18,-0.17,0.64
20210601,14.2,15.08,15.62,14.195,2403492,35850098.0,10.01,5.9,0.84,1.92
20210602,15.11,15.05,15.44,14.6,946182,14149197.0,5.57,-0.2,-0.03,0.75
20210603,15.55,14.96,15.55,14.9,1043866,15796258.0,4.32,-0.6,-0.09,0.83
20210604,15.01,15.62,15.74,14.93,1793974,27687925.0,5.41,4.41,0.66,1.43
20210607,15.88,16.14,16.35,15.42,3021775,48581104.0,5.95,3.33,0.52,2.41
20210608,16.18,16.75,16.97,16.18,1433946,23881587.0,4.89,3.78,0.61,1.14
