trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,14.88,14.56,14.88,12.88,191400,0.0,6.45,-53.03,-16.44,0.4
20010103,14.0,16.06,16.06,13.12,186600,0.0,20.19,10.3,1.5,0.39
20010104,17.19,16.12,17.38,15.5,76800,0.0,11.71,0.37,0.06,0.16
20010105,14.75,12.94,14.88,11.25,298200,0.0,22.52,-19.73,-3.18,0.62
20010108,13.0,12.38,13.0,12.38,157800,0.0,4.79,-4.33,-0.56,0.33
20010109,12.5,12.69,13.0,12.5,77300,0.0,4.04,2.5,0.31,0.16
20010110,12.75,13.0,13.25,12.75,365200,0.0,3.94,2.44,0.31,0.76
20010111,13.12,18.25,18.25,13.0,339000,0.0,40.38,40.38,5.25,0.7
20010112,18.31,16.25,18.31,16.0,163900,0.0,12.66,-10.96,-2.0,0.34
20010116,16.73,16.25,17.62,13.62,168100,0.0,24.62,0.0,0.0,0.35
20010117,16.38,18.12,18.81,15.81,309700,0.0,18.46,11.51,1.87,0.64
20010118,18.38,20.81,21.0,17.75,281800,0.0,17.94,14.85,2.69,0.58
20010119,20.98,20.0,22.5,20.0,739700,0.0,12.01,-3.89,-0.81,1.53
20010122,20.0,19.81,21.88,19.38,250900,0.0,12.5,-0.95,-0.19,0.52
20010123,16.88,23.0,24.25,16.75,908500,0.0,37.86,16.1,3.19,1.88
20010124,25.0,23.88,26.0,23.62,311800,0.0,10.35,3.83,0.88,0.65
20010125,23.12,19.75,23.62,19.56,1541900,0.0,17.0,-17.29,-4.13,3.2
20010126,18.12,20.06,20.5,17.88,639600,0.0,13.27,1.57,0.31,1.33
20010129,19.88,20.5,21.38,19.75,317400,0.0,8.13,2.19,0.44,0.66
20010130,20.12,20.06,22.12,19.56,209100,0.0,12.49,-2.15,-0.44,0.43
20010131,20.66,20.12,22.0,20.06,297400,0.0,9.67,0.3,0.06,0.62
20010201,20.14,20.0,20.25,19.56,242900,0.0,3.43,-0.6,-0.12,0.5
20010202,20.0,19.0,20.0,18.69,434700,0.0,6.55,-5.0,-1.0,0.9
20010205,18.75,17.88,18.8,17.0,216300,0.0,9.47,-5.89,-1.12,0.45
20010206,18.19,17.88,18.69,17.88,100600,0.0,4.53,0.0,0.0,0.21
20010207,17.88,17.94,18.5,17.38,95300,0.0,6.26,0.34,0.06,0.2
20010208,18.06,17.75,18.12,17.5,115900,0.0,3.46,-1.06,-0.19,0.24
20010209,17.94,17.94,18.0,17.75,99000,0.0,1.41,1.07,0.19,0.21
20010212,18.06,17.5,18.12,17.5,149200,0.0,3.46,-2.45,-0.44,0.31
20010213,19.73,17.94,19.75,17.75,72300,0.0,11.43,2.51,0.44,0.15
20010214,18.25,19.33,19.5,16.75,132300,0.0,15.33,7.75,1.39,0.27
20010215,19.89,18.75,20.06,18.75,198700,0.0,6.78,-3.0,-0.58,0.41
20010216,18.56,18.25,18.69,17.5,57800,0.0,6.35,-2.67,-0.5,0.12
20010220,17.91,17.62,17.94,17.62,189700,0.0,1.75,-3.45,-0.63,0.39
20010221,17.64,17.75,18.12,17.5,165700,0.0,3.52,0.74,0.13,0.34
20010222,17.62,17.75,17.77,17.19,69200,0.0,3.27,0.0,0.0,0.14
20010223,17.03,17.75,17.75,16.56,130900,0.0,6.7,0.0,0.0,0.27
20010226,17.94,17.56,18.0,16.88,121100,0.0,6.31,-1.07,-0.19,0.25
20010227,17.25,17.25,17.5,17.0,182200,0.0,2.85,-1.77,-0.31,0.38
20010228,16.62,16.25,17.0,15.75,168600,0.0,7.25,-5.8,-1.0,0.35
20010301,16.0,14.0,16.0,13.88,253500,0.0,13.05,-13.85,-2.25,0.53
20010302,14.12,14.58,15.0,14.12,97700,0.0,6.29,4.14,0.58,0.2
20010305,14.97,16.38,17.56,14.97,213400,0.0,17.76,12.35,1.8,0.44
20010306,17.0,17.44,17.88,17.0,191300,0.0,5.37,6.47,1.06,0.4
20010307,18.0,17.75,18.0,17.62,138200,0.0,2.18,1.78,0.31,0.29
20010308,17.73,17.81,18.0,17.62,169700,0.0,2.14,0.34,0.06,0.35
20010309,16.81,15.94,16.81,14.88,158500,0.0,10.84,-10.5,-1.87,0.33
20010312,15.88,15.25,15.88,14.94,190300,0.0,5.9,-4.33,-0.69,0.39
20010313,15.25,15.56,15.88,15.25,104900,0.0,4.13,2.03,0.31,0.22
20010314,15.5,16.62,17.12,15.38,261700,0.0,11.18,6.81,1.06,0.54
20010315,16.69,15.94,16.75,15.81,390000,0.0,5.66,-4.09,-0.68,0.81
20010316,15.75,15.44,15.75,15.12,337500,0.0,3.95,-3.14,-0.5,0.7
20010319,15.5,16.12,16.25,15.38,249000,0.0,5.63,4.4,0.68,0.52
20010320,16.25,16.5,16.56,16.06,186300,0.0,3.1,2.36,0.38,0.39
20010321,16.38,16.38,17.0,16.06,96400,0.0,5.7,-0.73,-0.12,0.2
20010322,16.12,16.47,16.5,15.81,133900,0.0,4.21,0.55,0.09,0.28
20010323,16.39,18.0,19.5,16.39,200000,0.0,18.88,9.29,1.53,0.41
20010326,18.48,18.8,19.12,18.38,282200,0.0,4.11,4.44,0.8,0.59
20010327,18.44,19.0,19.38,18.31,206600,0.0,5.69,1.06,0.2,0.43
20010328,18.75,18.19,19.0,18.0,121300,0.0,5.26,-4.26,-0.81,0.25
20010329,18.14,18.31,18.56,17.88,109400,0.0,3.74,0.66,0.12,0.23
20010330,18.19,19.88,20.38,17.25,125400,0.0,17.09,8.57,1.57,0.26
20010402,20.56,16.69,20.69,16.31,136100,0.0,22.03,-16.05,-3.19,0.28
20010403,16.69,16.81,17.25,15.94,255200,0.0,7.85,0.72,0.12,0.53
20010404,16.94,16.62,17.0,14.94,142200,0.0,12.25,-1.13,-0.19,0.29
20010405,17.12,19.0,19.0,17.12,152600,0.0,11.31,14.32,2.38,0.32
20010406,18.41,18.0,18.44,17.88,66500,0.0,2.95,-5.26,-1.0,0.14
20010409,18.49,17.6,18.49,17.51,285700,0.0,5.44,-2.22,-0.4,0.59
20010410,17.86,20.5,20.5,17.8,163700,0.0,15.34,16.48,2.9,0.34
20010411,20.81,22.0,23.63,20.8,245300,0.0,13.8,7.32,1.5,0.51
20010412,21.8,22.55,24.0,21.55,192300,0.0,11.14,2.5,0.55,0.4
20010416,22.32,22.88,23.15,21.85,200700,0.0,5.76,1.46,0.33,0.42
20010417,22.8,23.62,24.1,22.35,142900,0.0,7.65,3.23,0.74,0.3
20010418,23.8,27.65,28.99,23.8,257800,0.0,21.97,17.06,4.03,0.53
20010419,27.5,27.11,27.81,26.18,112000,0.0,5.9,-1.95,-0.54,0.23
20010420,26.83,26.36,26.83,26.03,140000,0.0,2.95,-2.77,-0.75,0.29
20010423,26.12,23.32,26.12,22.5,118800,0.0,13.73,-11.53,-3.04,0.25
20010424,23.15,23.85,24.6,23.1,74700,0.0,6.43,2.27,0.53,0.15
