trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20050103,14.349,14.09,14.349,14.084,2100,0.0,0.0,0.0,0.0,0.0
20050104,14.129,13.836,14.129,13.833,2200,0.0,2.1,-1.8,-0.254,0.0
20050105,13.753,13.725,13.806,13.698,3600,0.0,0.78,-0.8,-0.111,0.0
20050106,13.725,13.781,13.787,13.685,1900,0.0,0.74,0.41,0.056,0.0
20050107,13.704,13.719,13.719,13.592,5300,0.0,0.92,-0.45,-0.062,0.0
20050110,13.642,13.732,13.781,13.642,2700,0.0,1.01,0.09,0.013,0.0
20050111,13.702,13.634,13.702,13.598,2400,0.0,0.76,-0.71,-0.098,0.0
20050112,13.519,13.575,13.602,13.519,800,0.0,0.61,-0.43,-0.059,0.0
20050113,13.636,13.598,13.691,13.598,20500,0.0,0.69,0.17,0.023,0.0
20050114,13.624,13.638,13.655,13.624,5900,0.0,0.23,0.29,0.04,0.0
20050118,13.676,13.863,13.863,13.676,3300,0.0,1.37,1.65,0.225,0.0
20050119,13.853,13.723,13.855,13.723,10700,0.0,0.95,-1.01,-0.14,0.0
20050120,13.662,13.727,13.727,13.645,14900,0.0,0.6,0.03,0.004,0.0
20050121,13.711,13.685,13.719,13.681,10600,0.0,0.28,-0.31,-0.042,0.0
20050124,13.672,13.492,13.672,13.492,1700,0.0,1.32,-1.41,-0.193,0.0
20050125,13.604,13.519,13.604,13.511,2000,0.0,0.69,0.2,0.027,0.0
20050126,13.611,13.711,13.711,13.611,800,0.0,0.74,1.42,0.192,0.0
20050127,13.793,13.793,13.793,13.793,200,0.0,0.0,0.6,0.082,0.0
20050128,13.763,13.681,13.776,13.677,1100,0.0,0.72,-0.81,-0.112,0.0
20050131,13.791,13.925,13.925,13.791,1700,0.0,0.98,1.78,0.244,0.0
20050201,13.91,14.037,14.056,13.91,800,0.0,1.05,0.8,0.112,0.0
20050202,14.071,14.088,14.088,14.056,7100,0.0,0.23,0.36,0.051,0.0
20050203,14.063,14.088,14.088,14.052,2500,0.0,0.26,0.0,0.0,0.0
20050204,14.207,14.268,14.277,14.192,2800,0.0,0.6,1.28,0.18,0.0
20050207,14.277,14.283,14.355,14.262,2100,0.0,0.65,0.11,0.015,0.0
20050208,14.249,14.302,14.307,14.249,1300,0.0,0.41,0.13,0.019,0.0
20050209,14.302,14.15,14.302,14.15,9400,0.0,1.06,-1.06,-0.152,0.0
20050210,14.058,14.112,14.135,14.058,2400,0.0,0.54,-0.27,-0.038,0.0
20050211,14.09,14.275,14.275,14.09,1100,0.0,1.31,1.16,0.163,0.0
20050214,14.264,14.233,14.266,14.233,1100,0.0,0.23,-0.29,-0.042,0.0
20050215,14.277,14.33,14.33,14.277,1000,0.0,0.37,0.68,0.097,0.0
