trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150331,31.551,31.536,31.551,31.52,503,0.0,0.0,0.0,0.0,0.0
20150407,31.45,31.45,31.45,31.45,442,0.0,0.0,-0.27,-0.086,0.0
20150408,31.434,31.466,31.466,31.434,627,0.0,0.1,0.05,0.016,0.0
20150410,31.411,31.411,31.411,31.411,247,0.0,0.0,-0.17,-0.055,0.0
20150414,31.333,31.341,31.348,31.333,2539,0.0,0.05,-0.22,-0.07,0.0
20150415,31.614,31.544,31.614,31.544,812,0.0,0.22,0.65,0.203,0.0
20150416,31.512,31.559,31.63,31.512,1620,0.0,0.37,0.05,0.015,0.0
20150417,31.122,31.099,31.231,31.075,1062,0.0,0.49,-1.46,-0.46,0.0
20150421,31.395,31.434,31.434,31.395,821,0.0,0.13,1.08,0.335,0.0
20150422,31.192,31.333,31.348,31.192,1283,0.0,0.5,-0.32,-0.101,0.0
20150424,31.473,31.419,31.473,31.395,1679,0.0,0.25,0.27,0.086,0.0
20150427,31.606,31.606,31.606,31.606,100,0.0,0.0,0.6,0.187,0.0
20150429,31.255,31.255,31.255,31.255,264,0.0,0.0,-1.11,-0.351,0.0
20150430,30.731,30.747,30.747,30.731,285,0.0,0.05,-1.63,-0.508,0.0
20150501,30.692,30.669,30.692,30.669,400,0.0,0.07,-0.25,-0.078,0.0
20150504,31.036,30.872,31.036,30.872,655,0.0,0.53,0.66,0.203,0.0
20150505,30.731,30.731,30.731,30.731,275,0.0,0.0,-0.46,-0.141,0.0
20150506,30.38,30.435,30.435,30.357,1714,0.0,0.25,-0.96,-0.296,0.0
20150507,30.692,30.716,30.747,30.661,4431,0.0,0.28,0.92,0.281,0.0
20150508,30.685,30.677,30.685,30.677,430,0.0,0.03,-0.13,-0.039,0.0
20150513,30.458,30.599,30.599,30.458,1526,0.0,0.46,-0.25,-0.078,0.0
20150515,31.2,30.911,31.2,30.911,4396,0.0,0.94,1.02,0.312,0.0
20150520,31.122,31.114,31.122,31.106,500,0.0,0.05,0.66,0.203,0.0
20150521,31.052,31.044,31.052,30.958,2201,0.0,0.3,-0.22,-0.07,0.0
20150522,31.099,31.005,31.099,31.005,799,0.0,0.3,-0.13,-0.039,0.0
20150526,30.56,30.521,30.56,30.521,253,0.0,0.13,-1.56,-0.484,0.0
20150527,30.685,30.669,30.685,30.669,285,0.0,0.05,0.48,0.148,0.0
20150528,30.833,30.903,30.903,30.833,700,0.0,0.23,0.76,0.234,0.0
20150601,32.731,30.888,32.731,30.841,301,0.0,6.12,-0.05,-0.015,0.0
20150602,30.966,30.966,30.966,30.95,585,0.0,0.05,0.25,0.078,0.0
20150603,31.676,31.177,31.676,31.177,1551,0.0,1.61,0.68,0.211,0.0
20150604,31.177,30.927,31.177,30.927,2225,0.0,0.8,-0.8,-0.25,0.0
20150605,30.794,30.794,30.794,30.794,124,0.0,0.0,-0.43,-0.133,0.0
20150609,31.075,31.075,31.075,31.075,450,0.0,0.0,0.91,0.281,0.0
20150611,31.434,31.481,31.481,31.419,524,0.0,0.2,1.31,0.406,0.0
20150612,31.356,31.38,31.38,31.356,428,0.0,0.08,-0.32,-0.101,0.0
20150618,31.676,31.637,31.7,31.637,381,0.0,0.2,0.82,0.257,0.0
20150623,31.833,32.106,32.106,31.833,900,0.0,0.86,1.48,0.469,0.0
20150625,31.78,31.71,31.851,31.71,754,0.0,0.44,-1.23,-0.396,0.0
20150629,31.929,31.537,31.929,31.537,2507,0.0,1.24,-0.55,-0.173,0.0
20150630,31.592,31.592,31.592,31.592,301,0.0,0.0,0.17,0.055,0.0
20150701,31.6,31.561,31.6,31.561,1100,0.0,0.12,-0.1,-0.031,0.0
20150702,31.443,31.498,31.514,31.443,1114,0.0,0.22,-0.2,-0.063,0.0
20150706,31.365,31.49,31.49,31.216,794,0.0,0.87,-0.03,-0.008,0.0
20150707,31.953,31.459,31.953,31.31,1522,0.0,2.04,-0.1,-0.031,0.0
20150708,33.027,31.389,33.027,31.294,1334,0.0,5.51,-0.22,-0.07,0.0
20150709,31.389,31.389,31.389,31.389,2560,0.0,0.0,0.0,0.0,0.0
20150710,31.483,31.483,31.483,31.483,100,0.0,0.0,0.3,0.094,0.0
20150714,31.765,31.765,31.765,31.765,120,0.0,0.0,0.9,0.282,0.0
20150715,31.835,31.663,31.835,31.663,3746,0.0,0.54,-0.32,-0.102,0.0
20150717,32.016,32.016,32.016,32.016,168,0.0,0.0,1.11,0.353,0.0
