trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,22.0,20.5,22.12,20.25,1666100,0.0,0.0,0.0,0.0,5.11
20010103,20.25,22.25,22.5,19.0,1856900,0.0,17.07,8.54,1.75,5.7
20010104,21.84,22.19,23.62,21.75,755100,0.0,8.4,-0.27,-0.06,2.32
20010105,22.25,23.44,25.0,22.0,2301900,0.0,13.52,5.63,1.25,7.06
20010108,23.38,23.31,23.75,22.75,709400,0.0,4.27,-0.55,-0.13,2.18
20010109,23.69,23.12,23.88,22.75,653900,0.0,4.85,-0.82,-0.19,2.01
20010110,22.86,23.88,24.94,22.62,984800,0.0,10.03,3.29,0.76,3.02
20010111,23.59,27.5,27.94,23.38,2479900,0.0,19.1,15.16,3.62,7.61
20010112,27.88,27.75,28.69,26.44,1495700,0.0,8.18,0.91,0.25,4.59
20010116,27.75,26.12,27.75,24.5,1842900,0.0,11.71,-5.87,-1.63,5.65
20010117,27.38,28.19,29.5,27.38,1167600,0.0,8.12,7.92,2.07,3.58
20010118,27.75,29.73,29.75,26.88,1169300,0.0,10.18,5.46,1.54,3.59
20010119,29.89,28.75,30.62,28.12,1015200,0.0,8.41,-3.3,-0.98,3.11
20010122,29.03,28.56,29.06,28.12,671600,0.0,3.27,-0.66,-0.19,2.06
20010123,28.62,29.44,29.69,28.25,522500,0.0,5.04,3.08,0.88,1.6
20010124,29.72,28.38,29.75,28.25,569800,0.0,5.1,-3.6,-1.06,1.75
20010125,28.38,26.69,28.39,26.19,687300,0.0,7.75,-5.95,-1.69,2.11
20010126,26.02,27.06,27.31,25.0,563500,0.0,8.65,1.39,0.37,1.73
20010129,27.16,28.06,28.12,25.81,607600,0.0,8.54,3.7,1.0,0.89
20010130,28.12,28.25,28.38,27.0,469900,0.0,4.92,0.68,0.19,0.69
20010131,28.25,28.88,30.19,28.06,841500,0.0,7.54,2.23,0.63,1.24
20010201,28.77,29.5,29.75,28.12,451300,0.0,5.64,2.15,0.62,0.66
20010202,29.38,28.81,29.62,28.62,1348700,0.0,3.39,-2.34,-0.69,1.98
20010205,28.75,29.69,30.0,28.25,1240400,0.0,6.07,3.05,0.88,1.82
20010206,29.88,30.0,31.38,29.5,1258400,0.0,6.33,1.04,0.31,1.85
20010207,29.38,29.06,30.0,27.0,933300,0.0,10.0,-3.13,-0.94,1.37
20010208,29.42,29.62,30.94,29.12,1296100,0.0,6.26,1.93,0.56,1.9
20010209,29.62,28.75,29.88,28.5,319300,0.0,4.66,-2.94,-0.87,0.47
20010212,28.75,28.06,29.5,27.75,572300,0.0,6.09,-2.4,-0.69,0.84
20010213,28.12,27.5,29.06,26.75,604500,0.0,8.23,-2.0,-0.56,0.89
20010214,27.25,28.5,29.38,26.25,901100,0.0,11.38,3.64,1.0,1.32
20010215,28.97,31.75,31.88,28.77,813900,0.0,10.91,11.4,3.25,1.19
20010216,30.75,30.56,30.94,29.06,759500,0.0,5.92,-3.75,-1.19,1.12
20010220,30.62,25.62,30.62,25.5,1149900,0.0,16.75,-16.16,-4.94,1.69
20010221,25.0,25.75,27.31,24.62,1706500,0.0,10.5,0.51,0.13,2.51
20010222,25.69,25.12,27.5,23.81,1891800,0.0,14.33,-2.45,-0.63,2.78
20010223,25.31,26.56,27.5,24.5,1915300,0.0,11.94,5.73,1.44,2.81
20010226,27.38,27.62,27.75,26.25,1137700,0.0,5.65,3.99,1.06,1.67
20010227,27.39,26.06,28.0,25.25,1161400,0.0,9.96,-5.65,-1.56,1.71
20010228,25.88,25.06,25.94,24.06,889200,0.0,7.21,-3.84,-1.0,1.31
20010301,24.31,25.25,25.88,22.5,2010400,0.0,13.49,0.76,0.19,2.95
