trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20211222,3822.0,3712.8,3822.0,3450.72,1338,9216.0,9.71,-2.86,-109.2,0.25
20211223,3554.46,3761.94,3767.4,3439.8,2876,19222.0,8.82,1.32,49.14,0.54
20211227,3767.4,3494.4,3824.075,3494.4,13408,91588.0,8.76,-7.11,-267.54,2.51
20211228,3549.0,3658.2,3712.8,3434.34,14126,93814.0,7.97,4.69,163.8,2.64
20211229,3711.708,3543.485,3843.84,3254.16,6544,42666.0,16.12,-3.14,-114.715,1.22
20211230,3467.1,3549.0,3822.0,3232.32,6141,39496.0,16.64,0.16,5.515,1.15
20211231,3467.1,3401.58,3467.1,3336.06,5565,34827.0,3.69,-4.15,-147.42,1.04
20220103,3707.34,3674.58,3865.68,3254.16,29360,186664.0,17.98,8.03,273.0,5.49
20220104,3701.88,3412.5,3701.88,3248.7,13756,88855.0,12.33,-7.13,-262.08,2.57
20220105,3521.7,3385.2,3538.08,3276.0,12215,75735.0,7.68,-0.8,-27.3,0.4
20220106,3822.0,3445.26,3822.0,3385.2,53793,348670.0,12.9,1.77,60.06,1.74
20220107,3494.4,3423.42,3494.4,3286.975,8453,52711.0,6.02,-0.63,-21.84,0.27
20220110,3357.9,3090.415,3357.9,3090.415,14106,83315.0,7.81,-9.73,-333.005,0.46
20220111,3543.54,3352.44,3543.54,3276.0,30621,190626.0,8.66,8.48,262.025,0.99
20220112,3521.7,3342.121,3521.7,3166.855,7228,43769.0,10.58,-0.31,-10.319,0.23
20220113,3262.841,3257.873,3423.092,3166.8,4449,26152.0,7.67,-2.52,-84.248,0.14
20220114,3355.443,3351.348,3355.443,3351.348,772,4741.0,0.13,2.87,93.475,0.02
20220118,3450.72,3276.0,3450.72,3035.76,53796,321586.0,12.38,-2.25,-75.348,1.74
20220119,3128.58,3139.5,3414.029,3019.38,13361,78327.0,12.05,-4.17,-136.5,0.43
20220120,3173.953,3123.12,3194.1,3068.575,11515,65444.0,4.0,-0.52,-16.38,0.37
20220121,3347.963,3052.14,3347.963,3052.14,6906,39959.0,9.47,-2.27,-70.98,0.22
20220124,3023.912,2735.46,3023.912,2718.152,13187,69113.0,10.02,-10.38,-316.68,0.43
20220125,2669.94,2735.46,2735.46,2653.56,2349,11607.0,2.99,0.0,0.0,0.08
20220126,2653.56,3003.0,3254.16,2653.56,16722,92727.0,21.96,9.78,267.54,0.54
20220127,2942.94,2811.9,3030.3,2811.9,8745,47093.0,7.27,-6.36,-191.1,0.28
20220128,2790.06,2751.84,2948.4,2653.56,3963,20122.0,10.49,-2.14,-60.06,0.13
20220131,2653.56,3002.945,3003.0,2648.1,29981,150658.0,12.9,9.12,251.105,0.97
20220201,2866.5,2833.74,2866.5,2675.455,1778,9085.0,6.36,-5.63,-169.205,0.06
20220202,2909.088,2893.8,2909.088,2893.8,1321,7014.0,0.54,2.12,60.06,0.04
20220203,2702.7,2899.26,2899.26,2675.4,3986,20243.0,7.74,0.19,5.46,0.13
20220204,3003.0,2833.74,3003.0,2833.74,4548,23738.0,5.84,-2.26,-65.52,0.15
20220207,2675.4,2866.5,2866.5,2582.58,5635,27465.0,10.02,1.16,32.76,0.18
20220208,2866.5,2839.2,2866.5,2839.2,1045,5462.0,0.95,-0.95,-27.3,0.03
20220209,2665.244,2768.275,2833.74,2665.244,8817,43689.0,5.93,-2.5,-70.925,0.29
20220210,2784.6,2724.54,2784.6,2680.86,8222,41148.0,3.75,-1.58,-43.735,0.27
20220211,2729.945,2832.703,2888.012,2653.56,2148,10787.0,8.61,3.97,108.163,0.07
20220214,2784.6,2784.6,2784.6,2784.6,1103,5625.0,0.0,-1.7,-48.103,0.04
20220215,2784.6,2784.6,2784.6,2784.6,368,1876.0,0.0,0.0,0.0,0.01
20220216,2661.75,2702.7,2702.7,2661.75,857,4229.0,1.47,-2.94,-81.9,0.03
20220217,2664.48,2675.4,2724.54,2620.8,2389,11834.0,3.84,-1.01,-27.3,0.08
20220218,2730.0,2648.1,2730.0,2648.1,11292,56325.0,3.06,-1.02,-27.3,0.37
20220222,2620.8,2620.8,2719.08,2566.418,15939,76692.0,5.76,-1.03,-27.3,0.52
20220223,2620.8,2553.533,2719.08,2484.3,6088,29110.0,8.96,-2.57,-67.267,0.2
20220224,2484.3,2680.86,2680.86,2309.58,2530,11899.0,14.54,4.99,127.327,0.08
20220225,2679.713,2680.86,2680.86,2623.53,1325,6477.0,2.14,0.0,0.0,0.04
20220228,2522.957,2511.6,2669.94,2429.7,22379,104253.0,8.96,-6.31,-169.26,0.72
20220301,2440.62,2265.9,2440.62,2265.9,1651,7279.0,6.96,-9.78,-245.7,0.05
20220302,2287.74,1949.22,2287.74,1725.36,24113,88327.0,24.82,-13.98,-316.68,0.78
20220303,1889.16,2095.057,2233.14,1845.48,59336,225935.0,19.89,7.48,145.837,1.92
20220304,1801.8,2184.0,2280.151,1801.8,42571,173876.0,22.83,4.25,88.943,1.38
20220307,2219.872,2238.6,2238.6,2031.12,19074,74205.0,9.5,2.5,54.6,0.62
20220308,2140.32,2102.1,2238.6,1976.52,13038,50018.0,11.71,-6.1,-136.5,0.42
20220309,1850.94,1965.6,2178.54,1850.94,34534,122428.0,15.58,-6.49,-136.5,1.12
20220310,1965.6,1911.0,1965.6,1911.0,6713,23728.0,2.78,-2.78,-54.6,0.22
20220311,1875.51,1938.3,2099.425,1840.02,82140,289546.0,13.57,1.43,27.3,2.66
20220314,1818.18,2184.0,2265.9,1818.18,28875,103586.0,23.1,12.68,245.7,0.93
20220315,2293.2,2306.85,2506.14,2129.4,56786,242392.0,17.25,5.63,122.85,1.84
20220316,2325.96,2315.04,2358.72,2091.18,3068,12279.0,11.6,0.36,8.19,0.1
20220317,2402.4,2386.02,2555.28,2276.82,244055,1084821.0,12.03,3.07,70.98,7.89
20220318,2309.58,2282.28,2488.286,2085.775,30623,125607.0,16.87,-4.35,-103.74,0.99
20220321,2227.68,2241.33,2339.173,2156.7,19141,77552.0,8.0,-1.79,-40.95,0.62
20220322,2102.1,2162.16,2229.536,2102.1,12638,50191.0,5.69,-3.53,-79.17,0.41
20220323,2275.455,2173.08,2275.455,2162.16,3890,15620.0,5.24,0.51,10.92,0.13
20220324,2156.7,2429.7,2730.0,2074.8,660808,2868876.0,30.15,11.81,256.62,21.37
20220325,3205.02,2522.52,3816.54,2369.64,7296558,41928136.0,59.55,3.82,92.82,236.0
20220328,2347.8,2047.5,2428.117,1736.28,321494,1250657.0,27.43,-18.83,-475.02,10.4
20220329,2102.1,1954.68,2167.129,1867.32,147352,539579.0,14.64,-4.53,-92.82,4.77
20220330,2074.8,2118.48,2205.84,1812.72,203340,750878.0,20.11,8.38,163.8,6.58
20220331,2178.54,2091.18,2730.0,1987.986,1096773,4558150.0,35.03,-1.29,-27.3,35.47
20220401,1949.22,2003.82,2069.34,1916.46,87953,319951.0,7.31,-4.18,-87.36,2.84
20220404,1938.3,1992.9,2006.441,1891.453,46410,165329.0,5.74,-0.54,-10.92,1.5
20220405,1916.46,1911.055,2069.34,1763.58,135654,465669.0,15.34,-4.11,-81.845,4.39
20220406,1916.46,1848.811,1992.9,1763.58,89457,310708.0,12.0,-3.26,-62.244,2.89
20220407,1911.0,2009.28,2107.56,1785.966,69184,252145.0,17.39,8.68,160.469,2.24
20220408,1927.38,2006.55,2107.56,1916.46,47441,174748.0,9.51,-0.14,-2.73,1.53
20220411,1911.0,1829.1,2020.2,1736.28,26939,91873.0,14.15,-8.84,-177.45,0.87
20220412,1883.7,1861.86,1954.407,1856.4,15478,53007.0,5.36,1.79,32.76,0.5
20220413,1861.86,1845.425,1910.891,1829.155,6887,23830.0,4.39,-0.88,-16.435,0.22
20220414,1845.48,1747.2,1861.86,1725.36,15682,51580.0,7.4,-5.32,-98.225,0.51
20220418,1840.02,1736.28,1900.08,1670.76,56356,186671.0,13.13,-0.63,-10.92,1.82
