trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20170717,23.037,23.037,23.037,23.027,302,15275.0,0.0,0.0,0.0,0.0
20170718,22.919,22.891,22.919,22.846,2300,58034.0,0.32,-0.63,-0.146,0.0
20170719,23.073,23.073,23.073,23.073,500,12710.0,0.0,0.8,0.182,0.0
20170720,23.073,23.073,23.073,23.073,41,0.0,0.0,0.0,0.0,0.0
20170721,23.164,22.973,23.164,22.973,4907,124553.0,0.83,-0.43,-0.1,0.0
20170724,22.873,22.864,22.873,22.864,300,7560.0,0.04,-0.47,-0.109,0.0
20170725,23.127,23.127,23.127,23.127,500,12740.0,0.0,1.15,0.263,0.0
20170726,23.055,22.964,23.055,22.964,1200,30480.0,0.39,-0.7,-0.163,0.0
20170727,22.773,22.746,22.773,22.746,4700,0.0,0.12,-0.95,-0.218,0.0
20170728,22.664,22.664,22.673,22.664,3900,97399.0,0.04,-0.36,-0.082,0.0
20170731,22.655,22.701,22.701,22.61,3018,44924.0,0.4,0.16,0.037,0.0
20170801,22.655,22.764,22.764,22.601,3400,84882.0,0.72,0.28,0.063,0.0
20170802,22.601,22.601,22.601,22.419,3000,74529.0,0.8,-0.72,-0.163,0.0
20170803,22.365,22.365,22.365,22.365,300,7393.0,0.0,-1.04,-0.236,0.0
20170804,22.292,22.292,22.292,22.265,2000,49084.0,0.12,-0.33,-0.073,0.0
20170807,22.31,22.365,22.365,22.31,1500,36925.0,0.25,0.33,0.073,0.0
20170808,22.365,22.365,22.592,22.319,2300,57008.0,1.22,0.0,0.0,0.0
20170809,22.029,21.956,22.047,21.893,4870,117869.0,0.69,-1.83,-0.409,0.0
20170810,21.739,21.602,21.739,21.602,3172,75775.0,0.62,-1.61,-0.354,0.0
20170811,21.258,21.593,21.666,21.258,6500,154697.0,1.89,-0.04,-0.009,0.0
20170814,21.748,21.866,21.866,21.748,3301,79450.0,0.55,1.26,0.273,0.0
20170815,21.684,21.648,21.693,21.621,2900,69226.0,0.33,-1.0,-0.218,0.0
20170816,21.711,21.675,21.711,21.675,2000,47800.0,0.17,0.12,0.027,0.0
20170817,21.412,21.376,21.412,21.376,4820,113591.0,0.17,-1.38,-0.299,0.0
20170818,21.176,21.176,21.176,21.176,2000,46665.0,0.0,-0.94,-0.2,0.0
20170821,21.212,21.212,21.212,21.212,500,11683.0,0.0,0.17,0.036,0.0
20170822,21.176,21.176,21.176,21.176,0,0.0,0.0,-0.17,-0.036,0.0
20170823,21.303,21.294,21.303,21.294,1700,39887.0,0.04,0.56,0.118,0.0
20170824,21.294,21.294,21.294,21.294,0,0.0,0.0,0.0,0.0,0.0
20170825,21.43,21.412,21.43,21.412,600,14160.0,0.08,0.55,0.118,0.0
20170828,21.412,21.412,21.412,21.412,0,0.0,0.0,0.0,0.0,0.0
20170829,21.702,21.693,21.702,21.693,1000,23903.0,0.04,1.31,0.281,0.0
20170830,21.693,21.693,21.693,21.693,0,0.0,0.0,0.0,0.0,0.0
20170831,22.265,22.265,22.265,22.265,4916,120589.0,0.0,2.64,0.572,0.0
20170901,21.956,21.956,21.956,21.956,2000,48399.0,0.0,-1.39,-0.309,0.0
20170905,21.965,21.739,21.965,21.739,2500,60362.0,1.03,-0.99,-0.217,0.0
20170906,21.975,21.857,21.975,21.857,2345,56523.0,0.54,0.54,0.118,0.0
20170907,21.82,21.829,21.857,21.82,4565,109808.0,0.17,-0.13,-0.028,0.0
20170908,21.766,21.802,21.802,21.757,1100,26376.0,0.21,-0.12,-0.027,0.0
20170911,22.056,22.056,22.056,22.056,400,9720.0,0.0,1.17,0.254,0.0
20170912,22.265,22.265,22.265,22.265,500,12265.0,0.0,0.95,0.209,0.0
20170913,21.802,21.802,21.802,21.802,0,0.0,0.0,-2.08,-0.463,0.0
20170914,22.301,22.283,22.301,22.283,294,7220.0,0.08,2.21,0.481,0.0
