trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20150706,32.27,33.3,33.7,32.27,311956,0.0,0.0,0.0,0.0,0.55
20150707,33.35,33.98,34.55,33.05,483767,0.0,4.5,2.04,0.68,0.86
20150708,34.1,33.45,34.1,33.2,225647,0.0,2.65,-1.56,-0.53,0.4
20150709,33.25,33.57,33.76,33.05,181787,0.0,2.12,0.36,0.12,0.32
20150710,34.2,33.75,34.2,33.7,113403,0.0,1.49,0.54,0.18,0.2
20150713,33.55,33.69,33.75,33.41,181303,0.0,1.01,-0.18,-0.06,0.32
20150714,33.63,33.68,33.7,33.5,31029,0.0,0.59,-0.03,-0.01,0.06
20150715,33.28,33.95,34.05,33.28,175646,0.0,2.29,0.8,0.27,0.31
20150716,34.0,34.21,34.26,33.98,268070,0.0,0.82,0.77,0.26,0.48
20150717,34.21,35.75,35.8,34.21,324594,0.0,4.65,4.5,1.54,0.58
20150720,35.75,36.35,36.36,35.41,323163,0.0,2.66,1.68,0.6,0.57
20150721,36.35,36.63,36.83,36.35,169649,0.0,1.32,0.77,0.28,0.3
20150722,35.25,36.15,36.95,35.25,883184,0.0,4.64,-1.31,-0.48,1.57
20150723,35.95,35.9,36.19,35.66,176823,0.0,1.47,-0.69,-0.25,0.31
20150724,35.76,35.65,36.05,35.54,155761,0.0,1.42,-0.7,-0.25,0.28
20150727,35.25,35.0,35.64,34.76,111757,0.0,2.47,-1.82,-0.65,0.2
20150728,34.35,34.8,34.91,34.3,98354,0.0,1.74,-0.57,-0.2,0.17
20150729,34.75,34.63,34.91,34.54,30760,0.0,1.06,-0.49,-0.17,0.05
20150730,34.78,35.07,35.33,34.78,71400,0.0,1.59,1.27,0.44,0.13
20150731,34.83,34.81,35.09,34.68,81869,0.0,1.17,-0.74,-0.26,0.15
20150803,35.0,33.47,35.17,33.4,186228,0.0,5.08,-3.85,-1.34,0.33
20150804,33.28,33.22,33.42,33.12,218524,0.0,0.9,-0.75,-0.25,0.39
20150805,33.22,33.3,33.62,33.2,90151,0.0,1.26,0.24,0.08,0.16
20150806,33.37,33.35,33.63,33.1,278925,0.0,1.59,0.15,0.05,0.5
20150807,33.6,33.87,34.24,33.5,149785,0.0,2.22,1.56,0.52,0.27
20150810,34.24,35.19,35.25,33.87,74035,0.0,4.07,3.9,1.32,0.13
20150811,35.19,35.85,35.88,35.05,176039,0.0,2.36,1.88,0.66,0.31
20150812,35.5,35.66,36.15,35.42,158648,0.0,2.04,-0.53,-0.19,0.48
20150813,35.27,36.24,36.4,35.27,350930,0.0,3.17,1.63,0.58,1.06
20150814,36.07,37.0,37.24,36.07,445517,0.0,3.23,2.1,0.76,1.35
20150817,37.24,38.84,38.87,36.68,216181,0.0,5.92,4.97,1.84,0.65
20150818,38.67,39.25,39.45,38.29,197753,0.0,2.99,1.06,0.41,0.6
20150819,39.41,40.25,40.56,39.15,292634,0.0,3.59,2.55,1.0,0.89
20150820,39.95,39.03,40.18,38.4,125413,0.0,4.42,-3.03,-1.22,0.38
20150821,38.25,38.13,38.73,37.57,129370,0.0,2.97,-2.31,-0.9,0.39
20150824,37.25,36.12,37.25,35.25,153414,0.0,5.25,-5.27,-2.01,0.46
20150825,36.5,36.11,36.5,36.0,193008,0.0,1.38,-0.03,-0.01,0.58
20150826,36.19,35.96,36.25,35.35,108062,0.0,2.49,-0.42,-0.15,0.33
20150827,36.0,35.89,36.09,35.41,439319,0.0,1.89,-0.19,-0.07,1.33
20150828,35.75,35.8,35.88,35.45,564118,0.0,1.2,-0.25,-0.09,1.71
20150831,35.38,35.94,36.66,35.38,348561,0.0,3.58,0.39,0.14,1.06
20150901,35.86,35.45,35.86,35.33,70744,0.0,1.47,-1.36,-0.49,0.21
20150902,35.4,35.48,35.56,35.15,97373,0.0,1.16,0.08,0.03,0.29
20150903,35.73,35.8,35.94,35.51,181926,0.0,1.21,0.9,0.32,0.55
20150904,35.75,36.15,36.28,35.59,172382,0.0,1.93,0.98,0.35,0.52
20150908,36.25,37.63,37.94,36.02,513155,0.0,5.31,4.09,1.48,1.55
20150909,37.75,37.76,38.72,37.2,221716,0.0,4.04,0.35,0.13,0.67
20150910,37.65,38.82,39.17,37.65,354515,0.0,4.03,2.81,1.06,1.07
