trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20161013,0.2,0.2,0.2,0.2,17500,0.0,0.0,0.0,0.0,0.0
20161014,0.2,0.2,0.2,0.18,32350,0.0,10.0,0.0,0.0,0.0
20161017,0.22,0.24,0.5,0.22,600,0.0,140.0,20.0,0.04,0.0
20161018,0.2,0.2,0.2,0.2,100,0.0,0.0,-16.67,-0.04,0.0
20161019,0.2,0.17,0.2,0.17,25598,0.0,15.0,-15.0,-0.03,0.0
20161020,0.19,0.18,0.2,0.18,4151,0.0,11.76,5.88,0.01,0.0
20161021,0.17,0.17,0.17,0.17,100,0.0,0.0,-5.56,-0.01,0.0
20161024,0.18,0.18,0.18,0.18,103,0.0,0.0,5.88,0.01,0.0
20161025,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,0.0,0.0
20161026,0.2,0.18,0.2,0.18,1600,0.0,11.11,0.0,0.0,0.0
20161027,0.2,0.2,0.2,0.2,1000,0.0,0.0,11.11,0.02,0.0
20161028,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0
20161031,0.2,0.2,0.2,0.2,10000,0.0,0.0,0.0,0.0,0.0
20161101,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0
20161102,0.18,0.18,0.2,0.18,40300,0.0,10.0,-10.0,-0.02,0.0
20161103,0.18,0.2,0.2,0.18,15100,0.0,11.11,11.11,0.02,0.0
20161104,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0
20161107,0.2,0.2,0.2,0.2,0,0.0,0.0,0.0,0.0,0.0
20161108,0.16,0.18,0.18,0.15,36100,0.0,15.0,-10.0,-0.02,0.0
20161111,0.18,0.18,0.18,0.18,195000,0.0,0.0,0.0,0.0,0.0
20161117,0.18,0.18,0.18,0.18,100,0.0,0.0,0.0,0.0,0.0
20161118,0.18,0.18,0.18,0.18,100,0.0,0.0,0.0,0.0,0.0
20161121,0.19,0.19,0.19,0.19,5000,0.0,0.0,5.56,0.01,0.0
20161122,0.19,0.19,0.19,0.19,10000,0.0,0.0,0.0,0.0,0.0
20161123,0.18,0.18,0.18,0.18,20000,0.0,0.0,-5.26,-0.01,0.0
20161128,0.19,0.18,0.19,0.18,7000,0.0,5.56,0.0,0.0,0.0
20161129,0.19,0.19,0.19,0.19,3000,0.0,0.0,5.56,0.01,0.0
20161205,0.2,0.2,0.2,0.2,5500,0.0,0.0,5.26,0.01,0.0
20161206,0.19,0.19,0.19,0.18,16500,0.0,5.0,-5.0,-0.01,0.0
20161208,0.15,0.2,0.2,0.15,5600,0.0,26.32,5.26,0.01,0.0
20161213,0.2,0.2,0.2,0.19,100000,0.0,5.0,0.0,0.0,0.0
20161214,0.22,0.22,0.22,0.22,7050,0.0,0.0,10.0,0.02,0.0
20161216,0.25,0.25,0.32,0.25,235100,0.0,31.82,13.64,0.03,0.0
20161221,0.28,0.28,0.28,0.25,90600,0.0,12.0,12.0,0.03,0.0
20161223,0.26,0.25,0.26,0.25,1100,0.0,3.57,-10.71,-0.03,0.0
20161228,0.28,0.28,0.28,0.28,10000,0.0,0.0,12.0,0.03,0.0
20161229,0.25,0.25,0.25,0.25,25000,0.0,0.0,-10.71,-0.03,0.0
20161230,0.23,0.2,0.23,0.2,174200,0.0,12.0,-20.0,-0.05,0.0
20170103,0.2,0.2,0.2,0.2,100000,0.0,0.0,0.0,0.0,0.0
20170105,0.25,0.25,0.25,0.25,6000,0.0,0.0,25.0,0.05,0.0
