trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,79.2,79.4,80.1,77.9,48622,0.0,2.03,-26.89,-29.2,0.2
20110127,80.5,79.3,80.9,77.9,57380,0.0,3.78,-0.13,-0.1,0.23
20110128,79.1,78.0,80.3,76.8,65993,0.0,4.41,-1.64,-1.3,0.27
20110131,79.0,76.7,79.0,74.8,47652,0.0,5.38,-1.67,-1.3,0.19
20110201,77.6,81.1,81.6,76.1,55562,0.0,7.17,5.74,4.4,0.23
20110202,80.5,79.9,80.9,78.8,15006,0.0,2.59,-1.48,-1.2,0.06
20110203,79.4,79.9,81.1,77.5,68097,0.0,4.51,0.0,0.0,0.28
20110204,79.6,82.0,82.4,79.6,83771,0.0,3.5,2.63,2.1,0.34
20110207,81.6,82.2,82.8,81.3,32829,0.0,1.83,0.24,0.2,0.13
20110208,82.1,84.3,84.5,82.1,53608,0.0,2.92,2.55,2.1,0.22
20110209,83.6,82.8,83.6,81.8,34991,0.0,2.14,-1.78,-1.5,0.14
20110210,82.1,80.1,82.1,79.2,47388,0.0,3.5,-3.26,-2.7,0.19
20110211,79.3,81.3,81.9,79.3,27267,0.0,3.25,1.5,1.2,0.11
20110214,80.8,81.2,82.3,79.5,17239,0.0,3.44,-0.12,-0.1,0.07
20110228,82.5,81.3,83.1,79.3,21257,0.0,4.68,0.12,0.1,0.09
20110301,81.3,79.1,82.5,78.9,21344,0.0,4.43,-2.71,-2.2,0.09
20110302,78.6,80.0,80.1,78.6,34399,0.0,1.9,1.14,0.9,0.14
20110303,80.4,81.8,81.8,79.1,16010,0.0,3.38,2.25,1.8,0.06
20110304,82.1,80.6,82.1,79.1,12977,0.0,3.67,-1.47,-1.2,0.05
20110307,81.1,79.9,81.4,79.8,21933,0.0,1.99,-0.87,-0.7,0.09
20110308,79.9,80.6,80.6,79.1,15213,0.0,1.88,0.88,0.7,0.06
20110325,80.1,80.6,82.6,79.3,39372,0.0,4.09,0.0,0.0,0.16
20110328,81.3,79.6,82.2,77.6,24924,0.0,5.71,-1.24,-1.0,0.1
20110329,79.1,81.8,82.5,77.8,22871,0.0,5.9,2.76,2.2,0.09
20110330,81.6,81.5,81.8,80.1,14670,0.0,2.08,-0.37,-0.3,0.06
20110331,81.6,81.8,81.8,78.3,50709,0.0,4.29,0.37,0.3,0.21
20110401,82.2,79.1,82.5,79.0,182525,0.0,4.28,-3.3,-2.7,0.74
20110404,78.4,79.5,81.4,78.2,81781,0.0,4.05,0.51,0.4,0.33
20110405,80.3,81.6,82.9,79.2,75535,0.0,4.65,2.64,2.1,0.31
20110406,82.9,83.8,85.1,81.6,116309,0.0,4.29,2.7,2.2,0.47
20110407,83.6,80.5,83.6,80.1,95072,0.0,4.18,-3.94,-3.3,0.39
20110408,80.5,80.6,82.1,79.8,116654,0.0,2.86,0.12,0.1,0.47
20110411,80.3,80.1,82.1,79.3,31439,0.0,3.47,-0.62,-0.5,0.13
20110412,79.3,80.1,82.3,79.3,57477,0.0,3.75,0.0,0.0,0.23
20110413,80.6,80.2,81.5,78.8,47562,0.0,3.37,0.12,0.1,0.19
20110414,79.2,82.1,82.7,78.8,38462,0.0,4.86,2.37,1.9,0.16
20110415,81.6,84.0,84.2,79.7,166393,0.0,5.48,2.31,1.9,0.68
20110418,82.4,83.8,84.6,82.1,115473,0.0,2.98,-0.24,-0.2,0.47
20110419,84.2,83.6,85.3,81.4,102626,0.0,4.65,-0.24,-0.2,0.42
20110420,85.1,85.8,85.8,84.0,196385,0.0,2.15,2.63,2.2,0.8
20110421,85.9,84.5,89.1,83.6,85328,0.0,6.41,-1.52,-1.3,0.35
20110425,84.1,84.3,85.1,83.5,35134,0.0,1.89,-0.24,-0.2,0.14
20110426,84.5,86.4,87.6,84.1,72099,0.0,4.15,2.49,2.1,0.29
20110427,86.3,91.7,92.0,85.1,169457,0.0,7.99,6.13,5.3,0.69
20110428,91.2,92.3,94.1,90.2,130007,0.0,4.25,0.65,0.6,0.53
20110429,92.9,96.3,99.6,92.9,281348,0.0,7.26,4.33,4.0,1.14
20110502,96.7,94.3,100.4,93.6,400474,0.0,7.06,-2.08,-2.0,1.63
20110503,93.8,90.0,94.6,88.1,140382,0.0,6.89,-4.56,-4.3,0.57
20110504,90.2,88.6,91.3,85.0,104080,0.0,7.0,-1.56,-1.4,0.42
20110505,88.6,89.2,90.4,88.2,53103,0.0,2.48,0.68,0.6,0.22
20110506,90.4,89.3,90.4,88.3,109513,0.0,2.35,0.11,0.1,0.44
20110509,89.5,89.1,91.7,88.6,103699,0.0,3.47,-0.22,-0.2,0.42
20110510,89.4,89.1,90.2,88.4,69295,0.0,2.02,0.0,0.0,0.28
20110511,88.6,87.6,89.5,86.7,68690,0.0,3.14,-1.68,-1.5,0.28
20110512,87.2,91.1,91.3,86.5,16815,0.0,5.48,4.0,3.5,0.07
