trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,-37.85,-38.23,-37.85,-38.6,52400,0.0,0.0,0.0,0.0,0.3
20010103,-38.23,-36.91,-36.66,-38.35,94100,0.0,-4.42,3.45,1.32,0.54
20010104,-36.91,-36.91,-36.85,-37.66,30500,0.0,-2.19,0.0,0.0,0.17
20010105,-37.04,-37.66,-37.04,-37.85,32200,0.0,-2.19,-2.03,-0.75,0.18
20010108,-37.73,-38.04,-37.29,-38.1,24100,0.0,-2.15,-1.01,-0.38,0.14
20010109,-37.85,-37.91,-37.85,-38.29,18200,0.0,-1.16,0.34,0.13,0.1
20010110,-37.82,-37.44,-37.44,-37.82,8000,0.0,-1.0,1.24,0.47,0.05
20010111,-37.44,-37.44,-37.2,-37.57,9000,0.0,-0.99,0.0,0.0,0.05
20010112,-37.57,-37.63,-37.32,-37.63,53500,0.0,-0.83,-0.51,-0.19,0.31
20010116,-37.63,-37.88,-37.63,-37.94,135800,0.0,-0.82,-0.66,-0.25,0.78
20010117,-37.88,-37.88,-37.88,-37.94,169400,0.0,-0.16,0.0,0.0,0.97
20010118,-37.88,-37.88,-37.88,-37.88,111600,0.0,0.0,0.0,0.0,0.64
20010119,-38.07,-38.44,-38.01,-38.94,49200,0.0,-2.46,-1.48,-0.56,0.28
20010122,-38.2,-38.2,-38.2,-38.57,8500,0.0,-0.96,0.62,0.24,0.05
20010123,-38.07,-38.13,-37.94,-38.26,20000,0.0,-0.84,0.18,0.07,0.11
20010124,-38.13,-38.07,-37.88,-38.13,28700,0.0,-0.66,0.16,0.06,0.16
20010125,-37.94,-38.07,-37.88,-38.07,15300,0.0,-0.5,0.0,0.0,0.09
20010126,-38.07,-38.2,-37.94,-38.2,18000,0.0,-0.68,-0.34,-0.13,0.1
20010129,-37.96,-37.87,-37.87,-38.07,23700,0.0,-0.52,0.86,0.33,0.14
20010130,-37.83,-37.78,-37.7,-37.83,20700,0.0,-0.34,0.24,0.09,0.12
20010131,-37.54,-37.36,-37.32,-37.69,20800,0.0,-0.98,1.11,0.42,0.12
20010201,-37.36,-37.28,-37.19,-37.43,23700,0.0,-0.64,0.21,0.08,0.14
20010202,-37.22,-37.81,-37.02,-37.81,5000,0.0,-2.12,-1.42,-0.53,0.03
