trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20250303,1.55,1.36,1.6,1.35,1488665,2145087.0,2.56,-86.09,-8.42,0.95
20250304,1.37,1.35,1.405,1.2,1465731,1929266.0,15.07,-0.74,-0.01,0.94
20250305,1.35,1.48,1.52,1.35,1809600,2615555.0,12.59,9.63,0.13,1.16
20250306,1.45,1.38,1.479,1.35,1778942,2510525.0,8.72,-6.76,-0.1,1.14
20250307,1.38,1.4,1.44,1.35,650550,907581.0,6.52,1.45,0.02,0.42
20250310,1.37,1.35,1.4,1.32,1307181,1771376.0,5.71,-3.57,-0.05,0.84
20250311,1.35,1.46,1.48,1.32,975938,1372402.0,11.85,8.15,0.11,0.63
20250312,1.5,1.51,1.59,1.46,964328,1471936.0,8.9,3.42,0.05,0.62
20250313,1.47,1.39,1.508,1.38,1012936,1433091.0,8.48,-7.95,-0.12,0.65
20250314,1.41,1.52,1.55,1.392,1508189,2261939.0,11.37,9.35,0.13,0.97
20250317,1.53,1.61,1.75,1.52,1665088,2749302.0,15.13,5.92,0.09,1.07
20250318,1.61,1.65,1.715,1.58,1786104,2943388.0,8.39,2.48,0.04,1.15
20250319,1.61,1.67,1.74,1.61,2360432,3953652.0,7.88,1.21,0.02,1.51
20250320,1.67,1.57,1.68,1.501,1920241,3025365.0,10.72,-5.99,-0.1,1.23
20250321,1.56,1.49,1.56,1.455,2317135,3486585.0,6.69,-5.1,-0.08,1.49
20250324,1.54,1.55,1.6,1.5,1773463,2746338.0,6.71,4.03,0.06,1.14
20250325,1.51,1.46,1.54,1.45,2008267,2946249.0,5.81,-5.81,-0.09,1.29
20250326,1.45,1.4,1.455,1.38,1102974,1556080.0,5.14,-4.11,-0.06,0.71
20250327,1.35,1.42,1.43,1.35,1156102,1621710.0,5.71,1.43,0.02,0.74
20250328,1.42,1.3,1.42,1.28,1816435,2389922.0,9.86,-8.45,-0.12,1.16
20250331,1.28,1.26,1.3,1.24,1351463,1711670.0,4.62,-3.08,-0.04,0.87
20250401,1.25,1.22,1.27,1.2,973373,1195230.0,5.56,-3.17,-0.04,0.62
20250402,1.2,1.18,1.23,1.15,1633951,1935100.0,6.56,-3.28,-0.04,1.05
20250403,1.1,1.1,1.14,1.06,1538651,1693056.0,6.78,-6.78,-0.08,0.99
20250404,1.1,1.03,1.1,0.982,2664787,2707931.0,10.73,-6.36,-0.07,1.71
20250407,0.964,1.04,1.07,0.92,3774639,3790220.0,14.56,0.97,0.01,2.42
20250408,1.13,1.04,1.155,1.01,1030854,1115927.0,13.94,0.0,0.0,0.66
20250409,1.04,1.18,1.22,1.01,1784731,1996946.0,20.19,13.46,0.14,1.14
20250410,1.18,1.1,1.18,1.05,1038296,1135242.0,11.02,-6.78,-0.08,0.67
20250411,1.12,1.15,1.15,1.04,1337267,1469621.0,10.0,4.55,0.05,0.86
20250414,1.16,1.11,1.17,1.09,886160,992901.0,6.96,-3.48,-0.04,0.57
20250415,1.11,1.09,1.12,1.08,665710,729556.0,3.6,-1.8,-0.02,0.43
20250416,1.06,1.07,1.09,1.03,1027486,1086355.0,5.5,-1.83,-0.02,0.66
20250417,1.08,1.05,1.08,1.03,1192354,1250316.0,4.67,-1.87,-0.02,0.76
20250421,1.06,1.03,1.06,1.02,1039208,1073139.0,3.81,-1.9,-0.02,0.67
20250422,1.05,1.14,1.165,1.05,1349566,1519186.0,11.17,10.68,0.11,0.87
20250423,1.18,1.13,1.22,1.1,1372509,1576593.0,10.53,-0.88,-0.01,0.88
20250424,1.13,1.23,1.24,1.122,1056865,1259948.0,10.44,8.85,0.1,0.68
20250425,1.2,1.26,1.275,1.18,825600,1027821.0,7.72,2.44,0.03,0.53
20250428,1.3,1.23,1.3,1.18,815972,1004064.0,9.52,-2.38,-0.03,0.52
20250429,1.22,1.24,1.26,1.21,642856,796416.0,4.07,0.81,0.01,0.41
20250430,1.18,1.21,1.22,1.16,700069,836605.0,4.84,-2.42,-0.03,0.45
20250501,1.25,1.28,1.3,1.22,683824,870581.0,6.61,5.79,0.07,0.44
20250502,1.3,1.33,1.38,1.29,890611,1195901.0,7.03,3.91,0.05,0.57
20250505,1.33,1.28,1.339,1.27,632714,824297.0,5.19,-3.76,-0.05,0.41
20250506,1.24,1.25,1.28,1.21,586835,729704.0,5.47,-2.34,-0.03,0.38
20250507,1.21,1.29,1.32,1.21,780967,988375.0,8.8,3.2,0.04,0.5
20250508,1.3,1.36,1.37,1.3,693620,934227.0,5.43,5.43,0.07,0.44
20250509,1.38,1.39,1.44,1.36,1110857,1559364.0,5.88,2.21,0.03,0.71
20250512,1.47,1.46,1.5,1.41,1655378,2403960.0,6.47,5.04,0.07,1.06
20250513,1.49,1.52,1.58,1.48,1682722,2590273.0,6.85,4.11,0.06,1.08
20250514,1.55,1.55,1.609,1.49,1448712,2231598.0,7.83,1.97,0.03,0.93
20250515,1.28,1.27,1.37,0.93,7091097,8278943.0,28.39,-18.06,-0.28,4.55
20250516,1.27,1.18,1.27,1.16,1951210,2338055.0,8.66,-7.09,-0.09,1.25
20250519,1.1,1.12,1.17,1.04,1715632,1922635.0,11.02,-5.08,-0.06,1.1
20250520,1.13,1.09,1.175,1.09,982904,1111594.0,7.59,-2.68,-0.03,0.63
20250521,1.09,1.02,1.1,1.005,2459633,2551411.0,8.72,-6.42,-0.07,1.58
20250522,1.0,0.97,1.02,0.96,2598600,2561549.0,5.88,-4.9,-0.05,1.67
20250523,0.97,1.05,1.09,0.97,1216547,1267613.0,12.37,8.25,0.08,0.78
20250527,1.05,1.14,1.146,1.04,1502956,1662981.0,10.1,8.57,0.09,0.96
20250528,1.14,1.18,1.19,1.07,1720273,1974934.0,10.53,3.51,0.04,1.1
20250529,1.18,1.12,1.22,1.08,1203909,1364351.0,11.86,-5.08,-0.06,0.77
20250530,1.1,1.09,1.125,1.07,1571938,1721478.0,4.91,-2.68,-0.03,1.01
20250602,1.1,1.05,1.1,1.03,1016778,1074392.0,6.42,-3.67,-0.04,0.65
20250603,1.07,1.14,1.16,1.04,1168385,1314576.0,11.43,8.57,0.09,0.75
20250604,1.1,1.13,1.158,1.1,526017,595134.0,5.09,-0.88,-0.01,0.34
20250605,1.12,1.07,1.14,1.06,859379,940053.0,7.08,-5.31,-0.06,0.55
20250606,1.09,1.2,1.21,1.09,1254335,1465256.0,11.21,12.15,0.13,0.8
20250609,1.25,1.32,1.37,1.225,3063233,3995018.0,12.08,10.0,0.12,1.96
20250610,1.35,1.38,1.39,1.29,1336423,1792369.0,7.58,4.55,0.06,0.86
20250611,1.34,1.42,1.445,1.332,1496094,2101092.0,8.19,2.9,0.04,0.96
20250612,1.35,1.39,1.435,1.35,864889,1203028.0,5.99,-2.11,-0.03,0.55
20250613,1.34,1.33,1.4,1.32,1019422,1382014.0,5.76,-4.32,-0.06,0.65
20250616,1.445,1.51,1.55,1.41,11746218,18708814.0,10.53,13.53,0.18,7.53
20250617,1.36,1.29,1.38,1.26,2574041,3386503.0,7.95,-14.57,-0.22,1.65
20250618,1.28,1.47,1.475,1.26,2023538,2827747.0,16.67,13.95,0.18,1.3
20250620,1.44,1.36,1.455,1.33,10104270,13786301.0,8.5,-7.48,-0.11,6.48
20250623,1.36,1.32,1.38,1.27,1393158,1824441.0,8.09,-2.94,-0.04,0.89
20250624,1.32,1.37,1.39,1.27,1460321,1957255.0,9.09,3.79,0.05,0.94
20250625,1.35,1.27,1.375,1.26,920492,1199384.0,8.39,-7.3,-0.1,0.59
20250626,1.29,1.3,1.329,1.23,1574428,2019441.0,7.8,2.36,0.03,1.01
20250627,1.3,1.25,1.32,1.23,2027133,2543128.0,6.92,-3.85,-0.05,1.3
20250630,1.25,1.23,1.26,1.17,2514469,3059419.0,7.2,-1.6,-0.02,1.61
20250701,1.2,1.25,1.27,1.16,1399039,1709966.0,8.94,1.63,0.02,0.9
20250702,1.25,1.41,1.455,1.25,2349641,3282843.0,16.4,12.8,0.16,1.51
20250703,1.38,1.44,1.47,1.34,1012624,1422095.0,9.22,2.13,0.03,0.65
20250707,1.42,1.4,1.44,1.36,898157,1258929.0,5.56,-2.78,-0.04,0.58
20250708,1.4,1.5,1.5,1.391,1078768,1579868.0,7.79,7.14,0.1,0.69
20250709,1.44,1.48,1.485,1.44,1203944,1761894.0,3.0,-1.33,-0.02,0.77
20250710,1.45,1.42,1.46,1.38,1108532,1560825.0,5.41,-4.05,-0.06,0.71
20250711,1.34,1.38,1.41,1.34,1423829,1948812.0,4.93,-2.82,-0.04,0.91
20250714,1.35,1.4,1.42,1.3,1309726,1804895.0,8.7,1.45,0.02,0.84
20250715,1.37,1.36,1.41,1.34,1021968,1399704.0,5.0,-2.86,-0.04,0.66
20250716,1.36,1.39,1.4,1.33,1566256,2145821.0,5.15,2.21,0.03,1.0
20250717,1.38,1.5,1.518,1.36,2582296,3797034.0,11.37,7.91,0.11,1.66
20250718,1.51,1.48,1.54,1.47,1267054,1887265.0,4.67,-1.33,-0.02,0.81
20250721,1.51,1.53,1.68,1.5,2516484,4015433.0,12.16,3.38,0.05,1.61
20250722,1.54,1.57,1.59,1.5,1466505,2280013.0,5.88,2.61,0.04,0.94
20250723,1.57,1.57,1.66,1.545,1783889,2866791.0,7.32,0.0,0.0,1.14
20250724,1.51,1.48,1.58,1.48,1223228,1862673.0,6.37,-5.73,-0.09,0.78
20250725,1.5,1.42,1.5,1.41,980584,1403779.0,6.08,-4.05,-0.06,0.63
20250728,1.42,1.4,1.43,1.37,900145,1252743.0,4.23,-1.41,-0.02,0.58
20250729,1.39,1.34,1.42,1.33,1017744,1377886.0,6.43,-4.29,-0.06,0.65
