trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20110126,3.01,3.15,3.15,2.81,9883,0.0,0.0,0.0,0.0,0.1
20110127,3.06,3.15,3.2,3.01,13113,0.0,6.03,0.0,0.0,0.13
20110128,3.11,3.03,3.11,2.85,5193,0.0,8.25,-3.81,-0.12,0.05
20110131,3.12,3.15,3.15,3.11,12570,0.0,1.32,3.96,0.12,0.12
20110201,3.15,2.91,3.18,2.87,3443,0.0,9.84,-7.62,-0.24,0.03
20110202,2.91,2.62,2.91,2.62,1474,0.0,9.97,-9.97,-0.29,0.01
20110203,2.75,3.06,3.06,2.75,6431,0.0,11.83,16.79,0.44,0.06
20110204,3.05,3.2,3.25,3.05,2328,0.0,6.54,4.58,0.14,0.02
20110207,3.2,3.24,3.25,3.19,17843,0.0,1.88,1.25,0.04,0.18
20110208,3.25,3.2,3.25,3.2,1667,0.0,1.54,-1.23,-0.04,0.02
20110209,3.27,3.21,3.27,3.13,1516,0.0,4.38,0.31,0.01,0.01
20110210,3.27,3.15,3.3,3.15,14066,0.0,4.67,-1.87,-0.06,0.14
20110211,3.17,3.14,3.18,3.14,1397,0.0,1.27,-0.32,-0.01,0.01
20110214,3.01,3.13,3.17,3.0,3868,0.0,5.41,-0.32,-0.01,0.04
20110325,2.85,2.87,3.02,2.85,2500,0.0,5.43,-8.31,-0.26,0.02
20110328,2.85,2.84,2.85,2.84,200,0.0,0.35,-1.05,-0.03,0.0
20110329,2.82,2.82,2.82,2.82,550,0.0,0.0,-0.7,-0.02,0.01
20110330,2.78,3.0,3.0,2.78,7268,0.0,7.8,6.38,0.18,0.07
20110331,2.84,2.97,3.0,2.75,9903,0.0,8.33,-1.0,-0.03,0.1
20110401,2.98,2.83,3.05,2.75,5842,0.0,10.1,-4.71,-0.14,0.06
20110404,2.98,2.91,2.98,2.8,1950,0.0,6.36,2.83,0.08,0.02
20110405,2.87,2.87,2.88,2.87,1000,0.0,0.34,-1.37,-0.04,0.01
20110406,2.82,2.89,3.05,2.82,9281,0.0,8.01,0.7,0.02,0.09
20110407,3.04,2.88,3.05,2.85,9524,0.0,6.92,-0.35,-0.01,0.09
20110411,2.89,2.77,2.89,2.77,6670,0.0,4.17,-3.82,-0.11,0.07
20110412,2.77,2.7,2.77,2.67,12285,0.0,3.61,-2.53,-0.07,0.12
20110413,2.7,2.71,2.71,2.7,200,0.0,0.37,0.37,0.01,0.0
20110414,2.62,2.6,2.65,2.46,54960,0.0,7.01,-4.06,-0.11,0.54
20110415,2.63,2.6,2.63,2.6,600,0.0,1.15,0.0,0.0,0.01
20110418,2.68,2.7,2.75,2.68,2900,0.0,2.69,3.85,0.1,0.03
20110419,2.45,2.6,2.7,2.45,4074,0.0,9.26,-3.7,-0.1,0.04
20110420,2.5,2.6,2.7,2.5,5166,0.0,7.69,0.0,0.0,0.05
20110421,2.66,2.55,2.74,2.52,5067,0.0,8.46,-1.92,-0.05,0.05
20110425,2.55,2.52,2.55,2.52,2900,0.0,1.18,-1.18,-0.03,0.03
20110426,2.5,2.59,2.6,2.5,2223,0.0,3.97,2.78,0.07,0.02
20110427,2.57,2.61,2.61,2.56,3700,0.0,1.93,0.77,0.02,0.04
20110428,2.62,2.65,2.65,2.62,200,0.0,1.15,1.53,0.04,0.0
20110429,2.62,2.63,2.66,2.62,3649,0.0,1.51,-0.75,-0.02,0.04
20110502,2.62,2.62,2.62,2.62,100,0.0,0.0,-0.38,-0.01,0.0
20110504,2.61,2.61,2.61,2.61,267,0.0,0.0,-0.38,-0.01,0.0
20110506,2.83,2.75,2.85,2.65,5172,0.0,7.66,5.36,0.14,0.05
20110509,2.7,2.7,2.7,2.7,420,0.0,0.0,-1.82,-0.05,0.0
20110510,2.63,2.65,2.65,2.6,1708,0.0,1.85,-1.85,-0.05,0.02
20110511,2.74,2.65,2.78,2.62,1711,0.0,6.04,0.0,0.0,0.02
20110512,2.79,2.68,2.8,2.68,2890,0.0,4.53,1.13,0.03,0.03
20110513,2.65,2.66,2.66,2.65,1200,0.0,0.37,-0.75,-0.02,0.01
20110516,2.84,2.77,2.84,2.77,3393,0.0,2.63,4.14,0.11,0.03
20110517,2.79,2.6,2.79,2.6,5456,0.0,6.86,-6.14,-0.17,0.05
20110518,2.63,2.75,2.75,2.5,2030,0.0,9.62,5.77,0.15,0.02
20110519,2.65,2.74,2.75,2.65,3500,0.0,3.64,-0.36,-0.01,0.03
20110520,2.75,2.75,2.75,2.73,2925,0.0,0.73,0.36,0.01,0.03
