trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120725,10.44,10.55,10.67,10.3,59368,0.0,3.78,7.65,0.75,0.21
20120726,10.81,10.37,10.96,10.3,48040,0.0,6.26,-1.71,-0.18,0.17
20120727,10.44,10.49,10.55,10.3,95931,0.0,2.41,1.16,0.12,0.35
20120730,10.54,10.83,11.03,10.36,33694,0.0,6.39,3.24,0.34,0.12
20120731,10.88,10.91,10.95,10.61,95324,0.0,3.14,0.74,0.08,0.34
20120801,10.95,10.65,11.25,10.63,126253,0.0,5.68,-2.38,-0.26,0.46
20120802,10.57,10.25,10.6,10.15,195523,0.0,4.23,-3.76,-0.4,0.71
20120803,10.5,10.36,10.53,10.25,87779,0.0,2.73,1.07,0.11,0.32
20120806,10.32,10.44,10.64,10.3,26127,0.0,3.28,0.77,0.08,0.09
20120807,10.57,10.54,10.78,10.51,57866,0.0,2.59,0.96,0.1,0.21
20120808,10.45,10.47,10.52,10.34,77585,0.0,1.71,-0.66,-0.07,0.28
20120809,10.39,10.44,10.6,10.1,64891,0.0,4.78,-0.29,-0.03,0.23
20120810,10.33,10.48,10.54,10.33,36863,0.0,2.01,0.38,0.04,0.13
20120813,10.42,10.53,10.54,10.42,18838,0.0,1.15,0.48,0.05,0.07
20120814,10.55,10.43,10.67,10.33,45549,0.0,3.23,-0.95,-0.1,0.16
20120815,10.47,10.41,10.47,10.3,89071,0.0,1.63,-0.19,-0.02,0.32
20120816,10.35,11.02,11.13,10.3,67692,0.0,7.97,5.86,0.61,0.24
20120817,10.95,10.53,11.07,10.46,49819,0.0,5.54,-4.45,-0.49,0.18
20120820,10.53,10.39,10.79,10.35,44738,0.0,4.18,-1.33,-0.14,0.16
20120821,10.41,10.12,10.47,10.0,143112,0.0,4.52,-2.6,-0.27,0.52
20120822,10.07,10.88,11.1,10.07,105580,0.0,10.18,7.51,0.76,0.38
20120823,11.05,12.42,13.16,11.05,714395,0.0,19.39,14.15,1.54,2.59
20120824,12.54,13.2,13.42,12.54,126273,0.0,7.09,6.28,0.78,0.46
20120827,13.36,13.49,13.87,13.1,150832,0.0,5.83,2.2,0.29,0.55
