trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20080310,56.95,52.79,57.51,51.35,60200,0.0,7.16,-38.64,-33.24,0.24
20080311,56.55,56.87,58.15,54.55,41650,0.0,6.82,7.73,4.08,0.17
20080312,60.47,57.27,61.11,56.39,23500,0.0,8.3,0.7,0.4,0.09
20080313,56.55,55.67,56.79,54.15,31900,0.0,4.61,-2.79,-1.6,0.13
20080314,54.15,49.83,54.15,48.87,63500,0.0,9.48,-10.49,-5.84,0.25
20080317,39.11,46.23,48.87,39.11,79600,0.0,19.59,-7.22,-3.6,0.32
20080318,46.95,54.55,55.19,46.87,75100,0.0,18.0,18.0,8.32,0.3
20080319,54.79,57.35,58.23,53.75,64800,0.0,8.21,5.13,2.8,0.26
20080320,57.75,61.43,63.51,55.75,48900,0.0,13.53,7.11,4.08,0.2
20080324,54.39,64.55,65.67,54.39,50000,0.0,18.36,5.08,3.12,0.2
20080325,69.99,70.95,71.11,67.11,38200,0.0,6.2,9.91,6.4,0.15
20080326,74.15,73.35,75.75,71.51,91200,0.0,5.98,3.38,2.4,0.36
20080327,71.11,67.59,74.95,65.35,77060,0.0,13.09,-7.85,-5.76,0.31
20080328,74.55,70.87,74.55,69.03,202100,0.0,8.17,4.85,3.28,0.81
20080331,70.15,67.91,76.95,66.95,1044400,0.0,14.11,-4.18,-2.96,4.18
20080401,67.91,65.51,73.75,62.79,482300,0.0,16.14,-3.53,-2.4,1.93
20080402,65.43,64.79,66.95,62.23,286491,0.0,7.21,-1.1,-0.72,1.15
20080403,63.91,64.79,66.95,63.43,347032,0.0,5.43,0.0,0.0,1.39
20080404,64.95,67.51,67.75,63.11,356272,0.0,7.16,4.2,2.72,1.43
20080407,69.03,75.67,79.75,64.87,271220,0.0,22.04,12.09,8.16,1.08
20080408,75.67,77.83,80.31,73.19,102200,0.0,9.41,2.85,2.16,0.41
20080409,76.55,76.39,78.07,74.63,96400,0.0,4.42,-1.85,-1.44,0.39
