trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20240702,2.55,2.16,2.8,1.78,741394,1561245.0,10.34,-78.09,-7.7,1.61
20240703,2.05,1.95,2.25,1.87,414234,833187.0,17.59,-9.72,-0.21,0.9
20240705,1.9,1.72,1.9,1.61,228158,399730.0,14.87,-11.79,-0.23,0.49
20240708,1.63,1.57,1.77,1.445,277820,428378.0,18.9,-8.72,-0.15,0.6
20240709,1.54,1.55,1.75,1.5,177450,280742.0,15.92,-1.27,-0.02,0.38
20240710,1.55,1.61,1.7,1.36,456045,704417.0,21.94,3.87,0.06,0.99
20240711,1.54,1.55,1.565,1.46,84490,127719.0,6.52,-3.73,-0.06,0.18
20240712,3.04,2.7,3.2,2.22,56853646,151004233.0,63.23,74.19,1.15,123.34
20240715,2.57,2.86,3.15,2.33,2775912,7783049.0,30.37,5.93,0.16,6.02
20240716,2.9,2.78,3.1,2.67,993992,2869784.0,15.03,-2.8,-0.08,2.16
20240717,2.71,2.6,2.89,2.53,717782,1905895.0,12.95,-6.47,-0.18,1.56
20240718,2.65,2.3,2.7,2.26,295398,709019.0,16.92,-11.54,-0.3,0.64
20240719,2.29,2.12,2.37,2.02,245420,527757.0,15.22,-7.83,-0.18,0.53
20240722,2.06,2.09,2.12,2.0,213643,435022.0,5.66,-1.42,-0.03,0.46
20240723,2.02,2.18,2.258,2.02,192038,408221.0,11.39,4.31,0.09,0.42
20240724,2.09,2.31,2.389,2.09,176606,395139.0,13.72,5.96,0.13,0.38
20240725,2.31,2.57,2.59,2.26,182725,451131.0,14.29,11.26,0.26,0.4
20240726,2.56,2.81,2.84,2.55,306450,833843.0,11.28,9.34,0.24,0.66
20240729,2.79,2.88,3.1,2.76,376395,1119880.0,12.1,2.49,0.07,0.82
20240730,2.88,2.87,2.97,2.64,69327,194650.0,11.46,-0.35,-0.01,0.15
20240731,2.81,2.8,2.85,2.67,57832,160902.0,6.27,-2.44,-0.07,0.13
20240801,2.83,2.91,3.05,2.83,220354,648167.0,7.86,3.93,0.11,0.48
20240802,2.82,3.7,3.708,2.632,234107,748105.0,36.98,27.15,0.79,0.51
20240805,3.5,3.99,4.15,3.081,320821,1170659.0,28.89,7.84,0.29,0.7
20240806,3.99,3.92,4.01,3.68,104016,400759.0,8.27,-1.75,-0.07,0.23
20240807,3.96,3.7,4.57,3.7,225799,932546.0,22.19,-5.61,-0.22,0.49
20240808,3.83,3.93,4.4,3.83,113337,472400.0,15.41,6.22,0.23,0.25
20240809,3.94,4.27,4.522,3.94,193180,837803.0,14.81,8.65,0.34,0.42
20240812,4.52,5.76,5.79,4.372,350100,1864743.0,33.21,34.89,1.49,0.76
20240813,6.1,5.05,7.22,4.01,820650,5053356.0,55.73,-12.33,-0.71,1.78
20240814,4.74,4.59,5.3,4.24,260312,1208766.0,20.99,-9.11,-0.46,0.56
20240815,4.73,4.53,5.11,4.53,98092,480091.0,12.64,-1.31,-0.06,0.21
20240816,4.53,5.08,5.95,4.41,208396,1094132.0,34.0,12.14,0.55,0.45
20240819,5.34,4.88,5.39,4.72,154870,769310.0,13.19,-3.94,-0.2,0.34
20240820,4.98,4.91,5.36,4.782,97974,492885.0,11.84,0.61,0.03,0.21
20240821,5.08,4.87,5.275,4.5,159428,776452.0,15.78,-0.81,-0.04,0.35
20240822,4.89,5.01,5.21,4.85,97177,491794.0,7.39,2.87,0.14,0.21
20240823,5.19,5.17,5.19,4.68,85508,423875.0,10.18,3.19,0.16,0.19
20240826,5.01,5.07,5.295,4.908,56609,291216.0,7.49,-1.93,-0.1,0.12
20240827,5.35,5.16,5.35,5.05,38787,199870.0,5.92,1.78,0.09,0.08
20240828,5.12,5.19,5.412,5.11,48645,254423.0,5.85,0.58,0.03,0.11
20240829,5.21,5.22,5.295,4.999,32437,167412.0,5.7,0.58,0.03,0.07
20240830,5.15,5.15,5.28,5.0,50525,258662.0,5.36,-1.34,-0.07,0.11
20240903,5.18,4.98,5.22,4.95,36102,182829.0,5.24,-3.3,-0.17,0.08
20240904,4.952,4.96,5.15,4.72,95751,470875.0,8.63,-0.4,-0.02,0.21
20240905,4.96,4.76,5.309,4.75,78537,387591.0,11.27,-4.03,-0.2,0.17
20240906,4.71,4.69,4.87,4.59,27158,128697.0,5.88,-1.47,-0.07,0.06
20240909,4.762,4.2,4.78,4.2,28962,129752.0,12.37,-10.45,-0.49,0.06
20240910,4.21,3.99,4.21,3.9,27134,108544.0,7.38,-5.0,-0.21,0.06
20240911,3.83,3.38,3.83,3.19,52832,184443.0,16.04,-15.29,-0.61,0.11
20240912,3.32,3.1,3.4,3.1,28057,90871.0,8.88,-8.28,-0.28,0.06
20240913,3.07,2.78,3.1,2.73,42312,120401.0,11.94,-10.32,-0.32,0.09
20240916,2.81,2.7,2.81,2.65,18884,51701.0,5.76,-2.88,-0.08,0.04
20240917,2.74,3.6,3.74,2.66,101189,338415.0,40.0,33.33,0.9,0.22
20240918,3.48,3.47,4.1,3.43,156416,581346.0,18.61,-3.61,-0.13,0.34
20240919,3.5,3.11,3.61,3.11,44577,147572.0,14.41,-10.37,-0.36,0.1
20240920,3.3,2.93,3.465,2.77,89376,271724.0,22.35,-5.79,-0.18,0.19
20240923,3.03,2.97,3.2,2.82,92148,279472.0,12.97,1.37,0.04,0.2
20240924,3.02,2.83,3.02,2.75,28956,82722.0,9.09,-4.71,-0.14,0.06
20240925,2.93,2.83,2.93,2.71,14545,41338.0,7.77,0.0,0.0,0.03
20240926,2.89,2.85,2.899,2.779,11028,31397.0,4.24,0.71,0.02,0.02
20240927,2.8,2.71,2.805,2.71,17217,47745.0,3.33,-4.91,-0.14,0.04
20240930,2.89,2.71,2.89,2.7,39413,109059.0,7.01,0.0,0.0,0.09
20241001,2.7,2.46,2.78,2.44,23139,61873.0,12.55,-9.23,-0.25,0.05
20241002,2.5,2.8,2.83,2.5,27958,76893.0,13.41,13.82,0.34,0.06
20241003,2.8,2.58,2.8,2.58,12845,34967.0,7.86,-7.86,-0.22,0.03
20241004,2.7,2.51,2.7,2.5,10227,26634.0,7.75,-2.71,-0.07,0.02
20241007,2.53,2.43,2.6,2.41,15797,39059.0,7.57,-3.19,-0.08,0.03
20241008,2.41,2.65,2.65,2.41,10574,27243.0,9.88,9.05,0.22,0.02
20241009,2.645,2.79,2.8,2.61,80953,221687.0,7.17,5.28,0.14,0.18
20241010,2.76,2.695,2.77,2.66,15205,41530.0,3.94,-3.41,-0.095,0.03
20241011,2.81,2.79,2.81,2.7,16439,45502.0,4.08,3.53,0.095,0.04
20241014,2.84,2.76,2.84,2.739,24840,68931.0,3.62,-1.08,-0.03,0.05
20241015,2.72,2.7,2.775,2.7,11780,32400.0,2.72,-2.17,-0.06,0.03
20241016,2.755,2.6,2.825,2.6,25166,67811.0,8.33,-3.7,-0.1,0.05
20241017,2.76,2.7,2.77,2.64,24255,65822.0,5.0,3.85,0.1,0.05
20241018,2.76,2.698,2.76,2.58,16391,43516.0,6.67,-0.07,-0.002,0.04
20241021,2.7,2.54,2.7,2.54,7294,18944.0,5.93,-5.86,-0.158,0.02
20241022,2.65,2.53,2.65,2.53,13628,35119.0,4.72,-0.39,-0.01,0.03
20241023,2.5,2.46,2.56,2.41,28654,71192.0,5.93,-2.77,-0.07,0.06
20241024,2.43,2.395,2.48,2.37,27847,67131.0,4.47,-2.64,-0.065,0.06
20241025,2.475,2.5,2.53,2.4,11320,27654.0,5.43,4.38,0.105,0.02
20241028,2.55,2.45,2.55,2.3,73700,176102.0,10.0,-2.0,-0.05,0.16
20241029,2.474,2.53,2.6,2.41,45904,114352.0,7.76,3.27,0.08,0.1
20241030,2.48,2.51,2.575,2.48,6990,17626.0,3.75,-0.79,-0.02,0.02
20241031,2.471,2.53,2.57,2.471,3577,9025.0,3.94,0.8,0.02,0.01
20241101,2.59,2.561,2.59,2.44,9792,24709.0,5.93,1.23,0.031,0.02
20241104,2.505,2.5,2.56,2.5,5927,14936.0,2.34,-2.38,-0.061,0.01
20241105,2.5,2.49,2.57,2.47,9826,24495.0,4.0,-0.4,-0.01,0.02
20241106,2.59,2.61,2.615,2.57,6208,16061.0,1.81,4.82,0.12,0.01
20241107,2.51,2.65,2.65,2.51,6019,15452.0,5.36,1.53,0.04,0.01
