trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20010102,24.392,23.982,24.622,23.672,183250,0.0,0.0,0.0,0.0,0.37
20010103,23.802,23.762,24.212,23.582,125117,0.0,2.63,-0.92,-0.22,0.26
20010104,23.672,23.532,23.712,22.852,157790,0.0,3.62,-0.97,-0.23,0.32
20010105,23.492,22.852,23.492,22.582,130799,0.0,3.87,-2.89,-0.68,0.27
20010108,22.672,22.762,23.262,22.402,92226,0.0,3.76,-0.39,-0.09,0.19
20010109,22.812,23.032,23.032,22.492,63160,0.0,2.37,1.19,0.27,0.13
20010110,24.162,25.572,25.792,24.162,408242,0.0,7.08,11.03,2.54,0.83
20010111,25.572,24.252,25.752,24.122,483968,0.0,6.37,-5.16,-1.32,0.99
20010112,25.072,24.712,26.022,23.982,3855469,0.0,8.41,1.9,0.46,7.87
20010116,25.612,24.752,25.612,24.712,581222,0.0,3.64,0.16,0.04,1.19
20010117,24.572,24.842,25.292,24.572,183469,0.0,2.91,0.36,0.09,0.37
20010118,24.752,26.652,26.782,24.752,305527,0.0,8.17,7.29,1.81,0.62
20010119,26.832,27.782,29.002,26.422,785561,0.0,9.68,4.24,1.13,1.6
20010122,27.692,26.782,27.692,26.422,249141,0.0,4.57,-3.6,-1.0,0.51
20010123,26.602,27.782,27.922,26.152,278209,0.0,6.61,3.73,1.0,0.57
20010124,27.732,27.782,28.052,27.192,120856,0.0,3.1,0.0,0.0,0.25
20010125,27.782,27.422,28.502,27.332,152108,0.0,4.21,-1.3,-0.36,0.31
20010126,27.512,28.192,28.642,27.512,139542,0.0,4.12,2.81,0.77,0.28
20010129,28.002,27.852,28.002,26.952,262582,0.0,3.72,-1.21,-0.34,0.54
20010130,27.782,27.782,27.782,27.532,135499,0.0,0.9,-0.25,-0.07,0.28
20010131,27.892,28.102,28.432,27.822,125554,0.0,2.2,1.15,0.32,0.26
20010201,28.102,27.922,28.322,27.892,106540,0.0,1.53,-0.64,-0.18,0.22
20010202,28.002,27.572,28.132,27.452,225539,0.0,2.44,-1.25,-0.35,0.46
20010205,27.672,28.052,28.132,27.672,121948,0.0,1.67,1.74,0.48,0.25
20010206,28.052,28.322,28.392,28.052,295473,0.0,1.21,0.96,0.27,0.6
20010207,28.342,28.392,28.562,28.322,100967,0.0,0.85,0.25,0.07,0.21
20010208,28.392,28.322,28.392,28.102,76273,0.0,1.02,-0.25,-0.07,0.16
20010209,28.322,28.122,28.322,27.962,193085,0.0,1.27,-0.71,-0.2,0.39
20010212,28.122,27.662,28.282,26.692,737700,0.0,5.65,-1.64,-0.46,1.51
20010213,27.672,27.422,27.802,27.302,152217,0.0,1.81,-0.87,-0.24,0.31
20010214,27.412,27.492,27.672,27.282,196363,0.0,1.42,0.26,0.07,0.4
20010215,27.492,27.422,27.492,26.882,174181,0.0,2.22,-0.25,-0.07,0.36
20010216,27.402,27.372,27.422,27.022,85561,0.0,1.46,-0.18,-0.05,0.17
20010220,27.362,27.442,27.452,27.092,66875,0.0,1.32,0.26,0.07,0.14
20010221,27.452,27.312,27.492,27.242,103372,0.0,0.91,-0.47,-0.13,0.21
20010222,27.312,27.442,27.532,27.242,146644,0.0,1.06,0.48,0.13,0.3
20010223,27.422,27.242,27.422,26.882,143257,0.0,1.97,-0.73,-0.2,0.29
20010226,27.242,27.352,27.382,27.062,153528,0.0,1.17,0.4,0.11,0.31
20010227,27.312,27.222,27.372,26.882,115174,0.0,1.79,-0.48,-0.13,0.24
20010228,27.042,27.242,27.292,26.952,107962,0.0,1.25,0.07,0.02,0.22
20010301,27.312,27.242,27.422,27.062,182485,0.0,1.32,0.0,0.0,0.37
20010302,27.112,27.302,27.472,27.042,183360,0.0,1.58,0.22,0.06,0.37
20010305,27.292,27.072,27.422,26.922,57587,0.0,1.83,-0.84,-0.23,0.12
20010306,27.042,27.112,27.182,26.802,53762,0.0,1.4,0.15,0.04,0.11
20010307,27.122,26.742,27.272,26.432,118779,0.0,3.1,-1.36,-0.37,0.24
20010308,26.632,27.072,27.192,26.382,206963,0.0,3.03,1.23,0.33,0.42
20010309,26.992,26.692,26.992,26.592,57150,0.0,1.48,-1.4,-0.38,0.12
20010312,26.872,26.442,26.872,26.262,59335,0.0,2.29,-0.94,-0.25,0.12
20010313,26.372,26.452,26.512,25.902,119435,0.0,2.31,0.04,0.01,0.24
20010314,26.452,25.792,26.452,25.292,321153,0.0,4.39,-2.5,-0.66,0.65
20010315,25.792,25.662,25.962,25.252,177459,0.0,2.75,-0.5,-0.13,0.36
20010316,25.752,25.472,25.752,25.112,240619,0.0,2.49,-0.74,-0.19,0.49
20010319,25.402,25.472,25.472,24.732,105120,0.0,2.91,0.0,0.0,0.21
20010320,25.292,24.952,25.462,24.952,91243,0.0,2.0,-2.04,-0.52,0.19
20010321,24.992,24.312,25.172,24.302,71136,0.0,3.49,-2.56,-0.64,0.15
20010322,24.282,23.912,24.282,23.172,148284,0.0,4.57,-1.65,-0.4,0.3
20010323,23.872,24.252,24.282,23.742,116047,0.0,2.26,1.42,0.34,0.24
20010326,24.182,24.152,24.502,24.152,106212,0.0,1.44,-0.41,-0.1,0.22
20010327,24.212,24.732,24.822,24.152,51249,0.0,2.77,2.4,0.58,0.1
20010328,24.582,24.822,25.022,24.582,119763,0.0,1.78,0.36,0.09,0.24
