trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
20120725,16.615,16.429,16.631,16.375,46463,0.0,-76.42,5004.18,16.764,0.04
20120726,16.435,17.155,17.185,16.265,530693,0.0,5.6,4.42,0.726,0.42
20120727,17.435,18.225,18.535,17.435,1229758,0.0,6.41,6.24,1.07,0.97
20120730,18.585,17.935,18.935,17.765,701745,0.0,6.42,-1.59,-0.29,0.56
20120731,18.185,16.605,18.185,16.175,968279,0.0,11.21,-7.42,-1.33,0.77
20120801,17.935,17.665,18.435,16.935,1561606,0.0,9.03,6.38,1.06,1.24
20120802,17.735,17.475,17.735,17.195,566052,0.0,3.06,-1.08,-0.19,0.45
20120803,18.755,17.745,18.995,17.355,466751,0.0,9.38,1.55,0.27,0.37
20120806,17.915,17.175,18.985,17.045,157375,0.0,10.93,-3.21,-0.57,0.13
20120807,17.435,17.015,17.815,16.435,404080,0.0,8.03,-0.93,-0.16,0.32
20120808,16.895,16.385,16.895,16.185,406381,0.0,4.17,-3.7,-0.63,0.32
20120809,16.325,15.905,16.435,15.695,1079151,0.0,4.52,-2.93,-0.48,0.86
20120810,15.875,15.655,15.875,15.515,1633928,0.0,2.26,-1.57,-0.25,1.3
20120813,15.765,15.555,15.835,15.445,849151,0.0,2.49,-0.64,-0.1,0.68
20120814,15.685,16.055,16.335,15.415,747585,0.0,5.91,3.21,0.5,0.6
20120815,16.055,18.335,18.895,16.055,4357652,0.0,17.69,14.2,2.28,3.47
20120816,18.435,18.685,19.045,17.935,1321611,0.0,6.05,1.91,0.35,1.05
20120817,18.635,19.005,19.165,18.455,1119419,0.0,3.8,1.71,0.32,0.89
20120820,19.015,19.025,19.165,18.685,753309,0.0,2.53,0.11,0.02,0.6
20120821,19.435,19.905,20.265,19.375,2131234,0.0,4.68,4.63,0.88,1.7
20120822,19.925,20.455,20.625,19.895,846519,0.0,3.67,2.76,0.55,0.67
20120823,20.445,20.235,20.675,20.045,587546,0.0,3.08,-1.08,-0.22,0.47
20120824,20.285,20.175,20.525,20.075,712470,0.0,2.22,-0.3,-0.06,0.57
20120827,20.195,20.165,20.385,19.965,716803,0.0,2.08,-0.05,-0.01,0.57
20120828,20.155,20.335,20.435,20.055,997425,0.0,1.88,0.84,0.17,0.79
20120829,20.335,20.315,20.525,20.145,1062699,0.0,1.87,-0.1,-0.02,0.85
20120830,20.385,19.445,20.435,19.235,1055456,0.0,5.91,-4.28,-0.87,0.84
20120831,19.435,19.225,19.935,18.585,3237190,0.0,6.94,-1.13,-0.22,2.58
20120904,19.235,19.375,19.525,18.785,780581,0.0,3.85,0.78,0.15,0.62
20120905,19.315,19.405,19.425,19.075,756861,0.0,1.81,0.15,0.03,0.6
20120906,19.465,19.255,19.515,18.965,765777,0.0,2.83,-0.77,-0.15,0.61
20120907,19.355,19.355,19.545,19.125,579195,0.0,2.18,0.52,0.1,0.46
20120910,19.275,19.285,19.435,19.215,693248,0.0,1.14,-0.36,-0.07,0.55
20120911,19.355,18.725,19.485,18.335,1308897,0.0,5.96,-2.9,-0.56,1.04
20120912,18.755,18.735,18.975,18.505,696508,0.0,2.51,0.05,0.01,0.56
20120913,18.785,19.185,19.235,18.435,1344882,0.0,4.27,2.4,0.45,1.07
20120914,19.315,19.345,19.685,19.215,973915,0.0,2.45,0.83,0.16,0.78
20120917,19.365,18.855,19.515,18.825,736274,0.0,3.57,-2.53,-0.49,0.59
20120918,18.855,19.345,19.435,18.855,2621376,0.0,3.08,2.6,0.49,2.09
20120919,19.425,19.885,20.455,19.215,1234868,0.0,6.41,2.79,0.54,0.98
20120920,19.725,20.705,20.865,19.515,1202555,0.0,6.79,4.12,0.82,0.96
20120921,20.435,20.385,20.635,20.085,1169344,0.0,2.66,-1.55,-0.32,0.93
20120924,20.385,19.515,20.435,19.335,1494053,0.0,5.4,-4.27,-0.87,1.19
20120925,19.665,18.235,19.785,18.185,1908201,0.0,8.2,-6.56,-1.28,1.52
20120926,18.215,17.035,18.435,16.775,2947246,0.0,9.1,-6.58,-1.2,2.35
20120927,17.235,16.935,17.405,16.755,1474301,0.0,3.82,-0.59,-0.1,1.17
20120928,16.815,16.085,17.065,16.025,1327108,0.0,6.14,-5.02,-0.85,1.06
20121001,16.205,16.335,16.625,16.145,889926,0.0,2.98,1.55,0.25,0.79
20121002,16.305,16.345,16.685,16.225,1320146,0.0,2.82,0.06,0.01,1.17
20121003,16.385,15.965,16.475,15.535,923951,0.0,5.75,-2.32,-0.38,0.82
20121004,16.145,15.775,16.335,15.595,506059,0.0,4.64,-1.19,-0.19,0.45
20121005,15.815,16.355,16.545,15.775,936755,0.0,4.88,3.68,0.58,0.83
20121008,16.325,16.695,16.895,16.325,407736,0.0,3.49,2.08,0.34,0.36
20121009,16.835,16.725,16.835,16.325,783173,0.0,3.05,0.18,0.03,0.69
20121010,16.785,16.835,17.045,16.695,505590,0.0,2.09,0.66,0.11,0.45
