trade_date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
19860709,-57.57,-57.53,-57.448,-57.57,1478000,0.0,-0.21,-1.05,-0.6,0.66
19860710,-57.488,-57.448,-57.408,-57.51,589200,0.0,-0.18,0.14,0.082,0.26
19860711,-57.448,-57.488,-57.448,-57.53,320400,0.0,-0.14,-0.07,-0.04,0.14
19860714,-57.53,-57.65,-57.488,-57.65,434000,0.0,-0.28,-0.28,-0.162,0.19
19860715,-57.61,-57.935,-57.57,-57.935,741600,0.0,-0.63,-0.49,-0.285,0.33
19860716,-57.935,-57.813,-57.773,-57.935,606400,0.0,-0.28,0.21,0.122,0.27
19860717,-57.733,-57.65,-57.61,-57.773,584000,0.0,-0.28,0.28,0.163,0.26
19860718,-57.65,-57.693,-57.57,-57.693,246800,0.0,-0.21,-0.07,-0.043,0.11
19860721,-57.61,-57.693,-57.61,-57.693,168000,0.0,-0.14,0.0,0.0,0.07
19860722,-57.693,-57.61,-57.57,-57.693,286400,0.0,-0.21,0.14,0.083,0.13
19860723,-57.61,-57.65,-57.57,-57.65,480000,0.0,-0.14,-0.07,-0.04,0.21
19860724,-57.61,-57.65,-57.53,-57.65,516800,0.0,-0.21,0.0,0.0,0.23
19860725,-57.693,-57.65,-57.61,-57.693,288800,0.0,-0.14,0.0,0.0,0.13
19860728,-57.65,-57.813,-57.65,-57.813,512400,0.0,-0.28,-0.28,-0.163,0.23
19860729,-57.813,-57.935,-57.813,-57.935,363600,0.0,-0.21,-0.21,-0.122,0.16
19860730,-57.935,-57.935,-57.853,-58.055,1024800,0.0,-0.35,0.0,0.0,0.46
19860731,-57.935,-58.098,-57.935,-58.38,3426000,0.0,-0.77,-0.28,-0.163,1.52
19860801,-58.138,-58.055,-57.975,-58.138,1432400,0.0,-0.28,0.07,0.043,0.64
19860804,-58.055,-58.218,-57.935,-58.258,812400,0.0,-0.56,-0.28,-0.163,0.36
19860805,-58.218,-58.178,-58.098,-58.218,990000,0.0,-0.21,0.07,0.04,0.44
19860806,-58.138,-58.218,-58.138,-58.38,1485600,0.0,-0.42,-0.07,-0.04,0.66
19860807,-58.3,-58.258,-58.218,-58.3,1701200,0.0,-0.14,-0.07,-0.04,0.76
19860808,-58.258,-58.42,-58.138,-58.503,2858400,0.0,-0.63,-0.28,-0.162,1.27
19860811,-58.38,-58.36,-58.218,-58.42,1228800,0.0,-0.35,0.1,0.06,0.55
19860812,-58.3,-58.42,-58.3,-58.543,2822800,0.0,-0.42,-0.1,-0.06,1.25
19860813,-58.42,-58.218,-58.178,-58.46,4560000,0.0,-0.48,0.35,0.202,2.03
19860814,-58.3,-58.218,-58.178,-58.3,2767600,0.0,-0.21,0.0,0.0,1.23
19860815,-58.218,-58.055,-58.055,-58.238,1017200,0.0,-0.31,0.28,0.163,0.45
19860818,-58.055,-58.138,-58.015,-58.178,765200,0.0,-0.28,-0.14,-0.083,0.34
19860819,-58.138,-58.218,-58.138,-58.34,1069600,0.0,-0.35,-0.14,-0.08,0.48
19860820,-58.218,-58.218,-58.178,-58.258,625600,0.0,-0.14,0.0,0.0,0.28
19860821,-58.178,-58.258,-58.158,-58.3,1936800,0.0,-0.24,-0.07,-0.04,0.86
19860822,-58.218,-58.178,-58.178,-58.258,583600,0.0,-0.14,0.14,0.08,0.26
19860825,-58.178,-58.34,-58.178,-58.34,627200,0.0,-0.28,-0.28,-0.162,0.28
19860826,-58.258,-58.098,-58.098,-58.3,1796800,0.0,-0.35,0.41,0.242,0.8
19860827,-58.055,-57.893,-57.853,-58.138,1865200,0.0,-0.49,0.35,0.205,0.83
19860828,-57.853,-57.693,-57.65,-57.893,1195200,0.0,-0.42,0.35,0.2,0.53
19860829,-57.693,-57.65,-57.65,-57.773,1402400,0.0,-0.21,0.07,0.043,0.62
19860902,-57.65,-57.693,-57.57,-57.693,1400000,0.0,-0.21,-0.07,-0.043,0.62
19860903,-57.733,-57.813,-57.713,-57.853,1788800,0.0,-0.24,-0.21,-0.12,0.79
19860904,-57.773,-57.733,-57.733,-57.813,1042800,0.0,-0.14,0.14,0.08,0.46
19860905,-57.773,-57.935,-57.733,-57.955,2570800,0.0,-0.38,-0.35,-0.202,1.14
19860908,-57.975,-58.258,-57.975,-58.258,1161600,0.0,-0.49,-0.56,-0.323,0.52
19860909,-58.178,-58.138,-58.055,-58.218,2043200,0.0,-0.28,0.21,0.12,0.91
19860910,-58.138,-58.098,-58.098,-58.178,826400,0.0,-0.14,0.07,0.04,0.37
19860911,-58.118,-58.38,-58.098,-58.38,1991200,0.0,-0.49,-0.49,-0.282,0.88
19860912,-58.38,-58.745,-58.34,-58.745,1473200,0.0,-0.69,-0.63,-0.365,0.65
19860915,-58.705,-58.705,-58.663,-58.745,661200,0.0,-0.14,0.07,0.04,0.29
19860916,-58.623,-58.583,-58.583,-58.705,220000,0.0,-0.21,0.21,0.122,0.1
19860917,-58.543,-58.503,-58.42,-58.583,786800,0.0,-0.28,0.14,0.08,0.35
19860918,-58.42,-58.42,-58.42,-58.503,816000,0.0,-0.14,0.14,0.083,0.36
19860919,-58.46,-58.218,-58.178,-58.46,868000,0.0,-0.48,0.35,0.202,0.39
19860922,-58.178,-58.3,-58.178,-58.34,1065200,0.0,-0.28,-0.14,-0.082,0.47
19860923,-58.3,-58.278,-58.218,-58.3,1162000,0.0,-0.14,0.04,0.022,0.52
19860924,-58.206,-58.206,-58.164,-58.226,717200,0.0,-0.11,0.12,0.072,0.32
19860925,-58.206,-58.326,-58.206,-58.366,646000,0.0,-0.27,-0.21,-0.12,0.29
19860926,-58.366,-58.409,-58.326,-58.489,636800,0.0,-0.28,-0.14,-0.083,0.28
19860929,-58.489,-58.569,-58.489,-58.731,965600,0.0,-0.41,-0.27,-0.16,0.43
19860930,-58.611,-58.449,-58.409,-58.611,790000,0.0,-0.34,0.2,0.12,0.35
19861001,-58.409,-58.206,-58.206,-58.449,509600,0.0,-0.42,0.42,0.243,0.23
19861002,-58.286,-58.286,-58.164,-58.286,1281600,0.0,-0.21,-0.14,-0.08,0.57
19861003,-58.246,-58.286,-58.206,-58.326,620000,0.0,-0.21,0.0,0.0,0.28
19861006,-58.286,-58.266,-58.206,-58.326,166000,0.0,-0.21,0.03,0.02,0.07
19861007,-58.246,-58.206,-58.164,-58.246,160800,0.0,-0.14,0.1,0.06,0.07
19861008,-58.206,-58.124,-58.004,-58.246,314400,0.0,-0.42,0.14,0.082,0.14
19861009,-58.084,-58.064,-58.044,-58.124,967200,0.0,-0.14,0.1,0.06,0.43
19861010,-58.064,-58.124,-58.044,-58.124,1108000,0.0,-0.14,-0.1,-0.06,0.49
19861013,-58.124,-58.084,-58.084,-58.124,516000,0.0,-0.07,0.07,0.04,0.23
19861014,-58.084,-58.084,-58.084,-58.124,309600,0.0,-0.07,0.0,0.0,0.14
19861015,-58.124,-58.004,-58.004,-58.124,339200,0.0,-0.21,0.14,0.08,0.15
19861016,-57.921,-57.961,-57.881,-58.004,438800,0.0,-0.21,0.07,0.043,0.19
19861017,-58.004,-58.084,-58.004,-58.164,2217200,0.0,-0.28,-0.21,-0.123,0.98
19861020,-58.124,-58.164,-58.084,-58.206,233600,0.0,-0.21,-0.14,-0.08,0.1
19861021,-58.164,-58.246,-58.164,-58.246,516400,0.0,-0.14,-0.14,-0.082,0.23
19861022,-58.246,-58.124,-58.124,-58.326,476000,0.0,-0.35,0.21,0.122,0.21
19861023,-58.246,-58.164,-58.164,-58.286,483200,0.0,-0.21,-0.07,-0.04,0.21
19861024,-58.246,-58.124,-58.084,-58.246,345200,0.0,-0.28,0.07,0.04,0.15
19861027,-58.164,-58.206,-58.164,-58.286,789600,0.0,-0.21,-0.14,-0.082,0.35
19861028,-58.246,-58.246,-58.206,-58.286,531200,0.0,-0.14,-0.07,-0.04,0.24
19861029,-58.246,-58.206,-58.206,-58.286,544000,0.0,-0.14,0.07,0.04,0.24
19861030,-58.206,-58.004,-57.921,-58.246,1017600,0.0,-0.56,0.35,0.202,0.45
19861031,-58.044,-58.164,-58.004,-58.206,2062800,0.0,-0.35,-0.28,-0.16,0.92
19861103,-58.206,-58.286,-58.164,-58.286,2111600,0.0,-0.21,-0.21,-0.122,0.94
19861104,-58.246,-58.326,-58.246,-58.366,1223200,0.0,-0.21,-0.07,-0.04,0.54
19861105,-58.366,-58.326,-58.286,-58.409,854000,0.0,-0.21,0.0,0.0,0.38
19861106,-58.326,-58.206,-58.206,-58.326,1211600,0.0,-0.21,0.21,0.12,0.54
19861107,-58.246,-58.206,-58.206,-58.286,460800,0.0,-0.14,0.0,0.0,0.2
19861110,-58.286,-58.246,-58.124,-58.286,450800,0.0,-0.28,-0.07,-0.04,0.2
19861111,-58.246,-58.206,-58.206,-58.246,213200,0.0,-0.07,0.07,0.04,0.09
19861112,-58.246,-58.306,-58.164,-58.326,434000,0.0,-0.28,-0.17,-0.1,0.19
19861113,-58.286,-58.409,-58.286,-58.449,2206800,0.0,-0.28,-0.18,-0.103,0.98
19861114,-58.449,-58.489,-58.366,-58.489,920400,0.0,-0.21,-0.14,-0.08,0.41
19861117,-58.529,-58.489,-58.489,-58.611,834400,0.0,-0.21,0.0,0.0,0.37
19861118,-58.489,-58.569,-58.449,-58.569,1300400,0.0,-0.21,-0.14,-0.08,0.58
19861119,-58.569,-58.529,-58.449,-58.569,1251600,0.0,-0.2,0.07,0.04,0.56
19861120,-58.409,-58.366,-58.366,-58.489,636000,0.0,-0.21,0.28,0.163,0.28
19861121,-58.409,-58.366,-58.326,-58.449,674800,0.0,-0.21,0.0,0.0,0.3
19861124,-58.449,-58.366,-58.366,-58.489,566800,0.0,-0.21,0.0,0.0,0.25
19861125,-58.366,-58.366,-58.326,-58.409,945200,0.0,-0.14,0.0,0.0,0.42
19861126,-58.326,-58.164,-58.124,-58.326,450800,0.0,-0.35,0.35,0.202,0.2
19861128,-58.124,-58.206,-58.124,-58.206,191200,0.0,-0.14,-0.07,-0.042,0.08
19861201,-58.164,-58.164,-58.164,-58.286,868800,0.0,-0.21,0.07,0.042,0.39
19861202,-58.164,-57.921,-57.921,-58.164,788000,0.0,-0.42,0.42,0.243,0.35
19861203,-57.921,-57.659,-57.599,-57.921,721600,0.0,-0.56,0.45,0.262,0.32
19861204,-57.679,-57.639,-57.556,-57.719,867600,0.0,-0.28,0.03,0.02,0.39
19861205,-57.639,-57.739,-57.556,-57.759,1048400,0.0,-0.35,-0.17,-0.1,0.47
19861208,-57.779,-57.759,-57.679,-57.841,466400,0.0,-0.28,-0.03,-0.02,0.21
19861209,-57.759,-57.679,-57.639,-57.759,543600,0.0,-0.21,0.14,0.08,0.24
19861210,-57.679,-57.719,-57.679,-57.759,636000,0.0,-0.14,-0.07,-0.04,0.28
19861211,-57.759,-57.841,-57.719,-58.004,545600,0.0,-0.49,-0.21,-0.122,0.24
19861212,-57.841,-57.901,-57.841,-57.921,475200,0.0,-0.14,-0.1,-0.06,0.21
19861215,-57.921,-57.921,-57.881,-57.961,216000,0.0,-0.14,-0.03,-0.02,0.1
19861216,-57.921,-57.881,-57.881,-57.961,268400,0.0,-0.14,0.07,0.04,0.12
19861217,-57.841,-57.841,-57.799,-57.881,153200,0.0,-0.14,0.07,0.04,0.07
19861218,-57.841,-57.841,-57.779,-57.881,439600,0.0,-0.18,0.0,0.0,0.2
19861219,-57.799,-57.799,-57.759,-57.961,1172800,0.0,-0.35,0.07,0.042,0.52
19861222,-57.759,-57.841,-57.759,-57.881,453200,0.0,-0.21,-0.07,-0.042,0.2
19861223,-57.841,-57.921,-57.841,-57.961,680800,0.0,-0.21,-0.14,-0.08,0.3
19861224,-57.868,-57.868,-57.828,-57.93,684400,0.0,-0.18,0.09,0.053,0.3
19861226,-57.828,-57.828,-57.828,-57.91,69200,0.0,-0.14,0.07,0.04,0.03
19861229,-57.828,-57.91,-57.828,-57.95,533600,0.0,-0.21,-0.14,-0.082,0.24
19861230,-57.95,-57.97,-57.868,-58.03,262800,0.0,-0.28,-0.1,-0.06,0.12
19861231,-57.91,-57.91,-57.788,-57.95,698400,0.0,-0.28,0.1,0.06,0.31
19870102,-57.91,-57.828,-57.828,-57.91,450800,0.0,-0.14,0.14,0.082,0.2
19870105,-57.788,-57.625,-57.585,-57.788,1230000,0.0,-0.35,0.35,0.203,0.55
19870106,-57.585,-57.585,-57.585,-57.665,755200,0.0,-0.14,0.07,0.04,0.34
19870107,-57.585,-57.505,-57.505,-57.625,640000,0.0,-0.21,0.14,0.08,0.28
19870108,-57.505,-57.343,-57.26,-57.545,948800,0.0,-0.5,0.28,0.162,0.42
19870109,-57.383,-57.343,-57.343,-57.423,412000,0.0,-0.14,0.0,0.0,0.18
19870112,-57.343,-57.26,-57.26,-57.383,421600,0.0,-0.21,0.14,0.083,0.19
19870113,-57.26,-57.26,-57.26,-57.3,297200,0.0,-0.07,0.0,0.0,0.13
19870114,-57.22,-57.26,-57.14,-57.26,556400,0.0,-0.21,0.0,0.0,0.25
19870115,-57.18,-57.22,-57.14,-57.3,569600,0.0,-0.28,0.07,0.04,0.25
19870116,-57.22,-57.22,-57.22,-57.3,558800,0.0,-0.14,0.0,0.0,0.25
19870119,-57.3,-57.22,-57.22,-57.3,428400,0.0,-0.14,0.0,0.0,0.19
19870120,-57.26,-57.383,-57.22,-57.423,588800,0.0,-0.35,-0.28,-0.163,0.26
19870121,-57.343,-57.483,-57.343,-57.545,745600,0.0,-0.35,-0.17,-0.1,0.33
19870122,-57.505,-57.463,-57.423,-57.605,1131200,0.0,-0.32,0.03,0.02,0.5
19870123,-57.423,-57.3,-57.14,-57.463,1085200,0.0,-0.56,0.28,0.163,0.48
19870126,-57.343,-57.423,-57.3,-57.423,439200,0.0,-0.21,-0.21,-0.123,0.2
19870127,-57.423,-57.26,-57.26,-57.423,1154400,0.0,-0.28,0.28,0.163,0.51
19870128,-57.22,-57.343,-57.18,-57.343,851600,0.0,-0.28,-0.14,-0.083,0.38
19870129,-57.343,-57.26,-57.18,-57.343,1627200,0.0,-0.28,0.14,0.083,0.72
19870130,-57.18,-57.018,-57.018,-57.22,1752800,0.0,-0.35,0.42,0.242,0.78
19870202,-57.058,-56.938,-56.895,-57.058,2467600,0.0,-0.29,0.14,0.08,1.1
19870203,-56.938,-57.14,-56.938,-57.14,940400,0.0,-0.35,-0.35,-0.202,0.42
19870204,-57.058,-57.018,-57.018,-57.098,1445200,0.0,-0.14,0.21,0.122,0.64
19870205,-57.098,-56.755,-56.735,-57.098,2094400,0.0,-0.64,0.46,0.263,0.93
19870206,-56.775,-56.715,-56.653,-56.775,1468400,0.0,-0.21,0.07,0.04,0.65
19870209,-56.735,-56.735,-56.735,-56.855,678400,0.0,-0.21,-0.04,-0.02,0.3
19870210,-56.735,-56.775,-56.735,-56.855,970800,0.0,-0.21,-0.07,-0.04,0.43
19870211,-56.775,-56.41,-56.41,-56.815,2182800,0.0,-0.71,0.64,0.365,0.97
19870212,-56.41,-56.613,-56.41,-56.693,519600,0.0,-0.5,-0.36,-0.203,0.23
19870213,-56.613,-56.533,-56.533,-56.653,1517600,0.0,-0.21,0.14,0.08,0.67
19870217,-56.613,-56.085,-56.085,-56.613,1435200,0.0,-0.93,0.79,0.448,0.64
19870218,-56.085,-56.005,-55.925,-56.128,1281600,0.0,-0.36,0.14,0.08,0.57
19870219,-55.965,-55.56,-55.52,-56.005,2645200,0.0,-0.87,0.79,0.445,1.17
19870220,-55.6,-55.64,-55.56,-55.68,994000,0.0,-0.22,-0.14,-0.08,0.44
19870223,-55.64,-55.743,-55.62,-55.803,2378000,0.0,-0.33,-0.19,-0.103,1.06
19870224,-55.763,-55.803,-55.723,-55.905,1096400,0.0,-0.33,-0.11,-0.06,0.49
19870225,-55.723,-55.723,-55.68,-55.803,1774000,0.0,-0.22,0.14,0.08,0.79
19870226,-55.763,-55.803,-55.68,-55.803,734800,0.0,-0.22,-0.14,-0.08,0.33
19870227,-55.763,-55.763,-55.743,-55.843,911200,0.0,-0.18,0.07,0.04,0.4
19870302,-55.803,-55.925,-55.763,-55.965,1644400,0.0,-0.36,-0.29,-0.162,0.73
19870303,-55.965,-55.905,-55.803,-56.045,876400,0.0,-0.43,0.04,0.02,0.39
19870304,-55.823,-55.803,-55.723,-55.843,968000,0.0,-0.21,0.18,0.102,0.43
19870305,-55.803,-55.763,-55.68,-55.803,1276400,0.0,-0.22,0.07,0.04,0.57
19870306,-55.763,-55.883,-55.763,-55.925,324400,0.0,-0.29,-0.22,-0.12,0.14
19870309,-55.883,-56.085,-55.883,-56.208,602000,0.0,-0.58,-0.36,-0.202,0.27
19870310,-56.085,-56.128,-56.085,-56.208,414400,0.0,-0.22,-0.08,-0.043,0.18
19870311,-56.128,-56.33,-56.128,-56.33,706400,0.0,-0.36,-0.36,-0.202,0.31
19870312,-56.288,-56.41,-56.288,-56.41,1836000,0.0,-0.22,-0.14,-0.08,0.82
19870313,-56.37,-56.613,-56.37,-56.613,539200,0.0,-0.43,-0.36,-0.203,0.24
19870316,-56.613,-56.653,-56.573,-56.693,705200,0.0,-0.21,-0.07,-0.04,0.31
19870317,-56.693,-56.653,-56.653,-56.693,581600,0.0,-0.07,0.0,0.0,0.26
19870318,-56.653,-56.573,-56.573,-56.693,968400,0.0,-0.21,0.14,0.08,0.43
19870319,-56.573,-56.613,-56.573,-56.653,1107600,0.0,-0.14,-0.07,-0.04,0.49
19870320,-56.573,-56.41,-56.37,-56.613,804000,0.0,-0.43,0.36,0.203,0.36
19870323,-56.41,-56.41,-56.248,-56.45,710400,0.0,-0.36,0.0,0.0,0.32
19870324,-56.33,-56.288,-56.288,-56.41,607600,0.0,-0.22,0.22,0.122,0.27
19870325,-56.26,-56.26,-56.158,-56.26,1760000,0.0,-0.18,0.05,0.028,0.78
19870326,-56.22,-56.26,-56.22,-56.26,264400,0.0,-0.07,0.0,0.0,0.12
19870327,-56.22,-56.38,-56.22,-56.38,1056800,0.0,-0.28,-0.21,-0.12,0.47
19870330,-56.463,-56.665,-56.38,-56.665,651200,0.0,-0.51,-0.51,-0.285,0.29
19870331,-56.625,-56.665,-56.583,-56.828,2702400,0.0,-0.43,0.0,0.0,1.2
19870401,-56.705,-56.745,-56.665,-56.745,2132400,0.0,-0.14,-0.14,-0.08,0.95
19870402,-56.705,-56.725,-56.705,-56.745,1041600,0.0,-0.07,0.04,0.02,0.46
19870403,-56.705,-56.583,-56.503,-56.745,2615600,0.0,-0.43,0.25,0.142,1.16
19870406,-56.583,-56.543,-56.503,-56.583,1564000,0.0,-0.14,0.07,0.04,0.69
19870407,-56.543,-56.625,-56.543,-56.665,651600,0.0,-0.22,-0.15,-0.082,0.29
19870408,-56.625,-56.625,-56.625,-56.665,1070000,0.0,-0.07,0.0,0.0,0.48
19870409,-56.665,-56.988,-56.625,-57.03,2094400,0.0,-0.72,-0.64,-0.363,0.93
19870410,-57.03,-56.988,-56.908,-57.03,606400,0.0,-0.21,0.0,0.0,0.27
19870413,-56.988,-57.273,-56.948,-57.273,1309200,0.0,-0.57,-0.5,-0.285,0.58
19870414,-57.313,-57.555,-57.313,-57.638,2617200,0.0,-0.57,-0.49,-0.282,1.16
19870415,-57.475,-57.515,-57.395,-57.638,1612000,0.0,-0.42,0.07,0.04,0.72
19870416,-57.475,-57.395,-57.313,-57.515,2504000,0.0,-0.35,0.21,0.12,1.11
19870420,-57.353,-57.313,-57.273,-57.395,440000,0.0,-0.21,0.14,0.082,0.2
19870421,-57.353,-57.313,-57.273,-57.435,777600,0.0,-0.28,0.0,0.0,0.35
19870422,-57.233,-57.353,-57.233,-57.395,722800,0.0,-0.28,-0.07,-0.04,0.32
19870423,-57.353,-57.475,-57.353,-57.515,481600,0.0,-0.28,-0.21,-0.122,0.21
19870424,-57.515,-57.595,-57.435,-57.595,508800,0.0,-0.28,-0.21,-0.12,0.23
19870427,-57.555,-57.313,-57.273,-57.618,1024400,0.0,-0.6,0.49,0.282,0.46
19870428,-57.233,-57.313,-57.233,-57.313,701200,0.0,-0.14,0.0,0.0,0.31
19870429,-57.273,-57.19,-57.15,-57.313,830800,0.0,-0.28,0.21,0.123,0.37
19870430,-57.15,-56.908,-56.828,-57.19,1837600,0.0,-0.63,0.49,0.282,0.82
19870501,-56.828,-56.908,-56.828,-56.908,620000,0.0,-0.14,0.0,0.0,0.28
19870504,-56.868,-56.868,-56.868,-56.948,1816800,0.0,-0.14,0.07,0.04,0.81
19870505,-56.888,-56.785,-56.745,-56.948,734800,0.0,-0.36,0.15,0.083,0.33
19870506,-56.785,-56.828,-56.785,-56.868,379200,0.0,-0.15,-0.08,-0.043,0.17
19870507,-56.828,-56.908,-56.785,-56.908,460400,0.0,-0.22,-0.14,-0.08,0.2
19870508,-56.908,-57.11,-56.868,-57.11,666800,0.0,-0.43,-0.35,-0.202,0.3
19870511,-57.11,-57.15,-57.03,-57.15,590400,0.0,-0.21,-0.07,-0.04,0.26
19870512,-57.11,-57.15,-57.11,-57.19,560400,0.0,-0.14,0.0,0.0,0.25
19870513,-57.19,-57.19,-57.11,-57.19,476800,0.0,-0.14,-0.07,-0.04,0.21
19870514,-57.15,-57.233,-57.15,-57.273,632000,0.0,-0.22,-0.08,-0.043,0.28
19870515,-57.233,-57.313,-57.19,-57.313,526000,0.0,-0.21,-0.14,-0.08,0.23
19870518,-57.313,-57.313,-57.313,-57.395,775600,0.0,-0.14,0.0,0.0,0.34
19870519,-57.313,-57.515,-57.313,-57.555,654800,0.0,-0.42,-0.35,-0.202,0.29
19870520,-57.555,-57.435,-57.395,-57.555,720000,0.0,-0.28,0.14,0.08,0.32
19870521,-57.435,-57.395,-57.313,-57.435,1591600,0.0,-0.21,0.07,0.04,0.71
19870522,-57.353,-57.395,-57.353,-57.435,763600,0.0,-0.14,0.0,0.0,0.34
19870526,-57.353,-57.19,-57.11,-57.435,889200,0.0,-0.57,0.36,0.205,0.39
19870527,-57.11,-57.15,-57.11,-57.19,1178400,0.0,-0.14,0.07,0.04,0.52
19870528,-57.19,-57.15,-57.15,-57.233,634800,0.0,-0.15,0.0,0.0,0.28
